frequency,raw
20.00,14.38
20.20,14.40
20.40,14.41
20.61,14.42
20.81,14.44
21.02,14.45
21.23,14.46
21.44,14.47
21.66,14.48
21.87,14.49
22.09,14.47
22.31,14.43
22.54,14.38
22.76,14.33
22.99,14.27
23.22,14.28
23.45,14.28
23.69,14.27
23.92,14.27
24.16,14.26
24.40,14.26
24.65,14.26
24.89,14.26
25.14,14.26
25.39,14.26
25.65,14.25
25.91,14.25
26.16,14.25
26.43,14.26
26.69,14.26
26.96,14.26
27.23,14.26
27.50,14.27
27.77,14.28
28.05,14.28
28.33,14.29
28.62,14.29
28.90,14.30
29.19,14.31
29.48,14.31
29.78,14.32
30.08,14.33
30.38,14.33
30.68,14.34
30.99,14.35
31.30,14.29
31.61,14.22
31.93,14.15
32.24,14.14
32.57,14.14
32.89,14.14
33.22,14.14
33.55,14.13
33.89,14.12
34.23,14.12
34.57,14.11
34.92,14.11
35.27,14.10
35.62,14.10
35.97,14.10
36.33,14.10
36.70,14.10
37.06,14.09
37.43,14.00
37.81,13.92
38.19,13.89
38.57,13.90
38.95,13.91
39.34,13.92
39.74,13.93
40.14,13.95
40.54,13.95
40.94,13.96
41.35,13.96
41.76,13.96
42.18,13.92
42.60,13.83
43.03,13.74
43.46,13.74
43.90,13.73
44.33,13.73
44.78,13.73
45.23,13.72
45.68,13.72
46.13,13.72
46.60,13.72
47.06,13.70
47.53,13.59
48.01,13.48
48.49,13.49
48.97,13.49
49.46,13.48
49.96,13.48
50.46,13.48
50.96,13.48
51.47,13.42
51.99,13.37
52.51,13.30
53.03,13.24
53.56,13.25
54.10,13.25
54.64,13.25
55.18,13.26
55.74,13.25
56.29,13.18
56.86,13.05
57.42,13.02
58.00,13.02
58.58,13.02
59.16,13.02
59.76,13.02
60.35,12.94
60.96,12.80
61.57,12.78
62.18,12.78
62.80,12.78
63.43,12.74
64.07,12.69
64.71,12.61
65.35,12.58
66.01,12.59
66.67,12.59
67.33,12.57
68.01,12.50
68.69,12.41
69.37,12.38
70.07,12.38
70.77,12.39
71.48,12.39
72.19,12.34
72.91,12.19
73.64,12.17
74.38,12.17
75.12,12.16
75.87,12.12
76.63,12.00
77.40,11.93
78.17,11.93
78.95,11.92
79.74,11.92
80.54,11.83
81.35,11.73
82.16,11.67
82.98,11.67
83.81,11.67
84.65,11.53
85.50,11.46
86.35,11.46
87.22,11.46
88.09,11.40
88.97,11.26
89.86,11.25
90.76,11.26
91.66,11.26
92.58,11.27
93.51,11.17
94.44,11.07
95.39,11.05
96.34,11.05
97.30,11.05
98.28,11.01
99.26,10.86
100.25,10.82
101.25,10.76
102.27,10.61
103.29,10.62
104.32,10.62
105.37,10.56
106.42,10.43
107.48,10.40
108.56,10.39
109.64,10.39
110.74,10.37
111.85,10.17
112.97,10.13
114.10,10.13
115.24,10.10
116.39,9.97
117.55,9.90
118.73,9.90
119.92,9.89
121.12,9.67
122.33,9.68
123.55,9.68
124.79,9.69
126.03,9.55
127.29,9.50
128.57,9.43
129.85,9.28
131.15,9.27
132.46,9.28
133.79,9.28
135.12,9.27
136.48,9.11
137.84,9.05
139.22,8.94
140.61,8.85
142.02,8.83
143.44,8.83
144.87,8.84
146.32,8.69
147.78,8.61
149.26,8.61
150.75,8.51
152.26,8.42
153.78,8.40
155.32,8.35
156.88,8.18
158.44,8.16
160.03,8.16
161.63,8.16
163.24,8.02
164.88,7.93
166.53,7.89
168.19,7.76
169.87,7.69
