frequency,raw
20.00,-2.24
20.20,-2.17
20.40,-2.12
20.61,-2.06
20.81,-1.99
21.02,-1.94
21.23,-1.93
21.44,-1.92
21.66,-1.91
21.87,-1.90
22.09,-1.90
22.31,-1.89
22.54,-1.89
22.76,-1.88
22.99,-1.89
23.22,-1.88
23.45,-1.88
23.69,-1.89
23.92,-1.89
24.16,-1.90
24.40,-1.90
24.65,-1.90
24.89,-1.90
25.14,-1.90
25.39,-1.90
25.65,-1.91
25.91,-1.91
26.16,-1.91
26.43,-1.90
26.69,-1.90
26.96,-1.90
27.23,-1.90
27.50,-1.89
27.77,-1.88
28.05,-1.88
28.33,-1.87
28.62,-1.87
28.90,-1.86
29.19,-1.85
29.48,-1.85
29.78,-1.84
30.08,-1.83
30.38,-1.83
30.68,-1.82
30.99,-1.81
31.30,-1.80
31.61,-1.80
31.93,-1.80
32.24,-1.79
32.57,-1.79
32.89,-1.79
33.22,-1.79
33.55,-1.80
33.89,-1.81
34.23,-1.77
34.57,-1.73
34.92,-1.67
35.27,-1.65
35.62,-1.63
35.97,-1.60
36.33,-1.60
36.70,-1.60
37.06,-1.60
37.43,-1.60
37.81,-1.59
38.19,-1.58
38.57,-1.57
38.95,-1.56
39.34,-1.55
39.74,-1.54
40.14,-1.52
40.54,-1.52
40.94,-1.51
41.35,-1.51
41.76,-1.51
42.18,-1.51
42.60,-1.51
43.03,-1.51
43.46,-1.51
43.90,-1.52
44.33,-1.52
44.78,-1.52
45.23,-1.53
45.68,-1.53
46.13,-1.53
46.60,-1.53
47.06,-1.54
47.53,-1.54
48.01,-1.54
48.49,-1.53
48.97,-1.53
49.46,-1.54
49.96,-1.54
50.46,-1.54
50.96,-1.54
51.47,-1.55
51.99,-1.55
52.51,-1.55
53.03,-1.55
53.56,-1.54
54.10,-1.54
54.64,-1.54
55.18,-1.53
55.74,-1.54
56.29,-1.54
56.86,-1.54
57.42,-1.54
58.00,-1.54
58.58,-1.54
59.16,-1.54
59.76,-1.54
60.35,-1.54
60.96,-1.54
61.57,-1.55
62.18,-1.55
62.80,-1.55
63.43,-1.55
64.07,-1.54
64.71,-1.54
65.35,-1.53
66.01,-1.52
66.67,-1.52
67.33,-1.51
68.01,-1.51
68.69,-1.51
69.37,-1.50
