frequency,raw
20.00,7.54
20.20,7.56
20.40,7.57
20.61,7.58
20.81,7.60
21.02,7.61
21.23,7.62
21.44,7.63
21.66,7.64
21.87,7.65
22.09,7.67
22.31,7.72
22.54,7.76
22.76,7.81
22.99,7.84
23.22,7.86
23.45,7.87
23.69,7.87
23.92,7.89
24.16,7.88
24.40,7.88
24.65,7.88
24.89,7.88
25.14,7.88
25.39,7.88
25.65,7.87
25.91,7.87
26.16,7.87
26.43,7.88
26.69,7.88
26.96,7.88
27.23,7.88
27.50,7.89
27.77,7.90
28.05,7.90
28.33,7.91
28.62,7.91
28.90,7.92
29.19,7.93
29.48,7.93
29.78,7.94
30.08,7.95
30.38,7.95
30.68,7.96
30.99,7.97
31.30,7.98
31.61,7.98
31.93,7.98
32.24,7.99
32.57,7.99
32.89,7.99
33.22,7.99
33.55,7.98
33.89,7.97
34.23,7.97
34.57,7.96
34.92,7.96
35.27,7.95
35.62,7.95
35.97,7.95
36.33,7.95
36.70,7.95
37.06,7.95
37.43,7.95
37.81,7.96
38.19,7.97
38.57,7.98
38.95,7.99
39.34,8.00
39.74,8.01
40.14,8.03
40.54,8.03
40.94,8.04
41.35,8.04
41.76,8.04
42.18,8.04
42.60,8.04
43.03,8.04
43.46,8.04
43.90,8.03
44.33,8.03
44.78,8.03
45.23,8.02
45.68,8.02
46.13,8.02
46.60,8.02
47.06,8.01
47.53,8.01
48.01,8.01
48.49,8.02
48.97,8.02
49.46,8.01
49.96,8.01
50.46,8.01
50.96,8.01
51.47,8.00
51.99,8.00
52.51,8.00
53.03,8.00
53.56,8.01
54.10,8.01
54.64,8.01
55.18,8.02
55.74,8.01
56.29,8.01
56.86,8.01
57.42,8.01
58.00,8.01
58.58,8.01
59.16,8.01
59.76,8.01
60.35,8.01
60.96,8.01
61.57,8.00
62.18,8.00
62.80,8.00
63.43,8.00
64.07,8.01
64.71,8.01
65.35,8.02
66.01,8.03
66.67,8.03
67.33,8.04
68.01,8.04
68.69,8.04
69.37,8.05
70.07,8.05
70.77,8.06
71.48,8.06
72.19,8.06
72.91,8.07
73.64,8.07
74.38,8.07
75.12,8.07
75.87,8.07
76.63,8.07
77.40,8.06
78.17,8.06
78.95,8.05
79.74,8.05
80.54,8.04
81.35,8.03
82.16,8.03
82.98,8.03
83.81,8.03
84.65,8.03
85.50,8.04
86.35,8.04
87.22,8.05
88.09,8.05
88.97,8.06
89.86,8.06
90.76,8.05
91.66,7.91
92.58,7.85
93.51,7.85
94.44,7.86
95.39,7.86
96.34,7.86
97.30,7.86
98.28,7.87
99.26,7.87
100.25,7.87
101.25,7.88
102.27,7.88
103.29,7.89
104.32,7.89
105.37,7.89
106.42,7.89
107.48,7.89
108.56,7.88
109.64,7.88
110.74,7.87
111.85,7.86
112.97,7.85
114.10,7.80
115.24,7.62
116.39,7.62
117.55,7.62
118.73,7.62
119.92,7.62
121.12,7.62
122.33,7.63
123.55,7.63
124.79,7.64
126.03,7.65
127.29,7.65
128.57,7.66
129.85,7.66
131.15,7.67
132.46,7.68
133.79,7.54
135.12,7.45
136.48,7.45
137.84,7.45
139.22,7.46
140.61,7.46
142.02,7.46
143.44,7.46
144.87,7.47
146.32,7.47
147.78,7.47
149.26,7.47
150.75,7.37
152.26,7.28
153.78,7.26
155.32,7.26
156.88,7.25
158.44,7.25
160.03,7.25
161.63,7.25
163.24,7.25
164.88,7.25
166.53,7.21
168.19,7.08
169.87,7.01
171.57,7.01
173.29,7.01
175.02,7.01
176.77,7.01
178.54,7.01
180.32,7.02
182.13,7.02
183.95,6.94
185.79,6.81
187.65,6.80
189.52,6.81
191.42,6.81
193.33,6.81
195.27,6.81
197.22,6.81
199.19,6.66
201.18,6.57
203.19,6.57
205.23,6.56
207.28,6.56
209.35,6.56
211.44,6.56
213.56,6.41
215.69,6.34
217.85,6.33
220.03,6.33
222.23,6.34
224.45,6.34
226.70,6.34
228.96,6.34
231.25,6.17
233.57,6.13
235.90,6.13
238.26,6.13
240.64,6.14
243.05,6.13
245.48,5.97
247.93,5.91
250.41,5.91
252.92,5.91
255.45,5.91
258.00,5.91
260.58,5.77
263.19,5.69
265.82,5.69
268.48,5.69
271.16,5.69
273.87,5.68
276.61,5.55
279.38,5.47
282.17,5.45
284.99,5.44
287.84,5.44
290.72,5.37
293.63,5.23
296.57,5.20
299.53,5.20
302.53,5.20
305.55,5.20
308.61,5.15
311.69,4.99
314.81,4.97
317.96,4.97
321.14,4.96
324.35,4.79
327.59,4.74
330.87,4.74
334.18,4.74
337.52,4.61
340.90,4.52
344.30,4.50
347.75,4.49
351.23,4.49
354.74,4.39
358.28,4.28
361.87,4.26
365.49,4.26
369.14,4.24
372.83,4.09
376.56,4.03
380.33,4.03
384.13,4.03
387.97,3.89
391.85,3.83
395.77,3.82
399.73,3.83
403.72,3.74
407.76,3.63
411.84,3.60
415.96,3.59
420.12,3.41
424.32,3.35
428.56,3.35
432.85,3.35
437.18,3.35
441.55,3.34
445.96,3.18
450.42,3.10
454.93,3.10
459.48,3.10
464.07,3.09
468.71,3.09
473.40,2.95
478.13,2.87
482.91,2.86
487.74,2.85
492.62,2.75
497.55,2.64
502.52,2.60
507.55,2.59
512.62,2.59
517.75,2.54
522.93,2.38
528.16,2.33
533.44,2.20
538.77,2.10
544.16,2.07
549.60,2.06
555.10,2.02
560.65,1.84
566.25,1.79
571.92,1.77
577.64,1.76
583.41,1.75
589.25,1.57
595.14,1.50
601.09,1.42
607.10,1.27
613.17,1.24
619.30,1.24
625.50,1.23
631.75,1.20
638.07,1.01
644.45,0.97
650.89,0.96
657.40,0.95
663.98,0.78
670.62,0.70
677.32,0.68
684.10,0.67
690.94,0.57
697.85,0.42
704.83,0.38
711.87,0.36
718.99,0.34
726.18,0.32
733.44,0.24
740.78,0.08
748.19,0.04
755.67,0.01
763.23,-0.01
770.86,-0.04
778.57,-0.11
786.35,-0.29
794.22,-0.35
802.16,-0.37
810.18,-0.39
818.28,-0.42
826.46,-0.45
834.73,-0.47
843.08,-0.50
851.51,-0.52
860.02,-0.69
868.62,-0.79
877.31,-0.83
886.08,-0.85
894.94,-0.86
903.89,-0.88
912.93,-0.90
922.06,-0.92
931.28,-0.93
940.59,-0.95
950.00,-0.95
959.50,-0.96
969.09,-0.97
978.78,-0.96
988.57,-0.96
998.46,-0.95
1008.44,-0.94
1018.53,-0.93
1028.71,-0.91
1039.00,-0.89
1049.39,-0.87
1059.88,-0.84
1070.48,-0.82
1081.19,-0.79
1092.00,-0.76
1102.92,-0.72
1113.95,-0.69
1125.09,-0.65
1136.34,-0.61
1147.70,-0.58
1159.18,-0.55
1170.77,-0.51
1182.48,-0.38
1194.30,-0.25
1206.25,-0.21
1218.31,-0.19
1230.49,-0.16
1242.80,-0.14
1255.22,-0.12
1267.78,-0.11
1280.45,-0.10
1293.26,-0.10
1306.19,-0.09
1319.25,-0.09
1332.45,-0.09
1345.77,-0.09
1359.23,-0.21
1372.82,-0.31
1386.55,-0.33
1400.41,-0.33
1414.42,-0.34
1428.56,-0.35
1442.85,-0.36
1457.28,-0.37
1471.85,-0.39
1486.57,-0.41
1501.43,-0.42
1516.45,-0.44
1531.61,-0.45
1546.93,-0.47
1562.40,-0.50
1578.02,-0.52
1593.80,-0.54
1609.74,-0.56
1625.84,-0.58
1642.10,-0.60
1658.52,-0.62
1675.10,-0.65
1691.85,-0.67
1708.77,-0.69
1725.86,-0.71
1743.12,-0.74
1760.55,-0.77
1778.15,-0.80
1795.94,-0.83
1813.90,-0.87
