frequency,raw
20.00,2.98
20.20,3.05
20.40,3.10
20.61,3.16
20.81,3.23
21.02,3.28
21.23,3.34
21.44,3.40
21.66,3.46
21.87,3.52
22.09,3.57
22.31,3.63
22.54,3.68
22.76,3.75
22.99,3.79
23.22,3.85
23.45,3.90
23.69,3.94
23.92,3.99
24.16,4.03
24.40,4.08
24.65,4.13
24.89,4.18
25.14,4.20
25.39,4.21
25.65,4.21
25.91,4.22
26.16,4.26
26.43,4.33
26.69,4.39
26.96,4.45
27.23,4.46
27.50,4.47
27.77,4.48
28.05,4.49
28.33,4.57
28.62,4.63
28.90,4.71
29.19,4.78
29.48,4.85
29.78,4.93
30.08,4.99
30.38,4.99
30.68,5.00
30.99,5.01
31.30,5.09
31.61,5.15
31.93,5.22
32.24,5.25
32.57,5.25
32.89,5.25
33.22,5.25
33.55,5.24
33.89,5.23
34.23,5.28
34.57,5.35
34.92,5.43
35.27,5.44
35.62,5.44
35.97,5.44
36.33,5.44
36.70,5.44
37.06,5.45
37.43,5.54
37.81,5.64
38.19,5.69
38.57,5.70
38.95,5.71
39.34,5.72
39.74,5.73
40.14,5.75
40.54,5.75
40.94,5.76
41.35,5.82
41.76,5.90
42.18,5.95
42.60,5.97
43.03,5.99
43.46,5.99
43.90,5.98
44.33,5.98
44.78,5.98
45.23,5.97
45.68,5.97
46.13,5.97
46.60,5.97
47.06,5.96
47.53,5.98
48.01,6.00
48.49,6.10
48.97,6.19
49.46,6.19
49.96,6.19
50.46,6.19
50.96,6.19
51.47,6.18
51.99,6.18
52.51,6.18
53.03,6.18
53.56,6.19
54.10,6.19
54.64,6.19
55.18,6.20
55.74,6.19
56.29,6.19
56.86,6.19
57.42,6.19
58.00,6.19
58.58,6.19
59.16,6.19
59.76,6.19
60.35,6.19
60.96,6.19
61.57,6.18
62.18,6.18
62.80,6.18
63.43,6.18
64.07,6.19
64.71,6.19
65.35,6.20
66.01,6.21
66.67,6.21
67.33,6.22
68.01,6.22
68.69,6.22
69.37,6.23
70.07,6.23
70.77,6.24
71.48,6.24
72.19,6.24
72.91,6.25
73.64,6.25
74.38,6.25
75.12,6.25
75.87,6.25
76.63,6.25
77.40,6.24
78.17,6.24
78.95,6.23
79.74,6.23
80.54,6.22
81.35,6.21
82.16,6.21
82.98,6.21
83.81,6.21
84.65,6.21
85.50,6.22
86.35,6.22
87.22,6.23
88.09,6.23
88.97,6.24
89.86,6.24
90.76,6.25
91.66,6.25
92.58,6.18
93.51,6.07
94.44,6.04
95.39,6.04
96.34,6.04
97.30,6.04
98.28,6.05
99.26,6.05
100.25,6.05
101.25,6.06
102.27,6.06
103.29,6.07
104.32,6.07
105.37,6.07
106.42,6.07
107.48,5.97
108.56,5.84
109.64,5.83
110.74,5.82
111.85,5.81
112.97,5.80
114.10,5.80
115.24,5.80
116.39,5.80
117.55,5.80
118.73,5.80
119.92,5.79
121.12,5.57
122.33,5.58
123.55,5.58
124.79,5.59
126.03,5.60
127.29,5.60
128.57,5.61
129.85,5.61
131.15,5.57
132.46,5.45
133.79,5.40
135.12,5.40
136.48,5.40
137.84,5.40
139.22,5.41
140.61,5.41
142.02,5.30
143.44,5.22
144.87,5.20
146.32,5.20
147.78,5.20
149.26,5.20
150.75,5.09
152.26,5.00
153.78,4.98
155.32,4.98
156.88,4.97
158.44,4.97
160.03,4.97
161.63,4.97
163.24,4.83
164.88,4.74
166.53,4.74
168.19,4.73
169.87,4.73
171.57,4.73
173.29,4.59
175.02,4.50
176.77,4.50
178.54,4.50
180.32,4.51
182.13,4.51
183.95,4.43
185.79,4.30
187.65,4.29
189.52,4.30
191.42,4.30
193.33,4.30
195.27,4.20
197.22,4.10
199.19,4.07
201.18,4.07
203.19,4.02
205.23,3.89
207.28,3.83
209.35,3.83
211.44,3.83
213.56,3.83
215.69,3.83
217.85,3.62
220.03,3.60
222.23,3.61
224.45,3.61
226.70,3.61
228.96,3.45
231.25,3.40
233.57,3.39
235.90,3.39
238.26,3.39
240.64,3.40
243.05,3.40
245.48,3.24
247.93,3.17
250.41,3.17
252.92,3.17
255.45,3.17
258.00,3.17
260.58,3.17
263.19,3.16
265.82,2.98
268.48,2.96
271.16,2.96
273.87,2.95
276.61,2.95
279.38,2.95
282.17,2.78
284.99,2.71
287.84,2.71
290.72,2.71
293.63,2.60
296.57,2.48
299.53,2.47
302.53,2.47
305.55,2.47
308.61,2.41
311.69,2.25
314.81,2.23
317.96,2.23
321.14,2.23
324.35,2.23
327.59,2.20
330.87,2.06
334.18,2.01
337.52,2.01
340.90,1.99
344.30,1.82
347.75,1.76
351.23,1.76
354.74,1.76
358.28,1.76
361.87,1.76
365.49,1.59
369.14,1.54
372.83,1.53
376.56,1.53
380.33,1.53
384.13,1.53
387.97,1.54
391.85,1.54
395.77,1.54
399.73,1.49
403.72,1.36
407.76,1.32
411.84,1.32
415.96,1.31
420.12,1.31
424.32,1.28
428.56,1.13
432.85,1.07
437.18,1.07
441.55,1.06
445.96,1.06
450.42,1.05
454.93,0.88
459.48,0.83
464.07,0.82
468.71,0.82
473.40,0.82
478.13,0.81
482.91,0.63
487.74,0.57
492.62,0.56
497.55,0.56
502.52,0.55
507.55,0.54
512.62,0.54
517.75,0.49
522.93,0.33
528.16,0.28
533.44,0.27
538.77,0.26
544.16,0.25
549.60,0.22
555.10,0.03
560.65,-0.02
566.25,-0.03
571.92,-0.05
577.64,-0.06
583.41,-0.07
589.25,-0.09
595.14,-0.10
601.09,-0.17
607.10,-0.33
613.17,-0.36
619.30,-0.36
625.50,-0.37
631.75,-0.38
638.07,-0.39
644.45,-0.40
650.89,-0.41
657.40,-0.42
663.98,-0.43
670.62,-0.45
677.32,-0.46
684.10,-0.47
690.94,-0.49
697.85,-0.51
704.83,-0.53
711.87,-0.55
718.99,-0.57
726.18,-0.59
733.44,-0.60
740.78,-0.63
748.19,-0.65
755.67,-0.68
763.23,-0.70
770.86,-0.73
778.57,-0.75
786.35,-0.78
794.22,-0.81
802.16,-0.83
810.18,-0.85
818.28,-0.88
826.46,-0.91
834.73,-0.93
843.08,-0.96
851.51,-0.98
860.02,-1.01
868.62,-1.03
877.31,-1.06
886.08,-1.08
894.94,-1.09
903.89,-1.11
912.93,-1.13
922.06,-1.15
931.28,-1.16
940.59,-1.18
950.00,-1.18
959.50,-1.19
969.09,-1.20
978.78,-1.19
988.57,-1.03
998.46,-0.96
1008.44,-0.94
1018.53,-0.93
1028.71,-0.83
1039.00,-0.68
1049.39,-0.64
1059.88,-0.44
1070.48,-0.36
1081.19,-0.33
1092.00,-0.30
1102.92,-0.26
1113.95,-0.12
1125.09,0.02
1136.34,0.08
1147.70,0.28
1159.18,0.36
1170.77,0.40
1182.48,0.43
1194.30,0.45
1206.25,0.62
1218.31,0.71
1230.49,0.78
1242.80,0.95
1255.22,1.02
1267.78,1.03
1280.45,1.17
1293.26,1.26
1306.19,1.29
1319.25,1.46
1332.45,1.51
1345.77,1.51
1359.23,1.62
1372.82,1.85
1386.55,1.94
1400.41,1.95
1414.42,1.99
1428.56,2.12
1442.85,2.25
1457.28,2.47
1471.85,2.56
1486.57,2.73
1501.43,2.80
1516.45,2.94
1531.61,3.05
1546.93,3.26
1562.40,3.36
1578.02,3.52
1593.80,3.56
1609.74,3.54
1625.84,3.58
1642.10,3.70
1658.52,3.83
1675.10,3.89
1691.85,3.89
1708.77,4.04
1725.86,4.13
1743.12,4.24
1760.55,4.25
1778.15,4.34
1795.94,4.39
1813.90,4.55
1832.03,4.57
1850.36,4.54
1868.86,4.58
1887.55,4.66
1906.42,4.66
1925.49,4.78
1944.74,4.81
1964.19,4.95
1983.83,4.97
2003.67,5.03
2023.71,5.11
2043.94,5.11
2064.38,5.09
2085.03,5.25
2105.88,5.29
2126.94,5.34
2148.20,5.46
2169.69,5.48
2191.38,5.47
2213.30,5.63
2235.43,5.67
2257.78,5.66
2280.36,5.72
2303.17,5.83
2326.20,5.84
2349.46,5.83
2372.95,5.81
2396.68,5.80
2420.65,5.78
2444.86,5.76
2469.31,5.75
2494.00,5.74
2518.94,5.73
2544.13,5.73
2569.57,5.74
2595.27,5.67
2621.22,5.54
2647.43,5.39
2673.90,5.31
2700.64,5.12
2727.65,5.06
2754.93,4.86
2782.48,4.69
2810.30,4.55
2838.40,4.34
2866.79,4.09
2895.46,3.84
2924.41,3.60
2953.65,3.36
2983.19,3.11
3013.02,2.87
3043.15,2.56
3073.58,2.21
3104.32,1.94
3135.36,1.71
3166.72,1.48
3198.38,1.25
3230.37,1.03
3262.67,0.81
3295.30,0.59
3328.25,0.56
3361.53,0.41
3395.15,0.27
3429.10,0.28
3463.39,0.33
3498.03,0.38
3533.01,0.43
3568.34,0.48
3604.02,0.54
3640.06,0.67
3676.46,0.84
3713.22,1.05
3750.36,1.19
3787.86,1.44
3825.74,1.70
3864.00,1.87
3902.64,2.06
3941.66,2.26
3981.08,2.40
4020.89,2.65
4061.10,2.94
4101.71,3.25
4142.73,3.47
4184.15,3.68
4226.00,3.99
4268.26,4.35
4310.94,4.65
4354.05,4.74
4397.59,4.94
4441.56,5.17
4485.98,5.41
4530.84,5.71
4576.15,5.98
4621.91,6.31
4668.13,6.53
4714.81,6.61
4761.96,6.83
4809.58,7.15
4857.67,7.49
4906.25,7.88
4955.31,8.21
5004.87,8.36
5054.91,8.59
5105.46,8.80
5156.52,9.01
5208.08,9.14
5260.16,9.26
5312.77,9.36
5365.89,9.32
5419.55,9.32
5473.75,9.19
5528.49,9.04
5583.77,8.88
5639.61,8.90
5696.00,8.77
5752.96,8.57
5810.49,8.30
5868.60,8.05
5927.28,7.87
5986.56,7.86
6046.42,7.75
6106.89,7.57
6167.96,7.44
6229.64,7.39
6291.93,7.23
6354.85,7.04
6418.40,6.85
6482.58,6.84
6547.41,6.90
6612.88,6.87
6679.01,6.78
6745.80,6.79
6813.26,6.81
6881.39,6.84
6950.21,7.03
7019.71,7.10
7089.91,7.16
7160.81,7.39
7232.41,7.68
7304.74,7.80
7377.79,7.99
7451.56,8.26
7526.08,8.60
7601.34,8.98
7677.35,9.37
7754.13,9.75
7831.67,10.11
7909.98,10.44
7989.08,10.81
8068.98,11.04
8149.67,10.93
8231.16,10.69
8313.47,10.32
8396.61,9.88
8480.57,9.17
8565.38,8.26
8651.03,7.23
8737.54,6.23
8824.92,5.24
8913.17,4.30
9002.30,3.18
9092.32,2.04
9183.25,0.67
9275.08,-0.72
9367.83,-2.15
9461.51,-3.50
9556.12,-4.83
9651.68,-6.14
9748.20,-7.44
9845.68,-8.71
9944.14,-9.86
10043.58,-10.78
10144.02,-11.56
10245.46,-12.27
10347.91,-13.00
10451.39,-13.65
10555.91,-14.12
10661.46,-14.39
10768.08,-14.59
10875.76,-14.66
10984.52,-14.82
11094.36,-14.81
11205.31,-14.73
11317.36,-14.65
11430.53,-14.43
11544.84,-14.25
11660.29,-13.90
11776.89,-13.54
11894.66,-13.09
12013.60,-12.63
12133.74,-12.15
12255.08,-11.59
12377.63,-10.99
12501.41,-10.31
12626.42,-9.45
12752.68,-8.43
12880.21,-7.28
13009.01,-6.00
13139.10,-4.66
13270.49,-3.19
13403.20,-1.31
13537.23,0.75
13672.60,2.88
13809.33,4.56
13947.42,5.60
14086.90,5.80
14227.77,5.02
14370.04,3.83
14513.74,2.62
14658.88,1.57
14805.47,0.80
14953.52,0.04
15103.06,-0.78
15254.09,-1.78
15406.63,-2.73
15560.70,-3.77
15716.30,-4.79
15873.47,-5.79
16032.20,-6.93
16192.52,-8.12
16354.45,-9.29
16517.99,-10.42
16683.17,-11.26
16850.01,-12.00
17018.51,-12.67
17188.69,-13.21
17360.58,-13.77
17534.18,-14.22
17709.53,-14.59
17886.62,-14.75
18065.49,-14.92
18246.14,-14.99
18428.60,-15.12
18612.89,-15.16
18799.02,-15.14
18987.01,-14.98
19176.88,-14.88
19368.65,-14.70
19562.33,-14.35
19757.96,-14.00
19955.54,-13.58
