frequency,raw
20.00,0.04
20.20,0.06
20.40,0.07
20.61,0.08
20.81,0.10
21.02,0.11
21.23,0.12
21.44,0.13
21.66,0.14
21.87,0.15
22.09,0.15
22.31,0.16
22.54,0.16
22.76,0.17
22.99,0.16
23.22,0.17
23.45,0.17
23.69,0.16
23.92,0.16
24.16,0.19
24.40,0.24
24.65,0.30
24.89,0.36
25.14,0.38
25.39,0.38
25.65,0.37
25.91,0.37
26.16,0.37
26.43,0.38
26.69,0.38
26.96,0.38
27.23,0.38
27.50,0.39
27.77,0.40
28.05,0.40
28.33,0.41
28.62,0.41
28.90,0.42
29.19,0.43
29.48,0.43
29.78,0.44
30.08,0.45
30.38,0.45
30.68,0.46
30.99,0.47
31.30,0.48
31.61,0.48
31.93,0.48
32.24,0.49
32.57,0.49
32.89,0.49
33.22,0.49
33.55,0.48
33.89,0.47
34.23,0.47
34.57,0.46
34.92,0.46
35.27,0.45
35.62,0.45
35.97,0.45
36.33,0.45
36.70,0.45
37.06,0.45
37.43,0.45
37.81,0.46
38.19,0.51
38.57,0.61
38.95,0.71
39.34,0.73
39.74,0.74
40.14,0.76
40.54,0.76
40.94,0.77
41.35,0.77
41.76,0.77
42.18,0.77
42.60,0.77
43.03,0.77
43.46,0.77
43.90,0.76
44.33,0.76
44.78,0.76
45.23,0.75
45.68,0.75
46.13,0.75
46.60,0.75
47.06,0.74
47.53,0.74
48.01,0.74
48.49,0.75
48.97,0.75
49.46,0.74
49.96,0.74
50.46,0.74
50.96,0.74
51.47,0.73
51.99,0.73
52.51,0.73
53.03,0.73
53.56,0.74
54.10,0.74
54.64,0.74
55.18,0.75
55.74,0.74
56.29,0.74
56.86,0.74
57.42,0.74
58.00,0.74
58.58,0.74
59.16,0.74
59.76,0.74
60.35,0.74
60.96,0.74
61.57,0.73
62.18,0.73
62.80,0.73
63.43,0.73
64.07,0.74
64.71,0.74
65.35,0.75
66.01,0.76
66.67,0.76
67.33,0.77
68.01,0.77
68.69,0.77
69.37,0.78
70.07,0.78
70.77,0.79
71.48,0.79
72.19,0.79
72.91,0.80
73.64,0.80
74.38,0.80
75.12,0.80
75.87,0.80
76.63,0.80
77.40,0.79
78.17,0.79
78.95,0.78
79.74,0.78
80.54,0.77
81.35,0.76
82.16,0.76
82.98,0.76
83.81,0.76
84.65,0.76
85.50,0.77
86.35,0.77
87.22,0.78
88.09,0.78
88.97,0.79
89.86,0.79
90.76,0.80
91.66,0.80
92.58,0.81
93.51,0.81
94.44,0.82
95.39,0.82
96.34,0.82
97.30,0.82
98.28,0.83
99.26,0.83
100.25,0.83
101.25,0.84
102.27,0.84
103.29,0.85
104.32,0.85
105.37,0.85
106.42,0.85
107.48,0.85
108.56,0.84
109.64,0.84
110.74,0.83
111.85,0.82
112.97,0.81
114.10,0.81
115.24,0.81
116.39,0.81
117.55,0.81
118.73,0.81
119.92,0.81
121.12,0.81
122.33,0.82
123.55,0.82
124.79,0.83
126.03,0.84
127.29,0.84
128.57,0.85
129.85,0.85
131.15,0.86
132.46,0.87
133.79,0.87
135.12,0.87
136.48,0.87
137.84,0.87
139.22,0.88
140.61,0.88
142.02,0.88
143.44,0.88
144.87,0.89
146.32,0.89
147.78,0.89
149.26,0.89
150.75,0.89
152.26,0.89
153.78,0.90
155.32,0.90
156.88,0.89
158.44,0.89
160.03,0.89
161.63,0.89
163.24,0.89
164.88,0.89
166.53,0.89
168.19,0.88
169.87,0.88
171.57,0.88
173.29,0.88
175.02,0.88
176.77,0.88
178.54,0.88
180.32,0.89
182.13,0.89
183.95,0.90
185.79,0.90
187.65,0.90
189.52,0.91
191.42,0.91
193.33,0.91
195.27,0.91
197.22,0.91
199.19,0.90
201.18,0.90
203.19,0.90
205.23,0.89
207.28,0.89
209.35,0.89
211.44,0.89
213.56,0.89
215.69,0.89
217.85,0.89
220.03,0.89
222.23,0.90
224.45,0.90
226.70,0.90
228.96,0.90
231.25,0.90
233.57,0.91
235.90,0.91
238.26,0.91
240.64,0.92
243.05,0.91
245.48,0.75
247.93,0.69
250.41,0.69
252.92,0.69
255.45,0.69
258.00,0.69
260.58,0.69
263.19,0.69
265.82,0.70
268.48,0.70
271.16,0.70
273.87,0.69
276.61,0.69
279.38,0.69
282.17,0.69
284.99,0.68
287.84,0.68
290.72,0.68
293.63,0.68
296.57,0.67
299.53,0.67
302.53,0.67
305.55,0.67
308.61,0.67
311.69,0.66
314.81,0.66
317.96,0.66
321.14,0.66
324.35,0.66
327.59,0.63
330.87,0.48
334.18,0.43
337.52,0.43
340.90,0.42
344.30,0.42
347.75,0.41
351.23,0.41
354.74,0.41
358.28,0.41
361.87,0.41
365.49,0.41
369.14,0.41
372.83,0.41
376.56,0.41
380.33,0.41
384.13,0.41
387.97,0.42
391.85,0.42
395.77,0.42
399.73,0.37
403.72,0.24
407.76,0.20
411.84,0.20
415.96,0.19
420.12,0.19
424.32,0.18
428.56,0.18
432.85,0.18
437.18,0.18
441.55,0.17
445.96,0.17
450.42,0.16
454.93,0.16
459.48,0.16
464.07,0.15
468.71,0.15
473.40,0.15
478.13,0.14
482.91,-0.04
487.74,-0.10
492.62,-0.11
497.55,-0.11
502.52,-0.12
507.55,-0.13
512.62,-0.13
517.75,-0.14
522.93,-0.15
528.16,-0.16
533.44,-0.17
538.77,-0.18
544.16,-0.19
549.60,-0.20
555.10,-0.22
560.65,-0.23
566.25,-0.24
571.92,-0.26
577.64,-0.27
583.41,-0.28
589.25,-0.30
595.14,-0.34
601.09,-0.51
607.10,-0.55
613.17,-0.56
619.30,-0.56
625.50,-0.57
631.75,-0.58
638.07,-0.59
644.45,-0.60
650.89,-0.61
657.40,-0.62
663.98,-0.63
670.62,-0.65
677.32,-0.71
684.10,-0.85
690.94,-0.92
697.85,-0.94
704.83,-0.96
711.87,-0.98
718.99,-1.00
726.18,-1.02
733.44,-1.03
740.78,-1.06
748.19,-1.08
755.67,-1.11
763.23,-1.13
770.86,-1.16
778.57,-1.18
786.35,-1.21
794.22,-1.24
802.16,-1.26
810.18,-1.28
818.28,-1.31
826.46,-1.34
834.73,-1.36
843.08,-1.39
851.51,-1.41
860.02,-1.44
868.62,-1.46
877.31,-1.31
886.08,-1.28
894.94,-1.29
903.89,-1.31
912.93,-1.33
922.06,-1.35
931.28,-1.36
940.59,-1.21
950.00,-1.16
959.50,-1.17
969.09,-1.18
978.78,-1.17
988.57,-1.17
998.46,-0.99
1008.44,-0.92
1018.53,-0.91
1028.71,-0.89
1039.00,-0.87
1049.39,-0.85
1059.88,-0.65
1070.48,-0.57
1081.19,-0.54
1092.00,-0.51
1102.92,-0.47
1113.95,-0.33
1125.09,-0.19
1136.34,-0.13
1147.70,-0.10
1159.18,-0.07
1170.77,-0.03
1182.48,0.10
1194.30,0.23
1206.25,0.27
1218.31,0.29
1230.49,0.32
1242.80,0.34
1255.22,0.44
1267.78,0.56
1280.45,0.60
1293.26,0.60
1306.19,0.61
1319.25,0.61
1332.45,0.61
1345.77,0.61
1359.23,0.73
1372.82,0.81
1386.55,0.83
1400.41,0.83
1414.42,0.82
1428.56,0.81
1442.85,0.80
1457.28,0.79
1471.85,0.77
1486.57,0.75
1501.43,0.74
1516.45,0.72
1531.61,0.71
1546.93,0.79
1562.40,0.87
1578.02,0.87
1593.80,0.85
1609.74,0.83
1625.84,0.81
1642.10,0.79
1658.52,0.77
1675.10,0.74
1691.85,0.72
1708.77,0.70
1725.86,0.68
1743.12,0.65
1760.55,0.62
1778.15,0.59
1795.94,0.56
1813.90,0.52
1832.03,0.49
1850.36,0.46
1868.86,0.42
1887.55,0.38
1906.42,0.35
1925.49,0.31
1944.74,0.28
1964.19,0.41
1983.83,0.43
2003.67,0.40
2023.71,0.37
2043.94,0.35
2064.38,0.33
2085.03,0.31
2105.88,0.30
2126.94,0.28
2148.20,0.27
2169.69,0.26
2191.38,0.25
2213.30,0.24
