frequency,raw
20.00,9.36
20.20,9.38
20.40,9.39
20.61,9.40
20.81,9.42
21.02,9.43
21.23,9.44
21.44,9.45
21.66,9.46
21.87,9.47
22.09,9.47
22.31,9.48
22.54,9.48
22.76,9.49
22.99,9.48
23.22,9.49
23.45,9.49
23.69,9.48
23.92,9.48
24.16,9.43
24.40,9.38
24.65,9.33
24.89,9.27
25.14,9.25
25.39,9.25
25.65,9.24
25.91,9.24
26.16,9.24
26.43,9.25
26.69,9.25
26.96,9.25
27.23,9.25
27.50,9.26
27.77,9.27
28.05,9.26
28.33,9.20
28.62,9.14
28.90,9.08
29.19,9.07
29.48,9.07
29.78,9.08
30.08,9.09
30.38,9.09
30.68,9.10
30.99,9.11
31.30,9.12
31.61,9.12
31.93,9.12
32.24,9.07
32.57,9.00
32.89,8.92
33.22,8.90
33.55,8.89
33.89,8.88
34.23,8.88
34.57,8.87
34.92,8.87
35.27,8.80
35.62,8.72
35.97,8.65
36.33,8.64
36.70,8.63
37.06,8.63
37.43,8.63
37.81,8.64
38.19,8.65
38.57,8.66
38.95,8.67
39.34,8.67
39.74,8.67
40.14,8.65
40.54,8.58
40.94,8.51
41.35,8.50
41.76,8.50
42.18,8.50
42.60,8.50
43.03,8.49
43.46,8.39
43.90,8.28
44.33,8.26
44.78,8.26
45.23,8.25
45.68,8.25
46.13,8.25
46.60,8.25
47.06,8.23
47.53,8.12
48.01,8.01
48.49,8.02
48.97,8.02
49.46,8.01
49.96,8.01
50.46,7.99
50.96,7.96
51.47,7.86
51.99,7.77
52.51,7.77
53.03,7.77
53.56,7.78
54.10,7.78
54.64,7.78
55.18,7.75
55.74,7.61
56.29,7.55
56.86,7.55
57.42,7.55
58.00,7.55
58.58,7.42
59.16,7.33
59.76,7.33
60.35,7.33
60.96,7.33
61.57,7.32
62.18,7.32
62.80,7.32
63.43,7.22
64.07,7.10
64.71,7.10
65.35,7.11
66.01,7.12
66.67,7.12
67.33,7.05
68.01,6.90
68.69,6.90
69.37,6.91
70.07,6.91
70.77,6.92
71.48,6.81
72.19,6.69
72.91,6.70
73.64,6.70
74.38,6.70
75.12,6.70
75.87,6.70
76.63,6.59
77.40,6.49
78.17,6.46
78.95,6.45
79.74,6.45
80.54,6.44
81.35,6.43
82.16,6.39
82.98,6.21
83.81,6.21
84.65,6.21
85.50,6.22
86.35,6.22
87.22,6.18
88.09,6.00
88.97,6.01
89.86,6.01
90.76,6.02
91.66,6.02
92.58,5.95
93.51,5.84
94.44,5.81
95.39,5.81
96.34,5.78
97.30,5.67
98.28,5.59
99.26,5.59
100.25,5.59
101.25,5.60
102.27,5.60
103.29,5.61
104.32,5.56
105.37,5.44
106.42,5.38
107.48,5.38
108.56,5.37
109.64,5.23
110.74,5.14
111.85,5.13
112.97,5.12
114.10,5.12
115.24,5.09
116.39,4.96
117.55,4.89
118.73,4.89
119.92,4.89
121.12,4.89
122.33,4.90
123.55,4.80
124.79,4.69
126.03,4.69
127.29,4.69
128.57,4.70
129.85,4.70
131.15,4.71
132.46,4.72
133.79,4.58
135.12,4.49
136.48,4.49
137.84,4.49
139.22,4.50
140.61,4.50
142.02,4.39
143.44,4.30
144.87,4.28
146.32,4.28
147.78,4.28
149.26,4.28
150.75,4.18
152.26,4.09
153.78,4.07
155.32,4.07
156.88,4.06
158.44,4.06
160.03,4.00
161.63,3.86
163.24,3.83
164.88,3.83
