frequency,raw
20.00,-17.66
20.20,-17.48
20.40,-17.30
20.61,-17.11
20.81,-16.93
21.02,-16.75
21.23,-16.60
21.44,-16.45
21.66,-16.30
21.87,-16.16
22.09,-15.99
22.31,-15.79
22.54,-15.58
22.76,-15.38
22.99,-15.19
23.22,-15.08
23.45,-14.97
23.69,-14.86
23.92,-14.75
24.16,-14.67
24.40,-14.62
24.65,-14.56
24.89,-14.50
25.14,-14.42
25.39,-14.34
25.65,-14.25
25.91,-14.16
26.16,-14.00
26.43,-13.79
26.69,-13.59
26.96,-13.38
27.23,-13.23
27.50,-13.09
27.77,-12.94
28.05,-12.81
28.33,-12.67
28.62,-12.54
28.90,-12.41
29.19,-12.28
29.48,-12.15
29.78,-12.02
30.08,-11.87
30.38,-11.68
30.68,-11.47
30.99,-11.28
31.30,-11.17
31.61,-11.08
31.93,-10.98
32.24,-10.84
32.57,-10.69
32.89,-10.55
33.22,-10.38
33.55,-10.21
33.89,-10.05
34.23,-9.90
34.57,-9.76
34.92,-9.63
35.27,-9.46
35.62,-9.27
35.97,-9.08
36.33,-9.06
36.70,-9.03
37.06,-8.99
37.43,-8.81
37.81,-8.64
38.19,-8.48
38.57,-8.33
38.95,-8.17
39.34,-8.05
39.74,-7.95
40.14,-7.85
40.54,-7.78
40.94,-7.70
41.35,-7.53
41.76,-7.36
42.18,-7.19
42.60,-7.06
43.03,-6.93
43.46,-6.81
43.90,-6.70
44.33,-6.60
44.78,-6.48
45.23,-6.37
45.68,-6.25
46.13,-6.15
46.60,-6.03
47.06,-5.92
47.53,-5.81
48.01,-5.68
48.49,-5.53
48.97,-5.39
49.46,-5.35
49.96,-5.31
50.46,-5.20
50.96,-5.06
51.47,-4.97
51.99,-4.88
52.51,-4.77
53.03,-4.64
53.56,-4.52
54.10,-4.41
54.64,-4.40
55.18,-4.39
55.74,-4.38
56.29,-4.44
56.86,-4.55
57.42,-4.66
58.00,-4.77
58.58,-4.88
59.16,-4.96
59.76,-4.94
60.35,-4.99
60.96,-5.11
61.57,-4.98
62.18,-4.82
62.80,-4.64
63.43,-4.44
64.07,-4.23
64.71,-4.12
65.35,-4.06
66.01,-4.05
66.67,-3.89
67.33,-3.73
68.01,-3.58
68.69,-3.56
69.37,-3.47
70.07,-3.34
70.77,-3.19
71.48,-3.15
72.19,-3.12
72.91,-2.97
73.64,-2.96
74.38,-2.90
75.12,-2.79
75.87,-2.77
76.63,-2.76
77.40,-2.74
78.17,-2.67
78.95,-2.56
79.74,-2.56
80.54,-2.48
81.35,-2.39
82.16,-2.35
82.98,-2.36
83.81,-2.38
84.65,-2.24
