frequency,raw
20.00,-23.42
20.20,-22.86
20.40,-22.28
20.61,-21.73
20.81,-21.14
21.02,-20.59
21.23,-20.04
21.44,-19.48
21.66,-18.95
21.87,-18.39
22.09,-17.85
22.31,-17.32
22.54,-16.80
22.76,-16.26
22.99,-15.74
23.22,-15.22
23.45,-14.70
23.69,-14.19
23.92,-13.65
24.16,-13.10
24.40,-12.54
24.65,-11.99
24.89,-11.43
25.14,-10.87
25.39,-10.32
25.65,-9.77
25.91,-9.22
26.16,-8.70
26.43,-8.24
26.69,-7.76
26.96,-7.29
27.23,-6.78
27.50,-6.25
27.77,-5.71
28.05,-5.22
28.33,-4.80
28.62,-4.38
28.90,-3.95
29.19,-3.54
29.48,-3.14
29.78,-2.75
30.08,-2.37
30.38,-2.04
30.68,-1.71
30.99,-1.38
31.30,-1.07
31.61,-0.76
31.93,-0.44
32.24,-0.21
32.57,-0.01
32.89,0.18
33.22,0.36
33.55,0.52
33.89,0.68
34.23,0.83
34.57,0.97
34.92,1.11
35.27,1.22
35.62,1.33
35.97,1.43
36.33,1.44
36.70,1.46
37.06,1.47
37.43,1.56
37.81,1.64
38.19,1.67
38.57,1.67
38.95,1.67
39.34,1.76
39.74,1.85
40.14,1.94
40.54,2.03
40.94,2.13
41.35,2.21
41.76,2.30
42.18,2.37
42.60,2.40
43.03,2.43
43.46,2.45
43.90,2.46
44.33,2.55
44.78,2.67
45.23,2.73
45.68,2.74
46.13,2.74
46.60,2.75
47.06,2.75
47.53,2.71
48.01,2.69
48.49,2.59
48.97,2.49
49.46,2.48
49.96,2.47
50.46,2.45
50.96,2.45
51.47,2.39
51.99,2.34
52.51,2.26
53.03,2.20
53.56,2.08
54.10,1.99
54.64,2.00
55.18,2.01
55.74,2.02
56.29,2.03
56.86,2.05
57.42,2.07
58.00,2.09
58.58,2.24
59.16,2.36
59.76,2.38
60.35,2.41
60.96,2.43
61.57,2.44
62.18,2.46
62.80,2.49
63.43,2.51
64.07,2.53
64.71,2.59
65.35,2.68
66.01,2.81
66.67,2.82
67.33,2.83
68.01,2.83
68.69,2.83
69.37,2.83
70.07,2.84
70.77,2.99
71.48,3.03
72.19,3.02
72.91,3.01
73.64,3.00
74.38,2.99
75.12,2.98
75.87,2.97
76.63,2.97
77.40,2.96
78.17,2.96
78.95,2.95
79.74,2.94
80.54,2.94
81.35,2.93
82.16,2.92
82.98,2.91
83.81,2.89
84.65,2.88
85.50,2.87
86.35,2.85
87.22,2.83
88.09,2.81
88.97,2.80
89.86,2.78
90.76,2.76
91.66,2.74
92.58,2.72
93.51,2.70
94.44,2.69
95.39,2.67
96.34,2.65
97.30,2.63
98.28,2.61
99.26,2.59
100.25,2.58
101.25,2.57
102.27,2.56
103.29,2.55
104.32,2.55
105.37,2.55
106.42,2.56
107.48,2.57
108.56,2.58
109.64,2.60
110.74,2.61
111.85,2.63
112.97,2.64
114.10,2.65
115.24,2.67
116.39,2.68
117.55,2.69
118.73,2.69
119.92,2.70
121.12,2.70
122.33,2.69
123.55,2.59
124.79,2.47
126.03,2.45
127.29,2.44
128.57,2.44
129.85,2.43
131.15,2.43
132.46,2.43
133.79,2.42
135.12,2.42
136.48,2.42
137.84,2.42
139.22,2.42
140.61,2.42
142.02,2.42
143.44,2.42
144.87,2.42
146.32,2.43
147.78,2.44
149.26,2.45
150.75,2.47
152.26,2.50
153.78,2.53
155.32,2.56
156.88,2.56
158.44,2.44
160.03,2.40
161.63,2.42
163.24,2.43
164.88,2.44
166.53,2.27
168.19,2.22
169.87,2.21
171.57,2.20
173.29,2.18
175.02,2.15
176.77,2.13
178.54,2.10
180.32,2.07
182.13,2.04
183.95,2.02
185.79,2.00
187.65,1.99
189.52,1.98
191.42,1.97
193.33,1.96
195.27,1.86
197.22,1.75
199.19,1.71
201.18,1.59
203.19,1.46
205.23,1.34
207.28,1.21
209.35,1.10
211.44,1.07
213.56,1.24
215.69,1.32
217.85,1.32
220.03,1.24
222.23,1.14
224.45,1.11
226.70,1.12
228.96,1.12
231.25,1.13
233.57,1.13
235.90,1.14
238.26,1.14
240.64,1.15
243.05,1.15
245.48,1.15
247.93,1.15
250.41,1.15
252.92,1.15
255.45,1.16
258.00,1.16
260.58,1.16
263.19,1.17
265.82,1.17
268.48,1.18
271.16,1.18
273.87,1.19
276.61,1.06
279.38,0.99
282.17,0.97
284.99,0.97
287.84,0.97
290.72,0.97
293.63,0.97
296.57,0.98
299.53,0.98
302.53,0.99
305.55,0.99
308.61,1.00
311.69,1.01
314.81,1.02
317.96,0.89
321.14,0.82
324.35,0.83
327.59,0.84
330.87,0.85
334.18,0.87
337.52,0.87
