frequency,raw
20.00,-5.81
20.20,-5.78
20.40,-5.73
20.61,-5.69
20.81,-5.64
21.02,-5.59
21.23,-5.54
21.44,-5.49
21.66,-5.43
21.87,-5.39
22.09,-5.32
22.31,-5.22
22.54,-5.11
22.76,-5.01
22.99,-4.92
23.22,-4.87
23.45,-4.81
23.69,-4.76
23.92,-4.71
24.16,-4.64
24.40,-4.59
24.65,-4.53
24.89,-4.47
25.14,-4.41
25.39,-4.35
25.65,-4.28
25.91,-4.21
26.16,-4.16
26.43,-4.11
26.69,-4.06
26.96,-4.01
27.23,-3.94
27.50,-3.87
27.77,-3.79
28.05,-3.74
28.33,-3.80
28.62,-3.85
28.90,-3.91
29.19,-3.89
29.48,-3.82
29.78,-3.75
30.08,-3.68
30.38,-3.63
30.68,-3.58
30.99,-3.53
31.30,-3.43
31.61,-3.34
31.93,-3.23
32.24,-3.20
32.57,-3.19
32.89,-3.19
33.22,-3.13
33.55,-3.04
33.89,-2.97
34.23,-2.93
34.57,-2.92
34.92,-2.92
35.27,-2.86
35.62,-2.77
35.97,-2.70
36.33,-2.69
36.70,-2.67
37.06,-2.67
37.43,-2.67
37.81,-2.67
38.19,-2.68
38.57,-2.68
38.95,-2.68
39.34,-2.66
39.74,-2.65
40.14,-2.61
40.54,-2.53
40.94,-2.45
41.35,-2.43
41.76,-2.42
42.18,-2.36
42.60,-2.26
43.03,-2.16
43.46,-2.14
43.90,-2.13
44.33,-2.04
44.78,-1.92
45.23,-1.86
45.68,-1.85
46.13,-1.82
46.60,-1.70
47.06,-1.61
47.53,-1.62
48.01,-1.62
48.49,-1.63
48.97,-1.64
49.46,-1.65
49.96,-1.66
50.46,-1.57
50.96,-1.46
51.47,-1.46
51.99,-1.46
52.51,-1.47
53.03,-1.46
53.56,-1.46
54.10,-1.43
54.64,-1.29
55.18,-1.20
55.74,-1.19
56.29,-1.18
56.86,-1.16
57.42,-1.14
58.00,-1.12
58.58,-1.10
59.16,-1.08
59.76,-1.06
60.35,-0.95
60.96,-0.80
61.57,-0.78
62.18,-0.76
62.80,-0.73
63.43,-0.81
64.07,-0.91
64.71,-0.89
65.35,-0.87
66.01,-0.86
66.67,-1.00
67.33,-1.10
68.01,-1.17
68.69,-1.28
69.37,-1.41
70.07,-1.54
70.77,-1.55
71.48,-1.56
72.19,-1.57
72.91,-1.58
73.64,-1.44
74.38,-1.31
75.12,-1.20
75.87,-1.17
76.63,-1.05
77.40,-0.95
78.17,-0.85
78.95,-0.74
79.74,-0.57
80.54,-0.43
81.35,-0.34
82.16,-0.30
82.98,-0.31
83.81,-0.33
84.65,-0.19
85.50,-0.12
86.35,-0.14
87.22,-0.16
88.09,-0.18
88.97,-0.19
89.86,-0.21
90.76,-0.23
91.66,-0.25
92.58,-0.27
93.51,-0.19
94.44,-0.09
95.39,-0.09
96.34,-0.11
97.30,-0.13
98.28,-0.15
99.26,-0.17
100.25,-0.18
101.25,-0.19
102.27,-0.20
103.29,-0.21
104.32,-0.21
105.37,-0.15
106.42,-0.01
107.48,0.03
108.56,0.04
109.64,0.06
110.74,0.07
111.85,0.09
112.97,0.10
114.10,0.11
115.24,0.13
116.39,0.14
117.55,0.15
118.73,0.15
119.92,0.16
121.12,0.16
122.33,0.15
123.55,0.25
124.79,0.37
126.03,0.37
127.29,0.36
128.57,0.36
129.85,0.35
131.15,0.35
132.46,0.35
133.79,0.34
