frequency,raw
20.00,-11.31
20.20,-11.23
20.40,-11.13
20.61,-11.04
20.81,-10.94
21.02,-10.85
21.23,-10.75
21.44,-10.66
21.66,-10.56
21.87,-10.48
22.09,-10.37
22.31,-10.26
22.54,-10.13
22.76,-10.02
22.99,-9.92
23.22,-9.82
23.45,-9.72
23.69,-9.63
23.92,-9.53
24.16,-9.42
24.40,-9.32
24.65,-9.21
24.89,-9.10
25.14,-9.00
25.39,-8.91
25.65,-8.81
25.91,-8.71
26.16,-8.59
26.43,-8.44
26.69,-8.30
26.96,-8.15
27.23,-8.07
27.50,-7.99
27.77,-7.90
28.05,-7.83
28.33,-7.76
28.62,-7.69
28.90,-7.62
29.19,-7.52
29.48,-7.39
29.78,-7.26
30.08,-7.15
30.38,-7.09
30.68,-7.03
30.99,-6.97
31.30,-6.94
31.61,-6.92
31.93,-6.89
32.24,-6.81
32.57,-6.73
32.89,-6.65
33.22,-6.50
33.55,-6.31
33.89,-6.13
34.23,-5.94
34.57,-5.75
34.92,-5.56
35.27,-5.38
35.62,-5.19
35.97,-5.00
36.33,-4.91
36.70,-4.82
37.06,-4.73
37.43,-4.63
37.81,-4.52
38.19,-4.40
38.57,-4.25
38.95,-4.09
39.34,-4.05
39.74,-4.04
40.14,-4.00
40.54,-3.92
40.94,-3.84
41.35,-3.82
41.76,-3.81
42.18,-3.79
42.60,-3.78
43.03,-3.76
43.46,-3.65
43.90,-3.54
44.33,-3.43
44.78,-3.31
45.23,-3.07
45.68,-2.71
46.13,-2.41
46.60,-2.23
47.06,-2.06
47.53,-1.83
48.01,-1.60
48.49,-1.45
48.97,-1.31
49.46,-1.16
49.96,-1.01
50.46,-0.79
50.96,-0.54
51.47,-0.44
51.99,-0.34
52.51,-0.24
53.03,-0.11
53.56,0.01
54.10,0.14
54.64,0.28
55.18,0.41
55.74,0.55
56.29,0.75
56.86,1.03
57.42,1.21
58.00,1.36
58.58,1.51
59.16,1.63
59.76,1.65
60.35,1.76
60.96,1.92
61.57,2.07
62.18,2.25
62.80,2.51
63.43,2.68
64.07,2.82
64.71,2.96
65.35,3.09
66.01,3.22
66.67,3.23
67.33,3.35
68.01,3.56
68.69,3.67
69.37,3.80
70.07,3.93
70.77,4.08
71.48,4.12
72.19,4.15
72.91,4.31
73.64,4.46
74.38,4.53
75.12,4.53
75.87,4.57
76.63,4.80
77.40,4.93
78.17,4.96
78.95,4.95
79.74,5.11
80.54,5.25
81.35,5.33
82.16,5.40
82.98,5.47
83.81,5.55
84.65,5.56
85.50,5.61
86.35,5.70
87.22,5.74
88.09,5.72
88.97,5.71
89.86,5.85
90.76,5.89
91.66,5.88
92.58,5.86
93.51,5.94
94.44,6.04
95.39,6.04
96.34,6.02
97.30,6.00
98.28,5.98
99.26,5.96
100.25,5.95
101.25,5.94
102.27,5.93
103.29,5.92
104.32,5.92
105.37,5.92
106.42,5.93
107.48,5.94
108.56,5.95
109.64,5.97
110.74,5.98
111.85,6.00
112.97,5.99
114.10,5.79
115.24,5.78
116.39,5.66
117.55,5.60
118.73,5.60
119.92,5.61
121.12,5.60
122.33,5.45
123.55,5.37
124.79,5.37
126.03,5.21
127.29,5.15
128.57,5.08
129.85,4.91
131.15,4.89
132.46,4.89
133.79,4.74
135.12,4.64
136.48,4.59
137.84,4.44
139.22,4.42
140.61,4.42
