frequency,raw
20.00,-2.17
20.20,-2.13
20.40,-2.09
20.61,-2.04
20.81,-1.99
21.02,-1.95
21.23,-1.90
21.44,-1.85
21.66,-1.80
21.87,-1.76
22.09,-1.71
22.31,-1.66
22.54,-1.60
22.76,-1.54
22.99,-1.50
23.22,-1.45
23.45,-1.40
23.69,-1.35
23.92,-1.30
24.16,-1.27
24.40,-1.27
24.65,-1.26
24.89,-1.26
25.14,-1.22
25.39,-1.16
25.65,-1.09
25.91,-1.02
26.16,-1.00
26.43,-0.99
26.69,-0.99
26.96,-0.98
27.23,-0.98
27.50,-0.98
27.77,-0.97
28.05,-0.97
28.33,-0.97
28.62,-0.97
28.90,-0.97
29.19,-0.97
29.48,-0.97
29.78,-0.97
30.08,-0.96
30.38,-0.96
30.68,-0.95
30.99,-0.95
31.30,-0.94
31.61,-0.94
31.93,-0.93
32.24,-0.92
32.57,-0.91
32.89,-0.91
33.22,-0.95
33.55,-1.02
33.89,-1.09
34.23,-1.11
34.57,-1.10
34.92,-1.10
35.27,-1.10
35.62,-1.09
35.97,-1.09
36.33,-1.09
36.70,-1.08
37.06,-1.08
37.43,-1.10
37.81,-1.11
38.19,-1.16
38.57,-1.23
38.95,-1.30
39.34,-1.30
39.74,-1.30
40.14,-1.30
40.54,-1.30
40.94,-1.30
41.35,-1.29
41.76,-1.28
42.18,-1.26
42.60,-1.25
43.03,-1.24
43.46,-1.22
43.90,-1.21
44.33,-1.20
44.78,-1.18
45.23,-1.17
45.68,-1.16
46.13,-1.16
46.60,-1.15
47.06,-1.15
47.53,-1.16
48.01,-1.16
48.49,-1.17
48.97,-1.18
49.46,-1.19
49.96,-1.20
50.46,-1.22
50.96,-1.22
51.47,-1.23
51.99,-1.23
52.51,-1.24
53.03,-1.23
53.56,-1.23
54.10,-1.22
54.64,-1.21
55.18,-1.20
55.74,-1.19
56.29,-1.25
56.86,-1.36
57.42,-1.37
58.00,-1.35
58.58,-1.33
59.16,-1.31
59.76,-1.29
60.35,-1.26
60.96,-1.24
61.57,-1.23
62.18,-1.21
62.80,-1.18
63.43,-1.20
64.07,-1.25
64.71,-1.31
65.35,-1.33
66.01,-1.32
66.67,-1.31
67.33,-1.30
68.01,-1.30
68.69,-1.30
69.37,-1.30
70.07,-1.29
70.77,-1.14
71.48,-1.10
72.19,-1.11
72.91,-1.12
73.64,-1.13
74.38,-1.14
75.12,-1.15
75.87,-1.16
76.63,-1.16
77.40,-1.17
78.17,-1.17
78.95,-1.18
79.74,-1.36
80.54,-1.42
81.35,-1.43
82.16,-1.44
82.98,-1.45
83.81,-1.47
84.65,-1.48
85.50,-1.49
86.35,-1.51
87.22,-1.53
88.09,-1.55
88.97,-1.56
89.86,-1.58
90.76,-1.60
91.66,-1.62
92.58,-1.64
93.51,-1.66
94.44,-1.67
95.39,-1.59
96.34,-1.48
97.30,-1.50
98.28,-1.52
99.26,-1.54
100.25,-1.55
101.25,-1.56
102.27,-1.60
103.29,-1.73
104.32,-1.81
105.37,-1.75
106.42,-1.61
107.48,-1.56
108.56,-1.55
109.64,-1.53
110.74,-1.52
111.85,-1.50
112.97,-1.49
114.10,-1.48
115.24,-1.46
116.39,-1.45
117.55,-1.44
118.73,-1.44
119.92,-1.42
121.12,-1.20
122.33,-1.21
123.55,-1.21
124.79,-1.21
126.03,-1.22
127.29,-1.16
128.57,-1.06
129.85,-1.02
131.15,-1.02
132.46,-1.02
133.79,-1.03
135.12,-1.02
136.48,-0.86
137.84,-0.80
139.22,-0.68
140.61,-0.59
142.02,-0.57
143.44,-0.57
144.87,-0.57
146.32,-0.41
147.78,-0.32
149.26,-0.31
150.75,-0.19
152.26,-0.07
153.78,0.00
155.32,0.08
156.88,0.25
158.44,0.30
160.03,0.39
161.63,0.54
163.24,0.58
164.88,0.59
166.53,0.60
168.19,0.60
169.87,0.59
171.57,0.58
173.29,0.70
175.02,0.76
176.77,0.74
178.54,0.71
180.32,0.68
182.13,0.65
183.95,0.63
185.79,0.61
187.65,0.60
189.52,0.59
191.42,0.58
193.33,0.57
195.27,0.57
197.22,0.56
199.19,0.56
201.18,0.56
203.19,0.57
205.23,0.57
207.28,0.58
209.35,0.59
211.44,0.59
213.56,0.60
215.69,0.61
217.85,0.61
220.03,0.71
222.23,0.81
224.45,0.86
226.70,0.87
228.96,0.87
231.25,0.88
233.57,0.88
235.90,0.89
238.26,0.89
240.64,0.90
243.05,1.06
245.48,1.13
247.93,1.13
250.41,1.13
252.92,1.13
255.45,1.14
258.00,1.14
260.58,1.14
263.19,1.15
265.82,1.15
268.48,1.16
271.16,1.16
273.87,1.17
276.61,1.17
