frequency,raw
20.00,-5.36
20.20,-5.37
20.40,-5.37
20.61,-5.37
20.81,-5.37
21.02,-5.37
21.23,-5.32
21.44,-5.27
21.66,-5.22
21.87,-5.18
22.09,-5.15
22.31,-5.13
22.54,-5.11
22.76,-5.10
22.99,-5.10
23.22,-5.06
23.45,-5.02
23.69,-4.98
23.92,-4.93
24.16,-4.88
24.40,-4.83
24.65,-4.78
24.89,-4.73
25.14,-4.69
25.39,-4.68
25.65,-4.66
25.91,-4.64
26.16,-4.64
26.43,-4.63
26.69,-4.63
26.96,-4.62
27.23,-4.57
27.50,-4.51
27.77,-4.44
28.05,-4.39
28.33,-4.39
28.62,-4.39
28.90,-4.39
29.19,-4.35
29.48,-4.28
29.78,-4.21
30.08,-4.15
30.38,-4.15
30.68,-4.14
30.99,-4.14
31.30,-4.13
31.61,-4.13
31.93,-4.12
32.24,-4.06
32.57,-3.98
32.89,-3.91
33.22,-3.88
33.55,-3.86
33.89,-3.85
34.23,-3.84
34.57,-3.83
34.92,-3.83
35.27,-3.83
35.62,-3.82
35.97,-3.82
36.33,-3.82
36.70,-3.81
37.06,-3.81
37.43,-3.81
37.81,-3.81
38.19,-3.82
38.57,-3.82
38.95,-3.82
39.34,-3.80
39.74,-3.79
40.14,-3.75
40.54,-3.67
40.94,-3.59
41.35,-3.57
41.76,-3.56
42.18,-3.54
42.60,-3.53
43.03,-3.53
43.46,-3.61
43.90,-3.70
44.33,-3.71
44.78,-3.69
45.23,-3.73
45.68,-3.83
46.13,-3.95
46.60,-4.13
47.06,-4.31
47.53,-4.48
48.01,-4.63
48.49,-4.90
48.97,-5.18
49.46,-5.35
49.96,-5.52
50.46,-5.45
50.96,-5.34
51.47,-5.39
51.99,-5.44
52.51,-5.51
53.03,-5.57
53.56,-5.69
54.10,-5.78
54.64,-5.77
55.18,-5.76
55.74,-5.75
56.29,-5.74
56.86,-5.72
57.42,-5.80
58.00,-5.92
58.58,-6.16
59.16,-6.40
59.76,-6.65
60.35,-6.88
60.96,-7.12
61.57,-7.37
62.18,-7.62
62.80,-7.85
63.43,-8.09
64.07,-8.31
64.71,-8.38
65.35,-8.40
66.01,-8.39
66.67,-8.23
67.33,-8.03
68.01,-7.81
68.69,-7.55
69.37,-7.35
70.07,-7.22
70.77,-7.00
71.48,-6.75
72.19,-6.53
72.91,-6.38
73.64,-6.23
74.38,-6.10
75.12,-5.97
75.87,-5.77
76.63,-5.47
77.40,-5.18
78.17,-4.92
78.95,-4.67
79.74,-4.42
80.54,-4.16
81.35,-3.99
82.16,-3.88
82.98,-3.64
83.81,-3.54
84.65,-3.38
85.50,-3.25
86.35,-3.17
87.22,-3.07
88.09,-2.85
88.97,-2.71
89.86,-2.72
90.76,-2.72
91.66,-2.60
92.58,-2.47
93.51,-2.39
94.44,-2.35
95.39,-2.28
96.34,-2.17
97.30,-2.19
98.28,-2.21
99.26,-2.17
100.25,-2.01
101.25,-2.02
102.27,-2.00
103.29,-1.89
104.32,-1.81
105.37,-1.75
106.42,-1.61
107.48,-1.56
108.56,-1.55
109.64,-1.53
110.74,-1.52
111.85,-1.50
112.97,-1.47
114.10,-1.21
115.24,-1.01
116.39,-1.00
117.55,-0.97
118.73,-0.81
119.92,-0.75
121.12,-0.75
122.33,-0.76
123.55,-0.66
124.79,-0.54
