frequency,raw
20.00,-9.70
20.20,-9.61
20.40,-9.52
20.61,-9.42
20.81,-9.33
21.02,-9.23
21.23,-9.13
21.44,-9.03
21.66,-8.93
21.87,-8.84
22.09,-8.73
22.31,-8.62
22.54,-8.50
22.76,-8.39
22.99,-8.30
23.22,-8.20
23.45,-8.11
23.69,-8.01
23.92,-7.92
24.16,-7.81
24.40,-7.71
24.65,-7.60
24.89,-7.49
25.14,-7.37
25.39,-7.24
25.65,-7.10
25.91,-6.97
26.16,-6.85
26.43,-6.74
26.69,-6.64
26.96,-6.53
27.23,-6.45
27.50,-6.37
27.77,-6.29
28.05,-6.22
28.33,-6.15
28.62,-6.08
28.90,-6.00
29.19,-5.89
29.48,-5.76
29.78,-5.63
30.08,-5.49
30.38,-5.37
30.68,-5.24
30.99,-5.13
31.30,-5.02
31.61,-4.93
31.93,-4.82
32.24,-4.73
32.57,-4.65
32.89,-4.57
33.22,-4.44
33.55,-4.28
33.89,-4.13
34.23,-4.03
34.57,-3.97
34.92,-3.91
35.27,-3.82
35.62,-3.71
35.97,-3.61
36.33,-3.52
36.70,-3.43
37.06,-3.34
37.43,-3.24
37.81,-3.13
38.19,-3.06
38.57,-2.99
38.95,-2.92
39.34,-2.81
39.74,-2.71
40.14,-2.58
40.54,-2.41
40.94,-2.24
41.35,-2.15
41.76,-2.06
42.18,-1.99
42.60,-1.96
43.03,-1.92
43.46,-1.70
43.90,-1.49
44.33,-1.43
44.78,-1.41
45.23,-1.35
45.68,-1.23
46.13,-1.13
46.60,-1.02
47.06,-0.91
47.53,-0.79
48.01,-0.66
48.49,-0.58
48.97,-0.50
49.46,-0.40
49.96,-0.30
50.46,-0.29
50.96,-0.27
51.47,-0.14
51.99,0.01
52.51,0.06
53.03,0.14
53.56,0.26
54.10,0.39
54.64,0.53
55.18,0.62
55.74,0.63
56.29,0.71
56.86,0.86
57.42,1.01
58.00,1.16
58.58,1.18
59.16,1.24
59.76,1.39
60.35,1.47
60.96,1.49
61.57,1.63
62.18,1.75
62.80,1.78
63.43,1.94
64.07,2.16
64.71,2.26
65.35,2.32
66.01,2.33
66.67,2.49
67.33,2.61
68.01,2.67
68.69,2.76
69.37,2.80
70.07,2.81
70.77,2.96
71.48,3.00
72.19,3.04
72.91,3.19
73.64,3.20
74.38,3.25
75.12,3.36
75.87,3.39
76.63,3.40
77.40,3.41
78.17,3.48
78.95,3.59
79.74,3.59
80.54,3.59
81.35,3.59
82.16,3.62
82.98,3.79
83.81,3.77
84.65,3.76
85.50,3.81
86.35,3.90
87.22,3.94
88.09,3.92
88.97,3.91
89.86,3.89
90.76,3.89
91.66,4.01
92.58,4.06
93.51,4.04
94.44,4.03
95.39,4.01
96.34,3.99
97.30,3.97
98.28,3.95
99.26,3.93
100.25,3.93
101.25,3.99
102.27,4.13
103.29,4.12
104.32,4.12
105.37,4.12
106.42,4.13
107.48,4.14
108.56,4.15
109.64,4.17
110.74,4.18
111.85,4.20
112.97,4.18
114.10,3.99
115.24,4.01
116.39,4.02
117.55,4.03
118.73,4.03
119.92,4.04
121.12,4.04
122.33,4.03
123.55,4.03
124.79,4.03
126.03,4.02
127.29,4.01
128.57,3.96
129.85,3.79
131.15,3.77
132.46,3.77
133.79,3.76
135.12,3.75
136.48,3.70
137.84,3.55
139.22,3.53
140.61,3.53
142.02,3.53
143.44,3.53
144.87,3.53
146.32,3.54
147.78,3.55
149.26,3.56
150.75,3.58
152.26,3.60
153.78,3.49
155.32,3.45
156.88,3.46
158.44,3.49
160.03,3.51
161.63,3.53
163.24,3.40
164.88,3.33
166.53,3.34
168.19,3.34
169.87,3.33
171.57,3.32
173.29,3.30
175.02,3.27
176.77,3.06
178.54,2.99
180.32,2.88
182.13,2.75
183.95,2.68
185.79,2.66
187.65,2.65
189.52,2.46
191.42,2.40
193.33,2.39
195.27,2.29
197.22,2.18
199.19,2.16
201.18,2.16
203.19,2.12
205.23,2.00
207.28,1.95
209.35,1.96
211.44,1.96
213.56,1.81
215.69,1.75
217.85,1.75
220.03,1.76
222.23,1.76
224.45,1.77
226.70,1.78
228.96,1.62
231.25,1.58
233.57,1.56
235.90,1.57
238.26,1.46
240.64,1.37
243.05,1.35
245.48,1.35
247.93,1.35
250.41,1.35
252.92,1.31
255.45,1.17
258.00,1.14
260.58,1.14
263.19,1.15
265.82,1.15
268.48,1.16
271.16,1.16
273.87,1.08
276.61,0.96
279.38,0.95
282.17,0.95
284.99,0.95
287.84,0.95
290.72,0.95
293.63,0.84
296.57,0.74
299.53,0.73
302.53,0.74
305.55,0.74
308.61,0.75
311.69,0.76
314.81,0.77
317.96,0.64
321.14,0.57
324.35,0.58
327.59,0.59
330.87,0.60
334.18,0.62
337.52,0.62
340.90,0.63
344.30,0.64
347.75,0.64
351.23,0.64
354.74,0.54
358.28,0.43
361.87,0.41
365.49,0.25
369.14,0.17
372.83,0.02
376.56,-0.10
380.33,-0.25
384.13,-0.28
387.97,-0.28
391.85,-0.28
395.77,-0.28
399.73,-0.28
403.72,-0.28
407.76,-0.28
411.84,-0.28
415.96,-0.28
420.12,-0.28
424.32,-0.29
428.56,-0.44
432.85,-0.50
437.18,-0.50
441.55,-0.49
445.96,-0.49
450.42,-0.48
454.93,-0.48
459.48,-0.48
464.07,-0.48
468.71,-0.48
473.40,-0.48
478.13,-0.48
482.91,-0.48
487.74,-0.48
492.62,-0.57
497.55,-0.70
502.52,-0.73
507.55,-0.74
512.62,-0.74
517.75,-0.74
522.93,-0.75
528.16,-0.75
533.44,-0.74
538.77,-0.74
544.16,-0.74
549.60,-0.73
555.10,-0.72
560.65,-0.71
566.25,-0.70
571.92,-0.69
