frequency,raw
20.00,0.80
20.20,0.83
20.40,0.88
20.61,0.92
20.81,0.97
21.02,1.01
21.23,1.01
21.44,1.01
21.66,1.01
21.87,1.00
22.09,1.02
22.31,1.07
22.54,1.13
22.76,1.19
22.99,1.23
23.22,1.23
23.45,1.23
23.69,1.23
23.92,1.23
24.16,1.28
24.40,1.33
24.65,1.40
24.89,1.46
25.14,1.50
25.39,1.52
25.65,1.55
25.91,1.58
26.16,1.62
26.43,1.66
26.69,1.70
26.96,1.75
27.23,1.76
27.50,1.76
27.77,1.77
28.05,1.78
28.33,1.85
28.62,1.91
28.90,1.98
29.19,2.00
29.48,2.00
29.78,2.00
30.08,2.01
30.38,2.01
30.68,2.02
30.99,2.02
31.30,2.10
31.61,2.16
31.93,2.24
32.24,2.27
32.57,2.28
32.89,2.28
33.22,2.29
33.55,2.30
33.89,2.30
34.23,2.31
34.57,2.32
34.92,2.32
35.27,2.38
35.62,2.47
35.97,2.54
36.33,2.55
36.70,2.57
37.06,2.57
37.43,2.57
37.81,2.57
38.19,2.56
38.57,2.56
38.95,2.56
39.34,2.57
39.74,2.57
40.14,2.57
40.54,2.57
40.94,2.57
41.35,2.64
41.76,2.73
42.18,2.80
42.60,2.83
43.03,2.86
43.46,2.88
43.90,2.89
44.33,2.90
44.78,2.92
45.23,2.93
45.68,2.94
46.13,2.94
46.60,2.95
47.06,2.95
47.53,2.94
48.01,2.94
48.49,2.93
48.97,2.92
49.46,2.91
49.96,2.90
50.46,2.88
50.96,2.88
51.47,2.87
51.99,2.87
52.51,2.86
53.03,2.87
53.56,2.87
54.10,2.88
54.64,2.89
55.18,2.90
55.74,2.91
56.29,2.92
56.86,2.94
57.42,2.96
58.00,2.98
58.58,3.00
59.16,3.02
59.76,3.04
60.35,3.15
60.96,3.31
61.57,3.33
62.18,3.35
62.80,3.38
63.43,3.40
64.07,3.42
64.71,3.44
65.35,3.46
66.01,3.47
66.67,3.48
67.33,3.49
68.01,3.49
68.69,3.49
69.37,3.49
70.07,3.48
70.77,3.47
71.48,3.46
72.19,3.45
72.91,3.44
73.64,3.43
74.38,3.42
75.12,3.41
75.87,3.40
76.63,3.40
77.40,3.39
78.17,3.39
78.95,3.38
79.74,3.37
80.54,3.37
81.35,3.36
82.16,3.35
82.98,3.34
83.81,3.32
84.65,3.31
85.50,3.24
86.35,3.11
87.22,3.03
88.09,3.01
88.97,3.00
89.86,2.98
90.76,2.96
91.66,2.94
92.58,2.92
93.51,3.00
94.44,3.10
95.39,3.10
96.34,3.08
97.30,3.06
98.28,3.04
99.26,3.02
100.25,3.01
101.25,3.00
102.27,2.99
103.29,2.98
104.32,2.98
105.37,2.98
106.42,2.99
107.48,2.90
108.56,2.79
109.64,2.80
110.74,2.81
111.85,2.83
112.97,2.84
114.10,2.85
115.24,2.87
116.39,2.88
117.55,2.89
118.73,2.89
119.92,2.90
121.12,2.90
122.33,2.89
123.55,2.79
124.79,2.67
126.03,2.65
127.29,2.64
128.57,2.64
129.85,2.63
131.15,2.63
132.46,2.63
133.79,2.62
135.12,2.62
136.48,2.62
137.84,2.62
139.22,2.62
140.61,2.62
142.02,2.62
143.44,2.62
144.87,2.62
146.32,2.78
147.78,2.87
149.26,2.88
150.75,2.90
152.26,2.93
153.78,2.96
155.32,2.99
156.88,3.01
158.44,3.04
160.03,3.00
161.63,2.88
163.24,2.86
164.88,2.87
166.53,2.84
168.19,2.72
169.87,2.64
171.57,2.63
173.29,2.75
175.02,2.81
176.77,2.79
178.54,2.76
180.32,2.73
182.13,2.70
183.95,2.68
185.79,2.66
187.65,2.65
189.52,2.64
191.42,2.63
193.33,2.62
195.27,2.62
197.22,2.61
199.19,2.61
201.18,2.61
203.19,2.62
205.23,2.62
207.28,2.63
209.35,2.64
211.44,2.64
213.56,2.65
215.69,2.66
217.85,2.45
220.03,2.44
222.23,2.44
224.45,2.45
226.70,2.46
228.96,2.46
231.25,2.47
233.57,2.47
235.90,2.48
238.26,2.48
240.64,2.49
243.05,2.49
245.48,2.33
247.93,2.27
250.41,2.27
252.92,2.27
255.45,2.28
258.00,2.28
260.58,2.13
263.19,2.07
265.82,2.06
268.48,2.07
271.16,2.07
273.87,1.99
276.61,1.87
279.38,1.86
282.17,1.86
284.99,1.81
287.84,1.64
290.72,1.63
293.63,1.63
296.57,1.64
299.53,1.64
302.53,1.65
305.55,1.65
308.61,1.66
311.69,1.67
314.81,1.68
317.96,1.83
321.14,1.94
324.35,1.95
327.59,1.96
330.87,1.97
334.18,1.99
337.52,1.99
340.90,2.00
344.30,2.01
347.75,2.01
351.23,2.01
354.74,2.01
358.28,2.01
361.87,2.01
365.49,2.01
369.14,2.01
372.83,2.01
376.56,2.00
380.33,2.00
384.13,2.00
387.97,1.85
391.85,1.78
395.77,1.77
399.73,1.77
403.72,1.77
407.76,1.77
411.84,1.77
415.96,1.77
420.12,1.77
424.32,1.78
428.56,1.78
432.85,1.78
437.18,1.78
441.55,1.79
445.96,1.79
450.42,1.80
454.93,1.80
459.48,1.80
464.07,1.80
468.71,1.80
473.40,1.80
478.13,1.80
482.91,1.80
487.74,1.80
492.62,1.79
497.55,1.78
502.52,1.78
507.55,1.77
512.62,1.77
517.75,1.77
522.93,1.76
528.16,1.76
533.44,1.77
538.77,1.77
544.16,1.77
549.60,1.78
555.10,1.77
560.65,1.61
566.25,1.58
571.92,1.59
577.64,1.61
583.41,1.62
589.25,1.63
595.14,1.64
601.09,1.65
607.10,1.66
613.17,1.54
619.30,1.47
625.50,1.47
631.75,1.48
638.07,1.44
644.45,1.31
650.89,1.27
657.40,1.28
663.98,1.28
670.62,1.29
677.32,1.24
684.10,1.11
690.94,1.06
697.85,1.06
704.83,1.06
711.87,1.06
718.99,0.89
726.18,0.82
733.44,0.82
740.78,0.82
748.19,0.70
755.67,0.59
763.23,0.58
770.86,0.57
778.57,0.53
786.35,0.37
794.22,0.34
802.16,0.34
810.18,0.33
818.28,0.33
826.46,0.31
834.73,0.16
843.08,0.13
851.51,0.14
860.02,0.17
868.62,0.19
877.31,0.20
886.08,0.07
894.94,0.06
903.89,0.09
912.93,0.12
922.06,0.15
931.28,0.17
940.59,0.19
950.00,0.21
959.50,0.22
969.09,0.23
978.78,0.24
988.57,0.25
998.46,0.25
1008.44,0.25
1018.53,0.26
1028.71,0.34
1039.00,0.48
1049.39,0.51
1059.88,0.52
1070.48,0.54
1081.19,0.56
1092.00,0.57
1102.92,0.58
1113.95,0.70
1125.09,0.80
1136.34,0.82
1147.70,0.82
1159.18,0.82
1170.77,0.81
1182.48,0.80
1194.30,0.79
1206.25,0.77
1218.31,0.75
1230.49,0.77
1242.80,0.91
1255.22,0.96
1267.78,0.95
1280.45,0.96
1293.26,0.96
1306.19,1.00
1319.25,1.18
1332.45,1.29
1345.77,1.45
1359.23,1.50
1372.82,1.66
1386.55,1.75
1400.41,1.94
1414.42,2.01
1428.56,2.02
1442.85,2.12
1457.28,2.23
1471.85,2.26
1486.57,2.28
1501.43,2.30
1516.45,2.33
1531.61,2.37
1546.93,2.51
1562.40,2.65
1578.02,2.70
1593.80,2.75
1609.74,2.79
1625.84,2.84
1642.10,2.89
1658.52,2.94
1675.10,2.99
1691.85,3.04
1708.77,3.08
1725.86,3.07
1743.12,2.96
1760.55,2.95
1778.15,2.97
1795.94,3.00
1813.90,3.03
1832.03,3.04
1850.36,2.92
1868.86,2.82
1887.55,2.75
1906.42,2.75
1925.49,2.62
1944.74,2.59
1964.19,2.62
1983.83,2.60
2003.67,2.48
2023.71,2.46
2043.94,2.34
2064.38,2.27
2085.03,2.27
2105.88,2.23
2126.94,2.10
2148.20,2.06
2169.69,1.92
2191.38,1.83
2213.30,1.66
2235.43,1.60
2257.78,1.61
2280.36,1.56
2303.17,1.44
2326.20,1.44
2349.46,1.31
2372.95,1.26
2396.68,1.26
2420.65,1.21
2444.86,1.07
2469.31,1.04
2494.00,0.88
2518.94,0.78
2544.13,0.73
2569.57,0.65
2595.27,0.44
2621.22,0.33
2647.43,0.25
2673.90,0.16
2700.64,0.05
2727.65,-0.06
2754.93,-0.18
2782.48,-0.30
2810.30,-0.44
2838.40,-0.58
2866.79,-0.73
2895.46,-0.89
2924.41,-1.06
2953.65,-1.22
2983.19,-1.39
3013.02,-1.55
3043.15,-1.70
3073.58,-1.85
3104.32,-1.97
3135.36,-1.94
3166.72,-2.02
3198.38,-2.14
3230.37,-2.14
3262.67,-2.15
3295.30,-2.24
3328.25,-2.35
3361.53,-2.46
3395.15,-2.56
3429.10,-2.76
3463.39,-2.95
3498.03,-3.20
3533.01,-3.34
3568.34,-3.59
3604.02,-3.88
3640.06,-4.20
3676.46,-4.56
3713.22,-5.04
3750.36,-5.70
3787.86,-6.30
3825.74,-7.05
3864.00,-7.77
3902.64,-8.58
3941.66,-9.76
3981.08,-11.49
4020.89,-13.68
4061.10,-16.62
4101.71,-19.67
4142.73,-22.20
4184.15,-23.82
4226.00,-25.01
4268.26,-25.79
4310.94,-24.35
4354.05,-21.33
4397.59,-18.33
4441.56,-15.74
4485.98,-13.74
4530.84,-12.19
4576.15,-10.98
4621.91,-10.02
4668.13,-9.32
4714.81,-8.78
4761.96,-8.41
4809.58,-8.20
4857.67,-8.02
4906.25,-7.99
4955.31,-7.87
5004.87,-7.73
5054.91,-7.69
5105.46,-7.37
5156.52,-6.76
5208.08,-5.95
5260.16,-5.08
5312.77,-4.12
5365.89,-3.23
5419.55,-2.33
5473.75,-1.43
5528.49,-0.62
5583.77,0.03
5639.61,0.50
5696.00,0.71
5752.96,0.91
5810.49,1.03
5868.60,1.15
5927.28,1.25
5986.56,1.20
6046.42,1.26
6106.89,1.35
6167.96,1.30
6229.64,1.08
6291.93,0.70
6354.85,0.37
6418.40,0.47
6482.58,0.57
6547.41,0.65
6612.88,0.76
6679.01,0.90
6745.80,0.93
6813.26,0.86
6881.39,0.95
6950.21,0.95
7019.71,1.08
7089.91,1.25
7160.81,1.53
7232.41,1.92
7304.74,2.17
7377.79,2.50
7451.56,2.71
7526.08,2.96
7601.34,3.17
7677.35,3.46
7754.13,3.74
7831.67,4.00
7909.98,4.13
7989.08,4.39
8068.98,4.73
8149.67,5.02
8231.16,5.31
8313.47,5.58
8396.61,5.96
8480.57,6.40
8565.38,6.70
8651.03,6.53
8737.54,5.60
8824.92,4.12
8913.17,2.34
9002.30,0.48
9092.32,-1.33
9183.25,-3.05
9275.08,-4.56
9367.83,-5.72
9461.51,-6.38
9556.12,-6.60
9651.68,-6.53
9748.20,-6.00
9845.68,-5.27
9944.14,-4.35
10043.58,-3.28
10144.02,-2.02
10245.46,-0.66
10347.91,0.73
10451.39,1.94
10555.91,2.42
10661.46,2.13
10768.08,1.28
10875.76,0.03
10984.52,-1.78
11094.36,-3.75
11205.31,-5.61
11317.36,-7.17
11430.53,-8.33
11544.84,-9.24
11660.29,-10.28
11776.89,-11.51
11894.66,-13.25
12013.60,-15.82
12133.74,-18.88
12255.08,-21.15
12377.63,-20.95
12501.41,-19.46
12626.42,-18.34
12752.68,-18.52
12880.21,-18.64
13009.01,-18.27
13139.10,-18.34
13270.49,-19.34
13403.20,-20.88
13537.23,-20.90
13672.60,-18.48
13809.33,-15.07
13947.42,-11.75
14086.90,-9.37
14227.77,-7.89
14370.04,-7.52
14513.74,-7.81
14658.88,-8.30
14805.47,-8.75
14953.52,-9.21
15103.06,-9.71
15254.09,-10.22
15406.63,-10.87
15560.70,-11.74
15716.30,-13.13
15873.47,-15.48
16032.20,-18.55
16192.52,-21.62
16354.45,-21.54
16517.99,-18.83
16683.17,-15.49
16850.01,-12.96
17018.51,-11.32
17188.69,-10.20
17360.58,-9.30
17534.18,-8.72
17709.53,-8.37
17886.62,-8.49
18065.49,-9.04
18246.14,-9.77
18428.60,-10.53
18612.89,-11.17
18799.02,-11.75
18987.01,-12.72
19176.88,-13.77
19368.65,-14.74
19562.33,-15.44
19757.96,-15.98
19955.54,-16.33
