frequency,raw
20.00,-3.99
20.20,-3.95
20.40,-3.91
20.61,-3.86
20.81,-3.81
21.02,-3.77
21.23,-3.77
21.44,-3.77
21.66,-3.77
21.87,-3.78
22.09,-3.76
22.31,-3.71
22.54,-3.65
22.76,-3.60
22.99,-3.56
23.22,-3.56
23.45,-3.56
23.69,-3.56
23.92,-3.56
24.16,-3.51
24.40,-3.46
24.65,-3.39
24.89,-3.33
25.14,-3.30
25.39,-3.30
25.65,-3.29
25.91,-3.28
26.16,-3.25
26.43,-3.20
26.69,-3.15
26.96,-3.10
27.23,-3.08
27.50,-3.06
27.77,-3.03
28.05,-3.02
28.33,-3.02
28.62,-3.02
28.90,-3.02
29.19,-2.98
29.48,-2.92
29.78,-2.86
30.08,-2.80
30.38,-2.79
30.68,-2.78
30.99,-2.77
31.30,-2.76
31.61,-2.76
31.93,-2.75
32.24,-2.74
32.57,-2.73
32.89,-2.73
33.22,-2.67
33.55,-2.58
33.89,-2.51
34.23,-2.47
34.57,-2.46
34.92,-2.46
35.27,-2.46
35.62,-2.45
35.97,-2.45
36.33,-2.45
36.70,-2.44
37.06,-2.44
37.43,-2.42
37.81,-2.41
38.19,-2.38
38.57,-2.31
38.95,-2.24
39.34,-2.22
39.74,-2.22
40.14,-2.22
40.54,-2.22
40.94,-2.22
41.35,-2.21
41.76,-2.20
42.18,-2.18
42.60,-2.17
43.03,-2.16
43.46,-2.14
43.90,-2.13
44.33,-2.12
44.78,-2.10
45.23,-2.04
45.68,-1.92
46.13,-1.85
46.60,-1.84
47.06,-1.84
47.53,-1.85
48.01,-1.85
48.49,-1.86
48.97,-1.87
49.46,-1.88
49.96,-1.89
50.46,-1.91
50.96,-1.91
51.47,-1.92
51.99,-1.92
52.51,-1.93
53.03,-1.92
53.56,-1.92
54.10,-1.91
54.64,-1.90
55.18,-1.85
55.74,-1.71
56.29,-1.64
56.86,-1.62
57.42,-1.60
58.00,-1.58
58.58,-1.56
59.16,-1.54
59.76,-1.52
60.35,-1.49
60.96,-1.47
61.57,-1.46
62.18,-1.44
62.80,-1.41
63.43,-1.39
64.07,-1.37
64.71,-1.35
65.35,-1.33
66.01,-1.32
66.67,-1.31
67.33,-1.30
68.01,-1.30
68.69,-1.30
69.37,-1.30
70.07,-1.31
70.77,-1.32
71.48,-1.33
72.19,-1.29
72.91,-1.14
73.64,-1.13
74.38,-1.14
75.12,-1.15
75.87,-1.16
76.63,-1.16
77.40,-1.17
78.17,-1.17
78.95,-1.18
79.74,-1.19
80.54,-1.19
81.35,-1.20
82.16,-1.21
82.98,-1.22
83.81,-1.24
84.65,-1.25
85.50,-1.26
86.35,-1.28
87.22,-1.30
88.09,-1.32
88.97,-1.33
89.86,-1.35
90.76,-1.37
91.66,-1.39
92.58,-1.41
93.51,-1.43
94.44,-1.44
95.39,-1.46
96.34,-1.48
97.30,-1.50
98.28,-1.52
99.26,-1.54
100.25,-1.55
101.25,-1.56
102.27,-1.57
103.29,-1.58
104.32,-1.58
105.37,-1.58
106.42,-1.57
107.48,-1.56
108.56,-1.55
109.64,-1.53
110.74,-1.53
111.85,-1.70
112.97,-1.72
114.10,-1.71
115.24,-1.69
116.39,-1.68
117.55,-1.67
118.73,-1.67
119.92,-1.66
121.12,-1.67
122.33,-1.82
123.55,-1.90
124.79,-1.90
126.03,-1.91
127.29,-1.92
128.57,-1.92
129.85,-1.93
131.15,-1.98
132.46,-2.11
133.79,-2.17
135.12,-2.16
136.48,-2.11
137.84,-1.96
139.22,-1.94
140.61,-1.94
142.02,-1.94
143.44,-1.94
144.87,-1.94
146.32,-1.93
147.78,-1.87
149.26,-1.74
150.75,-1.66
152.26,-1.62
153.78,-1.44
155.32,-1.35
156.88,-1.32
158.44,-1.29
160.03,-1.21
161.63,-1.05
163.24,-1.15
164.88,-1.23
166.53,-1.26
168.19,-1.38
169.87,-1.51
171.57,-1.66
173.29,-1.72
175.02,-1.75
176.77,-1.96
178.54,-1.85
180.32,-1.83
182.13,-1.86
183.95,-1.79
185.79,-1.68
187.65,-1.68
189.52,-1.51
191.42,-1.47
193.33,-1.48
195.27,-1.48
197.22,-1.49
199.19,-1.49
201.18,-1.49
203.19,-1.48
205.23,-1.48
207.28,-1.47
209.35,-1.46
211.44,-1.46
213.56,-1.45
215.69,-1.44
217.85,-1.44
220.03,-1.43
222.23,-1.43
224.45,-1.42
226.70,-1.41
228.96,-1.57
231.25,-1.61
233.57,-1.63
235.90,-1.62
238.26,-1.62
240.64,-1.61
243.05,-1.61
245.48,-1.61
247.93,-1.61
250.41,-1.61
252.92,-1.61
255.45,-1.60
258.00,-1.60
260.58,-1.74
263.19,-1.81
265.82,-1.82
268.48,-1.86
271.16,-1.99
273.87,-2.03
276.61,-2.16
279.38,-2.23
282.17,-2.24
284.99,-2.19
287.84,-2.03
290.72,-2.02
293.63,-2.02
296.57,-2.01
299.53,-2.01
302.53,-2.00
305.55,-2.19
308.61,-2.21
311.69,-2.20
314.81,-2.19
317.96,-2.33
321.14,-2.39
324.35,-2.38
327.59,-2.37
330.87,-2.36
334.18,-2.44
337.52,-2.56
340.90,-2.56
344.30,-2.73
347.75,-2.78
351.23,-2.78
354.74,-2.88
358.28,-2.99
361.87,-3.01
365.49,-3.01
369.14,-3.01
372.83,-3.01
376.56,-3.02
380.33,-3.02
384.13,-3.02
387.97,-3.17
391.85,-3.23
395.77,-3.24
399.73,-3.24
403.72,-3.24
407.76,-3.24
411.84,-3.24
415.96,-3.24
420.12,-3.24
424.32,-3.23
428.56,-3.23
432.85,-3.23
437.18,-3.23
441.55,-3.22
445.96,-3.22
450.42,-3.21
454.93,-3.21
459.48,-3.21
464.07,-3.21
468.71,-3.21
473.40,-3.21
478.13,-3.21
482.91,-3.21
487.74,-3.21
492.62,-3.22
497.55,-3.23
502.52,-3.10
507.55,-3.03
512.62,-3.02
517.75,-3.02
522.93,-3.03
528.16,-3.03
533.44,-3.02
538.77,-3.02
544.16,-2.85
549.60,-2.79
555.10,-2.77
560.65,-2.76
566.25,-2.75
571.92,-2.74
577.64,-2.72
583.41,-2.71
589.25,-2.70
595.14,-2.66
601.09,-2.48
607.10,-2.44
613.17,-2.30
619.30,-2.20
625.50,-2.18
631.75,-2.17
638.07,-2.12
644.45,-1.96
650.89,-1.92
657.40,-1.91
663.98,-1.75
670.62,-1.69
677.32,-1.63
684.10,-1.50
690.94,-1.45
697.85,-1.45
704.83,-1.31
711.87,-1.23
718.99,-1.19
726.18,-1.05
733.44,-1.00
740.78,-1.00
748.19,-1.00
755.67,-1.01
763.23,-1.01
770.86,-0.85
778.57,-0.79
786.35,-0.80
794.22,-0.80
802.16,-0.80
810.18,-0.66
818.28,-0.59
826.46,-0.58
834.73,-0.58
843.08,-0.56
851.51,-0.55
860.02,-0.52
868.62,-0.50
877.31,-0.29
886.08,-0.20
894.94,-0.17
903.89,-0.14
912.93,-0.11
922.06,-0.08
931.28,-0.06
940.59,-0.04
950.00,-0.02
959.50,-0.01
969.09,0.10
978.78,0.22
988.57,0.25
998.46,0.25
1008.44,0.25
1018.53,0.26
1028.71,0.26
1039.00,0.27
1049.39,0.28
1059.88,0.29
1070.48,0.31
1081.19,0.33
1092.00,0.34
1102.92,0.35
1113.95,0.36
1125.09,0.36
1136.34,0.36
1147.70,0.36
1159.18,0.41
1170.77,0.55
1182.48,0.57
1194.30,0.56
1206.25,0.54
1218.31,0.70
1230.49,0.75
1242.80,0.74
1255.22,0.82
1267.78,0.92
1280.45,0.96
1293.26,1.13
1306.19,1.21
1319.25,1.22
1332.45,1.29
1345.77,1.45
1359.23,1.50
1372.82,1.66
1386.55,1.75
1400.41,1.77
1414.42,1.83
1428.56,1.98
1442.85,2.03
1457.28,2.03
1471.85,2.04
1486.57,2.06
1501.43,2.11
1516.45,2.29
1531.61,2.37
1546.93,2.40
1562.40,2.44
1578.02,2.47
1593.80,2.52
1609.74,2.56
1625.84,2.61
1642.10,2.66
1658.52,2.71
1675.10,2.91
1691.85,3.03
1708.77,3.08
1725.86,3.17
1743.12,3.34
1760.55,3.41
1778.15,3.56
1795.94,3.67
1813.90,3.72
1832.03,3.75
1850.36,3.79
1868.86,3.82
1887.55,3.86
1906.42,3.89
1925.49,3.92
1944.74,3.96
1964.19,3.99
1983.83,4.02
2003.67,4.05
2023.71,4.06
2043.94,4.08
2064.38,4.09
2085.03,4.10
2105.88,4.11
2126.94,4.11
2148.20,4.11
2169.69,3.97
2191.38,3.88
2213.30,3.88
2235.43,3.88
2257.78,3.89
2280.36,3.91
2303.17,3.92
2326.20,3.95
2349.46,3.81
2372.95,3.76
2396.68,3.77
2420.65,3.77
2444.86,3.69
2469.31,3.57
2494.00,3.52
2518.94,3.50
2544.13,3.29
2569.57,3.20
2595.27,3.14
2621.22,3.07
2647.43,2.99
2673.90,2.90
2700.64,2.96
2727.65,2.90
2754.93,2.78
2782.48,2.66
2810.30,2.63
2838.40,2.59
2866.79,2.46
2895.46,2.30
2924.41,2.13
2953.65,1.97
2983.19,1.80
3013.02,1.64
3043.15,1.36
3073.58,1.12
3104.32,0.98
3135.36,0.84
3166.72,0.65
3198.38,0.40
3230.37,0.26
3262.67,0.15
3295.30,0.04
3328.25,-0.07
3361.53,-0.14
3395.15,-0.10
3429.10,-0.06
3463.39,-0.03
3498.03,-0.09
3533.01,-0.16
3568.34,-0.20
3604.02,-0.23
3640.06,-0.32
3676.46,-0.42
3713.22,-0.54
3750.36,-0.56
3787.86,-0.67
3825.74,-0.82
3864.00,-0.97
3902.64,-1.10
3941.66,-1.34
3981.08,-1.64
4020.89,-2.08
4061.10,-2.43
4101.71,-2.80
4142.73,-3.23
4184.15,-3.81
4226.00,-4.59
4268.26,-5.50
4310.94,-6.63
4354.05,-7.89
4397.59,-9.49
4441.56,-11.83
4485.98,-15.44
4530.84,-19.52
4576.15,-20.20
4621.91,-16.59
4668.13,-11.70
4714.81,-8.25
4761.96,-5.89
4809.58,-4.03
4857.67,-2.63
4906.25,-1.47
4955.31,-0.67
5004.87,-0.22
5054.91,0.01
5105.46,-0.01
5156.52,-0.24
5208.08,-0.67
5260.16,-1.02
5312.77,-1.43
5365.89,-1.78
5419.55,-2.13
5473.75,-2.57
5528.49,-3.03
5583.77,-3.42
5639.61,-3.77
5696.00,-4.17
5752.96,-4.59
5810.49,-5.12
5868.60,-5.62
5927.28,-6.05
5986.56,-6.30
6046.42,-6.27
6106.89,-6.35
6167.96,-6.45
6229.64,-6.43
6291.93,-6.36
6354.85,-6.49
6418.40,-6.72
6482.58,-6.74
6547.41,-6.83
6612.88,-6.87
6679.01,-7.07
6745.80,-7.25
6813.26,-7.35
6881.39,-7.43
6950.21,-7.48
7019.71,-7.41
7089.91,-7.38
7160.81,-7.35
7232.41,-7.29
7304.74,-7.16
7377.79,-7.20
7451.56,-7.17
7526.08,-7.22
7601.34,-7.27
7677.35,-7.43
7754.13,-7.53
7831.67,-7.72
7909.98,-8.02
7989.08,-8.35
8068.98,-8.63
8149.67,-8.89
8231.16,-9.11
8313.47,-9.46
8396.61,-9.92
8480.57,-10.64
8565.38,-11.31
8651.03,-11.93
8737.54,-12.52
8824.92,-13.04
8913.17,-13.41
9002.30,-13.61
9092.32,-13.76
9183.25,-13.58
9275.08,-13.31
9367.83,-13.01
9461.51,-12.79
9556.12,-12.60
9651.68,-12.29
9748.20,-11.84
9845.68,-11.38
9944.14,-10.92
10043.58,-10.48
10144.02,-9.95
10245.46,-9.18
10347.91,-8.14
10451.39,-7.13
10555.91,-6.09
10661.46,-5.28
10768.08,-4.62
10875.76,-4.16
10984.52,-3.91
11094.36,-3.80
11205.31,-3.86
11317.36,-4.09
11430.53,-4.38
11544.84,-4.61
11660.29,-4.91
11776.89,-5.06
11894.66,-5.25
12013.60,-5.29
12133.74,-5.27
12255.08,-5.26
12377.63,-5.25
12501.41,-5.26
12626.42,-5.29
12752.68,-5.37
12880.21,-5.51
13009.01,-5.69
13139.10,-6.02
13270.49,-6.34
13403.20,-6.61
13537.23,-7.18
13672.60,-7.98
13809.33,-8.85
13947.42,-9.67
14086.90,-10.41
14227.77,-11.25
14370.04,-12.04
14513.74,-12.89
14658.88,-13.71
14805.47,-14.48
14953.52,-15.23
15103.06,-15.85
15254.09,-16.29
15406.63,-16.40
15560.70,-16.45
15716.30,-16.54
15873.47,-16.60
16032.20,-16.37
16192.52,-15.97
16354.45,-15.62
16517.99,-15.79
16683.17,-16.32
16850.01,-17.12
17018.51,-18.05
17188.69,-19.09
17360.58,-20.28
17534.18,-21.50
17709.53,-22.59
17886.62,-23.50
18065.49,-24.01
18246.14,-24.46
18428.60,-25.41
18612.89,-26.87
18799.02,-28.69
18987.01,-31.09
19176.88,-34.04
19368.65,-38.19
19562.33,-42.74
19757.96,-45.68
19955.54,-44.75
