frequency,raw
20.00,-3.31
20.20,-3.23
20.40,-3.13
20.61,-3.04
20.81,-2.94
21.02,-2.85
21.23,-2.75
21.44,-2.66
21.66,-2.56
21.87,-2.48
22.09,-2.38
22.31,-2.27
22.54,-2.16
22.76,-2.06
22.99,-1.96
23.22,-1.91
23.45,-1.85
23.69,-1.80
23.92,-1.75
24.16,-1.65
24.40,-1.54
24.65,-1.42
24.89,-1.31
25.14,-1.20
25.39,-1.12
25.65,-1.03
25.91,-0.94
26.16,-0.86
26.43,-0.77
26.69,-0.68
26.96,-0.59
27.23,-0.52
27.50,-0.44
27.77,-0.36
28.05,-0.29
28.33,-0.22
28.62,-0.15
28.90,-0.08
29.19,0.02
29.48,0.15
29.78,0.28
30.08,0.41
30.38,0.48
30.68,0.57
30.99,0.65
31.30,0.73
31.61,0.80
31.93,0.88
32.24,0.96
32.57,1.05
32.89,1.12
33.22,1.20
33.55,1.29
33.89,1.36
34.23,1.45
34.57,1.54
34.92,1.62
35.27,1.70
35.62,1.79
35.97,1.87
36.33,1.89
36.70,1.91
37.06,1.94
37.43,2.03
37.81,2.11
38.19,2.18
38.57,2.25
38.95,2.32
39.34,2.42
39.74,2.51
40.14,2.57
40.54,2.57
40.94,2.57
41.35,2.58
41.76,2.59
42.18,2.61
42.60,2.62
43.03,2.63
43.46,2.65
43.90,2.66
44.33,2.67
44.78,2.69
45.23,2.65
45.68,2.55
46.13,2.48
46.60,2.49
47.06,2.48
47.53,2.36
48.01,2.26
48.49,2.25
48.97,2.24
49.46,2.23
49.96,2.22
50.46,2.30
50.96,2.41
51.47,2.41
51.99,2.41
52.51,2.52
53.03,2.64
53.56,2.64
54.10,2.65
54.64,2.66
55.18,2.67
55.74,2.68
56.29,2.76
56.86,2.91
57.42,2.96
58.00,2.98
58.58,3.00
59.16,3.02
59.76,3.04
60.35,3.07
60.96,3.09
61.57,3.10
62.18,3.12
62.80,3.15
63.43,3.27
64.07,3.42
64.71,3.48
65.35,3.57
66.01,3.69
66.67,3.85
67.33,3.97
68.01,4.04
68.69,4.13
69.37,4.17
70.07,4.18
70.77,4.33
71.48,4.37
72.19,4.36
72.91,4.35
73.64,4.49
74.38,4.56
75.12,4.55
75.87,4.54
76.63,4.65
77.40,4.73
78.17,4.75
78.95,4.74
79.74,4.73
80.54,4.73
81.35,4.73
82.16,4.76
82.98,4.93
83.81,4.91
84.65,4.90
85.50,4.95
86.35,5.04
87.22,5.08
88.09,5.06
88.97,5.05
89.86,5.03
90.76,5.01
91.66,4.99
92.58,5.05
93.51,5.14
94.44,5.17
95.39,5.15
96.34,5.13
97.30,5.11
98.28,5.09
99.26,5.07
100.25,5.06
101.25,5.05
102.27,5.04
103.29,5.03
104.32,5.08
105.37,5.20
106.42,5.27
107.48,5.28
108.56,5.29
109.64,5.31
110.74,5.32
111.85,5.34
112.97,5.35
114.10,5.36
115.24,5.38
116.39,5.39
117.55,5.40
118.73,5.40
119.92,5.41
121.12,5.40
122.33,5.25
123.55,5.17
124.79,5.17
126.03,5.00
127.29,4.94
128.57,4.92
129.85,4.91
131.15,4.91
132.46,4.91
133.79,4.90
135.12,4.90
136.48,4.90
137.84,4.90
139.22,4.78
140.61,4.69
142.02,4.67
143.44,4.66
144.87,4.49
146.32,4.46
147.78,4.46
149.26,4.47
150.75,4.49
152.26,4.52
153.78,4.55
155.32,4.58
156.88,4.59
158.44,4.47
160.03,4.37
161.63,4.12
163.24,3.88
164.88,3.78
166.53,3.79
168.19,3.79
169.87,3.78
171.57,3.77
173.29,3.75
175.02,3.72
176.77,3.70
178.54,3.67
180.32,3.57
182.13,3.43
183.95,3.27
185.79,3.13
187.65,3.11
189.52,2.92
191.42,2.80
193.33,2.67
195.27,2.52
197.22,2.41
199.19,2.24
201.18,2.02
203.19,1.89
205.23,1.70
207.28,1.45
209.35,1.20
211.44,0.94
213.56,0.68
215.69,0.44
217.85,0.17
220.03,0.16
222.23,0.16
224.45,0.07
226.70,-0.16
228.96,-0.43
231.25,-0.65
233.57,-0.75
235.90,-0.96
238.26,-1.23
240.64,-1.48
243.05,-1.74
245.48,-2.00
247.93,-2.26
250.41,-2.53
252.92,-2.81
255.45,-3.14
258.00,-3.48
260.58,-3.79
263.19,-4.04
265.82,-4.30
268.48,-4.56
271.16,-4.82
273.87,-5.07
276.61,-5.20
279.38,-5.21
282.17,-5.21
284.99,-5.21
287.84,-5.21
290.72,-5.09
293.63,-4.78
296.57,-4.36
299.53,-4.02
302.53,-3.64
305.55,-3.35
308.61,-2.96
311.69,-2.56
314.81,-2.16
317.96,-1.82
321.14,-1.54
324.35,-1.29
327.59,-1.20
330.87,-0.95
334.18,-0.67
337.52,-0.41
340.90,-0.30
344.30,-0.09
347.75,0.02
351.23,0.15
354.74,0.29
358.28,0.39
361.87,0.41
365.49,0.58
369.14,0.66
372.83,0.81
376.56,0.86
380.33,0.95
384.13,1.06
387.97,1.09
391.85,1.10
395.77,1.25
399.73,1.32
403.72,1.32
407.76,1.32
411.84,1.32
415.96,1.32
420.12,1.32
424.32,1.33
428.56,1.33
432.85,1.33
437.18,1.22
441.55,1.14
445.96,1.11
450.42,1.12
454.93,1.12
459.48,1.12
464.07,1.02
468.71,0.92
473.40,0.89
478.13,0.89
482.91,0.58
487.74,0.17
492.62,-0.30
497.55,-0.77
502.52,-1.28
507.55,-1.82
512.62,-2.42
517.75,-2.94
522.93,-3.16
528.16,-2.94
533.44,-2.61
538.77,-2.19
544.16,-1.85
549.60,-1.50
555.10,-1.42
560.65,-1.58
566.25,-1.61
571.92,-1.60
577.64,-1.43
583.41,-1.09
589.25,-0.77
595.14,-0.42
601.09,-0.13
607.10,0.14
613.17,0.28
619.30,0.32
625.50,0.50
631.75,0.56
638.07,0.57
644.45,0.58
650.89,0.58
657.40,0.59
663.98,0.59
670.62,0.60
677.32,0.60
684.10,0.60
690.94,0.60
697.85,0.60
704.83,0.60
711.87,0.60
718.99,0.60
726.18,0.59
733.44,0.59
740.78,0.59
748.19,0.59
755.67,0.58
763.23,0.58
770.86,0.57
778.57,0.57
786.35,0.56
794.22,0.56
802.16,0.56
810.18,0.55
818.28,0.55
826.46,0.56
834.73,0.56
843.08,0.58
851.51,0.59
860.02,0.62
868.62,0.64
877.31,0.66
886.08,0.53
894.94,0.52
903.89,0.55
912.93,0.58
922.06,0.61
931.28,0.45
940.59,0.42
950.00,0.44
959.50,0.45
969.09,0.36
978.78,0.26
988.57,0.25
998.46,0.25
1008.44,0.21
1018.53,0.07
1028.71,0.03
1039.00,0.04
1049.39,0.05
1059.88,-0.10
1070.48,-0.14
1081.19,-0.13
1092.00,-0.18
1102.92,-0.30
1113.95,-0.32
1125.09,-0.47
1136.34,-0.54
1147.70,-0.55
1159.18,-0.60
1170.77,-0.76
1182.48,-0.80
1194.30,-0.81
1206.25,-0.83
1218.31,-0.85
1230.49,-0.85
1242.80,-0.86
1255.22,-0.78
1267.78,-0.56
1280.45,-0.28
1293.26,-0.02
1306.19,0.25
1319.25,0.49
1332.45,0.55
1345.77,0.57
1359.23,0.70
