frequency,raw
20.00,2.91
20.20,2.98
20.40,3.06
20.61,3.13
20.81,3.21
21.02,3.28
21.23,3.35
21.44,3.43
21.66,3.52
21.87,3.58
22.09,3.65
22.31,3.69
22.54,3.74
22.76,3.79
22.99,3.83
23.22,3.87
23.45,3.90
23.69,3.93
23.92,3.96
24.16,3.99
24.40,4.03
24.65,4.07
24.89,4.10
25.14,4.15
25.39,4.19
25.65,4.25
25.91,4.29
26.16,4.38
26.43,4.47
26.69,4.57
26.96,4.68
27.23,4.70
27.50,4.72
27.77,4.73
28.05,4.76
28.33,4.79
28.62,4.83
28.90,4.88
29.19,4.89
29.48,4.89
29.78,4.90
30.08,4.93
30.38,5.00
30.68,5.07
30.99,5.15
31.30,5.13
31.61,5.11
31.93,5.09
32.24,5.17
32.57,5.27
32.89,5.37
33.22,5.41
33.55,5.43
33.89,5.46
34.23,5.47
34.57,5.47
34.92,5.47
35.27,5.50
35.62,5.54
35.97,5.59
36.33,5.62
36.70,5.65
37.06,5.68
37.43,5.68
37.81,5.67
38.19,5.69
38.57,5.75
38.95,5.81
39.34,5.85
39.74,5.90
40.14,5.93
40.54,5.95
40.94,5.95
41.35,5.94
41.76,5.92
42.18,5.94
42.60,6.00
43.03,6.05
43.46,6.05
43.90,6.04
44.33,6.04
44.78,6.04
45.23,6.04
45.68,6.04
46.13,6.05
46.60,6.07
47.06,6.09
47.53,6.12
48.01,6.15
48.49,6.21
48.97,6.28
49.46,6.28
49.96,6.27
50.46,6.27
50.96,6.25
51.47,6.25
51.99,6.25
52.51,6.26
53.03,6.26
53.56,6.25
54.10,6.25
54.64,6.32
55.18,6.36
55.74,6.36
56.29,6.36
56.86,6.36
57.42,6.36
58.00,6.36
58.58,6.36
59.16,6.36
59.76,6.36
60.35,6.36
60.96,6.35
61.57,6.35
62.18,6.33
62.80,6.28
63.43,6.26
64.07,6.27
64.71,6.27
65.35,6.28
66.01,6.28
66.67,6.29
67.33,6.29
68.01,6.30
68.69,6.30
69.37,6.31
70.07,6.31
70.77,6.32
71.48,6.32
72.19,6.33
72.91,6.33
73.64,6.33
74.38,6.33
75.12,6.32
75.87,6.30
76.63,6.24
77.40,6.18
78.17,6.14
78.95,6.14
79.74,6.14
80.54,6.14
81.35,6.14
82.16,6.14
82.98,6.15
83.81,6.15
84.65,6.14
85.50,6.10
86.35,6.06
87.22,6.07
88.09,6.07
88.97,6.08
89.86,6.10
90.76,6.08
91.66,6.03
92.58,6.02
93.51,5.98
94.44,5.95
95.39,5.95
96.34,5.95
97.30,5.97
98.28,5.97
99.26,5.97
100.25,5.98
101.25,5.98
102.27,5.94
103.29,5.85
104.32,5.79
105.37,5.80
106.42,5.80
107.48,5.79
108.56,5.78
109.64,5.72
110.74,5.65
111.85,5.59
112.97,5.58
114.10,5.58
115.24,5.59
116.39,5.60
117.55,5.61
118.73,5.55
119.92,5.46
121.12,5.44
122.33,5.41
123.55,5.36
124.79,5.36
126.03,5.37
127.29,5.37
128.57,5.34
129.85,5.28
131.15,5.22
132.46,5.20
133.79,5.21
135.12,5.20
136.48,5.14
137.84,5.12
139.22,5.07
140.61,5.04
142.02,5.05
143.44,4.99
144.87,4.96
146.32,4.97
147.78,4.97
149.26,4.92
150.75,4.85
152.26,4.83
153.78,4.81
155.32,4.76
156.88,4.70
158.44,4.65
160.03,4.65
161.63,4.66
163.24,4.66
164.88,4.59
166.53,4.50
168.19,4.48
169.87,4.48
171.57,4.42
173.29,4.33
175.02,4.29
176.77,4.29
178.54,4.30
180.32,4.19
182.13,4.12
183.95,4.12
185.79,4.08
187.65,4.03
189.52,3.97
191.42,3.97
193.33,3.98
195.27,3.94
197.22,3.90
199.19,3.84
201.18,3.82
203.19,3.79
205.23,3.75
207.28,3.67
209.35,3.62
211.44,3.55
213.56,3.53
215.69,3.50
217.85,3.35
220.03,3.34
222.23,3.33
224.45,3.33
226.70,3.25
228.96,3.14
231.25,3.13
233.57,3.11
235.90,2.96
238.26,2.96
240.64,2.96
243.05,2.91
245.48,2.81
247.93,2.79
250.41,2.76
252.92,2.70
255.45,2.64
258.00,2.62
260.58,2.62
263.19,2.55
265.82,2.45
268.48,2.42
271.16,2.43
273.87,2.37
276.61,2.32
279.38,2.25
282.17,2.18
284.99,2.15
287.84,2.16
290.72,2.18
293.63,2.06
296.57,2.01
299.53,1.92
302.53,1.88
305.55,1.85
308.61,1.85
311.69,1.78
314.81,1.70
317.96,1.66
321.14,1.65
324.35,1.60
327.59,1.55
330.87,1.49
334.18,1.40
337.52,1.35
340.90,1.31
344.30,1.29
347.75,1.23
351.23,1.19
354.74,1.13
358.28,1.05
361.87,1.02
365.49,1.03
369.14,0.90
372.83,0.83
376.56,0.85
380.33,0.77
384.13,0.66
387.97,0.66
391.85,0.67
395.77,0.62
399.73,0.56
403.72,0.52
407.76,0.53
411.84,0.47
415.96,0.45
420.12,0.41
424.32,0.28
428.56,0.27
432.85,0.28
437.18,0.13
441.55,0.09
445.96,0.13
450.42,0.01
454.93,-0.08
459.48,-0.06
464.07,-0.06
468.71,-0.11
473.40,-0.17
478.13,-0.20
482.91,-0.20
487.74,-0.27
492.62,-0.30
497.55,-0.37
502.52,-0.49
507.55,-0.47
512.62,-0.44
517.75,-0.62
522.93,-0.67
528.16,-0.62
533.44,-0.57
538.77,-0.63
544.16,-0.82
549.60,-0.80
555.10,-0.80
560.65,-0.81
566.25,-0.84
571.92,-0.91
577.64,-0.99
583.41,-1.02
589.25,-0.99
595.14,-0.95
601.09,-1.14
607.10,-1.20
613.17,-1.18
619.30,-1.18
625.50,-1.17
631.75,-1.13
638.07,-1.25
644.45,-1.41
650.89,-1.40
657.40,-1.39
