frequency,raw
20.00,-2.27
20.20,-2.22
20.40,-2.16
20.61,-2.11
20.81,-2.05
21.02,-2.00
21.23,-1.99
21.44,-1.98
21.66,-1.96
21.87,-1.96
22.09,-1.95
22.31,-1.94
22.54,-1.93
22.76,-1.92
22.99,-1.92
23.22,-1.91
23.45,-1.91
23.69,-1.90
23.92,-1.90
24.16,-1.87
24.40,-1.81
24.65,-1.76
24.89,-1.71
25.14,-1.69
25.39,-1.70
25.65,-1.69
25.91,-1.70
26.16,-1.69
26.43,-1.69
26.69,-1.68
26.96,-1.67
27.23,-1.67
27.50,-1.67
27.77,-1.66
28.05,-1.64
28.33,-1.61
28.62,-1.58
28.90,-1.54
29.19,-1.54
29.48,-1.54
29.78,-1.54
30.08,-1.54
30.38,-1.54
30.68,-1.54
30.99,-1.54
31.30,-1.50
31.61,-1.46
31.93,-1.42
32.24,-1.40
32.57,-1.41
32.89,-1.42
33.22,-1.42
33.55,-1.42
33.89,-1.41
34.23,-1.41
34.57,-1.40
34.92,-1.39
35.27,-1.37
35.62,-1.34
35.97,-1.30
36.33,-1.30
36.70,-1.30
37.06,-1.30
37.43,-1.29
37.81,-1.29
38.19,-1.28
38.57,-1.27
38.95,-1.26
39.34,-1.26
39.74,-1.25
40.14,-1.24
40.54,-1.23
40.94,-1.23
41.35,-1.23
41.76,-1.23
42.18,-1.23
42.60,-1.23
43.03,-1.23
43.46,-1.23
43.90,-1.24
44.33,-1.21
44.78,-1.16
45.23,-1.14
45.68,-1.14
46.13,-1.13
46.60,-1.12
47.06,-1.10
47.53,-1.07
48.01,-1.03
48.49,-1.03
48.97,-1.02
49.46,-1.02
49.96,-1.02
50.46,-1.02
50.96,-1.03
51.47,-1.03
51.99,-1.03
52.51,-1.02
53.03,-1.02
53.56,-1.02
54.10,-1.02
54.64,-1.02
55.18,-1.02
55.74,-1.02
56.29,-1.02
56.86,-1.02
57.42,-1.02
58.00,-1.02
58.58,-1.02
59.16,-1.02
59.76,-1.02
60.35,-1.02
60.96,-1.03
61.57,-1.03
62.18,-1.03
62.80,-1.02
63.43,-1.02
64.07,-1.01
64.71,-1.01
65.35,-1.00
66.01,-1.00
66.67,-0.99
67.33,-0.99
68.01,-0.98
68.69,-0.98
69.37,-0.97
70.07,-0.97
70.77,-0.96
71.48,-0.96
72.19,-0.95
72.91,-0.95
73.64,-0.95
74.38,-0.95
75.12,-0.95
75.87,-0.94
76.63,-0.94
77.40,-0.94
78.17,-0.94
78.95,-0.94
79.74,-0.94
80.54,-0.94
81.35,-0.94
82.16,-0.94
82.98,-0.93
83.81,-0.93
84.65,-0.93
85.50,-0.92
86.35,-0.92
87.22,-0.91
88.09,-0.91
88.97,-0.90
89.86,-0.89
90.76,-0.89
91.66,-0.88
92.58,-0.87
93.51,-0.86
94.44,-0.85
95.39,-0.84
96.34,-0.83
97.30,-0.82
98.28,-0.82
99.26,-0.81
100.25,-0.81
101.25,-0.81
102.27,-0.80
103.29,-0.79
104.32,-0.79
105.37,-0.78
106.42,-0.79
107.48,-0.79
108.56,-0.80
109.64,-0.80
110.74,-0.81
111.85,-0.80
112.97,-0.80
114.10,-0.80
115.24,-0.79
116.39,-0.78
117.55,-0.78
118.73,-0.76
119.92,-0.75
121.12,-0.74
122.33,-0.73
123.55,-0.73
124.79,-0.72
126.03,-0.71
127.29,-0.71
128.57,-0.70
129.85,-0.70
131.15,-0.69
132.46,-0.69
133.79,-0.67
135.12,-0.67
136.48,-0.67
137.84,-0.65
139.22,-0.65
140.61,-0.64
142.02,-0.63
143.44,-0.62
144.87,-0.62
146.32,-0.61
147.78,-0.59
149.26,-0.58
150.75,-0.57
152.26,-0.56
153.78,-0.56
155.32,-0.55
156.88,-0.54
158.44,-0.54
160.03,-0.53
161.63,-0.52
163.24,-0.51
164.88,-0.51
166.53,-0.50
168.19,-0.49
169.87,-0.49
171.57,-0.54
173.29,-0.58
175.02,-0.58
176.77,-0.58
178.54,-0.58
180.32,-0.57
182.13,-0.57
183.95,-0.56
185.79,-0.53
187.65,-0.53
189.52,-0.51
191.42,-0.50
193.33,-0.49
195.27,-0.48
197.22,-0.49
199.19,-0.54
201.18,-0.55
203.19,-0.55
205.23,-0.54
207.28,-0.54
209.35,-0.54
211.44,-0.54
213.56,-0.54
215.69,-0.54
217.85,-0.54
220.03,-0.53
222.23,-0.53
224.45,-0.54
226.70,-0.53
228.96,-0.53
231.25,-0.53
233.57,-0.54
235.90,-0.62
238.26,-0.61
240.64,-0.61
243.05,-0.61
245.48,-0.60
247.93,-0.58
250.41,-0.57
252.92,-0.56
255.45,-0.56
258.00,-0.55
260.58,-0.55
263.19,-0.55
265.82,-0.54
268.48,-0.54
271.16,-0.53
273.87,-0.53
276.61,-0.53
279.38,-0.55
282.17,-0.66
284.99,-0.71
287.84,-0.70
290.72,-0.68
293.63,-0.67
296.57,-0.66
299.53,-0.66
302.53,-0.64
305.55,-0.62
308.61,-0.61
311.69,-0.61
314.81,-0.59
317.96,-0.64
321.14,-0.68
324.35,-0.68
327.59,-0.67
330.87,-0.67
334.18,-0.68
337.52,-0.68
340.90,-0.67
344.30,-0.67
347.75,-0.67
351.23,-0.66
354.74,-0.67
358.28,-0.73
361.87,-0.75
365.49,-0.74
369.14,-0.73
372.83,-0.73
376.56,-0.72
380.33,-0.73
384.13,-0.78
387.97,-0.78
391.85,-0.82
395.77,-0.85
399.73,-0.85
403.72,-0.84
407.76,-0.82
411.84,-0.81
415.96,-0.87
420.12,-0.90
424.32,-0.89
428.56,-0.88
432.85,-0.88
437.18,-0.87
441.55,-0.85
445.96,-0.84
450.42,-0.86
454.93,-0.90
459.48,-0.90
464.07,-0.88
468.71,-0.88
473.40,-0.86
478.13,-0.86
482.91,-0.85
487.74,-0.92
492.62,-0.94
497.55,-0.97
502.52,-1.01
507.55,-1.02
512.62,-0.99
517.75,-1.05
522.93,-1.07
528.16,-1.06
533.44,-1.04
538.77,-1.03
544.16,-1.03
549.60,-1.04
555.10,-1.09
560.65,-1.15
566.25,-1.16
571.92,-1.17
577.64,-1.16
