frequency,raw
20.00,-9.00
20.20,-8.91
20.40,-8.81
20.61,-8.72
20.81,-8.62
21.02,-8.54
21.23,-8.50
21.44,-8.47
21.66,-8.42
21.87,-8.39
22.09,-8.34
22.31,-8.26
22.54,-8.17
22.76,-8.09
22.99,-8.01
23.22,-7.93
23.45,-7.85
23.69,-7.77
23.92,-7.69
24.16,-7.65
24.40,-7.61
24.65,-7.57
24.89,-7.54
25.14,-7.50
25.39,-7.45
25.65,-7.40
25.91,-7.36
26.16,-7.29
26.43,-7.24
26.69,-7.17
26.96,-7.11
27.23,-7.05
27.50,-6.98
27.77,-6.91
28.05,-6.84
28.33,-6.79
28.62,-6.73
28.90,-6.67
29.19,-6.64
29.48,-6.62
29.78,-6.60
30.08,-6.56
30.38,-6.50
30.68,-6.43
30.99,-6.36
31.30,-6.33
31.61,-6.30
31.93,-6.27
32.24,-6.20
32.57,-6.14
32.89,-6.07
33.22,-6.03
33.55,-5.99
33.89,-5.95
34.23,-5.89
34.57,-5.83
34.92,-5.76
35.27,-5.74
35.62,-5.73
35.97,-5.72
36.33,-5.69
36.70,-5.66
37.06,-5.62
37.43,-5.53
37.81,-5.46
38.19,-5.41
38.57,-5.40
38.95,-5.39
39.34,-5.33
39.74,-5.25
40.14,-5.18
40.54,-5.11
40.94,-5.06
41.35,-5.01
41.76,-4.97
42.18,-4.95
42.60,-4.95
43.03,-4.95
43.46,-4.89
43.90,-4.85
44.33,-4.78
44.78,-4.71
45.23,-4.67
45.68,-4.66
46.13,-4.65
46.60,-4.60
47.06,-4.56
47.53,-4.56
48.01,-4.55
48.49,-4.45
48.97,-4.35
49.46,-4.34
49.96,-4.34
50.46,-4.34
50.96,-4.35
51.47,-4.30
51.99,-4.24
52.51,-4.24
53.03,-4.24
53.56,-4.12
54.10,-4.02
54.64,-4.03
55.18,-4.04
55.74,-4.04
56.29,-4.00
56.86,-3.92
57.42,-3.93
58.00,-3.98
58.58,-3.93
59.16,-3.86
59.76,-3.75
60.35,-3.71
60.96,-3.75
61.57,-3.75
62.18,-3.75
62.80,-3.74
63.43,-3.67
64.07,-3.57
64.71,-3.61
65.35,-3.64
66.01,-3.68
66.67,-3.46
67.33,-3.37
68.01,-3.39
68.69,-3.39
69.37,-3.38
70.07,-3.38
70.77,-3.37
71.48,-3.30
72.19,-3.21
72.91,-3.23
73.64,-3.28
74.38,-3.31
75.12,-3.28
75.87,-3.17
76.63,-3.04
77.40,-3.00
78.17,-3.05
78.95,-3.05
79.74,-3.05
80.54,-3.03
81.35,-2.96
82.16,-2.87
82.98,-2.94
83.81,-3.02
84.65,-2.97
85.50,-2.88
86.35,-2.83
87.22,-2.78
88.09,-2.63
88.97,-2.67
89.86,-2.69
90.76,-2.70
91.66,-2.68
92.58,-2.67
93.51,-2.66
94.44,-2.61
95.39,-2.54
96.34,-2.51
97.30,-2.42
98.28,-2.42
99.26,-2.42
100.25,-2.41
101.25,-2.41
102.27,-2.37
103.29,-2.26
104.32,-2.23
105.37,-2.36
106.42,-2.36
107.48,-2.25
108.56,-2.20
109.64,-2.20
110.74,-2.21
111.85,-2.21
112.97,-2.21
114.10,-2.02
115.24,-2.02
116.39,-2.14
117.55,-2.20
118.73,-2.04
119.92,-1.96
121.12,-1.93
122.33,-1.79
123.55,-1.74
124.79,-1.81
126.03,-1.81
127.29,-1.81
128.57,-1.81
129.85,-1.85
131.15,-1.90
132.46,-1.75
133.79,-1.62
135.12,-1.46
136.48,-1.53
137.84,-1.56
139.22,-1.56
140.61,-1.54
142.02,-1.62
143.44,-1.63
144.87,-1.51
146.32,-1.29
147.78,-1.17
149.26,-1.24
150.75,-1.27
152.26,-1.26
153.78,-1.32
155.32,-1.31
156.88,-1.17
158.44,-1.03
160.03,-0.91
161.63,-0.99
163.24,-1.01
164.88,-1.01
166.53,-1.04
168.19,-1.09
169.87,-1.01
171.57,-0.91
173.29,-0.74
175.02,-0.66
176.77,-0.76
178.54,-0.86
180.32,-0.89
182.13,-0.76
183.95,-0.66
185.79,-0.63
187.65,-0.50
189.52,-0.46
191.42,-0.57
193.33,-0.55
195.27,-0.43
197.22,-0.37
199.19,-0.35
201.18,-0.31
203.19,-0.26
205.23,-0.18
207.28,-0.14
209.35,-0.13
211.44,-0.13
213.56,-0.14
215.69,-0.13
217.85,-0.07
220.03,-0.04
222.23,0.03
224.45,0.07
226.70,0.07
228.96,0.07
231.25,0.07
233.57,0.06
235.90,0.17
238.26,0.32
240.64,0.31
243.05,0.24
245.48,0.21
247.93,0.42
250.41,0.60
252.92,0.65
255.45,0.57
258.00,0.49
260.58,0.46
263.19,0.61
265.82,0.67
268.48,0.67
271.16,0.82
273.87,0.82
276.61,0.70
279.38,0.78
282.17,0.87
284.99,0.90
287.84,0.91
290.72,0.97
293.63,1.03
296.57,1.13
299.53,1.16
302.53,1.17
305.55,1.19
308.61,1.22
311.69,1.30
314.81,1.38
317.96,1.42
321.14,1.42
324.35,1.43
327.59,1.44
330.87,1.44
334.18,1.44
337.52,1.51
340.90,1.57
344.30,1.63
347.75,1.64
351.23,1.66
354.74,1.66
358.28,1.66
361.87,1.67
365.49,1.75
369.14,1.86
372.83,1.75
376.56,1.70
380.33,1.88
384.13,1.92
387.97,1.94
391.85,1.95
395.77,1.96
399.73,1.97
403.72,1.98
407.76,2.00
411.84,2.00
415.96,2.01
420.12,2.02
424.32,2.03
428.56,2.04
432.85,2.04
437.18,2.05
441.55,2.06
445.96,2.08
450.42,2.02
454.93,1.93
459.48,1.99
464.07,2.04
468.71,1.99
473.40,1.84
478.13,1.77
482.91,1.72
487.74,1.46
492.62,1.43
497.55,1.62
502.52,1.68
507.55,1.69
512.62,1.72
517.75,1.73
522.93,1.69
528.16,1.65
533.44,1.59
538.77,1.43
544.16,1.30
549.60,1.44
555.10,1.34
560.65,1.18
566.25,1.38
571.92,1.55
577.64,1.20
583.41,1.06
589.25,1.32
595.14,1.51
601.09,1.20
607.10,1.10
613.17,1.18
619.30,1.33
625.50,1.30
631.75,0.95
638.07,0.97
644.45,1.06
650.89,0.92
657.40,0.72
663.98,0.62
670.62,0.75
677.32,0.80
684.10,0.82
690.94,0.72
697.85,0.57
704.83,0.56
711.87,0.56
718.99,0.52
726.18,0.43
733.44,0.33
740.78,0.25
748.19,0.22
755.67,0.18
763.23,0.14
770.86,0.25
778.57,0.01
786.35,-0.24
794.22,-0.09
802.16,-0.07
810.18,-0.19
818.28,-0.20
826.46,-0.27
834.73,-0.33
843.08,-0.47
851.51,-0.64
860.02,-0.76
868.62,-0.87
877.31,-1.05
886.08,-1.07
894.94,-1.11
903.89,-1.18
912.93,-1.21
922.06,-1.24
931.28,-1.28
940.59,-1.24
950.00,-1.19
959.50,-1.18
969.09,-1.20
978.78,-1.15
988.57,-1.08
998.46,-1.07
1008.44,-1.06
1018.53,-0.94
1028.71,-0.89
1039.00,-0.86
1049.39,-0.72
1059.88,-0.63
1070.48,-0.59
1081.19,-0.53
1092.00,-0.45
1102.92,-0.38
1113.95,-0.28
1125.09,-0.19
1136.34,-0.09
1147.70,-0.05
1159.18,-0.00
1170.77,-0.02
1182.48,0.06
1194.30,0.21
1206.25,0.29
1218.31,0.39
1230.49,0.47
1242.80,0.56
1255.22,0.64
1267.78,0.68
1280.45,0.75
1293.26,0.77
1306.19,0.76
1319.25,0.85
1332.45,0.95
1345.77,1.01
1359.23,1.08
1372.82,1.10
1386.55,1.11
1400.41,1.16
1414.42,1.15
1428.56,1.10
1442.85,1.06
1457.28,1.04
1471.85,1.08
1486.57,1.14
1501.43,1.14
1516.45,1.12
1531.61,1.14
1546.93,1.00
1562.40,0.96
1578.02,1.05
1593.80,1.02
1609.74,0.98
1625.84,0.95
1642.10,0.93
1658.52,0.89
1675.10,0.87
1691.85,0.87
1708.77,0.82
1725.86,0.77
1743.12,0.70
1760.55,0.68
1778.15,0.67
1795.94,0.68
1813.90,0.68
1832.03,0.67
1850.36,0.65
1868.86,0.61
1887.55,0.55
1906.42,0.51
1925.49,0.48
1944.74,0.46
1964.19,0.47
1983.83,0.47
2003.67,0.43
2023.71,0.42
2043.94,0.40
2064.38,0.37
2085.03,0.34
2105.88,0.36
2126.94,0.40
2148.20,0.40
2169.69,0.39
2191.38,0.39
2213.30,0.40
2235.43,0.41
2257.78,0.46
2280.36,0.52
2303.17,0.55
2326.20,0.53
2349.46,0.58
2372.95,0.64
2396.68,0.71
2420.65,0.70
2444.86,0.71
2469.31,0.71
2494.00,0.72
2518.94,0.74
2544.13,0.77
2569.57,0.78
2595.27,0.80
2621.22,0.83
2647.43,0.87
2673.90,0.91
2700.64,0.93
2727.65,0.96
2754.93,0.97
2782.48,1.00
2810.30,1.02
2838.40,1.04
2866.79,1.00
2895.46,0.95
2924.41,0.91
2953.65,0.94
2983.19,0.96
3013.02,0.89
3043.15,0.93
3073.58,1.04
3104.32,1.08
3135.36,1.12
3166.72,1.16
3198.38,1.21
3230.37,1.18
3262.67,1.18
3295.30,1.21
3328.25,1.17
3361.53,1.15
3395.15,1.17
3429.10,1.20
3463.39,1.24
3498.03,1.36
3533.01,1.49
3568.34,1.54
3604.02,1.58
3640.06,1.60
3676.46,1.62
3713.22,1.70
3750.36,1.66
3787.86,1.59
3825.74,1.55
3864.00,1.58
3902.64,1.64
3941.66,1.77
3981.08,1.98
4020.89,2.16
4061.10,2.30
4101.71,2.44
4142.73,2.59
4184.15,2.65
4226.00,2.75
4268.26,2.90
4310.94,3.07
4354.05,3.22
4397.59,3.42
4441.56,3.59
4485.98,3.84
4530.84,4.23
4576.15,4.51
4621.91,4.80
4668.13,5.18
4714.81,5.44
4761.96,5.65
4809.58,5.77
4857.67,6.04
4906.25,6.23
4955.31,6.73
5004.87,7.10
5054.91,7.26
5105.46,7.25
5156.52,7.02
5208.08,6.73
5260.16,6.47
5312.77,6.08
5365.89,5.41
5419.55,5.29
5473.75,5.16
5528.49,5.19
5583.77,4.99
5639.61,4.30
5696.00,3.64
5752.96,3.07
5810.49,2.61
5868.60,2.21
5927.28,1.44
5986.56,1.05
6046.42,1.12
6106.89,0.25
6167.96,-0.34
6229.64,-0.54
6291.93,-0.44
6354.85,-0.32
6418.40,-0.52
6482.58,-0.98
6547.41,-1.59
6612.88,-2.24
6679.01,-2.70
6745.80,-3.30
6813.26,-3.83
6881.39,-4.30
6950.21,-4.71
7019.71,-5.09
7089.91,-5.19
7160.81,-5.33
7232.41,-5.57
