frequency,raw
20.00,9.27
20.20,9.30
20.40,9.34
20.61,9.37
20.81,9.41
21.02,9.44
21.23,9.47
21.44,9.50
21.66,9.55
21.87,9.57
22.09,9.59
22.31,9.59
22.54,9.59
22.76,9.60
22.99,9.59
23.22,9.63
23.45,9.66
23.69,9.69
23.92,9.72
24.16,9.73
24.40,9.74
24.65,9.75
24.89,9.76
25.14,9.78
25.39,9.83
25.65,9.88
25.91,9.92
26.16,9.95
26.43,9.95
26.69,9.96
26.96,9.97
27.23,9.97
27.50,9.97
27.77,9.97
28.05,9.99
28.33,10.02
28.62,10.05
28.90,10.10
29.19,10.10
29.48,10.10
29.78,10.10
30.08,10.10
30.38,10.10
30.68,10.10
30.99,10.10
31.30,10.10
31.61,10.10
31.93,10.10
32.24,10.13
32.57,10.17
32.89,10.20
33.22,10.21
33.55,10.21
33.89,10.22
34.23,10.22
34.57,10.22
34.92,10.22
35.27,10.22
35.62,10.22
35.97,10.23
36.33,10.23
36.70,10.23
37.06,10.23
37.43,10.26
37.81,10.28
38.19,10.31
38.57,10.34
38.95,10.37
39.34,10.37
39.74,10.38
40.14,10.39
40.54,10.40
40.94,10.40
41.35,10.40
41.76,10.40
42.18,10.40
42.60,10.40
43.03,10.40
43.46,10.40
43.90,10.39
44.33,10.39
44.78,10.39
45.23,10.39
45.68,10.39
46.13,10.39
46.60,10.39
47.06,10.39
47.53,10.39
48.01,10.40
48.49,10.40
48.97,10.41
49.46,10.41
49.96,10.41
50.46,10.41
50.96,10.40
51.47,10.40
51.99,10.40
52.51,10.41
53.03,10.41
53.56,10.41
54.10,10.41
54.64,10.41
55.18,10.41
55.74,10.41
56.29,10.41
56.86,10.41
57.42,10.41
58.00,10.41
58.58,10.41
59.16,10.39
59.76,10.33
60.35,10.31
60.96,10.30
61.57,10.30
62.18,10.30
62.80,10.31
63.43,10.31
64.07,10.32
64.71,10.32
65.35,10.33
66.01,10.33
66.67,10.34
67.33,10.31
68.01,10.25
68.69,10.25
69.37,10.26
70.07,10.26
70.77,10.27
71.48,10.27
72.19,10.28
72.91,10.28
73.64,10.28
74.38,10.25
75.12,10.19
75.87,10.18
76.63,10.19
77.40,10.19
78.17,10.19
78.95,10.19
79.74,10.19
80.54,10.19
81.35,10.18
82.16,10.15
82.98,10.10
83.81,10.02
84.65,10.00
85.50,10.01
86.35,10.01
87.22,10.02
88.09,10.00
88.97,9.89
89.86,9.93
90.76,9.94
91.66,9.96
92.58,9.97
93.51,9.98
94.44,9.96
95.39,9.89
96.34,9.86
97.30,9.91
98.28,9.92
99.26,9.92
100.25,9.91
101.25,9.85
102.27,9.77
103.29,9.81
104.32,9.80
105.37,9.75
106.42,9.74
107.48,9.68
108.56,9.58
109.64,9.60
110.74,9.62
111.85,9.63
112.97,9.63
114.10,9.62
115.24,9.50
116.39,9.52
117.55,9.54
118.73,9.57
119.92,9.65
121.12,9.56
122.33,9.42
123.55,9.37
124.79,9.40
126.03,9.42
127.29,9.28
128.57,9.22
129.85,9.30
131.15,9.33
132.46,9.29
133.79,9.26
135.12,9.21
136.48,9.17
137.84,9.17
139.22,9.10
140.61,8.99
142.02,8.99
143.44,9.08
144.87,9.11
146.32,9.05
147.78,9.01
149.26,8.97
150.75,8.95
152.26,8.80
153.78,8.72
155.32,8.82
156.88,8.89
158.44,8.89
160.03,8.87
161.63,8.81
163.24,8.75
164.88,8.66
166.53,8.49
168.19,8.62
169.87,8.80
171.57,8.62
173.29,8.37
175.02,8.31
176.77,8.43
178.54,8.21
180.32,8.21
182.13,8.32
183.95,8.49
185.79,8.35
187.65,8.07
189.52,8.16
191.42,8.05
193.33,7.96
195.27,8.17
197.22,8.26
199.19,7.94
201.18,7.76
203.19,7.86
205.23,7.89
207.28,7.82
209.35,7.79
211.44,7.73
213.56,7.49
215.69,7.52
217.85,7.86
220.03,7.53
222.23,7.35
224.45,7.44
226.70,7.42
228.96,7.38
231.25,7.30
233.57,7.21
235.90,6.94
238.26,7.01
240.64,7.13
243.05,7.12
245.48,7.05
247.93,6.96
250.41,6.80
252.92,7.10
255.45,6.91
258.00,6.61
260.58,6.60
263.19,6.72
265.82,6.70
268.48,6.63
271.16,6.58
273.87,6.30
276.61,6.46
279.38,6.63
282.17,6.23
284.99,6.21
287.84,6.38
290.72,6.25
293.63,6.14
296.57,6.11
299.53,6.06
302.53,5.99
305.55,5.87
308.61,5.54
311.69,5.55
314.81,5.82
317.96,5.81
321.14,5.71
324.35,5.65
327.59,5.60
330.87,5.51
334.18,5.20
337.52,5.35
340.90,5.37
344.30,5.06
347.75,5.05
351.23,5.19
354.74,5.10
358.28,4.83
361.87,4.85
365.49,5.05
369.14,4.57
372.83,4.52
376.56,4.61
380.33,4.62
384.13,4.59
387.97,4.54
391.85,4.48
395.77,4.38
399.73,4.05
403.72,3.95
407.76,4.20
411.84,4.26
415.96,4.14
420.12,3.91
424.32,3.57
428.56,3.89
432.85,4.17
437.18,3.65
441.55,3.65
445.96,3.82
450.42,3.35
454.93,3.32
459.48,3.43
464.07,3.43
468.71,3.40
473.40,3.35
478.13,3.28
482.91,3.18
487.74,3.10
492.62,2.97
497.55,2.84
502.52,3.20
507.55,2.86
512.62,2.39
517.75,2.55
522.93,2.76
528.16,2.66
533.44,2.59
538.77,2.55
544.16,2.22
549.60,2.17
555.10,2.27
560.65,2.01
566.25,2.37
571.92,2.53
577.64,2.12
583.41,1.64
589.25,1.72
595.14,1.75
601.09,1.71
607.10,1.67
613.17,1.59
619.30,1.53
625.50,1.48
631.75,1.40
638.07,1.34
644.45,1.27
650.89,1.20
657.40,1.14
663.98,1.07
670.62,1.26
677.32,1.38
684.10,0.88
690.94,0.83
697.85,0.85
704.83,0.86
711.87,1.09
718.99,0.70
726.18,0.28
733.44,0.57
740.78,0.58
748.19,0.37
755.67,0.55
763.23,0.44
770.86,0.16
778.57,0.30
786.35,0.28
794.22,-0.03
802.16,-0.39
810.18,-0.55
818.28,-0.17
826.46,-0.01
834.73,-0.59
843.08,-0.82
851.51,-0.38
860.02,-0.18
868.62,-0.44
877.31,-0.63
886.08,-0.60
894.94,-0.44
903.89,-0.61
912.93,-0.81
922.06,-0.87
931.28,-0.89
940.59,-0.90
950.00,-0.71
959.50,-0.74
969.09,-0.98
978.78,-1.18
988.57,-1.19
998.46,-1.09
1008.44,-1.15
1018.53,-1.03
1028.71,-0.89
1039.00,-1.23
1049.39,-1.46
1059.88,-1.27
1070.48,-1.14
1081.19,-1.26
1092.00,-1.20
1102.92,-0.73
1113.95,-0.70
1125.09,-0.63
1136.34,-0.50
1147.70,-0.71
1159.18,-0.48
1170.77,-0.38
1182.48,-0.48
1194.30,-0.47
1206.25,-0.39
1218.31,-0.37
1230.49,-0.45
1242.80,-0.49
1255.22,-0.48
1267.78,-0.41
1280.45,-0.32
1293.26,-0.37
1306.19,-0.48
1319.25,-0.53
1332.45,-0.48
1345.77,-0.45
1359.23,-0.51
1372.82,-0.57
1386.55,-0.58
1400.41,-0.66
1414.42,-0.75
1428.56,-0.82
1442.85,-0.94
1457.28,-1.00
1471.85,-0.96
1486.57,-0.93
1501.43,-0.82
1516.45,-0.59
1531.61,-0.40
1546.93,-0.24
1562.40,-0.08
1578.02,0.01
1593.80,0.34
1609.74,0.74
1625.84,0.92
1642.10,1.05
1658.52,1.48
1675.10,1.76
1691.85,1.96
1708.77,2.09
1725.86,2.38
1743.12,2.73
1760.55,2.85
1778.15,3.01
1795.94,3.21
1813.90,3.24
1832.03,3.15
1850.36,3.17
1868.86,3.49
1887.55,3.59
1906.42,3.57
1925.49,3.75
1944.74,3.57
1964.19,3.54
1983.83,3.80
2003.67,3.80
2023.71,3.84
2043.94,3.95
2064.38,4.06
2085.03,4.04
2105.88,3.97
2126.94,4.05
2148.20,4.19
2169.69,4.26
2191.38,4.45
2213.30,4.62
2235.43,4.63
2257.78,4.73
2280.36,4.85
2303.17,4.92
2326.20,5.00
2349.46,5.07
2372.95,5.18
