frequency,raw
20.00,13.32
20.20,13.35
20.40,13.39
20.61,13.42
20.81,13.46
21.02,13.49
21.23,13.50
21.44,13.51
21.66,13.53
21.87,13.53
22.09,13.54
22.31,13.55
22.54,13.56
22.76,13.57
22.99,13.57
23.22,13.58
23.45,13.58
23.69,13.58
23.92,13.58
24.16,13.56
24.40,13.54
24.65,13.51
24.89,13.49
25.14,13.48
25.39,13.48
25.65,13.49
25.91,13.49
26.16,13.50
26.43,13.50
26.69,13.51
26.96,13.52
27.23,13.52
27.50,13.53
27.77,13.54
28.05,13.55
28.33,13.55
28.62,13.55
28.90,13.56
29.19,13.53
29.48,13.50
29.78,13.47
30.08,13.45
30.38,13.45
30.68,13.45
30.99,13.45
31.30,13.45
31.61,13.45
31.93,13.45
32.24,13.46
32.57,13.46
32.89,13.46
33.22,13.44
33.55,13.40
33.89,13.38
34.23,13.37
34.57,13.37
34.92,13.37
35.27,13.37
35.62,13.37
35.97,13.38
36.33,13.38
36.70,13.38
37.06,13.37
37.43,13.35
37.81,13.31
38.19,13.30
38.57,13.31
38.95,13.32
39.34,13.32
39.74,13.32
40.14,13.32
40.54,13.29
40.94,13.26
41.35,13.21
41.76,13.17
42.18,13.15
42.60,13.15
43.03,13.15
43.46,13.15
43.90,13.14
44.33,13.14
44.78,13.14
45.23,13.12
45.68,13.07
46.13,13.03
46.60,12.98
47.06,12.94
47.53,12.94
48.01,12.95
48.49,12.89
48.97,12.84
49.46,12.85
49.96,12.86
50.46,12.87
50.96,12.87
51.47,12.81
51.99,12.75
52.51,12.70
53.03,12.64
53.56,12.65
54.10,12.66
54.64,12.66
55.18,12.64
55.74,12.59
56.29,12.53
56.86,12.47
57.42,12.45
58.00,12.45
58.58,12.45
59.16,12.43
59.76,12.37
60.35,12.33
60.96,12.31
61.57,12.22
62.18,12.15
62.80,12.14
63.43,12.14
64.07,12.16
64.71,12.17
65.35,12.16
66.01,12.13
66.67,12.01
67.33,11.96
68.01,11.99
68.69,11.93
69.37,11.89
70.07,11.83
70.77,11.82
71.48,11.81
72.19,11.79
72.91,11.68
73.64,11.74
74.38,11.72
75.12,11.60
75.87,11.49
76.63,11.50
77.40,11.53
78.17,11.57
78.95,11.55
79.74,11.34
80.54,11.29
81.35,11.31
82.16,11.33
82.98,11.34
83.81,11.26
84.65,11.21
85.50,11.18
86.35,11.11
87.22,11.05
88.09,11.00
88.97,10.97
89.86,10.98
90.76,10.96
91.66,10.91
92.58,10.85
93.51,10.78
94.44,10.72
95.39,10.73
96.34,10.76
97.30,10.66
98.28,10.61
99.26,10.52
100.25,10.54
101.25,10.42
102.27,10.30
103.29,10.35
104.32,10.41
105.37,10.38
106.42,10.18
107.48,10.14
108.56,10.14
109.64,10.08
110.74,10.00
111.85,9.95
112.97,9.86
114.10,9.82
115.24,9.77
116.39,9.76
117.55,9.71
118.73,9.66
119.92,9.60
121.12,9.56
122.33,9.50
123.55,9.44
124.79,9.33
126.03,9.25
127.29,9.37
128.57,9.35
