frequency,raw
20.00,-1.38
20.20,-1.34
20.40,-1.30
20.61,-1.26
20.81,-1.21
21.02,-1.18
21.23,-1.15
21.44,-1.12
21.66,-1.07
21.87,-1.05
22.09,-1.03
22.31,-1.02
22.54,-1.01
22.76,-1.00
22.99,-1.00
23.22,-0.98
23.45,-0.98
23.69,-0.97
23.92,-0.96
24.16,-0.95
24.40,-0.94
24.65,-0.92
24.89,-0.91
25.14,-0.90
25.39,-0.90
25.65,-0.89
25.91,-0.89
26.16,-0.86
26.43,-0.84
26.69,-0.80
26.96,-0.76
27.23,-0.76
27.50,-0.75
27.77,-0.74
28.05,-0.73
28.33,-0.73
28.62,-0.73
28.90,-0.72
29.19,-0.73
29.48,-0.73
29.78,-0.73
30.08,-0.72
30.38,-0.70
30.68,-0.67
30.99,-0.64
31.30,-0.64
31.61,-0.63
31.93,-0.63
32.24,-0.62
32.57,-0.62
32.89,-0.62
33.22,-0.62
33.55,-0.62
33.89,-0.61
34.23,-0.61
34.57,-0.61
34.92,-0.61
35.27,-0.61
35.62,-0.61
35.97,-0.60
36.33,-0.60
36.70,-0.60
37.06,-0.60
37.43,-0.59
37.81,-0.59
38.19,-0.58
38.57,-0.57
38.95,-0.56
39.34,-0.56
39.74,-0.55
40.14,-0.54
40.54,-0.53
40.94,-0.53
41.35,-0.53
41.76,-0.53
42.18,-0.53
42.60,-0.53
43.03,-0.53
43.46,-0.53
43.90,-0.54
44.33,-0.54
44.78,-0.54
45.23,-0.54
45.68,-0.54
46.13,-0.54
46.60,-0.54
47.06,-0.54
47.53,-0.54
48.01,-0.53
48.49,-0.53
48.97,-0.52
49.46,-0.52
49.96,-0.52
50.46,-0.52
50.96,-0.53
51.47,-0.53
51.99,-0.53
52.51,-0.52
53.03,-0.52
53.56,-0.52
54.10,-0.52
54.64,-0.52
55.18,-0.52
55.74,-0.52
56.29,-0.52
56.86,-0.52
57.42,-0.52
58.00,-0.52
58.58,-0.52
59.16,-0.52
59.76,-0.52
60.35,-0.57
60.96,-0.66
61.57,-0.65
62.18,-0.63
62.80,-0.62
63.43,-0.62
64.07,-0.61
64.71,-0.61
65.35,-0.60
66.01,-0.60
66.67,-0.59
67.33,-0.59
68.01,-0.58
68.69,-0.56
69.37,-0.56
70.07,-0.60
70.77,-0.64
71.48,-0.66
72.19,-0.65
72.91,-0.65
73.64,-0.65
74.38,-0.65
75.12,-0.65
75.87,-0.64
76.63,-0.64
77.40,-0.68
78.17,-0.74
78.95,-0.76
79.74,-0.74
80.54,-0.73
81.35,-0.73
82.16,-0.73
82.98,-0.72
83.81,-0.72
84.65,-0.72
85.50,-0.70
86.35,-0.69
87.22,-0.72
88.09,-0.80
88.97,-0.79
89.86,-0.77
90.76,-0.77
91.66,-0.76
92.58,-0.82
93.51,-0.87
94.44,-0.85
95.39,-0.82
96.34,-0.81
97.30,-0.80
98.28,-0.80
99.26,-0.78
100.25,-0.75
101.25,-0.77
102.27,-0.86
103.29,-0.86
104.32,-0.87
105.37,-0.86
106.42,-0.86
107.48,-0.91
108.56,-0.98
109.64,-0.99
110.74,-0.99
111.85,-0.98
112.97,-0.98
114.10,-0.95
115.24,-0.95
116.39,-1.01
117.55,-1.05
118.73,-1.03
119.92,-1.02
121.12,-1.01
122.33,-1.04
123.55,-1.10
124.79,-1.12
126.03,-1.07
127.29,-1.07
128.57,-1.05
129.85,-1.03
131.15,-1.11
132.46,-1.14
133.79,-1.13
135.12,-1.13
136.48,-1.13
137.84,-1.11
139.22,-1.11
140.61,-1.10
142.02,-1.17
143.44,-1.20
144.87,-1.16
146.32,-1.15
147.78,-1.20
149.26,-1.22
150.75,-1.22
152.26,-1.21
153.78,-1.21
155.32,-1.20
156.88,-1.19
158.44,-1.19
160.03,-1.25
161.63,-1.26
163.24,-1.25
164.88,-1.31
166.53,-1.33
168.19,-1.34
169.87,-1.34
171.57,-1.33
173.29,-1.33
175.02,-1.33
176.77,-1.33
178.54,-1.32
180.32,-1.31
182.13,-1.35
183.95,-1.40
185.79,-1.47
187.65,-1.47
189.52,-1.45
191.42,-1.44
193.33,-1.42
195.27,-1.42
197.22,-1.40
199.19,-1.39
201.18,-1.38
203.19,-1.38
205.23,-1.44
207.28,-1.47
209.35,-1.47
211.44,-1.48
213.56,-1.57
215.69,-1.58
217.85,-1.57
220.03,-1.56
222.23,-1.55
224.45,-1.55
226.70,-1.64
228.96,-1.65
231.25,-1.66
233.57,-1.65
235.90,-1.64
238.26,-1.63
240.64,-1.63
243.05,-1.63
245.48,-1.62
247.93,-1.65
250.41,-1.69
252.92,-1.77
255.45,-1.77
258.00,-1.77
260.58,-1.76
263.19,-1.76
265.82,-1.75
268.48,-1.75
271.16,-1.75
273.87,-1.74
276.61,-1.76
279.38,-1.82
282.17,-1.83
284.99,-1.82
287.84,-1.81
290.72,-1.81
293.63,-1.86
296.57,-1.87
299.53,-1.86
302.53,-1.88
305.55,-1.91
308.61,-1.91
311.69,-1.91
314.81,-1.89
317.96,-1.89
321.14,-1.89
324.35,-1.88
327.59,-1.87
330.87,-1.92
334.18,-1.96
337.52,-1.97
340.90,-1.97
344.30,-1.97
347.75,-1.97
351.23,-1.95
354.74,-1.95
358.28,-1.97
361.87,-2.02
365.49,-2.08
369.14,-2.11
372.83,-2.11
376.56,-2.10
380.33,-2.09
384.13,-2.08
387.97,-2.07
391.85,-2.07
395.77,-2.12
399.73,-2.13
403.72,-2.12
407.76,-2.10
411.84,-2.10
415.96,-2.09
420.12,-2.15
424.32,-2.17
428.56,-2.16
432.85,-2.16
437.18,-2.15
441.55,-2.13
445.96,-2.12
450.42,-2.12
454.93,-2.17
459.48,-2.17
464.07,-2.15
468.71,-2.18
473.40,-2.22
478.13,-2.22
482.91,-2.27
487.74,-2.30
492.62,-2.31
497.55,-2.30
502.52,-2.30
507.55,-2.29
512.62,-2.26
517.75,-2.26
522.93,-2.30
528.16,-2.32
533.44,-2.25
538.77,-2.19
544.16,-2.18
549.60,-2.20
555.10,-2.21
560.65,-2.21
566.25,-2.22
571.92,-2.23
577.64,-2.23
583.41,-2.23
589.25,-2.22
595.14,-2.21
601.09,-2.19
607.10,-2.18
613.17,-2.18
619.30,-2.18
625.50,-2.19
631.75,-2.20
638.07,-2.10
644.45,-2.10
650.89,-2.10
657.40,-2.10
663.98,-2.10
670.62,-2.10
677.32,-2.09
684.10,-2.08
690.94,-2.09
697.85,-2.09
704.83,-2.10
711.87,-2.12
718.99,-2.06
726.18,-2.06
733.44,-2.04
740.78,-2.05
748.19,-2.07
755.67,-2.10
763.23,-2.06
770.86,-2.07
778.57,-2.11
786.35,-2.07
794.22,-2.00
802.16,-1.99
810.18,-1.94
818.28,-1.95
826.46,-1.98
834.73,-1.91
843.08,-1.87
851.51,-1.89
860.02,-1.86
868.62,-1.81
877.31,-1.82
886.08,-1.75
894.94,-1.73
903.89,-1.68
912.93,-1.65
922.06,-1.61
931.28,-1.58
940.59,-1.47
950.00,-1.43
959.50,-1.35
969.09,-1.28
978.78,-1.25
988.57,-1.20
998.46,-1.09
1008.44,-0.98
1018.53,-0.82
1028.71,-0.73
1039.00,-0.60
1049.39,-0.49
1059.88,-0.42
1070.48,-0.37
1081.19,-0.17
1092.00,-0.03
1102.92,0.04
1113.95,0.14
1125.09,0.30
1136.34,0.43
1147.70,0.59
1159.18,0.69
1170.77,0.79
1182.48,0.91
1194.30,1.03
1206.25,1.17
1218.31,1.32
1230.49,1.48
1242.80,1.62
1255.22,1.72
1267.78,1.84
1280.45,1.91
1293.26,2.02
1306.19,2.11
1319.25,2.25
1332.45,2.39
1345.77,2.41
1359.23,2.51
1372.82,2.61
1386.55,2.70
1400.41,2.81
1414.42,2.84
1428.56,2.93
1442.85,3.06
1457.28,3.20
1471.85,3.32
1486.57,3.30
1501.43,3.34
1516.45,3.41
1531.61,3.46
1546.93,3.52
1562.40,3.66
1578.02,3.71
1593.80,3.69
1609.74,3.73
1625.84,3.86
1642.10,3.92
1658.52,4.03
1675.10,4.08
1691.85,4.19
1708.77,4.26
1725.86,4.31
1743.12,4.38
1760.55,4.46
1778.15,4.53
1795.94,4.61
1813.90,4.70
1832.03,4.74
1850.36,4.79
1868.86,4.91
1887.55,5.04
1906.42,5.14
1925.49,5.19
1944.74,5.25
1964.19,5.33
1983.83,5.44
2003.67,5.55
2023.71,5.67
2043.94,5.79
2064.38,5.93
2085.03,6.05
2105.88,6.08
2126.94,6.17
2148.20,6.30
2169.69,6.36
2191.38,6.49
2213.30,6.58
2235.43,6.68
2257.78,6.77
2280.36,6.86
2303.17,6.95
2326.20,7.07
2349.46,7.09
2372.95,7.15
2396.68,7.23
2420.65,7.30
2444.86,7.34
2469.31,7.36
2494.00,7.34
2518.94,7.39
2544.13,7.40
2569.57,7.43
2595.27,7.47
2621.22,7.58
2647.43,7.65
2673.90,7.66
2700.64,7.69
2727.65,7.62
2754.93,7.56
2782.48,7.58
2810.30,7.54
2838.40,7.46
2866.79,7.43
2895.46,7.45
2924.41,7.29
2953.65,7.15
2983.19,7.09
3013.02,7.09
3043.15,7.06
3073.58,7.03
3104.32,6.97
3135.36,6.84
3166.72,6.72
3198.38,6.66
3230.37,6.58
3262.67,6.44
3295.30,6.27
3328.25,6.10
3361.53,5.98
3395.15,5.87
3429.10,5.81
3463.39,5.72
3498.03,5.60
3533.01,5.58
3568.34,5.55
3604.02,5.55
3640.06,5.49
3676.46,5.34
3713.22,5.23
3750.36,5.10
3787.86,4.98
3825.74,4.75
3864.00,4.57
3902.64,4.44
3941.66,4.35
3981.08,4.27
4020.89,4.22
4061.10,4.17
4101.71,4.11
4142.73,4.02
4184.15,3.89
4226.00,3.75
4268.26,3.68
4310.94,3.62
4354.05,3.49
4397.59,3.37
4441.56,3.31
4485.98,3.27
4530.84,3.14
4576.15,3.00
4621.91,2.89
4668.13,2.79
4714.81,2.64
4761.96,2.48
4809.58,2.35
4857.67,2.27
4906.25,2.16
4955.31,2.03
5004.87,1.96
5054.91,1.89
5105.46,1.74
5156.52,1.65
5208.08,1.61
5260.16,1.52
5312.77,1.49
5365.89,1.47
5419.55,1.47
5473.75,1.45
5528.49,1.38
5583.77,1.32
5639.61,1.26
5696.00,1.19
5752.96,1.08
5810.49,0.89
5868.60,0.78
5927.28,0.75
5986.56,0.69
6046.42,0.61
6106.89,0.49
6167.96,0.41
6229.64,0.29
6291.93,0.22
6354.85,0.17
6418.40,0.06
6482.58,-0.08
6547.41,-0.26
6612.88,-0.46
6679.01,-0.59
6745.80,-0.71
6813.26,-0.78
6881.39,-0.82
6950.21,-0.84
7019.71,-0.87
7089.91,-0.83
7160.81,-0.81
7232.41,-0.82
7304.74,-0.92
7377.79,-0.90
7451.56,-0.94
7526.08,-0.97
7601.34,-0.66
7677.35,-0.37
7754.13,-0.36
7831.67,-0.23
7909.98,-0.19
7989.08,-0.05
8068.98,-0.05
8149.67,0.35
8231.16,0.48
8313.47,0.55
8396.61,0.54
8480.57,0.19
8565.38,-0.50
8651.03,-1.51
8737.54,-2.55
8824.92,-3.08
8913.17,-3.06
9002.30,-3.13
9092.32,-3.63
9183.25,-4.54
9275.08,-5.39
9367.83,-6.26
9461.51,-6.99
9556.12,-7.52
9651.68,-7.95
9748.20,-8.11
9845.68,-8.06
9944.14,-8.22
10043.58,-8.43
10144.02,-8.66
10245.46,-8.66
10347.91,-8.96
10451.39,-9.43
10555.91,-9.68
10661.46,-9.54
10768.08,-9.38
10875.76,-9.35
10984.52,-9.57
11094.36,-10.74
11205.31,-11.38
11317.36,-11.88
11430.53,-12.20
11544.84,-13.23
11660.29,-13.87
11776.89,-14.27
11894.66,-15.34
12013.60,-16.30
12133.74,-16.91
12255.08,-17.49
12377.63,-18.10
12501.41,-18.69
12626.42,-18.99
12752.68,-18.87
12880.21,-17.97
