frequency,raw
20.00,-4.84
20.20,-4.81
20.40,-4.77
20.61,-4.74
20.81,-4.70
21.02,-4.67
21.23,-4.64
21.44,-4.61
21.66,-4.56
21.87,-4.54
22.09,-4.50
22.31,-4.45
22.54,-4.40
22.76,-4.34
22.99,-4.30
23.22,-4.33
23.45,-4.37
23.69,-4.41
23.92,-4.45
24.16,-4.43
24.40,-4.38
24.65,-4.34
24.89,-4.29
25.14,-4.24
25.39,-4.17
25.65,-4.10
25.91,-4.04
26.16,-4.06
26.43,-4.13
26.69,-4.20
26.96,-4.27
27.23,-4.22
27.50,-4.14
27.77,-4.07
28.05,-4.00
28.33,-4.00
28.62,-4.00
28.90,-3.99
29.19,-4.00
29.48,-4.00
29.78,-4.00
30.08,-3.99
30.38,-3.96
30.68,-3.93
30.99,-3.90
31.30,-3.87
31.61,-3.84
31.93,-3.81
32.24,-3.79
32.57,-3.79
32.89,-3.79
33.22,-3.79
33.55,-3.79
33.89,-3.78
34.23,-3.80
34.57,-3.83
34.92,-3.86
35.27,-3.82
35.62,-3.75
35.97,-3.67
36.33,-3.67
36.70,-3.67
37.06,-3.67
37.43,-3.66
37.81,-3.66
38.19,-3.64
38.57,-3.61
38.95,-3.58
39.34,-3.56
39.74,-3.53
40.14,-3.53
40.54,-3.56
40.94,-3.61
41.35,-3.54
41.76,-3.45
42.18,-3.40
42.60,-3.40
43.03,-3.40
43.46,-3.40
43.90,-3.41
44.33,-3.41
44.78,-3.41
45.23,-3.41
45.68,-3.41
46.13,-3.42
46.60,-3.47
47.06,-3.50
47.53,-3.40
48.01,-3.30
48.49,-3.30
48.97,-3.29
49.46,-3.29
49.96,-3.29
50.46,-3.29
50.96,-3.30
51.47,-3.30
51.99,-3.30
52.51,-3.29
53.03,-3.28
53.56,-3.18
54.10,-3.11
54.64,-3.22
55.18,-3.25
55.74,-3.14
56.29,-3.09
56.86,-3.09
57.42,-3.09
58.00,-3.09
58.58,-3.09
59.16,-3.09
59.76,-3.09
60.35,-3.09
60.96,-3.10
61.57,-3.10
62.18,-3.11
62.80,-3.15
63.43,-3.09
64.07,-2.98
64.71,-2.98
65.35,-2.97
66.01,-2.97
66.67,-2.96
67.33,-2.96
68.01,-2.95
68.69,-2.95
69.37,-2.94
70.07,-2.94
70.77,-2.93
71.48,-2.93
72.19,-2.93
72.91,-2.97
73.64,-2.98
74.38,-2.92
75.12,-2.82
75.87,-2.81
76.63,-2.81
77.40,-2.81
78.17,-2.81
78.95,-2.81
79.74,-2.81
80.54,-2.81
81.35,-2.81
82.16,-2.81
82.98,-2.80
83.81,-2.80
84.65,-2.82
85.50,-2.80
86.35,-2.75
87.22,-2.68
88.09,-2.68
88.97,-2.67
89.86,-2.65
90.76,-2.65
91.66,-2.55
92.58,-2.49
93.51,-2.50
94.44,-2.51
95.39,-2.50
96.34,-2.49
97.30,-2.48
98.28,-2.48
99.26,-2.47
100.25,-2.47
101.25,-2.48
102.27,-2.48
103.29,-2.40
104.32,-2.35
105.37,-2.35
106.42,-2.35
107.48,-2.36
108.56,-2.36
109.64,-2.36
110.74,-2.37
111.85,-2.37
112.97,-2.37
114.10,-2.36
115.24,-2.35
116.39,-2.34
117.55,-2.34
118.73,-2.32
119.92,-2.32
121.12,-2.30
122.33,-2.29
123.55,-2.29
124.79,-2.29
126.03,-2.27
127.29,-2.29
128.57,-2.29
129.85,-2.28
131.15,-2.16
132.46,-2.15
133.79,-2.14
135.12,-2.13
136.48,-2.13
137.84,-2.12
139.22,-2.12
140.61,-2.10
142.02,-2.09
143.44,-2.08
144.87,-2.08
146.32,-2.07
147.78,-2.05
149.26,-2.08
150.75,-2.12
152.26,-2.12
153.78,-2.12
155.32,-2.11
156.88,-2.10
158.44,-2.10
160.03,-2.09
161.63,-2.08
163.24,-2.08
164.88,-2.07
166.53,-2.06
168.19,-2.06
169.87,-2.06
171.57,-2.05
173.29,-2.05
175.02,-2.04
176.77,-2.05
178.54,-2.04
180.32,-2.04
182.13,-2.03
183.95,-2.02
185.79,-2.00
187.65,-1.99
189.52,-1.98
191.42,-1.97
193.33,-1.95
195.27,-1.95
197.22,-1.93
199.19,-1.92
201.18,-1.91
203.19,-1.91
205.23,-1.91
207.28,-1.91
209.35,-1.90
211.44,-1.90
213.56,-1.90
215.69,-1.94
217.85,-2.00
220.03,-2.00
222.23,-2.00
224.45,-2.00
226.70,-2.00
228.96,-1.99
231.25,-2.00
233.57,-1.99
235.90,-1.98
238.26,-1.97
240.64,-1.97
243.05,-1.97
245.48,-1.96
247.93,-1.94
250.41,-1.93
252.92,-1.92
255.45,-1.99
258.00,-2.03
260.58,-2.10
263.19,-2.11
265.82,-2.10
268.48,-2.10
271.16,-2.10
273.87,-2.09
276.61,-2.09
279.38,-2.09
282.17,-2.08
284.99,-2.07
287.84,-2.07
290.72,-2.04
293.63,-2.03
296.57,-2.02
299.53,-2.10
302.53,-2.11
305.55,-2.09
308.61,-2.08
311.69,-2.07
314.81,-2.06
317.96,-2.05
321.14,-2.05
324.35,-2.05
327.59,-2.12
330.87,-2.14
334.18,-2.14
337.52,-2.17
340.90,-2.21
344.30,-2.23
347.75,-2.23
351.23,-2.22
354.74,-2.22
358.28,-2.26
361.87,-2.30
365.49,-2.30
369.14,-2.30
372.83,-2.29
376.56,-2.28
380.33,-2.26
384.13,-2.26
387.97,-2.24
391.85,-2.24
395.77,-2.30
399.73,-2.31
403.72,-2.30
407.76,-2.28
411.84,-2.28
415.96,-2.27
420.12,-2.31
424.32,-2.41
428.56,-2.44
432.85,-2.44
437.18,-2.43
441.55,-2.42
445.96,-2.40
450.42,-2.39
454.93,-2.37
459.48,-2.36
464.07,-2.37
468.71,-2.42
473.40,-2.43
478.13,-2.42
482.91,-2.41
487.74,-2.41
492.62,-2.41
497.55,-2.40
502.52,-2.40
507.55,-2.47
512.62,-2.48
517.75,-2.44
522.93,-2.43
528.16,-2.51
533.44,-2.51
538.77,-2.50
544.16,-2.50
549.60,-2.50
555.10,-2.51
560.65,-2.52
566.25,-2.52
571.92,-2.53
577.64,-2.63
583.41,-2.65
589.25,-2.62
595.14,-2.61
601.09,-2.59
607.10,-2.58
613.17,-2.58
619.30,-2.59
625.50,-2.58
631.75,-2.58
638.07,-2.58
644.45,-2.61
650.89,-2.58
657.40,-2.53
663.98,-2.58
670.62,-2.60
677.32,-2.59
684.10,-2.58
690.94,-2.58
697.85,-2.51
704.83,-2.42
711.87,-2.42
718.99,-2.35
726.18,-2.35
733.44,-2.39
740.78,-2.43
748.19,-2.33
755.67,-2.30
763.23,-2.33
770.86,-2.35
778.57,-2.45
786.35,-2.51
794.22,-2.50
802.16,-2.53
810.18,-2.58
818.28,-2.62
826.46,-2.61
834.73,-2.59
843.08,-2.50
851.51,-2.47
860.02,-2.44
868.62,-2.38
877.31,-2.32
886.08,-2.27
894.94,-2.17
903.89,-2.05
912.93,-1.99
922.06,-1.95
931.28,-1.89
940.59,-1.84
950.00,-1.73
959.50,-1.59
969.09,-1.48
978.78,-1.36
988.57,-1.25
998.46,-1.09
1008.44,-0.94
1018.53,-0.83
