frequency,raw
20.00,4.37
20.20,4.38
20.40,4.40
20.61,4.41
20.81,4.43
21.02,4.44
21.23,4.45
21.44,4.45
21.66,4.47
21.87,4.46
22.09,4.48
22.31,4.52
22.54,4.56
22.76,4.59
22.99,4.62
23.22,4.63
23.45,4.63
23.69,4.63
23.92,4.63
24.16,4.65
24.40,4.67
24.65,4.70
24.89,4.72
25.14,4.73
25.39,4.73
25.65,4.74
25.91,4.74
26.16,4.75
26.43,4.75
26.69,4.76
26.96,4.77
27.23,4.77
27.50,4.77
27.77,4.78
28.05,4.80
28.33,4.83
28.62,4.86
28.90,4.91
29.19,4.89
29.48,4.86
29.78,4.82
30.08,4.80
30.38,4.80
30.68,4.80
30.99,4.80
31.30,4.80
31.61,4.80
31.93,4.80
32.24,4.79
32.57,4.75
32.89,4.72
33.22,4.71
33.55,4.71
33.89,4.72
34.23,4.72
34.57,4.72
34.92,4.72
35.27,4.72
35.62,4.72
35.97,4.73
36.33,4.71
36.70,4.69
37.06,4.67
37.43,4.66
37.81,4.65
38.19,4.65
38.57,4.66
38.95,4.67
39.34,4.67
39.74,4.68
40.14,4.69
40.54,4.70
40.94,4.70
41.35,4.64
41.76,4.56
42.18,4.52
42.60,4.51
43.03,4.50
43.46,4.50
43.90,4.49
44.33,4.49
44.78,4.49
45.23,4.49
45.68,4.49
46.13,4.48
46.60,4.43
47.06,4.39
47.53,4.38
48.01,4.39
48.49,4.35
48.97,4.31
49.46,4.31
49.96,4.31
50.46,4.29
50.96,4.26
51.47,4.23
51.99,4.20
52.51,4.21
53.03,4.21
53.56,4.19
54.10,4.17
54.64,4.10
55.18,4.04
55.74,4.02
56.29,4.01
56.86,4.01
57.42,4.01
58.00,4.01
58.58,3.99
59.16,3.95
59.76,3.85
60.35,3.81
60.96,3.80
61.57,3.80
62.18,3.80
62.80,3.81
63.43,3.81
64.07,3.80
64.71,3.74
65.35,3.69
66.01,3.63
66.67,3.64
67.33,3.64
68.01,3.65
68.69,3.65
69.37,3.61
70.07,3.53
70.77,3.49
71.48,3.47
72.19,3.48
72.91,3.48
73.64,3.42
74.38,3.38
75.12,3.37
75.87,3.38
76.63,3.37
77.40,3.33
78.17,3.26
78.95,3.18
79.74,3.18
80.54,3.18
81.35,3.17
82.16,3.14
82.98,3.09
83.81,3.09
84.65,3.06
85.50,3.03
86.35,2.96
87.22,2.91
88.09,2.91
88.97,2.92
89.86,2.87
90.76,2.84
91.66,2.85
92.58,2.86
93.51,2.85
94.44,2.81
95.39,2.79
96.34,2.76
97.30,2.71
98.28,2.70
99.26,2.66
100.25,2.62
101.25,2.62
102.27,2.61
103.29,2.59
104.32,2.57
105.37,2.51
106.42,2.44
107.48,2.43
108.56,2.42
109.64,2.42
110.74,2.35
111.85,2.31
112.97,2.22
114.10,2.22
115.24,2.23
116.39,2.24
117.55,2.24
118.73,2.22
119.92,2.10
121.12,2.08
122.33,2.09
123.55,2.09
124.79,2.09
126.03,2.11
127.29,1.98
128.57,1.91
129.85,1.92
131.15,1.92
132.46,1.93
133.79,1.94
135.12,1.94
136.48,1.88
137.84,1.81
139.22,1.78
140.61,1.78
142.02,1.79
143.44,1.73
144.87,1.70
146.32,1.71
147.78,1.70
149.26,1.66
150.75,1.64
152.26,1.65
153.78,1.66
155.32,1.61
156.88,1.58
158.44,1.51
160.03,1.49
161.63,1.49
163.24,1.50
164.88,1.49
166.53,1.43
168.19,1.42
169.87,1.42
171.57,1.34
173.29,1.33
175.02,1.33
176.77,1.33
178.54,1.26
180.32,1.24
182.13,1.21
183.95,1.16
185.79,1.18
187.65,1.18
189.52,1.14
191.42,1.12
193.33,1.12
195.27,1.13
197.22,1.13
199.19,1.08
201.18,1.06
203.19,1.03
205.23,0.99
207.28,0.91
209.35,0.88
211.44,0.87
213.56,0.87
215.69,0.88
217.85,0.87
220.03,0.81
222.23,0.78
224.45,0.77
226.70,0.75
228.96,0.68
231.25,0.68
233.57,0.66
235.90,0.59
238.26,0.59
240.64,0.52
243.05,0.51
245.48,0.51
247.93,0.53
250.41,0.51
252.92,0.45
255.45,0.45
258.00,0.46
260.58,0.41
263.19,0.37
265.82,0.37
268.48,0.37
271.16,0.37
273.87,0.31
276.61,0.26
279.38,0.19
282.17,0.19
284.99,0.20
287.84,0.20
290.72,0.23
293.63,0.19
296.57,0.16
299.53,0.07
302.53,0.06
305.55,0.08
308.61,0.09
311.69,0.10
314.81,0.09
317.96,-0.01
321.14,-0.07
324.35,-0.08
327.59,-0.07
330.87,-0.07
334.18,-0.07
337.52,-0.10
340.90,-0.21
344.30,-0.27
347.75,-0.27
351.23,-0.27
354.74,-0.32
358.28,-0.35
361.87,-0.39
365.49,-0.43
369.14,-0.43
372.83,-0.42
376.56,-0.48
380.33,-0.50
384.13,-0.52
387.97,-0.56
391.85,-0.56
395.77,-0.55
399.73,-0.59
403.72,-0.62
407.76,-0.62
411.84,-0.68
415.96,-0.70
420.12,-0.69
424.32,-0.69
428.56,-0.76
432.85,-0.85
437.18,-0.87
441.55,-0.85
445.96,-0.84
450.42,-0.82
454.93,-0.84
459.48,-0.89
464.07,-0.95
468.71,-0.96
473.40,-0.96
478.13,-0.97
482.91,-1.03
487.74,-1.05
492.62,-1.04
497.55,-1.07
502.52,-1.11
507.55,-1.19
512.62,-1.19
517.75,-1.19
522.93,-1.17
528.16,-1.16
533.44,-1.20
538.77,-1.24
544.16,-1.32
549.60,-1.34
555.10,-1.35
560.65,-1.35
566.25,-1.36
571.92,-1.36
577.64,-1.45
583.41,-1.46
589.25,-1.51
595.14,-1.54
601.09,-1.53
607.10,-1.52
613.17,-1.52
619.30,-1.52
625.50,-1.51
631.75,-1.52
638.07,-1.54
644.45,-1.62
650.89,-1.63
657.40,-1.64
663.98,-1.64
670.62,-1.63
677.32,-1.62
684.10,-1.62
690.94,-1.62
697.85,-1.62
704.83,-1.64
711.87,-1.63
718.99,-1.59
726.18,-1.59
733.44,-1.63
740.78,-1.66
748.19,-1.69
755.67,-1.73
763.23,-1.70
770.86,-1.70
778.57,-1.73
786.35,-1.81
794.22,-1.95
802.16,-2.00
810.18,-2.03
818.28,-2.06
826.46,-2.05
834.73,-2.03
843.08,-2.06
851.51,-2.09
860.02,-2.03
868.62,-2.00
877.31,-1.96
886.08,-1.87
894.94,-1.87
903.89,-1.84
912.93,-1.81
922.06,-1.71
931.28,-1.63
940.59,-1.54
950.00,-1.49
959.50,-1.44
969.09,-1.39
