frequency,raw
20.00,7.98
20.20,7.92
20.40,7.86
20.61,7.80
20.81,7.75
21.02,7.69
21.23,7.73
21.44,7.76
21.66,7.80
21.87,7.83
22.09,7.84
22.31,7.83
22.54,7.82
22.76,7.80
22.99,7.78
23.22,7.79
23.45,7.79
23.69,7.79
23.92,7.79
24.16,7.81
24.40,7.84
24.65,7.87
24.89,7.90
25.14,7.88
25.39,7.82
25.65,7.78
25.91,7.72
26.16,7.74
26.43,7.80
26.69,7.86
26.96,7.92
27.23,7.88
27.50,7.84
27.77,7.79
28.05,7.76
28.33,7.78
28.62,7.80
28.90,7.82
29.19,7.79
29.48,7.75
29.78,7.70
30.08,7.67
30.38,7.67
30.68,7.67
30.99,7.67
31.30,7.65
31.61,7.63
31.93,7.61
32.24,7.62
32.57,7.61
32.89,7.60
33.22,7.58
33.55,7.54
33.89,7.51
34.23,7.50
34.57,7.50
34.92,7.50
35.27,7.52
35.62,7.54
35.97,7.58
36.33,7.52
36.70,7.46
37.06,7.41
37.43,7.42
37.81,7.42
38.19,7.44
38.57,7.47
38.95,7.51
39.34,7.45
39.74,7.40
40.14,7.37
40.54,7.39
40.94,7.39
41.35,7.37
41.76,7.34
42.18,7.32
42.60,7.31
43.03,7.29
43.46,7.30
43.90,7.30
44.33,7.26
44.78,7.21
45.23,7.18
45.68,7.18
46.13,7.18
46.60,7.19
47.06,7.18
47.53,7.14
48.01,7.11
48.49,7.11
48.97,7.11
49.46,7.11
49.96,7.11
50.46,7.11
50.96,7.10
51.47,7.05
51.99,7.00
52.51,7.01
53.03,7.01
53.56,7.01
54.10,6.99
54.64,6.89
55.18,6.83
55.74,6.82
56.29,6.82
56.86,6.82
57.42,6.82
58.00,6.82
58.58,6.77
59.16,6.74
59.76,6.72
60.35,6.72
60.96,6.71
61.57,6.66
62.18,6.62
62.80,6.63
63.43,6.63
64.07,6.64
64.71,6.64
65.35,6.65
66.01,6.64
66.67,6.59
67.33,6.56
68.01,6.57
68.69,6.57
69.37,6.58
70.07,6.58
70.77,6.59
71.48,6.55
72.19,6.50
72.91,6.46
73.64,6.43
74.38,6.41
75.12,6.41
75.87,6.39
76.63,6.34
77.40,6.32
78.17,6.32
78.95,6.32
79.74,6.32
80.54,6.32
81.35,6.31
82.16,6.27
82.98,6.22
83.81,6.24
84.65,6.24
85.50,6.20
86.35,6.15
87.22,6.16
88.09,6.15
88.97,6.08
89.86,6.07
90.76,6.09
91.66,6.10
92.58,6.11
93.51,6.07
94.44,6.04
95.39,6.04
96.34,6.01
97.30,5.97
98.28,5.97
99.26,5.98
100.25,5.98
101.25,5.95
102.27,5.86
103.29,5.89
104.32,5.90
105.37,5.92
106.42,5.93
107.48,5.82
108.56,5.69
109.64,5.68
110.74,5.69
111.85,5.70
112.97,5.70
114.10,5.70
115.24,5.70
116.39,5.66
117.55,5.62
118.73,5.57
119.92,5.55
121.12,5.57
122.33,5.53
123.55,5.46
124.79,5.44
126.03,5.55
127.29,5.49
128.57,5.44
129.85,5.42
131.15,5.38
132.46,5.31
133.79,5.34
135.12,5.40
136.48,5.32
137.84,5.27
139.22,5.18
140.61,5.14
142.02,5.20
143.44,5.24
144.87,5.27
146.32,5.23
147.78,5.11
149.26,5.03
150.75,5.03
152.26,5.09
153.78,5.13
155.32,5.06
156.88,4.90
158.44,4.87
160.03,4.92
161.63,4.96
163.24,4.96
164.88,4.89
166.53,4.86
168.19,4.79
169.87,4.76
171.57,4.74
173.29,4.68
175.02,4.57
176.77,4.53
178.54,4.58
180.32,4.61
182.13,4.57
183.95,4.51
185.79,4.43
187.65,4.45
189.52,4.50
191.42,4.45
193.33,4.40
195.27,4.30
197.22,4.29
199.19,4.31
201.18,4.26
203.19,4.20
205.23,4.15
207.28,4.14
209.35,4.10
211.44,4.04
213.56,3.93
215.69,3.92
217.85,3.99
220.03,3.96
222.23,3.81
224.45,3.72
226.70,3.79
228.96,3.83
231.25,3.71
233.57,3.66
235.90,3.59
238.26,3.55
240.64,3.51
243.05,3.51
245.48,3.46
247.93,3.44
250.41,3.37
252.92,3.36
255.45,3.36
258.00,3.31
260.58,3.28
263.19,3.22
265.82,3.23
268.48,3.06
271.16,3.00
273.87,3.05
276.61,3.03
279.38,2.87
282.17,2.81
284.99,2.85
287.84,2.89
290.72,2.81
293.63,2.70
296.57,2.66
299.53,2.61
302.53,2.64
305.55,2.63
308.61,2.50
311.69,2.45
314.81,2.42
317.96,2.38
321.14,2.31
324.35,2.31
327.59,2.33
330.87,2.24
334.18,2.12
337.52,2.11
340.90,2.13
344.30,2.09
347.75,1.99
351.23,1.94
354.74,1.87
358.28,1.82
361.87,1.77
365.49,1.71
369.14,1.68
372.83,1.63
376.56,1.52
380.33,1.52
384.13,1.50
387.97,1.46
391.85,1.44
395.77,1.39
399.73,1.38
403.72,1.32
407.76,1.29
411.84,1.19
415.96,1.14
420.12,1.14
424.32,1.07
428.56,1.00
432.85,0.96
437.18,0.90
441.55,0.86
445.96,0.83
450.42,0.77
454.93,0.75
459.48,0.76
464.07,0.71
468.71,0.62
473.40,0.61
478.13,0.59
482.91,0.49
487.74,0.44
492.62,0.43
497.55,0.41
502.52,0.31
507.55,0.27
512.62,0.29
517.75,0.18
522.93,0.13
528.16,0.13
533.44,0.09
538.77,0.05
544.16,-0.02
549.60,-0.08
555.10,-0.13
560.65,-0.14
566.25,-0.15
571.92,-0.24
577.64,-0.33
583.41,-0.35
589.25,-0.37
595.14,-0.47
601.09,-0.51
607.10,-0.49
613.17,-0.49
619.30,-0.52
625.50,-0.57
631.75,-0.64
638.07,-0.68
644.45,-0.70
650.89,-0.70
657.40,-0.77
663.98,-0.83
670.62,-0.88
677.32,-0.88
684.10,-0.88
690.94,-0.88
697.85,-0.97
704.83,-0.99
711.87,-1.01
718.99,-1.03
726.18,-1.05
733.44,-1.08
740.78,-1.12
748.19,-1.17
755.67,-1.27
763.23,-1.32
770.86,-1.34
778.57,-1.38
786.35,-1.38
794.22,-1.36
802.16,-1.36
810.18,-1.38
818.28,-1.42
826.46,-1.44
834.73,-1.42
843.08,-1.42
851.51,-1.45
860.02,-1.50
868.62,-1.44
877.31,-1.39
886.08,-1.41
894.94,-1.44
903.89,-1.46
912.93,-1.46
922.06,-1.37
931.28,-1.34
940.59,-1.35
950.00,-1.35
959.50,-1.22
969.09,-1.19
978.78,-1.19
988.57,-1.16
998.46,-1.08
1008.44,-1.01
1018.53,-0.93
1028.71,-0.89
1039.00,-0.80
1049.39,-0.72
1059.88,-0.65
1070.48,-0.60
1081.19,-0.53
1092.00,-0.46
1102.92,-0.38
1113.95,-0.29
1125.09,-0.20
1136.34,-0.09
1147.70,0.02
1159.18,0.08
1170.77,0.16
1182.48,0.22
1194.30,0.32
1206.25,0.46
1218.31,0.54
1230.49,0.67
1242.80,0.77
1255.22,0.90
1267.78,0.99
1280.45,1.14
1293.26,1.30
1306.19,1.45
1319.25,1.56
1332.45,1.70
1345.77,1.76
1359.23,1.84
1372.82,1.99
1386.55,2.08
1400.41,2.19
1414.42,2.31
1428.56,2.45
1442.85,2.56
1457.28,2.66
1471.85,2.77
1486.57,2.89
1501.43,3.01
1516.45,3.08
1531.61,3.15
1546.93,3.32
1562.40,3.49
1578.02,3.62
1593.80,3.74
1609.74,3.88
1625.84,4.06
1642.10,4.23
1658.52,4.44
1675.10,4.61
1691.85,4.78
1708.77,4.96
1725.86,5.18
1743.12,5.41
1760.55,5.63
1778.15,5.81
1795.94,6.01
1813.90,6.23
1832.03,6.47
1850.36,6.64
1868.86,6.85
1887.55,7.09
1906.42,7.34
1925.49,7.53
1944.74,7.73
1964.19,7.91
1983.83,8.07
2003.67,8.26
2023.71,8.36
2043.94,8.43
2064.38,8.55
2085.03,8.57
2105.88,8.58
2126.94,8.71
2148.20,8.75
2169.69,8.63
2191.38,8.48
2213.30,8.42
2235.43,8.30
2257.78,8.14
2280.36,8.09
2303.17,8.02
2326.20,7.83
2349.46,7.61
2372.95,7.44
2396.68,7.27
2420.65,6.99
2444.86,6.74
2469.31,6.58
2494.00,6.43
2518.94,6.26
2544.13,6.03
2569.57,5.94
2595.27,5.98
2621.22,6.12
2647.43,5.69
2673.90,5.39
2700.64,5.42
2727.65,5.40
2754.93,5.38
2782.48,5.31
2810.30,5.30
2838.40,5.30
2866.79,4.97
2895.46,4.71
2924.41,4.63
2953.65,4.58
2983.19,4.56
3013.02,4.56
3043.15,4.60
3073.58,4.66
3104.32,4.71
3135.36,4.78
3166.72,4.83
3198.38,4.75
3230.37,4.62
3262.67,4.77
3295.30,5.15
3328.25,5.18
3361.53,5.09
3395.15,5.34
3429.10,5.62
3463.39,5.82
3498.03,5.97
3533.01,6.18
3568.34,6.43
3604.02,6.61
3640.06,6.69
3676.46,6.82
3713.22,6.90
3750.36,7.01
3787.86,7.05
3825.74,7.00
3864.00,6.91
3902.64,6.80
3941.66,6.66
3981.08,6.48
4020.89,6.15
4061.10,5.78
4101.71,5.37
4142.73,5.08
4184.15,4.78
4226.00,4.34
4268.26,3.95
4310.94,3.58
4354.05,3.12
4397.59,2.67
4441.56,2.27
4485.98,1.85
4530.84,1.32
4576.15,0.98
4621.91,0.56
4668.13,0.20
4714.81,-0.08
4761.96,-0.27
4809.58,-0.47
4857.67,-0.74
4906.25,-0.86
4955.31,-1.00
5004.87,-1.13
5054.91,-1.29
5105.46,-1.35
5156.52,-1.37
5208.08,-1.35
