frequency,raw
20.00,-5.41
20.20,-5.30
20.40,-5.17
20.61,-5.06
20.81,-4.93
21.02,-4.82
21.23,-4.68
21.44,-4.55
21.66,-4.40
21.87,-4.27
22.09,-4.18
22.31,-4.16
22.54,-4.14
22.76,-4.11
22.99,-4.10
23.22,-3.97
23.45,-3.84
23.69,-3.71
23.92,-3.58
24.16,-3.51
24.40,-3.47
24.65,-3.43
24.89,-3.39
25.14,-3.34
25.39,-3.28
25.65,-3.22
25.91,-3.16
26.16,-3.09
26.43,-3.03
26.69,-2.95
26.96,-2.88
27.23,-2.81
27.50,-2.72
27.77,-2.64
28.05,-2.56
28.33,-2.50
28.62,-2.43
28.90,-2.36
29.19,-2.31
29.48,-2.25
29.78,-2.19
30.08,-2.13
30.38,-2.07
30.68,-2.00
30.99,-1.93
31.30,-1.87
31.61,-1.81
31.93,-1.75
32.24,-1.72
32.57,-1.70
32.89,-1.69
33.22,-1.61
33.55,-1.52
33.89,-1.41
34.23,-1.31
34.57,-1.20
34.92,-1.09
35.27,-1.07
35.62,-1.07
35.97,-1.07
36.33,-1.08
36.70,-1.08
37.06,-1.07
37.43,-0.92
37.81,-0.79
38.19,-0.66
38.57,-0.56
38.95,-0.46
39.34,-0.48
39.74,-0.51
40.14,-0.51
40.54,-0.47
40.94,-0.44
41.35,-0.35
41.76,-0.25
42.18,-0.19
42.60,-0.18
43.03,-0.16
43.46,-0.02
43.90,0.12
44.33,0.08
44.78,-0.02
45.23,0.03
45.68,0.22
46.13,0.32
46.60,0.21
47.06,0.13
47.53,0.23
48.01,0.34
48.49,0.39
48.97,0.45
49.46,0.49
49.96,0.54
50.46,0.64
50.96,0.74
51.47,0.66
51.99,0.56
52.51,0.66
53.03,0.74
53.56,0.75
54.10,0.76
54.64,0.83
55.18,0.88
55.74,0.91
56.29,0.91
56.86,0.87
57.42,1.00
58.00,1.20
58.58,1.15
59.16,1.11
59.76,1.06
60.35,1.11
60.96,1.23
61.57,1.31
62.18,1.36
62.80,1.32
63.43,1.27
64.07,1.24
64.71,1.36
65.35,1.47
66.01,1.53
66.67,1.58
67.33,1.55
68.01,1.45
68.69,1.58
69.37,1.65
70.07,1.65
70.77,1.69
71.48,1.77
72.19,1.83
72.91,1.70
73.64,1.74
74.38,1.80
75.12,1.86
75.87,1.87
76.63,1.88
77.40,1.92
78.17,1.99
78.95,2.06
79.74,2.06
80.54,2.06
81.35,2.06
82.16,2.06
82.98,2.07
83.81,2.07
84.65,2.04
85.50,2.07
86.35,2.20
87.22,2.35
88.09,2.31
88.97,2.30
89.86,2.31
90.76,2.31
91.66,2.32
92.58,2.33
93.51,2.30
94.44,2.30
95.39,2.38
96.34,2.46
97.30,2.48
98.28,2.50
99.26,2.61
100.25,2.65
101.25,2.59
102.27,2.58
103.29,2.55
104.32,2.55
105.37,2.65
106.42,2.70
107.48,2.69
108.56,2.69
109.64,2.69
110.74,2.68
111.85,2.68
112.97,2.68
114.10,2.69
115.24,2.67
116.39,2.69
117.55,2.76
118.73,2.82
119.92,2.83
121.12,2.84
122.33,2.85
123.55,2.86
124.79,2.97
126.03,3.02
127.29,2.98
128.57,2.97
129.85,2.98
131.15,2.98
132.46,2.96
133.79,2.95
135.12,3.03
136.48,3.09
137.84,3.12
139.22,3.12
140.61,3.13
142.02,3.14
143.44,3.15
144.87,3.15
146.32,3.16
147.78,3.18
149.26,3.19
150.75,3.20
152.26,3.21
153.78,3.21
155.32,3.22
156.88,3.23
158.44,3.23
160.03,3.24
161.63,3.25
163.24,3.26
164.88,3.27
166.53,3.27
168.19,3.30
169.87,3.32
171.57,3.22
173.29,3.18
175.02,3.18
176.77,3.22
178.54,3.28
180.32,3.30
182.13,3.31
183.95,3.32
185.79,3.34
187.65,3.34
189.52,3.36
191.42,3.37
193.33,3.39
195.27,3.39
197.22,3.40
199.19,3.42
201.18,3.37
203.19,3.32
205.23,3.32
207.28,3.33
209.35,3.35
211.44,3.36
213.56,3.31
215.69,3.26
217.85,3.24
220.03,3.25
222.23,3.25
224.45,3.25
226.70,3.25
228.96,3.25
231.25,3.25
233.57,3.26
235.90,3.26
238.26,3.21
240.64,3.10
243.05,3.09
245.48,3.09
247.93,3.11
250.41,3.12
252.92,3.13
255.45,3.13
258.00,3.07
260.58,3.05
263.19,3.03
265.82,2.98
268.48,2.95
271.16,2.97
273.87,2.98
276.61,2.95
279.38,2.89
282.17,2.89
284.99,2.86
287.84,2.81
290.72,2.83
293.63,2.84
296.57,2.76
299.53,2.76
302.53,2.70
305.55,2.67
308.61,2.62
311.69,2.61
314.81,2.58
317.96,2.54
321.14,2.47
324.35,2.45
327.59,2.46
330.87,2.44
334.18,2.38
337.52,2.33
340.90,2.29
344.30,2.25
347.75,2.14
351.23,2.09
354.74,2.08
358.28,2.00
361.87,1.93
365.49,1.90
369.14,1.84
372.83,1.76
376.56,1.74
380.33,1.73
384.13,1.68
387.97,1.64
391.85,1.60
395.77,1.51
399.73,1.45
403.72,1.39
407.76,1.35
411.84,1.29
415.96,1.24
420.12,1.21
424.32,1.15
428.56,1.13
432.85,1.11
437.18,1.01
441.55,0.96
445.96,0.97
450.42,0.92
454.93,0.90
459.48,0.83
464.07,0.84
468.71,0.77
473.40,0.69
478.13,0.63
482.91,0.52
487.74,0.42
492.62,0.39
497.55,0.37
502.52,0.26
507.55,0.23
512.62,0.25
517.75,0.14
522.93,0.09
528.16,0.03
533.44,-0.06
538.77,-0.09
544.16,-0.16
549.60,-0.22
555.10,-0.27
560.65,-0.31
566.25,-0.37
571.92,-0.47
577.64,-0.50
583.41,-0.60
589.25,-0.65
595.14,-0.66
601.09,-0.67
607.10,-0.72
613.17,-0.74
619.30,-0.80
625.50,-0.85
631.75,-0.90
638.07,-0.97
644.45,-1.02
650.89,-1.03
657.40,-1.13
663.98,-1.27
670.62,-1.40
677.32,-1.53
684.10,-1.55
690.94,-1.55
697.85,-1.43
704.83,-1.42
711.87,-1.43
718.99,-1.45
726.18,-1.47
733.44,-1.51
740.78,-1.54
748.19,-1.57
755.67,-1.61
763.23,-1.65
770.86,-1.67
778.57,-1.71
786.35,-1.73
794.22,-1.64
802.16,-1.63
810.18,-1.70
818.28,-1.64
826.46,-1.61
834.73,-1.66
843.08,-1.74
851.51,-1.74
860.02,-1.74
868.62,-1.64
877.31,-1.54
886.08,-1.67
894.94,-1.74
903.89,-1.56
912.93,-1.45
922.06,-1.43
931.28,-1.49
940.59,-1.42
950.00,-1.24
959.50,-1.28
969.09,-1.26
978.78,-1.16
988.57,-1.10
998.46,-1.08
1008.44,-1.04
