frequency,raw
20.00,-0.93
20.20,-0.89
20.40,-0.84
20.61,-0.80
20.81,-0.76
21.02,-0.72
21.23,-0.72
21.44,-0.72
21.66,-0.71
21.87,-0.72
22.09,-0.71
22.31,-0.70
22.54,-0.69
22.76,-0.68
22.99,-0.68
23.22,-0.67
23.45,-0.67
23.69,-0.67
23.92,-0.67
24.16,-0.65
24.40,-0.63
24.65,-0.60
24.89,-0.58
25.14,-0.57
25.39,-0.57
25.65,-0.56
25.91,-0.56
26.16,-0.55
26.43,-0.55
26.69,-0.54
26.96,-0.53
27.23,-0.53
27.50,-0.52
27.77,-0.51
28.05,-0.50
28.33,-0.50
28.62,-0.50
28.90,-0.49
29.19,-0.50
29.48,-0.50
29.78,-0.50
30.08,-0.50
30.38,-0.50
30.68,-0.50
30.99,-0.50
31.30,-0.45
31.61,-0.39
31.93,-0.33
32.24,-0.33
32.57,-0.36
32.89,-0.38
33.22,-0.39
33.55,-0.39
33.89,-0.38
34.23,-0.38
34.57,-0.38
34.92,-0.38
35.27,-0.38
35.62,-0.38
35.97,-0.37
36.33,-0.37
36.70,-0.37
37.06,-0.37
37.43,-0.33
37.81,-0.31
38.19,-0.28
38.57,-0.26
38.95,-0.23
39.34,-0.23
39.74,-0.22
40.14,-0.21
40.54,-0.20
40.94,-0.20
41.35,-0.20
41.76,-0.20
42.18,-0.20
42.60,-0.20
43.03,-0.20
43.46,-0.20
43.90,-0.21
44.33,-0.21
44.78,-0.21
45.23,-0.21
45.68,-0.21
46.13,-0.21
46.60,-0.21
47.06,-0.21
47.53,-0.21
48.01,-0.20
48.49,-0.20
48.97,-0.19
49.46,-0.19
49.96,-0.19
50.46,-0.19
50.96,-0.20
51.47,-0.20
51.99,-0.20
52.51,-0.19
53.03,-0.19
53.56,-0.19
54.10,-0.19
54.64,-0.19
55.18,-0.19
55.74,-0.18
56.29,-0.13
56.86,-0.04
57.42,-0.02
58.00,-0.01
58.58,-0.11
59.16,-0.19
59.76,-0.19
60.35,-0.17
60.96,-0.15
61.57,-0.08
62.18,-0.04
62.80,-0.08
63.43,-0.09
64.07,-0.08
64.71,-0.08
65.35,-0.07
66.01,-0.07
66.67,-0.06
67.33,-0.06
68.01,-0.05
68.69,-0.11
69.37,-0.06
70.07,0.05
70.77,0.07
71.48,0.07
72.19,0.08
72.91,0.08
73.64,0.08
74.38,0.08
75.12,0.08
75.87,0.09
76.63,0.09
77.40,0.09
78.17,0.09
78.95,0.09
79.74,0.09
80.54,0.09
81.35,0.09
82.16,0.09
82.98,0.10
83.81,0.10
84.65,0.10
85.50,0.11
86.35,0.11
87.22,0.12
88.09,0.13
88.97,0.14
89.86,0.15
90.76,0.15
91.66,0.16
92.58,0.17
93.51,0.18
94.44,0.19
95.39,0.20
96.34,0.21
97.30,0.22
98.28,0.22
99.26,0.23
100.25,0.23
101.25,0.23
102.27,0.24
103.29,0.25
104.32,0.25
105.37,0.25
106.42,0.25
107.48,0.24
108.56,0.24
109.64,0.24
110.74,0.23
111.85,0.23
112.97,0.23
114.10,0.24
115.24,0.25
116.39,0.26
117.55,0.26
118.73,0.28
119.92,0.28
121.12,0.30
122.33,0.31
123.55,0.31
124.79,0.31
126.03,0.33
127.29,0.33
128.57,0.33
129.85,0.34
131.15,0.34
132.46,0.35
133.79,0.36
135.12,0.37
136.48,0.37
137.84,0.38
139.22,0.38
140.61,0.40
142.02,0.41
143.44,0.42
144.87,0.42
146.32,0.43
147.78,0.45
149.26,0.46
150.75,0.47
152.26,0.48
153.78,0.48
155.32,0.49
156.88,0.50
158.44,0.50
160.03,0.55
161.63,0.54
163.24,0.47
164.88,0.43
166.53,0.44
168.19,0.44
169.87,0.44
171.57,0.45
173.29,0.45
175.02,0.46
176.77,0.45
178.54,0.46
180.32,0.46
182.13,0.42
183.95,0.32
185.79,0.37
187.65,0.40
189.52,0.42
191.42,0.43
193.33,0.45
195.27,0.45
197.22,0.47
199.19,0.48
201.18,0.49
203.19,0.49
205.23,0.49
207.28,0.49
209.35,0.50
211.44,0.50
213.56,0.50
215.69,0.50
217.85,0.50
220.03,0.50
222.23,0.50
224.45,0.50
226.70,0.50
228.96,0.51
231.25,0.55
233.57,0.51
235.90,0.42
238.26,0.43
240.64,0.43
243.05,0.43
245.48,0.44
247.93,0.46
250.41,0.47
252.92,0.47
255.45,0.48
258.00,0.49
260.58,0.49
263.19,0.49
265.82,0.50
268.48,0.50
271.16,0.50
273.87,0.51
276.61,0.51
279.38,0.52
282.17,0.55
284.99,0.49
287.84,0.43
290.72,0.46
293.63,0.47
296.57,0.48
299.53,0.48
302.53,0.49
305.55,0.51
308.61,0.44
311.69,0.39
314.81,0.43
317.96,0.45
321.14,0.46
324.35,0.49
327.59,0.50
330.87,0.40
334.18,0.36
337.52,0.36
340.90,0.37
344.30,0.37
347.75,0.37
351.23,0.38
354.74,0.39
358.28,0.40
361.87,0.36
365.49,0.31
369.14,0.30
372.83,0.31
376.56,0.32
380.33,0.34
384.13,0.34
387.97,0.36
391.85,0.37
395.77,0.38
399.73,0.38
403.72,0.33
407.76,0.32
411.84,0.32
415.96,0.33
420.12,0.34
424.32,0.35
428.56,0.30
432.85,0.27
437.18,0.27
441.55,0.28
445.96,0.30
450.42,0.31
454.93,0.33
459.48,0.34
464.07,0.33
468.71,0.28
473.40,0.28
478.13,0.28
482.91,0.23
487.74,0.16
492.62,0.11
497.55,0.06
502.52,-0.02
507.55,-0.14
512.62,-0.20
517.75,-0.26
522.93,-0.24
528.16,-0.23
533.44,-0.21
538.77,-0.21
544.16,-0.29
549.60,-0.35
555.10,-0.41
560.65,-0.42
566.25,-0.43
571.92,-0.43
577.64,-0.43
