frequency,raw
20.00,-1.52
20.20,-1.51
20.40,-1.49
20.61,-1.48
20.81,-1.46
21.02,-1.45
21.23,-1.44
21.44,-1.43
21.66,-1.41
21.87,-1.41
22.09,-1.40
22.31,-1.39
22.54,-1.38
22.76,-1.37
22.99,-1.37
23.22,-1.36
23.45,-1.36
23.69,-1.36
23.92,-1.36
24.16,-1.36
24.40,-1.36
24.65,-1.36
24.89,-1.36
25.14,-1.36
25.39,-1.36
25.65,-1.35
25.91,-1.35
26.16,-1.32
26.43,-1.30
26.69,-1.26
26.96,-1.22
27.23,-1.22
27.50,-1.21
27.77,-1.20
28.05,-1.19
28.33,-1.19
28.62,-1.19
28.90,-1.18
29.19,-1.19
29.48,-1.19
29.78,-1.19
30.08,-1.18
30.38,-1.15
30.68,-1.12
30.99,-1.09
31.30,-1.09
31.61,-1.09
31.93,-1.09
32.24,-1.08
32.57,-1.08
32.89,-1.08
33.22,-1.08
33.55,-1.08
33.89,-1.07
34.23,-1.07
34.57,-1.07
34.92,-1.07
35.27,-1.07
35.62,-1.07
35.97,-1.06
36.33,-1.06
36.70,-1.06
37.06,-1.06
37.43,-1.05
37.81,-1.05
38.19,-1.04
38.57,-1.03
38.95,-1.02
39.34,-1.02
39.74,-1.01
40.14,-1.00
40.54,-0.99
40.94,-0.99
41.35,-0.99
41.76,-0.99
42.18,-0.99
42.60,-0.99
43.03,-0.99
43.46,-0.99
43.90,-1.00
44.33,-1.00
44.78,-1.00
45.23,-1.00
45.68,-1.00
46.13,-1.00
46.60,-1.00
47.06,-1.00
47.53,-1.00
48.01,-0.99
48.49,-0.99
48.97,-0.98
49.46,-0.93
49.96,-0.88
50.46,-0.88
50.96,-0.89
51.47,-0.89
51.99,-0.89
52.51,-0.88
53.03,-0.88
53.56,-0.88
54.10,-0.88
54.64,-0.88
55.18,-0.88
55.74,-0.88
56.29,-0.88
56.86,-0.88
57.42,-0.88
58.00,-0.88
58.58,-0.88
59.16,-0.88
59.76,-0.88
60.35,-0.88
60.96,-0.89
61.57,-0.89
62.18,-0.89
62.80,-0.88
63.43,-0.88
64.07,-0.87
64.71,-0.87
65.35,-0.86
66.01,-0.86
66.67,-0.85
67.33,-0.85
68.01,-0.84
68.69,-0.84
69.37,-0.83
70.07,-0.83
70.77,-0.82
71.48,-0.82
72.19,-0.81
72.91,-0.81
73.64,-0.81
74.38,-0.81
75.12,-0.81
