frequency,raw
20.00,13.58
20.20,13.56
20.40,13.54
20.61,13.52
20.81,13.51
21.02,13.49
21.23,13.50
21.44,13.51
21.66,13.53
21.87,13.53
22.09,13.54
22.31,13.55
22.54,13.55
22.76,13.56
22.99,13.56
23.22,13.59
23.45,13.62
23.69,13.65
23.92,13.67
24.16,13.70
24.40,13.74
24.65,13.78
24.89,13.81
25.14,13.82
25.39,13.81
25.65,13.81
25.91,13.79
26.16,13.80
26.43,13.80
26.69,13.81
26.96,13.82
27.23,13.82
27.50,13.83
27.77,13.84
28.05,13.85
28.33,13.85
28.62,13.85
28.90,13.86
29.19,13.85
29.48,13.85
29.78,13.85
30.08,13.85
30.38,13.85
30.68,13.85
30.99,13.85
31.30,13.85
31.61,13.85
31.93,13.85
32.24,13.86
32.57,13.86
32.89,13.86
33.22,13.86
33.55,13.86
33.89,13.87
34.23,13.87
34.57,13.87
34.92,13.87
35.27,13.87
35.62,13.87
35.97,13.88
36.33,13.88
36.70,13.88
37.06,13.88
37.43,13.89
37.81,13.89
38.19,13.90
38.57,13.91
38.95,13.92
39.34,13.92
39.74,13.93
40.14,13.94
40.54,13.95
40.94,13.95
41.35,13.95
41.76,13.95
42.18,13.95
42.60,13.95
43.03,13.95
43.46,13.95
43.90,13.94
44.33,13.94
44.78,13.94
45.23,13.94
45.68,13.94
46.13,13.94
46.60,13.94
47.06,13.94
47.53,13.94
48.01,13.95
48.49,13.95
48.97,13.96
49.46,13.83
49.96,13.69
50.46,13.77
50.96,13.86
51.47,13.89
51.99,13.92
52.51,13.84
53.03,13.76
53.56,13.76
54.10,13.76
54.64,13.76
55.18,13.76
55.74,13.76
56.29,13.76
56.86,13.76
57.42,13.76
58.00,13.76
58.58,13.76
59.16,13.76
59.76,13.76
60.35,13.76
60.96,13.75
61.57,13.59
62.18,13.50
62.80,13.62
63.43,13.73
64.07,13.81
64.71,13.68
65.35,13.61
66.01,13.58
66.67,13.59
67.33,13.59
68.01,13.60
68.69,13.60
69.37,13.56
70.07,13.47
70.77,13.41
71.48,13.45
72.19,13.53
72.91,13.53
73.64,13.53
74.38,13.60
75.12,13.71
75.87,13.72
76.63,13.54
77.40,13.44
78.17,13.44
78.95,13.44
79.74,13.22
80.54,13.24
81.35,13.32
82.16,13.34
82.98,13.35
83.81,13.35
84.65,13.47
85.50,13.46
86.35,13.30
87.22,13.15
88.09,13.00
88.97,13.15
89.86,13.19
90.76,13.19
91.66,13.28
92.58,13.35
93.51,13.24
94.44,13.05
95.39,12.92
96.34,12.94
97.30,13.06
98.28,13.06
99.26,13.10
100.25,13.21
101.25,13.18
102.27,12.94
103.29,12.80
104.32,12.75
105.37,12.86
106.42,12.89
107.48,12.96
