frequency,raw
20.00,0.53
20.20,0.56
20.40,0.59
20.61,0.62
20.81,0.66
21.02,0.68
21.23,0.69
21.44,0.71
21.66,0.73
21.87,0.74
22.09,0.77
22.31,0.82
22.54,0.87
22.76,0.93
22.99,0.97
23.22,0.98
23.45,0.98
23.69,0.98
23.92,0.98
24.16,0.99
24.40,1.00
24.65,1.01
24.89,1.02
25.14,1.04
25.39,1.05
25.65,1.07
25.91,1.08
26.16,1.11
26.43,1.13
26.69,1.17
26.96,1.21
27.23,1.21
27.50,1.23
27.77,1.24
28.05,1.25
28.33,1.28
28.62,1.30
28.90,1.33
29.19,1.33
29.48,1.33
29.78,1.33
30.08,1.33
30.38,1.33
30.68,1.33
30.99,1.33
31.30,1.34
31.61,1.35
31.93,1.37
32.24,1.42
32.57,1.47
32.89,1.52
33.22,1.54
33.55,1.54
33.89,1.55
34.23,1.55
34.57,1.55
34.92,1.55
35.27,1.55
35.62,1.55
35.97,1.56
36.33,1.56
36.70,1.56
37.06,1.56
37.43,1.57
37.81,1.57
38.19,1.60
38.57,1.64
38.95,1.69
39.34,1.69
39.74,1.70
40.14,1.71
40.54,1.72
40.94,1.72
41.35,1.72
41.76,1.72
42.18,1.72
42.60,1.72
43.03,1.72
43.46,1.72
43.90,1.71
44.33,1.74
44.78,1.79
45.23,1.81
45.68,1.81
46.13,1.81
46.60,1.81
47.06,1.82
47.53,1.86
48.01,1.91
48.49,1.91
48.97,1.92
49.46,1.92
49.96,1.92
50.46,1.92
50.96,1.91
51.47,1.91
51.99,1.91
52.51,1.92
53.03,1.92
53.56,1.92
54.10,1.92
54.64,1.92
55.18,1.92
55.74,1.92
56.29,1.92
56.86,1.92
57.42,1.92
58.00,1.92
58.58,1.92
59.16,1.92
59.76,1.92
60.35,1.92
60.96,1.91
61.57,1.91
62.18,1.91
62.80,1.92
63.43,1.92
64.07,1.93
64.71,1.93
65.35,1.94
66.01,1.94
66.67,1.95
67.33,1.95
68.01,1.96
68.69,1.96
69.37,1.97
70.07,1.97
70.77,1.98
71.48,1.98
72.19,1.99
72.91,1.99
73.64,1.99
74.38,1.99
75.12,1.99
75.87,2.00
76.63,2.00
77.40,2.00
78.17,2.00
78.95,2.00
79.74,2.00
80.54,2.00
81.35,2.00
82.16,2.00
82.98,2.01
83.81,2.01
84.65,2.01
85.50,2.02
86.35,2.02
87.22,2.03
88.09,2.04
88.97,2.05
89.86,2.06
90.76,2.06
91.66,2.07
92.58,2.08
93.51,2.09
94.44,2.10
95.39,2.11
96.34,2.12
97.30,2.13
98.28,2.13
99.26,2.14
100.25,2.14
101.25,2.14
102.27,2.15
103.29,2.16
104.32,2.16
105.37,2.16
106.42,2.16
107.48,2.15
