frequency,raw
20.00,2.11
20.20,2.14
20.40,2.18
20.61,2.21
20.81,2.25
21.02,2.28
21.23,2.32
21.44,2.35
21.66,2.39
21.87,2.42
22.09,2.44
22.31,2.45
22.54,2.46
22.76,2.47
22.99,2.47
23.22,2.48
23.45,2.48
23.69,2.48
23.92,2.48
24.16,2.51
24.40,2.56
24.65,2.61
24.89,2.66
25.14,2.68
25.39,2.68
25.65,2.69
25.91,2.69
26.16,2.70
26.43,2.70
26.69,2.71
26.96,2.72
27.23,2.72
27.50,2.73
27.77,2.74
28.05,2.76
28.33,2.82
28.62,2.87
28.90,2.94
29.19,2.95
29.48,2.95
29.78,2.95
30.08,2.95
30.38,2.95
30.68,2.95
30.99,2.95
31.30,2.95
31.61,2.95
31.93,2.95
32.24,2.96
32.57,2.96
32.89,2.96
33.22,3.00
33.55,3.07
33.89,3.15
34.23,3.17
34.57,3.17
34.92,3.17
35.27,3.17
35.62,3.17
35.97,3.18
36.33,3.18
36.70,3.18
37.06,3.18
37.43,3.19
37.81,3.19
38.19,3.20
38.57,3.21
38.95,3.22
39.34,3.22
39.74,3.23
40.14,3.25
40.54,3.30
40.94,3.34
41.35,3.35
41.76,3.35
42.18,3.35
42.60,3.35
43.03,3.35
43.46,3.35
43.90,3.34
44.33,3.37
44.78,3.41
45.23,3.43
45.68,3.44
46.13,3.44
46.60,3.44
47.06,3.44
47.53,3.44
48.01,3.45
48.49,3.45
48.97,3.46
49.46,3.46
49.96,3.46
50.46,3.46
50.96,3.45
51.47,3.45
51.99,3.45
52.51,3.46
53.03,3.46
53.56,3.46
54.10,3.47
54.64,3.52
55.18,3.56
55.74,3.56
56.29,3.56
56.86,3.56
57.42,3.56
58.00,3.56
58.58,3.56
59.16,3.56
59.76,3.56
60.35,3.56
60.96,3.55
61.57,3.55
62.18,3.55
62.80,3.56
63.43,3.56
64.07,3.57
64.71,3.57
65.35,3.56
66.01,3.53
66.67,3.51
67.33,3.49
68.01,3.50
68.69,3.43
69.37,3.41
70.07,3.41
70.77,3.42
71.48,3.42
72.19,3.43
72.91,3.43
73.64,3.43
74.38,3.43
75.12,3.43
75.87,3.44
76.63,3.44
77.40,3.44
78.17,3.44
78.95,3.44
79.74,3.44
80.54,3.44
81.35,3.43
82.16,3.40
82.98,3.35
83.81,3.35
84.65,3.33
85.50,3.30
86.35,3.26
87.22,3.27
88.09,3.27
88.97,3.28
89.86,3.29
90.76,3.29
91.66,3.28
92.58,3.25
93.51,3.23
94.44,3.24
95.39,3.24
96.34,3.22
97.30,3.17
98.28,3.16
99.26,3.12
100.25,3.07
101.25,3.07
102.27,3.08
103.29,3.09
104.32,3.09
105.37,3.08
106.42,3.03
107.48,2.96
108.56,2.90
109.64,2.88
110.74,2.87
111.85,2.87
112.97,2.83
114.10,2.77
115.24,2.72
116.39,2.71
117.55,2.70
118.73,2.68
119.92,2.56
121.12,2.54
122.33,2.55
123.55,2.55
124.79,2.49
126.03,2.38
127.29,2.37
128.57,2.33
129.85,2.28
131.15,2.22
132.46,2.20
133.79,2.20
135.12,2.19
136.48,2.13
137.84,2.07
139.22,2.01
140.61,1.95
142.02,1.91
143.44,1.87
144.87,1.85
146.32,1.79
147.78,1.76
149.26,1.71
150.75,1.64
152.26,1.59
153.78,1.48
155.32,1.44
156.88,1.39
158.44,1.27
160.03,1.24
161.63,1.21
163.24,1.11
164.88,1.06
166.53,1.07
168.19,0.95
169.87,0.87
171.57,0.77
173.29,0.69
175.02,0.60
176.77,0.55
178.54,0.50
180.32,0.42
182.13,0.36
183.95,0.31
185.79,0.27
