frequency,raw
20.00,14.06
20.20,14.07
20.40,14.09
20.61,14.10
20.81,14.12
21.02,14.13
21.23,14.16
21.44,14.19
21.66,14.24
21.87,14.26
22.09,14.28
22.31,14.29
22.54,14.30
22.76,14.31
22.99,14.31
23.22,14.32
23.45,14.32
23.69,14.32
23.92,14.32
24.16,14.32
24.40,14.32
24.65,14.32
24.89,14.32
25.14,14.32
25.39,14.32
25.65,14.33
25.91,14.33
26.16,14.34
26.43,14.34
26.69,14.35
26.96,14.36
27.23,14.36
27.50,14.37
27.77,14.38
28.05,14.39
28.33,14.39
28.62,14.39
28.90,14.40
29.19,14.39
29.48,14.39
29.78,14.39
30.08,14.39
30.38,14.39
30.68,14.39
30.99,14.39
31.30,14.39
31.61,14.39
31.93,14.39
32.24,14.40
32.57,14.40
32.89,14.40
33.22,14.40
33.55,14.39
33.89,14.40
34.23,14.38
34.57,14.35
34.92,14.32
35.27,14.31
35.62,14.31
35.97,14.32
36.33,14.32
36.70,14.32
37.06,14.32
37.43,14.33
37.81,14.33
38.19,14.34
38.57,14.35
38.95,14.36
39.34,14.29
39.74,14.23
40.14,14.20
40.54,14.25
40.94,14.28
41.35,14.29
41.76,14.29
42.18,14.29
42.60,14.29
43.03,14.28
43.46,14.21
43.90,14.13
44.33,14.13
44.78,14.16
45.23,14.18
45.68,14.18
46.13,14.18
46.60,14.19
47.06,14.19
47.53,14.18
48.01,14.19
48.49,14.03
48.97,13.89
49.46,13.94
49.96,13.99
50.46,14.00
50.96,13.99
51.47,13.99
51.99,13.99
52.51,13.88
53.03,13.77
53.56,13.84
54.10,13.90
54.64,13.90
55.18,13.90
55.74,13.90
56.29,13.86
56.86,13.78
57.42,13.82
58.00,13.90
58.58,13.84
59.16,13.76
59.76,13.63
60.35,13.55
60.96,13.49
61.57,13.55
62.18,13.59
62.80,13.60
63.43,13.52
64.07,13.43
64.71,13.42
65.35,13.50
66.01,13.63
66.67,13.60
67.33,13.53
68.01,13.44
68.69,13.25
69.37,13.24
70.07,13.34
70.77,13.23
71.48,13.16
72.19,13.16
72.91,13.29
73.64,13.41
74.38,13.36
75.12,13.13
75.87,12.91
76.63,12.97
77.40,13.05
78.17,13.07
78.95,13.07
79.74,12.85
80.54,12.95
81.35,13.04
82.16,12.93
82.98,12.88
83.81,12.62
84.65,12.63
85.50,12.73
86.35,12.76
87.22,12.70
88.09,12.65
88.97,12.61
89.86,12.63
90.76,12.55
91.66,12.38
92.58,12.43
93.51,12.59
94.44,12.67
95.39,12.48
96.34,12.23
97.30,12.37
98.28,12.32
99.26,12.18
100.25,12.30
101.25,12.26
102.27,12.12
103.29,12.04
104.32,12.04
105.37,12.22
106.42,12.33
107.48,12.04
108.56,11.71
109.64,11.81
110.74,11.81
111.85,11.60
112.97,11.91
114.10,11.95
115.24,11.69
116.39,11.53
117.55,11.55
118.73,11.71
119.92,11.30
121.12,11.22
122.33,11.38
123.55,11.42
124.79,11.37
126.03,11.31
127.29,11.30
128.57,11.27
129.85,11.21
131.15,11.13
132.46,10.94
133.79,10.76
135.12,10.89
136.48,11.08
137.84,10.78
139.22,10.80
140.61,10.86
142.02,11.08
143.44,10.87
144.87,10.61
146.32,10.65
147.78,10.65
149.26,10.59
150.75,10.54
152.26,10.48
153.78,10.43
155.32,10.38
156.88,10.18
158.44,10.03
160.03,10.28
161.63,10.38
163.24,10.03
164.88,10.03
166.53,10.34
168.19,10.14
169.87,9.91
171.57,9.85
173.29,9.80
175.02,9.73
176.77,9.68
178.54,9.63
180.32,9.34
182.13,9.33
183.95,9.74
185.79,9.55
187.65,9.16
189.52,9.49
191.42,9.41
193.33,9.07
195.27,9.26
197.22,9.40
199.19,9.10
201.18,9.07
203.19,9.09
205.23,8.82
207.28,8.73
209.35,8.68
211.44,8.46
213.56,8.74
215.69,8.91
217.85,8.53
220.03,8.43
222.23,8.37
224.45,8.28
226.70,8.23
228.96,8.16
231.25,8.35
233.57,8.21
235.90,7.71
238.26,7.91
240.64,8.05
243.05,7.77
245.48,7.41
247.93,7.56
250.41,7.85
252.92,7.74
255.45,7.66
258.00,7.48
260.58,7.57
263.19,7.38
265.82,6.94
268.48,7.19
271.16,7.24
273.87,6.80
276.61,6.94
279.38,7.17
282.17,6.94
284.99,6.73
287.84,6.63
290.72,6.69
293.63,6.75
296.57,6.50
299.53,6.26
302.53,6.47
305.55,6.48
308.61,6.30
311.69,6.25
314.81,6.13
317.96,5.89
321.14,5.92
324.35,6.07
327.59,5.88
330.87,5.70
334.18,5.61
337.52,5.58
340.90,5.55
344.30,5.52
347.75,5.32
351.23,5.14
354.74,5.19
358.28,5.16
361.87,5.05
365.49,5.15
369.14,5.05
372.83,4.88
376.56,4.72
380.33,4.61
384.13,4.56
387.97,4.53
391.85,4.54
395.77,4.51
399.73,4.37
403.72,4.27
407.76,4.28
411.84,4.12
415.96,3.92
420.12,3.90
424.32,3.84
428.56,3.81
432.85,3.80
437.18,3.62
441.55,3.52
445.96,3.53
450.42,3.45
454.93,3.32
459.48,3.21
464.07,3.12
468.71,3.07
473.40,3.02
478.13,2.98
482.91,2.96
487.74,2.81
492.62,2.69
497.55,2.61
502.52,2.47
507.55,2.41
512.62,2.35
517.75,2.28
522.93,2.23
528.16,2.19
533.44,2.13
538.77,2.03
544.16,1.93
549.60,1.83
555.10,1.73
560.65,1.63
566.25,1.52
571.92,1.49
577.64,1.46
583.41,1.32
589.25,1.19
595.14,1.11
601.09,1.03
607.10,0.99
613.17,0.94
619.30,0.85
625.50,0.79
631.75,0.74
638.07,0.71
644.45,0.63
650.89,0.56
657.40,0.50
663.98,0.38
670.62,0.32
677.32,0.27
684.10,0.24
690.94,0.24
697.85,0.13
704.83,0.07
711.87,-0.02
718.99,-0.03
726.18,-0.05
733.44,-0.23
740.78,-0.34
748.19,-0.36
755.67,-0.39
763.23,-0.43
770.86,-0.45
778.57,-0.49
786.35,-0.51
794.22,-0.60
802.16,-0.67
810.18,-0.77
818.28,-0.82
826.46,-0.87
834.73,-0.89
843.08,-0.85
851.51,-0.85
860.02,-0.90
868.62,-0.93
877.31,-0.97
886.08,-0.93
894.94,-1.02
903.89,-1.15
912.93,-1.23
922.06,-1.24
931.28,-1.24
940.59,-1.24
950.00,-1.24
959.50,-1.29
969.09,-1.29
978.78,-1.10
988.57,-1.01
998.46,-1.06
1008.44,-1.06
1018.53,-0.92
1028.71,-0.79
1039.00,-0.67
1049.39,-0.66
1059.88,-0.61
1070.48,-0.56
1081.19,-0.54
1092.00,-0.56
1102.92,-0.44
1113.95,-0.34
1125.09,-0.28
1136.34,-0.20
1147.70,-0.25
1159.18,-0.25
1170.77,-0.26
1182.48,-0.18
1194.30,-0.05
1206.25,0.03
1218.31,0.14
1230.49,0.29
1242.80,0.45
1255.22,0.61
1267.78,0.71
1280.45,0.82
1293.26,0.90
1306.19,0.93
1319.25,1.01
1332.45,1.05
1345.77,1.17
1359.23,1.31
1372.82,1.34
1386.55,1.38
1400.41,1.47
1414.42,1.78
1428.56,1.99
1442.85,2.08
1457.28,2.16
1471.85,2.26
1486.57,2.34
1501.43,2.41
1516.45,2.48
1531.61,2.53
1546.93,2.59
1562.40,2.62
1578.02,2.69
1593.80,2.78
1609.74,2.89
1625.84,2.95
1642.10,2.99
1658.52,3.04
1675.10,3.15
1691.85,3.28
1708.77,3.52
1725.86,3.49
1743.12,3.47
1760.55,3.67
1778.15,3.81
1795.94,3.90
1813.90,3.99
1832.03,4.17
1850.36,4.40
1868.86,4.50
1887.55,4.54
1906.42,4.64
1925.49,4.76
1944.74,4.88
1964.19,5.00
1983.83,5.08
2003.67,5.11
2023.71,5.30
2043.94,5.48
2064.38,5.67
2085.03,6.03
2105.88,6.24
2126.94,6.29
2148.20,6.44
2169.69,6.64
2191.38,6.86
2213.30,7.12
2235.43,7.39
2257.78,7.66
2280.36,7.95
2303.17,8.26
2326.20,8.52
2349.46,8.78
2372.95,9.11
2396.68,9.39
2420.65,9.67
2444.86,10.01
2469.31,10.37
2494.00,10.67
2518.94,10.95
2544.13,11.27
2569.57,11.67
2595.27,12.04
2621.22,12.41
2647.43,12.93
2673.90,13.33
2700.64,13.67
2727.65,14.14
2754.93,14.58
2782.48,14.99
2810.30,15.46
2838.40,15.87
2866.79,16.20
2895.46,16.66
2924.41,16.91
2953.65,16.90
