frequency,raw
20.00,-3.13
20.20,-3.12
20.40,-3.10
20.61,-3.08
20.81,-3.06
21.02,-3.05
21.23,-3.02
21.44,-2.99
21.66,-2.95
21.87,-2.93
22.09,-2.90
22.31,-2.88
22.54,-2.86
22.76,-2.83
22.99,-2.82
23.22,-2.78
23.45,-2.75
23.69,-2.71
23.92,-2.68
24.16,-2.67
24.40,-2.67
24.65,-2.67
24.89,-2.67
25.14,-2.67
25.39,-2.67
25.65,-2.66
25.91,-2.66
26.16,-2.65
26.43,-2.64
26.69,-2.63
26.96,-2.61
27.23,-2.57
27.50,-2.51
27.77,-2.45
28.05,-2.40
28.33,-2.40
28.62,-2.40
28.90,-2.39
29.19,-2.40
29.48,-2.40
29.78,-2.40
30.08,-2.40
30.38,-2.40
30.68,-2.40
30.99,-2.40
31.30,-2.39
31.61,-2.37
31.93,-2.35
32.24,-2.33
32.57,-2.31
32.89,-2.30
33.22,-2.29
33.55,-2.30
33.89,-2.29
34.23,-2.26
34.57,-2.23
34.92,-2.19
35.27,-2.18
35.62,-2.18
35.97,-2.17
36.33,-2.17
36.70,-2.17
37.06,-2.17
37.43,-2.16
37.81,-2.16
38.19,-2.15
38.57,-2.14
38.95,-2.13
39.34,-2.09
39.74,-2.03
40.14,-1.99
40.54,-1.99
40.94,-2.00
41.35,-2.00
41.76,-2.00
42.18,-2.00
42.60,-2.00
43.03,-2.00
43.46,-2.00
43.90,-2.01
44.33,-2.01
44.78,-2.01
45.23,-2.01
45.68,-2.01
46.13,-2.01
46.60,-2.01
47.06,-2.01
47.53,-2.02
48.01,-2.02
48.49,-1.96
48.97,-1.89
49.46,-1.89
49.96,-1.89
50.46,-1.89
50.96,-1.90
51.47,-1.90
51.99,-1.90
52.51,-1.89
53.03,-1.89
53.56,-1.82
54.10,-1.77
54.64,-1.78
55.18,-1.79
55.74,-1.79
56.29,-1.79
56.86,-1.79
57.42,-1.79
58.00,-1.79
58.58,-1.79
59.16,-1.79
59.76,-1.79
60.35,-1.79
60.96,-1.80
61.57,-1.80
62.18,-1.80
62.80,-1.79
63.43,-1.79
64.07,-1.78
64.71,-1.78
65.35,-1.77
66.01,-1.77
66.67,-1.76
67.33,-1.76
68.01,-1.75
68.69,-1.75
69.37,-1.74
70.07,-1.74
70.77,-1.73
71.48,-1.73
72.19,-1.72
72.91,-1.72
73.64,-1.72
74.38,-1.72
75.12,-1.72
75.87,-1.71
76.63,-1.71
77.40,-1.71
78.17,-1.71
78.95,-1.71
79.74,-1.71
80.54,-1.71
81.35,-1.71
82.16,-1.71
82.98,-1.70
83.81,-1.70
84.65,-1.70
85.50,-1.69
86.35,-1.69
87.22,-1.68
88.09,-1.68
88.97,-1.66
89.86,-1.65
90.76,-1.65
91.66,-1.64
92.58,-1.63
93.51,-1.62
94.44,-1.61
95.39,-1.60
96.34,-1.59
97.30,-1.58
98.28,-1.58
99.26,-1.57
100.25,-1.57
101.25,-1.57
102.27,-1.56
103.29,-1.55
104.32,-1.55
105.37,-1.55
106.42,-1.55
107.48,-1.56
108.56,-1.56
109.64,-1.56
110.74,-1.57
111.85,-1.57
112.97,-1.57
114.10,-1.56
115.24,-1.55
116.39,-1.54
117.55,-1.54
118.73,-1.52
119.92,-1.52
121.12,-1.50
122.33,-1.49
123.55,-1.49
124.79,-1.49
126.03,-1.47
127.29,-1.47
128.57,-1.47
129.85,-1.46
131.15,-1.46
132.46,-1.45
133.79,-1.44
135.12,-1.43
136.48,-1.43
137.84,-1.42
139.22,-1.42
140.61,-1.40
142.02,-1.39
143.44,-1.38
144.87,-1.38
146.32,-1.37
147.78,-1.35
149.26,-1.34
150.75,-1.33
152.26,-1.32
153.78,-1.32
155.32,-1.31
156.88,-1.30
158.44,-1.30
160.03,-1.29
161.63,-1.28
163.24,-1.28
164.88,-1.27
166.53,-1.26
168.19,-1.26
169.87,-1.26
171.57,-1.25
173.29,-1.25
175.02,-1.24
176.77,-1.25
178.54,-1.24
180.32,-1.24
182.13,-1.23
183.95,-1.22
185.79,-1.20
187.65,-1.19
189.52,-1.17
191.42,-1.15
193.33,-1.13
195.27,-1.13
197.22,-1.11
199.19,-1.14
201.18,-1.19
203.19,-1.21
205.23,-1.21
207.28,-1.21
209.35,-1.20
211.44,-1.20
213.56,-1.20
215.69,-1.20
217.85,-1.20
220.03,-1.20
222.23,-1.20
224.45,-1.20
226.70,-1.20
228.96,-1.19
231.25,-1.20
233.57,-1.19
235.90,-1.18
238.26,-1.17
240.64,-1.17
243.05,-1.17
245.48,-1.16
247.93,-1.15
250.41,-1.22
252.92,-1.23
255.45,-1.22
258.00,-1.21
260.58,-1.21
263.19,-1.22
265.82,-1.29
268.48,-1.30
271.16,-1.30
273.87,-1.29
276.61,-1.29
279.38,-1.29
282.17,-1.28
284.99,-1.27
287.84,-1.27
290.72,-1.24
293.63,-1.27
296.57,-1.31
299.53,-1.32
302.53,-1.31
305.55,-1.29
308.61,-1.28
311.69,-1.27
314.81,-1.26
317.96,-1.25
321.14,-1.25
324.35,-1.24
327.59,-1.24
330.87,-1.31
334.18,-1.34
337.52,-1.34
340.90,-1.33
344.30,-1.33
347.75,-1.33
351.23,-1.32
354.74,-1.32
358.28,-1.32
361.87,-1.36
365.49,-1.39
369.14,-1.40
372.83,-1.39
376.56,-1.38
380.33,-1.36
384.13,-1.36
387.97,-1.34
391.85,-1.36
395.77,-1.40
399.73,-1.41
403.72,-1.40
407.76,-1.38
411.84,-1.38
415.96,-1.37
420.12,-1.38
424.32,-1.44
428.56,-1.44
432.85,-1.44
437.18,-1.43
441.55,-1.42
445.96,-1.40
450.42,-1.39
454.93,-1.41
459.48,-1.52
464.07,-1.54
468.71,-1.54
473.40,-1.52
478.13,-1.52
482.91,-1.51
487.74,-1.51
492.62,-1.51
497.55,-1.50
502.52,-1.49
507.55,-1.51
512.62,-1.55
517.75,-1.55
522.93,-1.53
528.16,-1.52
533.44,-1.51
538.77,-1.50
544.16,-1.50
549.60,-1.59
555.10,-1.63
560.65,-1.61
566.25,-1.62
571.92,-1.63
577.64,-1.63
583.41,-1.63
589.25,-1.62
595.14,-1.61
601.09,-1.66
607.10,-1.71
613.17,-1.69
619.30,-1.68
625.50,-1.67
631.75,-1.68
638.07,-1.68
644.45,-1.70
650.89,-1.70
657.40,-1.70
663.98,-1.70
670.62,-1.70
677.32,-1.69
684.10,-1.68
690.94,-1.68
697.85,-1.69
704.83,-1.70
711.87,-1.74
718.99,-1.77
726.18,-1.74
733.44,-1.71
740.78,-1.73
748.19,-1.75
755.67,-1.79
763.23,-1.83
770.86,-1.87
778.57,-1.91
786.35,-1.85
794.22,-1.85
802.16,-1.86
810.18,-1.87
818.28,-1.84
826.46,-1.80
