frequency,raw
20.00,3.12
20.20,3.16
20.40,3.21
20.61,3.25
20.81,3.29
21.02,3.33
21.23,3.35
21.44,3.38
21.66,3.41
21.87,3.42
22.09,3.46
22.31,3.52
22.54,3.57
22.76,3.63
22.99,3.68
23.22,3.72
23.45,3.75
23.69,3.79
23.92,3.82
24.16,3.86
24.40,3.91
24.65,3.96
24.89,4.01
25.14,4.04
25.39,4.07
25.65,4.10
25.91,4.12
26.16,4.16
26.43,4.18
26.69,4.21
26.96,4.25
27.23,4.28
27.50,4.32
27.77,4.36
28.05,4.41
28.33,4.45
28.62,4.49
28.90,4.54
29.19,4.55
29.48,4.57
29.78,4.59
30.08,4.61
30.38,4.64
30.68,4.67
30.99,4.70
31.30,4.71
31.61,4.72
31.93,4.73
32.24,4.78
32.57,4.84
32.89,4.89
33.22,4.91
33.55,4.91
33.89,4.92
34.23,4.93
34.57,4.94
34.92,4.96
35.27,4.98
35.62,5.00
35.97,5.03
36.33,5.06
36.70,5.10
37.06,5.13
37.43,5.16
37.81,5.18
38.19,5.21
38.57,5.24
38.95,5.27
39.34,5.27
39.74,5.28
40.14,5.29
40.54,5.30
40.94,5.30
41.35,5.34
41.76,5.38
42.18,5.40
42.60,5.40
43.03,5.40
43.46,5.40
43.90,5.39
44.33,5.42
44.78,5.46
45.23,5.48
45.68,5.49
46.13,5.50
46.60,5.56
47.06,5.60
47.53,5.60
48.01,5.61
48.49,5.61
48.97,5.62
49.46,5.62
49.96,5.62
50.46,5.62
50.96,5.61
51.47,5.61
51.99,5.61
52.51,5.62
53.03,5.62
53.56,5.68
54.10,5.72
54.64,5.72
55.18,5.72
55.74,5.72
56.29,5.72
56.86,5.72
57.42,5.72
58.00,5.72
58.58,5.72
59.16,5.72
59.76,5.72
60.35,5.72
60.96,5.71
61.57,5.71
62.18,5.71
62.80,5.72
63.43,5.72
64.07,5.73
64.71,5.73
65.35,5.74
66.01,5.74
66.67,5.75
67.33,5.75
68.01,5.76
68.69,5.76
69.37,5.77
70.07,5.77
70.77,5.78
71.48,5.78
72.19,5.79
72.91,5.79
73.64,5.79
74.38,5.79
75.12,5.79
75.87,5.80
76.63,5.80
77.40,5.78
78.17,5.73
78.95,5.69
79.74,5.69
80.54,5.69
81.35,5.69
82.16,5.69
82.98,5.70
83.81,5.70
84.65,5.70
85.50,5.71
86.35,5.71
87.22,5.73
88.09,5.73
88.97,5.74
89.86,5.75
90.76,5.75
91.66,5.76
92.58,5.77
93.51,5.78
94.44,5.79
95.39,5.80
96.34,5.79
97.30,5.76
98.28,5.72
99.26,5.73
100.25,5.73
101.25,5.73
102.27,5.74
103.29,5.75
104.32,5.75
105.37,5.75
106.42,5.75
107.48,5.75
108.56,5.74
109.64,5.68
110.74,5.61
111.85,5.54
112.97,5.53
114.10,5.54
115.24,5.55
116.39,5.56
117.55,5.56
118.73,5.58
119.92,5.58
121.12,5.60
122.33,5.59
123.55,5.54
124.79,5.51
126.03,5.55
127.29,5.46
128.57,5.43
129.85,5.44
131.15,5.44
132.46,5.45
133.79,5.46
135.12,5.45
136.48,5.38
137.84,5.37
139.22,5.38
140.61,5.39
142.02,5.42
143.44,5.43
144.87,5.36
146.32,5.25
147.78,5.22
149.26,5.24
150.75,5.26
152.26,5.27
153.78,5.27
155.32,5.29
156.88,5.27
158.44,5.12
160.03,5.10
161.63,5.11
163.24,5.12
164.88,5.13
166.53,5.13
168.19,5.08
169.87,5.04
171.57,4.96
173.29,4.94
175.02,4.95
176.77,4.95
178.54,4.85
180.32,4.86
182.13,4.85
183.95,4.77
185.79,4.80
187.65,4.80
189.52,4.74
191.42,4.73
193.33,4.75
195.27,4.69
197.22,4.63
199.19,4.57
201.18,4.54
203.19,4.56
205.23,4.60
207.28,4.62
209.35,4.53
211.44,4.39
213.56,4.36
215.69,4.39
217.85,4.43
220.03,4.28
222.23,4.18
224.45,4.18
226.70,4.19
228.96,4.20
231.25,4.13
233.57,4.09
235.90,4.01
238.26,4.02
240.64,3.95
243.05,3.92
245.48,3.97
247.93,3.87
250.41,3.73
252.92,3.73
255.45,3.77
258.00,3.78
260.58,3.63
263.19,3.56
265.82,3.59
268.48,3.63
271.16,3.59
273.87,3.39
276.61,3.35
279.38,3.38
282.17,3.30
284.99,3.29
287.84,3.39
290.72,3.42
293.63,3.19
296.57,3.13
299.53,3.22
302.53,3.07
305.55,2.94
308.61,2.97
311.69,3.00
314.81,2.95
317.96,2.88
321.14,2.84
324.35,2.83
327.59,2.76
330.87,2.70
334.18,2.65
337.52,2.53
340.90,2.53
344.30,2.55
347.75,2.36
351.23,2.33
354.74,2.39
358.28,2.20
361.87,2.10
365.49,2.15
369.14,2.15
372.83,2.10
376.56,2.03
380.33,1.96
384.13,1.83
387.97,1.88
391.85,1.96
395.77,2.02
399.73,1.82
403.72,1.72
407.76,1.77
411.84,1.73
415.96,1.71
420.12,1.67
424.32,1.48
428.56,1.53
432.85,1.61
437.18,1.36
441.55,1.26
445.96,1.34
450.42,1.35
454.93,1.31
459.48,1.24
464.07,1.16
468.71,1.07
473.40,1.19
478.13,1.00
482.91,0.82
487.74,0.81
492.62,0.93
497.55,0.82
502.52,0.58
507.55,0.69
512.62,0.79
517.75,0.48
522.93,0.40
528.16,0.53
533.44,0.67
538.77,0.57
544.16,0.25
549.60,0.33
555.10,0.32
560.65,0.26
566.25,0.18
571.92,0.14
577.64,0.11
583.41,0.06
589.25,0.00
595.14,-0.05
601.09,-0.29
607.10,-0.24
613.17,-0.00
619.30,-0.02
625.50,-0.17
631.75,-0.41
638.07,-0.34
644.45,-0.24
650.89,-0.39
657.40,-0.43
663.98,-0.43
670.62,-0.48
677.32,-0.52
684.10,-0.60
690.94,-0.62
697.85,-0.62
704.83,-0.58
711.87,-0.49
718.99,-0.65
726.18,-0.78
733.44,-0.83
740.78,-0.86
748.19,-0.89
755.67,-0.80
763.23,-0.89
770.86,-1.05
778.57,-1.13
786.35,-1.25
794.22,-1.27
802.16,-1.14
810.18,-1.13
818.28,-1.16
826.46,-1.17
834.73,-1.03
843.08,-1.02
851.51,-1.16
860.02,-1.35
868.62,-1.41
877.31,-1.26
886.08,-1.24
894.94,-1.27
903.89,-1.29
912.93,-1.41
922.06,-1.45
931.28,-1.15
940.59,-1.10
950.00,-1.16
959.50,-1.27
969.09,-1.27
978.78,-1.14
988.57,-1.08
998.46,-1.07
1008.44,-1.08
1018.53,-1.11
1028.71,-1.09
1039.00,-0.89
1049.39,-0.81
1059.88,-0.75
1070.48,-0.70
1081.19,-0.63
1092.00,-0.56
1102.92,-0.48
1113.95,-0.38
1125.09,-0.29
1136.34,-0.19
1147.70,-0.01
1159.18,-0.07
1170.77,-0.10
1182.48,0.05
1194.30,0.20
1206.25,0.29
1218.31,0.39
1230.49,0.47
1242.80,0.56
1255.22,0.64
1267.78,0.68
1280.45,0.78
1293.26,0.87
1306.19,0.96
1319.25,1.06
1332.45,1.10
1345.77,1.11
1359.23,1.19
1372.82,1.28
1386.55,1.35
1400.41,1.45
1414.42,1.45
1428.56,1.52
1442.85,1.55
1457.28,1.54
1471.85,1.55
1486.57,1.59
1501.43,1.59
1516.45,1.67
1531.61,1.73
1546.93,1.67
1562.40,1.68
1578.02,1.71
1593.80,1.76
1609.74,1.78
1625.84,1.74
1642.10,1.82
1658.52,1.88
1675.10,1.92
1691.85,1.96
1708.77,1.93
1725.86,1.96
1743.12,1.91
1760.55,1.91
1778.15,1.97
1795.94,2.02
1813.90,1.99
1832.03,1.97
1850.36,2.00
1868.86,2.05
1887.55,2.09
1906.42,2.11
1925.49,2.08
1944.74,2.07
1964.19,2.11
1983.83,2.15
2003.67,2.17
2023.71,2.15
2043.94,2.20
2064.38,2.19
2085.03,2.19
2105.88,2.21
2126.94,2.16
2148.20,2.15
2169.69,2.21
2191.38,2.31
2213.30,2.38
2235.43,2.40
2257.78,2.45
2280.36,2.53
2303.17,2.56
2326.20,2.51
2349.46,2.54
2372.95,2.61
2396.68,2.74
2420.65,2.74
2444.86,2.73
2469.31,2.73
2494.00,2.75
2518.94,2.77
2544.13,2.81
2569.57,2.80
2595.27,2.82
2621.22,2.90
2647.43,3.01
2673.90,3.01
2700.64,3.05
2727.65,3.15
2754.93,3.18
2782.48,3.23
2810.30,3.23
2838.40,3.23
2866.79,3.28
2895.46,3.26
2924.41,3.22
2953.65,3.25
2983.19,3.32
3013.02,3.34
3043.15,3.34
3073.58,3.39
3104.32,3.44
3135.36,3.41
3166.72,3.45
3198.38,3.51
3230.37,3.44
3262.67,3.44
3295.30,3.51
3328.25,3.43
3361.53,3.49
3395.15,3.53
3429.10,3.50
3463.39,3.53
3498.03,3.57
3533.01,3.55
3568.34,3.54
3604.02,3.73
3640.06,3.86
3676.46,3.93
3713.22,3.92
3750.36,3.84
3787.86,3.64
3825.74,3.52
3864.00,3.56
3902.64,3.66
3941.66,3.72
3981.08,3.77
4020.89,3.84
4061.10,3.93
4101.71,4.01
4142.73,4.04
4184.15,4.02
4226.00,4.06
