frequency,raw
20.00,-1.21
20.20,-1.20
20.40,-1.18
20.61,-1.17
20.81,-1.15
21.02,-1.14
21.23,-1.13
21.44,-1.12
21.66,-1.10
21.87,-1.10
22.09,-1.10
22.31,-1.11
22.54,-1.12
22.76,-1.14
22.99,-1.16
23.22,-1.11
23.45,-1.06
23.69,-1.01
23.92,-0.97
24.16,-0.95
24.40,-0.95
24.65,-0.95
24.89,-0.95
25.14,-0.95
25.39,-0.95
25.65,-0.94
25.91,-0.94
26.16,-0.89
26.43,-0.84
26.69,-0.77
26.96,-0.70
27.23,-0.72
27.50,-0.74
27.77,-0.76
28.05,-0.78
28.33,-0.78
28.62,-0.78
28.90,-0.77
29.19,-0.78
29.48,-0.78
29.78,-0.78
30.08,-0.78
30.38,-0.78
30.68,-0.78
30.99,-0.78
31.30,-0.78
31.61,-0.78
31.93,-0.78
32.24,-0.77
32.57,-0.77
32.89,-0.77
33.22,-0.77
33.55,-0.77
33.89,-0.76
34.23,-0.76
34.57,-0.76
34.92,-0.76
35.27,-0.76
35.62,-0.76
35.97,-0.75
36.33,-0.75
36.70,-0.75
37.06,-0.75
37.43,-0.74
37.81,-0.74
38.19,-0.75
38.57,-0.79
38.95,-0.82
39.34,-0.75
39.74,-0.66
40.14,-0.59
40.54,-0.58
40.94,-0.58
41.35,-0.58
41.76,-0.58
42.18,-0.58
42.60,-0.58
43.03,-0.58
43.46,-0.58
43.90,-0.59
44.33,-0.59
44.78,-0.59
45.23,-0.59
45.68,-0.59
46.13,-0.59
46.60,-0.59
47.06,-0.59
47.53,-0.59
48.01,-0.58
48.49,-0.58
48.97,-0.57
49.46,-0.57
49.96,-0.57
50.46,-0.57
50.96,-0.58
51.47,-0.58
51.99,-0.58
52.51,-0.57
53.03,-0.57
53.56,-0.57
54.10,-0.57
54.64,-0.57
55.18,-0.57
55.74,-0.57
56.29,-0.57
56.86,-0.57
57.42,-0.57
58.00,-0.57
58.58,-0.57
59.16,-0.57
59.76,-0.57
60.35,-0.57
60.96,-0.58
61.57,-0.58
62.18,-0.58
62.80,-0.57
63.43,-0.57
64.07,-0.56
64.71,-0.56
65.35,-0.55
66.01,-0.55
66.67,-0.54
67.33,-0.54
68.01,-0.53
68.69,-0.53
69.37,-0.52
70.07,-0.52
70.77,-0.51
71.48,-0.51
72.19,-0.50
72.91,-0.50
73.64,-0.50
74.38,-0.50
75.12,-0.50
75.87,-0.49
76.63,-0.49
77.40,-0.49
78.17,-0.49
78.95,-0.49
79.74,-0.49
80.54,-0.49
81.35,-0.49
82.16,-0.49
82.98,-0.48
83.81,-0.48
84.65,-0.48
85.50,-0.47
86.35,-0.47
87.22,-0.46
88.09,-0.46
88.97,-0.45
89.86,-0.44
90.76,-0.44
91.66,-0.43
92.58,-0.42
93.51,-0.41
94.44,-0.40
95.39,-0.39
96.34,-0.38
97.30,-0.37
98.28,-0.37
99.26,-0.36
100.25,-0.36
101.25,-0.36
102.27,-0.35
103.29,-0.34
104.32,-0.34
105.37,-0.33
106.42,-0.34
107.48,-0.34
108.56,-0.35
109.64,-0.35
110.74,-0.36
111.85,-0.35
112.97,-0.35
114.10,-0.35
115.24,-0.34
116.39,-0.33
117.55,-0.33
118.73,-0.31
119.92,-0.30
121.12,-0.29
122.33,-0.28
123.55,-0.28
124.79,-0.27
126.03,-0.26
127.29,-0.26
128.57,-0.25
129.85,-0.25
131.15,-0.24
132.46,-0.24
133.79,-0.22
135.12,-0.22
136.48,-0.22
137.84,-0.20
139.22,-0.20
140.61,-0.19
142.02,-0.18
143.44,-0.17
144.87,-0.17
146.32,-0.16
147.78,-0.14
149.26,-0.13
150.75,-0.12
152.26,-0.25
153.78,-0.32
155.32,-0.24
156.88,-0.19
158.44,-0.19
160.03,-0.14
161.63,-0.06
163.24,-0.18
164.88,-0.26
166.53,-0.25
168.19,-0.25
169.87,-0.24
171.57,-0.24
173.29,-0.24
175.02,-0.23
176.77,-0.24
178.54,-0.23
180.32,-0.22
182.13,-0.22
183.95,-0.21
185.79,-0.19
187.65,-0.18
189.52,-0.16
191.42,-0.15
193.33,-0.14
195.27,-0.13
197.22,-0.12
199.19,-0.11
201.18,-0.10
203.19,-0.10
205.23,-0.09
207.28,-0.09
209.35,-0.09
211.44,-0.09
213.56,-0.09
215.69,-0.09
217.85,-0.17
220.03,-0.22
222.23,-0.27
224.45,-0.29
226.70,-0.29
228.96,-0.28
231.25,-0.29
233.57,-0.28
235.90,-0.27
238.26,-0.26
240.64,-0.26
243.05,-0.26
245.48,-0.25
247.93,-0.23
250.41,-0.22
252.92,-0.21
255.45,-0.21
