frequency,raw
20.00,4.21
20.20,4.23
20.40,4.26
20.61,4.29
20.81,4.32
21.02,4.34
21.23,4.35
21.44,4.36
21.66,4.38
21.87,4.38
22.09,4.39
22.31,4.40
22.54,4.41
22.76,4.42
22.99,4.42
23.22,4.43
23.45,4.43
23.69,4.43
23.92,4.43
24.16,4.45
24.40,4.47
24.65,4.50
24.89,4.52
25.14,4.53
25.39,4.53
25.65,4.54
25.91,4.54
26.16,4.55
26.43,4.55
26.69,4.56
26.96,4.57
27.23,4.57
27.50,4.58
27.77,4.59
28.05,4.60
28.33,4.60
28.62,4.60
28.90,4.61
29.19,4.62
29.48,4.65
29.78,4.68
30.08,4.70
30.38,4.70
30.68,4.70
30.99,4.70
31.30,4.70
31.61,4.70
31.93,4.70
32.24,4.71
32.57,4.71
32.89,4.71
33.22,4.71
33.55,4.71
33.89,4.72
34.23,4.72
34.57,4.72
34.92,4.72
35.27,4.75
35.62,4.78
35.97,4.83
36.33,4.83
36.70,4.83
37.06,4.83
37.43,4.84
37.81,4.84
38.19,4.85
38.57,4.86
38.95,4.87
39.34,4.87
39.74,4.88
40.14,4.89
40.54,4.90
40.94,4.90
41.35,4.94
41.76,4.98
42.18,5.00
42.60,5.00
43.03,5.00
43.46,5.00
43.90,4.99
44.33,4.99
44.78,4.99
45.23,4.99
45.68,4.99
46.13,4.99
46.60,4.99
47.06,4.99
47.53,4.99
48.01,5.00
48.49,5.00
48.97,5.01
49.46,5.01
49.96,5.01
50.46,5.01
50.96,5.00
51.47,5.00
51.99,5.00
52.51,5.01
53.03,5.01
53.56,5.01
54.10,5.01
54.64,5.01
55.18,5.01
55.74,5.01
56.29,5.01
56.86,5.01
57.42,5.01
58.00,5.01
58.58,5.01
59.16,5.01
59.76,5.01
60.35,5.01
60.96,5.00
61.57,5.00
62.18,5.00
62.80,5.01
63.43,5.01
64.07,5.02
64.71,4.98
65.35,4.96
66.01,4.93
66.67,4.94
67.33,4.94
68.01,4.95
68.69,4.95
69.37,4.96
70.07,4.96
70.77,4.97
71.48,4.97
72.19,4.98
72.91,4.98
73.64,4.98
74.38,4.98
75.12,4.98
75.87,4.99
76.63,4.99
77.40,4.99
78.17,4.99
78.95,4.99
79.74,4.92
80.54,4.89
81.35,4.89
82.16,4.89
82.98,4.90
83.81,4.90
84.65,4.90
85.50,4.91
86.35,4.91
87.22,4.92
88.09,4.92
88.97,4.93
89.86,4.94
90.76,4.95
91.66,4.96
92.58,4.97
93.51,4.98
94.44,4.99
95.39,5.00
96.34,5.00
97.30,5.02
98.28,4.99
99.26,4.93
100.25,4.93
101.25,4.93
102.27,4.94
103.29,4.94
104.32,4.94
105.37,4.92
106.42,4.85
107.48,4.84
108.56,4.83
109.64,4.83
110.74,4.83
111.85,4.83
112.97,4.83
114.10,4.83
115.24,4.84
116.39,4.85
117.55,4.86
118.73,4.87
119.92,4.88
121.12,4.88
122.33,4.83
123.55,4.80
124.79,4.81
126.03,4.82
127.29,4.76
128.57,4.73
129.85,4.73
131.15,4.74
132.46,4.74
133.79,4.76
135.12,4.76
136.48,4.76
137.84,4.78
139.22,4.78
140.61,4.79
142.02,4.77
143.44,4.66
144.87,4.61
146.32,4.62
147.78,4.64
149.26,4.65
150.75,4.66
152.26,4.67
153.78,4.67
155.32,4.68
156.88,4.69
158.44,4.68
160.03,4.62
161.63,4.57
163.24,4.54
164.88,4.52
166.53,4.53
168.19,4.53
169.87,4.54
171.57,4.54
173.29,4.54
175.02,4.55
176.77,4.51
178.54,4.39
180.32,4.36
182.13,4.36
183.95,4.37
185.79,4.39
187.65,4.40
189.52,4.41
191.42,4.42
193.33,4.43
195.27,4.33
197.22,4.27
199.19,4.27
201.18,4.28
203.19,4.28
205.23,4.28
207.28,4.23
209.35,4.20
211.44,4.18
213.56,4.10
215.69,4.09
217.85,4.09
220.03,4.09
222.23,4.06
224.45,4.00
226.70,3.93
228.96,3.89
231.25,3.89
233.57,3.90
235.90,3.90
238.26,3.89
240.64,3.83
243.05,3.78
245.48,3.74
247.93,3.75
250.41,3.76
252.92,3.76
255.45,3.70
258.00,3.68
260.58,3.68
263.19,3.67
265.82,3.61
268.48,3.55
271.16,3.51
273.87,3.50
276.61,3.49
279.38,3.49
282.17,3.44
284.99,3.39
287.84,3.32
290.72,3.34
293.63,3.35
296.57,3.32
299.53,3.20
302.53,3.18
305.55,3.20
308.61,3.21
311.69,3.21
314.81,3.20
317.96,3.10
321.14,3.04
324.35,3.04
327.59,3.05
330.87,3.01
334.18,2.95
337.52,2.89
340.90,2.86
344.30,2.83
347.75,2.77
351.23,2.76
354.74,2.76
358.28,2.72
361.87,2.68
365.49,2.68
369.14,2.57
372.83,2.50
376.56,2.50
380.33,2.52
384.13,2.50
387.97,2.46
391.85,2.40
395.77,2.37
399.73,2.37
403.72,2.37
407.76,2.33
411.84,2.30
415.96,2.31
420.12,2.27
424.32,2.17
428.56,2.11
432.85,2.06
437.18,2.00
441.55,1.96
445.96,1.90
450.42,1.86
454.93,1.82
459.48,1.75
464.07,1.71
468.71,1.66
473.40,1.64
478.13,1.54
482.91,1.47
487.74,1.38
492.62,1.37
497.55,1.33
502.52,1.22
507.55,1.19
512.62,1.21
517.75,1.16
522.93,1.13
528.16,1.07
533.44,1.00
538.77,0.97
544.16,0.98
549.60,0.84
555.10,0.75
560.65,0.76
566.25,0.76
571.92,0.77
577.64,0.59
583.41,0.52
589.25,0.53
595.14,0.47
601.09,0.43
607.10,0.39
613.17,0.40
619.30,0.28
625.50,0.19
631.75,0.19
638.07,0.20
644.45,0.17
650.89,0.02
657.40,-0.04
663.98,-0.03
670.62,-0.01
677.32,-0.00
684.10,-0.08
690.94,-0.12
697.85,-0.15
704.83,-0.22
711.87,-0.31
718.99,-0.36
726.18,-0.39
733.44,-0.43
740.78,-0.46
748.19,-0.49
755.67,-0.57
763.23,-0.65
770.86,-0.69
778.57,-0.72
786.35,-0.75
794.22,-0.78
802.16,-0.80
810.18,-0.82
818.28,-0.86
826.46,-0.89
834.73,-0.99
843.08,-1.06
851.51,-1.09
860.02,-1.07
868.62,-1.07
877.31,-1.11
886.08,-1.06
894.94,-1.06
903.89,-1.09
912.93,-1.12
922.06,-1.14
931.28,-1.16
940.59,-1.13
950.00,-1.09
959.50,-1.08
969.09,-1.10
978.78,-1.10
988.57,-1.08
998.46,-1.07
1008.44,-1.06
1018.53,-1.02
1028.71,-1.00
1039.00,-0.99
1049.39,-1.00
1059.88,-0.95
1070.48,-0.96
1081.19,-0.93
1092.00,-0.86
1102.92,-0.79
1113.95,-0.77
1125.09,-0.70
1136.34,-0.68
1147.70,-0.66
1159.18,-0.57
1170.77,-0.51
1182.48,-0.50
1194.30,-0.47
1206.25,-0.37
1218.31,-0.33
1230.49,-0.24
1242.80,-0.18
1255.22,-0.16
1267.78,-0.17
1280.45,-0.15
1293.26,-0.13
1306.19,-0.11
1319.25,-0.04
1332.45,-0.00
1345.77,0.01
1359.23,0.07
1372.82,0.10
1386.55,0.06
1400.41,0.06
1414.42,0.04
1428.56,0.00
1442.85,0.00
1457.28,0.03
1471.85,0.05
1486.57,0.04
1501.43,-0.01
1516.45,-0.01
1531.61,-0.01
1546.93,-0.01
1562.40,-0.06
1578.02,-0.08
1593.80,-0.13
1609.74,-0.15
1625.84,-0.19
1642.10,-0.23
1658.52,-0.23
1675.10,-0.20
1691.85,-0.29
1708.77,-0.39
1725.86,-0.43
1743.12,-0.39
1760.55,-0.38
1778.15,-0.42
1795.94,-0.46
1813.90,-0.52
1832.03,-0.54
1850.36,-0.55
1868.86,-0.59
1887.55,-0.61
1906.42,-0.60
1925.49,-0.63
1944.74,-0.65
1964.19,-0.64
1983.83,-0.64
2003.67,-0.70
2023.71,-0.74
2043.94,-0.71
2064.38,-0.67
2085.03,-0.63
2105.88,-0.57
2126.94,-0.55
2148.20,-0.56
2169.69,-0.53
2191.38,-0.52
2213.30,-0.49
2235.43,-0.43
2257.78,-0.35
2280.36,-0.28
2303.17,-0.29
2326.20,-0.32
2349.46,-0.24
2372.95,-0.16
2396.68,-0.13
2420.65,-0.11
2444.86,-0.12
2469.31,-0.06
2494.00,-0.06
2518.94,0.01
2544.13,0.17
2569.57,0.40
2595.27,0.84
2621.22,1.16
2647.43,1.38
2673.90,1.30
2700.64,1.30
2727.65,1.52
2754.93,1.76
2782.48,2.12
2810.30,2.52
2838.40,2.79
2866.79,3.01
2895.46,3.22
2924.41,3.46
2953.65,3.65
2983.19,3.65
3013.02,3.83
3043.15,4.06
3073.58,4.15
3104.32,4.30
3135.36,4.43
3166.72,4.53
3198.38,4.58
3230.37,4.58
3262.67,4.48
3295.30,4.33
3328.25,4.17
3361.53,3.95
3395.15,3.74
3429.10,3.56
3463.39,3.41
3498.03,3.29
3533.01,3.18
3568.34,3.03
3604.02,2.80
3640.06,2.62
3676.46,2.43
3713.22,2.11
3750.36,1.82
3787.86,1.55
3825.74,1.18
3864.00,0.81
3902.64,0.48
3941.66,0.27
3981.08,0.10
4020.89,-0.07
4061.10,-0.25
4101.71,-0.45
4142.73,-0.64
4184.15,-0.84
4226.00,-1.13
4268.26,-1.34
4310.94,-1.53
4354.05,-1.79
4397.59,-2.02
4441.56,-2.20
4485.98,-2.35
4530.84,-2.64
4576.15,-2.81
4621.91,-2.90
4668.13,-3.11
4714.81,-3.24
4761.96,-3.32
4809.58,-3.31
4857.67,-3.53
4906.25,-3.76
4955.31,-4.15
5004.87,-4.47
5054.91,-4.70
5105.46,-4.87
5156.52,-4.95
5208.08,-5.08
5260.16,-5.13
5312.77,-5.08
5365.89,-4.97
5419.55,-4.80
5473.75,-4.69
5528.49,-4.65
5583.77,-4.57
5639.61,-4.57
5696.00,-4.57
5752.96,-4.56
5810.49,-4.51
5868.60,-4.38
5927.28,-4.23
5986.56,-4.12
6046.42,-4.02
6106.89,-3.91
6167.96,-3.83
6229.64,-3.66
6291.93,-3.38
6354.85,-3.17
6418.40,-3.14
6482.58,-3.04
6547.41,-2.88
6612.88,-2.83
6679.01,-2.74
6745.80,-2.45
6813.26,-2.14
6881.39,-1.90
6950.21,-1.46
7019.71,-1.01
7089.91,-0.62
7160.81,-0.30
7232.41,0.16
7304.74,0.57
7377.79,0.94
7451.56,1.49
7526.08,1.96
7601.34,2.37
7677.35,2.80
7754.13,3.26
7831.67,3.66
7909.98,4.20
7989.08,4.82
8068.98,5.43
8149.67,5.90
8231.16,6.37
8313.47,6.97
8396.61,7.39
8480.57,7.76
8565.38,7.68
8651.03,7.26
8737.54,6.96
8824.92,5.71
8913.17,4.48
9002.30,4.02
9092.32,2.90
9183.25,2.48
9275.08,2.29
9367.83,1.94
9461.51,1.97
9556.12,1.95
9651.68,1.93
9748.20,2.11
9845.68,1.97
9944.14,1.21
10043.58,-0.00
10144.02,-1.39
10245.46,-2.69
10347.91,-4.16
10451.39,-5.68
10555.91,-6.94
10661.46,-8.15
10768.08,-9.32
10875.76,-10.16
10984.52,-10.72
11094.36,-11.70
11205.31,-12.16
11317.36,-12.38
11430.53,-12.74
11544.84,-13.17
11660.29,-13.53
11776.89,-13.83
11894.66,-14.08
12013.60,-13.95
12133.74,-13.79
12255.08,-13.72
12377.63,-13.49
12501.41,-13.30
12626.42,-12.84
12752.68,-12.44
12880.21,-11.90
13009.01,-11.27
13139.10,-10.53
13270.49,-10.04
13403.20,-9.16
13537.23,-8.30
13672.60,-7.03
13809.33,-6.50
13947.42,-5.88
14086.90,-4.89
14227.77,-3.98
14370.04,-2.79
14513.74,-2.07
14658.88,-1.90
14805.47,-2.06
14953.52,-2.94
15103.06,-3.51
15254.09,-2.71
15406.63,-1.38
15560.70,-0.19
15716.30,0.50
15873.47,0.28
16032.20,-1.43
16192.52,-2.98
16354.45,-4.94
16517.99,-6.79
16683.17,-10.03
16850.01,-12.13
17018.51,-14.23
17188.69,-16.97
17360.58,-18.84
17534.18,-20.66
17709.53,-22.55
17886.62,-24.18
18065.49,-25.62
18246.14,-27.09
18428.60,-28.27
18612.89,-29.05
18799.02,-29.66
18987.01,-30.97
19176.88,-31.56
19368.65,-31.71
19562.33,-31.82
19757.96,-31.97
19955.54,-32.14
