frequency,raw
20.00,6.48
20.20,6.55
20.40,6.63
20.61,6.70
20.81,6.78
21.02,6.85
21.23,6.91
21.44,6.96
21.66,7.02
21.87,7.07
22.09,7.11
22.31,7.13
22.54,7.16
22.76,7.18
22.99,7.20
23.22,7.29
23.45,7.37
23.69,7.44
23.92,7.52
24.16,7.57
24.40,7.61
24.65,7.65
24.89,7.68
25.14,7.71
25.39,7.73
25.65,7.76
25.91,7.77
26.16,7.82
26.43,7.88
26.69,7.94
26.96,8.00
27.23,8.12
27.50,8.25
27.77,8.39
28.05,8.52
28.33,8.60
28.62,8.69
28.90,8.78
29.19,8.78
29.48,8.76
29.78,8.74
30.08,8.73
30.38,8.76
30.68,8.79
30.99,8.82
31.30,8.83
31.61,8.83
31.93,8.84
32.24,8.92
32.57,9.02
32.89,9.11
33.22,9.16
33.55,9.20
33.89,9.24
34.23,9.25
34.57,9.24
34.92,9.23
35.27,9.29
35.62,9.38
35.97,9.47
36.33,9.45
36.70,9.42
37.06,9.42
37.43,9.52
37.81,9.62
38.19,9.68
38.57,9.70
38.95,9.72
39.34,9.78
39.74,9.86
40.14,9.92
40.54,9.93
40.94,9.93
41.35,9.88
41.76,9.82
42.18,9.88
42.60,10.08
43.03,10.27
43.46,10.21
43.90,10.13
44.33,10.08
44.78,10.02
45.23,10.04
45.68,10.15
46.13,10.22
46.60,10.22
47.06,10.23
47.53,10.35
48.01,10.47
48.49,10.33
48.97,10.21
49.46,10.31
49.96,10.43
50.46,10.44
50.96,10.43
51.47,10.43
51.99,10.43
52.51,10.44
53.03,10.44
53.56,10.37
54.10,10.34
54.64,10.46
55.18,10.54
55.74,10.54
56.29,10.54
56.86,10.54
57.42,10.63
58.00,10.76
58.58,10.69
59.16,10.64
59.76,10.64
60.35,10.64
60.96,10.63
61.57,10.63
62.18,10.63
62.80,10.64
63.43,10.64
64.07,10.65
64.71,10.65
65.35,10.62
66.01,10.54
66.67,10.70
67.33,10.77
68.01,10.78
68.69,10.78
69.37,10.80
70.07,10.82
70.77,10.88
71.48,10.80
72.19,10.71
72.91,10.71
73.64,10.71
74.38,10.71
75.12,10.71
75.87,10.72
76.63,10.72
77.40,10.72
78.17,10.72
78.95,10.72
79.74,10.72
80.54,10.61
81.35,10.55
82.16,10.60
82.98,10.63
83.81,10.63
84.65,10.63
85.50,10.68
86.35,10.70
87.22,10.64
88.09,10.55
88.97,10.56
89.86,10.58
90.76,10.58
91.66,10.59
92.58,10.60
93.51,10.61
94.44,10.64
95.39,10.69
96.34,10.64
97.30,10.46
98.28,10.38
99.26,10.44
100.25,10.46
101.25,10.46
102.27,10.47
103.29,10.48
104.32,10.51
105.37,10.54
106.42,10.44
107.48,10.31
108.56,10.22
109.64,10.23
110.74,10.27
111.85,10.33
112.97,10.26
114.10,10.16
115.24,10.15
116.39,10.05
117.55,10.01
118.73,10.07
119.92,10.16
121.12,10.19
122.33,10.09
123.55,10.03
124.79,9.98
126.03,9.95
127.29,9.88
128.57,9.86
129.85,9.86
131.15,9.87
132.46,9.83
133.79,9.80
135.12,9.74
136.48,9.70
137.84,9.70
139.22,9.73
140.61,9.77
142.02,9.62
143.44,9.52
144.87,9.51
146.32,9.56
147.78,9.48
149.26,9.38
150.75,9.38
152.26,9.44
153.78,9.44
155.32,9.36
156.88,9.25
158.44,9.18
160.03,9.23
161.63,9.29
163.24,9.20
164.88,9.11
166.53,9.02
168.19,9.07
169.87,9.12
171.57,8.99
173.29,8.90
175.02,8.84
176.77,8.78
178.54,8.78
180.32,8.71
182.13,8.65
183.95,8.60
185.79,8.52
187.65,8.48
189.52,8.56
191.42,8.58
193.33,8.51
195.27,8.42
197.22,8.38
199.19,8.26
201.18,8.16
203.19,8.20
205.23,8.26
207.28,8.18
209.35,8.11
211.44,8.03
213.56,7.96
215.69,7.92
217.85,7.83
220.03,7.78
222.23,7.73
224.45,7.64
226.70,7.59
228.96,7.52
231.25,7.54
233.57,7.52
235.90,7.30
238.26,7.31
240.64,7.29
243.05,7.25
245.48,7.18
247.93,7.15
250.41,7.09
252.92,7.02
255.45,6.97
258.00,6.91
260.58,6.85
263.19,6.80
265.82,6.72
268.48,6.66
271.16,6.62
273.87,6.54
276.61,6.49
279.38,6.42
282.17,6.36
284.99,6.31
287.84,6.20
290.72,6.16
293.63,6.08
296.57,6.04
299.53,5.99
302.53,5.92
305.55,5.89
308.61,5.83
311.69,5.77
314.81,5.72
317.96,5.66
321.14,5.60
324.35,5.56
327.59,5.48
330.87,5.36
334.18,5.23
337.52,5.24
340.90,5.19
344.30,5.10
347.75,5.11
351.23,5.03
354.74,4.88
358.28,4.90
361.87,4.85
365.49,4.62
369.14,4.57
372.83,4.62
376.56,4.55
380.33,4.51
384.13,4.45
387.97,4.37
391.85,4.31
395.77,4.25
399.73,4.16
403.72,4.06
407.76,4.01
411.84,3.94
415.96,3.83
420.12,3.75
424.32,3.79
428.56,3.66
432.85,3.46
437.18,3.42
441.55,3.47
445.96,3.41
450.42,3.37
454.93,3.32
459.48,3.25
464.07,3.22
