frequency,raw
20.00,8.55
20.20,8.50
20.40,8.47
20.61,8.42
20.81,8.39
21.02,8.35
21.23,8.36
21.44,8.37
21.66,8.40
21.87,8.40
22.09,8.42
22.31,8.45
22.54,8.48
22.76,8.52
22.99,8.54
23.22,8.59
23.45,8.62
23.69,8.66
23.92,8.70
24.16,8.68
24.40,8.64
24.65,8.61
24.89,8.57
25.14,8.55
25.39,8.55
25.65,8.56
25.91,8.56
26.16,8.57
26.43,8.57
26.69,8.58
26.96,8.59
27.23,8.59
27.50,8.60
27.77,8.61
28.05,8.62
28.33,8.62
28.62,8.62
28.90,8.63
29.19,8.62
29.48,8.62
29.78,8.62
30.08,8.62
30.38,8.60
30.68,8.59
30.99,8.58
31.30,8.56
31.61,8.54
31.93,8.52
32.24,8.53
32.57,8.53
32.89,8.53
33.22,8.53
33.55,8.53
33.89,8.54
34.23,8.54
34.57,8.54
34.92,8.54
35.27,8.54
35.62,8.54
35.97,8.55
36.33,8.56
36.70,8.56
37.06,8.56
37.43,8.53
37.81,8.48
38.19,8.47
38.57,8.48
38.95,8.49
39.34,8.49
39.74,8.50
40.14,8.49
40.54,8.44
40.94,8.38
41.35,8.35
41.76,8.33
42.18,8.32
42.60,8.32
43.03,8.32
43.46,8.33
43.90,8.34
44.33,8.30
44.78,8.24
45.23,8.21
45.68,8.21
46.13,8.21
46.60,8.21
47.06,8.21
47.53,8.18
48.01,8.17
48.49,8.14
48.97,8.12
49.46,8.07
49.96,8.01
50.46,8.02
50.96,8.02
51.47,8.03
51.99,8.04
52.51,7.99
53.03,7.93
53.56,7.93
54.10,7.93
54.64,7.93
55.18,7.92
55.74,7.87
56.29,7.81
56.86,7.75
57.42,7.73
58.00,7.73
58.58,7.73
59.16,7.73
59.76,7.73
60.35,7.71
60.96,7.67
61.57,7.58
62.18,7.52
62.80,7.53
63.43,7.53
64.07,7.54
64.71,7.54
65.35,7.55
66.01,7.54
66.67,7.49
67.33,7.42
68.01,7.36
68.69,7.36
69.37,7.37
70.07,7.37
70.77,7.39
71.48,7.37
72.19,7.33
72.91,7.20
73.64,7.19
74.38,7.19
75.12,7.19
75.87,7.20
76.63,7.18
77.40,7.14
78.17,7.08
