frequency,raw
20.00,-5.25
20.20,-5.20
20.40,-5.14
20.61,-5.09
20.81,-5.03
21.02,-4.98
21.23,-4.92
21.44,-4.87
21.66,-4.81
21.87,-4.76
22.09,-4.71
22.31,-4.67
22.54,-4.62
22.76,-4.57
22.99,-4.53
23.22,-4.49
23.45,-4.46
23.69,-4.43
23.92,-4.40
24.16,-4.37
24.40,-4.34
24.65,-4.31
24.89,-4.28
25.14,-4.24
25.39,-4.20
25.65,-4.14
25.91,-4.10
26.16,-4.05
26.43,-4.02
26.69,-3.98
26.96,-3.94
27.23,-3.93
27.50,-3.90
27.77,-3.88
28.05,-3.85
28.33,-3.81
28.62,-3.77
28.90,-3.71
29.19,-3.69
29.48,-3.66
29.78,-3.63
30.08,-3.60
30.38,-3.57
30.68,-3.54
30.99,-3.51
31.30,-3.50
31.61,-3.49
31.93,-3.48
32.24,-3.43
32.57,-3.37
32.89,-3.32
33.22,-3.30
33.55,-3.30
33.89,-3.29
34.23,-3.25
34.57,-3.19
34.92,-3.13
35.27,-3.11
35.62,-3.10
35.97,-3.08
36.33,-3.08
36.70,-3.08
37.06,-3.08
37.43,-3.05
37.81,-3.03
38.19,-2.98
38.57,-2.91
38.95,-2.85
39.34,-2.84
39.74,-2.83
40.14,-2.82
40.54,-2.81
40.94,-2.81
41.35,-2.76
41.76,-2.71
42.18,-2.67
42.60,-2.64
43.03,-2.61
43.46,-2.61
43.90,-2.62
44.33,-2.62
44.78,-2.62
45.23,-2.60
45.68,-2.55
46.13,-2.52
46.60,-2.52
47.06,-2.51
47.53,-2.47
48.01,-2.41
48.49,-2.41
48.97,-2.40
49.46,-2.40
49.96,-2.40
50.46,-2.40
50.96,-2.41
51.47,-2.36
51.99,-2.31
52.51,-2.30
53.03,-2.30
53.56,-2.30
54.10,-2.29
54.64,-2.24
55.18,-2.20
55.74,-2.20
56.29,-2.20
56.86,-2.20
57.42,-2.20
58.00,-2.20
58.58,-2.16
59.16,-2.12
59.76,-2.10
60.35,-2.09
60.96,-2.10
61.57,-2.10
62.18,-2.10
62.80,-2.09
63.43,-2.09
64.07,-2.07
64.71,-2.01
65.35,-1.97
66.01,-1.97
66.67,-1.96
67.33,-1.96
68.01,-1.95
68.69,-1.93
69.37,-1.88
70.07,-1.84
70.77,-1.83
71.48,-1.83
72.19,-1.82
72.91,-1.82
73.64,-1.82
74.38,-1.82
75.12,-1.82
75.87,-1.81
76.63,-1.81
77.40,-1.81
78.17,-1.81
78.95,-1.81
79.74,-1.81
80.54,-1.81
81.35,-1.81
82.16,-1.80
82.98,-1.76
83.81,-1.71
84.65,-1.67
85.50,-1.62
86.35,-1.59
87.22,-1.58
88.09,-1.58
88.97,-1.57
