frequency,raw
20.00,5.48
20.20,5.66
20.40,5.85
20.61,6.03
20.81,6.23
21.02,6.39
21.23,6.36
21.44,6.34
21.66,6.33
21.87,6.30
22.09,6.31
22.31,6.35
22.54,6.40
22.76,6.45
22.99,6.49
23.22,6.53
23.45,6.56
23.69,6.59
23.92,6.62
24.16,6.65
24.40,6.68
24.65,6.71
24.89,6.75
25.14,6.78
25.39,6.83
25.65,6.88
25.91,6.92
26.16,6.97
26.43,6.99
26.69,7.03
26.96,7.07
27.23,7.07
27.50,7.07
27.77,7.07
28.05,7.08
28.33,7.09
28.62,7.10
28.90,7.13
29.19,7.17
29.48,7.26
29.78,7.34
30.08,7.39
30.38,7.34
30.68,7.29
30.99,7.24
31.30,7.33
31.61,7.42
31.93,7.51
32.24,7.58
32.57,7.64
32.89,7.69
33.22,7.68
33.55,7.63
33.89,7.60
34.23,7.64
34.57,7.72
34.92,7.81
35.27,7.80
35.62,7.76
35.97,7.73
36.33,7.80
36.70,7.88
37.06,7.94
37.43,7.95
37.81,7.95
38.19,7.94
38.57,7.91
38.95,7.88
39.34,7.99
39.74,8.13
40.14,8.21
40.54,8.17
40.94,8.12
41.35,8.18
41.76,8.26
42.18,8.31
42.60,8.31
43.03,8.31
43.46,8.31
43.90,8.30
44.33,8.27
44.78,8.24
45.23,8.26
45.68,8.34
46.13,8.40
46.60,8.40
47.06,8.40
47.53,8.40
48.01,8.41
48.49,8.38
48.97,8.36
49.46,8.43
49.96,8.50
50.46,8.51
50.96,8.51
51.47,8.51
51.99,8.51
52.51,8.52
53.03,8.52
53.56,8.52
54.10,8.52
54.64,8.49
55.18,8.51
55.74,8.58
56.29,8.62
56.86,8.62
57.42,8.62
58.00,8.62
58.58,8.62
59.16,8.62
59.76,8.64
60.35,8.60
60.96,8.52
61.57,8.51
62.18,8.51
62.80,8.52
63.43,8.52
64.07,8.53
64.71,8.53
65.35,8.54
66.01,8.54
66.67,8.62
67.33,8.65
68.01,8.66
68.69,8.66
69.37,8.67
70.07,8.67
70.77,8.68
71.48,8.68
72.19,8.69
72.91,8.69
73.64,8.69
74.38,8.65
75.12,8.59
75.87,8.60
76.63,8.60
77.40,8.60
78.17,8.60
78.95,8.60
79.74,8.60
80.54,8.60
81.35,8.60
82.16,8.60
82.98,8.61
83.81,8.61
84.65,8.58
85.50,8.55
86.35,8.52
87.22,8.53
88.09,8.53
88.97,8.54
89.86,8.55
90.76,8.55
91.66,8.54
92.58,8.50
93.51,8.48
94.44,8.49
95.39,8.47
96.34,8.41
97.30,8.42
98.28,8.42
99.26,8.43
100.25,8.43
101.25,8.39
102.27,8.34
103.29,8.35
104.32,8.35
105.37,8.36
106.42,8.35
107.48,8.35
108.56,8.31
109.64,8.25
110.74,8.23
111.85,8.23
112.97,8.23
114.10,8.20
115.24,8.15
116.39,8.14
117.55,8.09
118.73,8.08
119.92,8.08
121.12,8.10
122.33,8.11
123.55,8.11
124.79,8.06
126.03,8.03
127.29,7.96
128.57,7.93
129.85,7.94
131.15,7.94
132.46,7.90
133.79,7.87
135.12,7.86
136.48,7.87
137.84,7.88
139.22,7.79
140.61,7.71
142.02,7.70
143.44,7.71
144.87,7.71
146.32,7.71
147.78,7.68
149.26,7.62
150.75,7.57
152.26,7.57
153.78,7.57
155.32,7.51
156.88,7.47
158.44,7.48
160.03,7.51
161.63,7.49
163.24,7.37
164.88,7.32
166.53,7.33
168.19,7.31
169.87,7.25
171.57,7.19
173.29,7.15
175.02,7.15
176.77,7.15
178.54,7.04
180.32,7.05
182.13,7.04
183.95,6.97
185.79,6.91
187.65,6.87
189.52,6.93
191.42,6.87
193.33,6.75
195.27,6.73
197.22,6.76
199.19,6.74
201.18,6.68
203.19,6.61
205.23,6.60
207.28,6.62
209.35,6.53
211.44,6.39
213.56,6.36
215.69,6.39
217.85,6.31
220.03,6.26
222.23,6.21
224.45,6.09
226.70,6.08
228.96,6.14
231.25,6.02
233.57,5.97
235.90,5.88
238.26,5.90
240.64,5.77
243.05,5.73
245.48,5.77
247.93,5.66
250.41,5.52
252.92,5.53
255.45,5.57
258.00,5.57
260.58,5.42
263.19,5.37
265.82,5.43
268.48,5.25
271.16,5.17
273.87,5.23
276.61,5.10
279.38,4.97
282.17,4.99
284.99,5.03
287.84,4.99
290.72,4.95
293.63,4.89
296.57,4.85
299.53,4.65
302.53,4.68
305.55,4.70
308.61,4.52
311.69,4.49
314.81,4.51
317.96,4.38
321.14,4.31
324.35,4.37
327.59,4.21
330.87,4.14
334.18,4.18
337.52,4.07
340.90,3.97
344.30,3.93
347.75,3.87
351.23,3.80
354.74,3.75
358.28,3.68
361.87,3.62
365.49,3.58
369.14,3.50
372.83,3.44
376.56,3.40
380.33,3.34
384.13,3.30
387.97,3.26
391.85,3.21
395.77,3.16
399.73,3.03
403.72,2.97
407.76,3.01
411.84,2.89
415.96,2.81
420.12,2.79
424.32,2.73
428.56,2.66
432.85,2.62
437.18,2.58
441.55,2.47
445.96,2.37
450.42,2.39
454.93,2.37
459.48,2.23
464.07,2.23
468.71,2.21
473.40,2.09
478.13,2.05
