frequency,raw
20.00,-3.22
20.20,-3.21
20.40,-3.19
20.61,-3.18
20.81,-3.16
21.02,-3.15
21.23,-3.14
21.44,-3.13
21.66,-3.11
21.87,-3.11
22.09,-3.09
22.31,-3.05
22.54,-3.01
22.76,-2.98
22.99,-2.95
23.22,-2.94
23.45,-2.95
23.69,-2.95
23.92,-2.96
24.16,-2.96
24.40,-2.97
24.65,-2.97
24.89,-2.98
25.14,-2.96
25.39,-2.93
25.65,-2.89
25.91,-2.86
26.16,-2.84
26.43,-2.84
26.69,-2.83
26.96,-2.82
27.23,-2.82
27.50,-2.81
27.77,-2.80
28.05,-2.79
28.33,-2.79
28.62,-2.79
28.90,-2.78
29.19,-2.79
29.48,-2.79
29.78,-2.79
30.08,-2.79
30.38,-2.79
30.68,-2.79
30.99,-2.79
31.30,-2.79
31.61,-2.79
31.93,-2.79
32.24,-2.78
32.57,-2.78
32.89,-2.78
33.22,-2.77
33.55,-2.76
33.89,-2.73
34.23,-2.72
34.57,-2.70
34.92,-2.67
35.27,-2.67
35.62,-2.67
35.97,-2.66
36.33,-2.66
36.70,-2.66
37.06,-2.66
37.43,-2.65
37.81,-2.65
38.19,-2.65
38.57,-2.65
38.95,-2.66
39.34,-2.61
39.74,-2.55
40.14,-2.50
40.54,-2.49
40.94,-2.49
41.35,-2.49
41.76,-2.49
42.18,-2.49
42.60,-2.49
43.03,-2.49
43.46,-2.49
43.90,-2.50
44.33,-2.50
44.78,-2.50
45.23,-2.50
45.68,-2.50
46.13,-2.50
46.60,-2.50
47.06,-2.50
47.53,-2.50
48.01,-2.49
48.49,-2.49
48.97,-2.48
49.46,-2.48
49.96,-2.48
50.46,-2.48
50.96,-2.49
51.47,-2.49
51.99,-2.49
52.51,-2.48
53.03,-2.48
53.56,-2.48
54.10,-2.48
54.64,-2.48
55.18,-2.48
55.74,-2.48
56.29,-2.48
56.86,-2.48
57.42,-2.48
58.00,-2.48
58.58,-2.48
59.16,-2.48
59.76,-2.48
60.35,-2.48
60.96,-2.49
61.57,-2.49
62.18,-2.49
62.80,-2.48
63.43,-2.48
64.07,-2.47
64.71,-2.47
65.35,-2.46
66.01,-2.46
66.67,-2.45
67.33,-2.45
68.01,-2.44
68.69,-2.44
69.37,-2.43
70.07,-2.43
70.77,-2.42
71.48,-2.42
72.19,-2.41
72.91,-2.41
73.64,-2.41
74.38,-2.41
75.12,-2.41
75.87,-2.40
76.63,-2.40
77.40,-2.40
78.17,-2.40
78.95,-2.40
79.74,-2.40
80.54,-2.40
81.35,-2.40
82.16,-2.40
82.98,-2.39
83.81,-2.39
84.65,-2.39
85.50,-2.38
86.35,-2.38
87.22,-2.37
88.09,-2.37
88.97,-2.35
89.86,-2.34
90.76,-2.34
91.66,-2.33
92.58,-2.32
93.51,-2.31
94.44,-2.30
95.39,-2.29
96.34,-2.28
97.30,-2.27
98.28,-2.27
99.26,-2.26
100.25,-2.26
101.25,-2.26
102.27,-2.25
103.29,-2.24
104.32,-2.24
105.37,-2.24
106.42,-2.24
107.48,-2.25
108.56,-2.25
109.64,-2.25
110.74,-2.26
111.85,-2.26
112.97,-2.26
114.10,-2.25
115.24,-2.24
116.39,-2.23
117.55,-2.23
118.73,-2.21
119.92,-2.19
121.12,-2.21
122.33,-2.26
123.55,-2.29
124.79,-2.28
126.03,-2.26
127.29,-2.26
128.57,-2.26
129.85,-2.25
131.15,-2.25
132.46,-2.24
133.79,-2.23
135.12,-2.23
136.48,-2.29
137.84,-2.33
139.22,-2.32
140.61,-2.30
142.02,-2.29
143.44,-2.28
144.87,-2.28
146.32,-2.27
147.78,-2.25
149.26,-2.24
150.75,-2.23
152.26,-2.22
153.78,-2.22
155.32,-2.20
156.88,-2.19
158.44,-2.19
160.03,-2.18
161.63,-2.18
163.24,-2.17
164.88,-2.14
166.53,-2.15
168.19,-2.21
