frequency,raw
20.00,3.63
20.20,3.68
20.40,3.75
20.61,3.80
20.81,3.87
21.02,3.94
21.23,4.17
21.44,4.40
21.66,4.64
21.87,4.86
22.09,4.97
22.31,4.91
22.54,4.85
22.76,4.78
22.99,4.71
23.22,4.68
23.45,4.63
23.69,4.58
23.92,4.54
24.16,4.61
24.40,4.75
24.65,4.89
24.89,5.03
25.14,5.09
25.39,5.08
25.65,5.09
25.91,5.08
26.16,5.10
26.43,5.11
26.69,5.13
26.96,5.16
27.23,5.21
27.50,5.27
27.77,5.34
28.05,5.39
28.33,5.39
28.62,5.39
28.90,5.40
29.19,5.51
29.48,5.68
29.78,5.86
30.08,5.96
30.38,5.84
30.68,5.72
30.99,5.60
31.30,5.55
31.61,5.51
31.93,5.47
32.24,5.53
32.57,5.60
32.89,5.68
33.22,5.81
33.55,5.98
33.89,6.16
34.23,6.13
34.57,5.98
34.92,5.84
35.27,5.71
35.62,5.57
35.97,5.45
36.33,5.60
36.70,5.78
37.06,5.92
37.43,5.93
37.81,5.93
38.19,5.96
38.57,6.02
38.95,6.07
39.34,6.07
39.74,6.08
40.14,6.03
40.54,5.87
40.94,5.71
41.35,5.87
41.76,6.08
42.18,6.20
42.60,6.20
43.03,6.20
43.46,6.20
43.90,6.19
44.33,6.19
44.78,6.19
45.23,6.19
45.68,6.19
46.13,6.19
46.60,6.19
47.06,6.19
47.53,6.19
48.01,6.20
48.49,6.01
48.97,5.83
49.46,6.04
49.96,6.27
50.46,6.30
50.96,6.30
51.47,6.30
51.99,6.30
52.51,6.31
53.03,6.31
53.56,6.31
54.10,6.31
54.64,6.31
55.18,6.31
55.74,6.31
56.29,6.31
56.86,6.31
57.42,6.31
58.00,6.31
58.58,6.31
59.16,6.31
59.76,6.31
60.35,6.31
60.96,6.30
61.57,6.30
62.18,6.30
62.80,6.31
63.43,6.31
64.07,6.32
64.71,6.32
65.35,6.33
66.01,6.33
66.67,6.34
67.33,6.34
68.01,6.35
68.69,6.35
69.37,6.36
70.07,6.33
70.77,6.08
71.48,6.16
72.19,6.38
72.91,6.47
73.64,6.48
74.38,6.48
75.12,6.48
75.87,6.49
76.63,6.56
77.40,6.69
78.17,6.75
78.95,6.41
79.74,6.39
80.54,6.39
81.35,6.39
82.16,6.39
82.98,6.40
83.81,6.40
84.65,6.40
85.50,6.41
86.35,6.41
87.22,6.41
88.09,6.35
88.97,6.05
89.86,6.50
90.76,6.40
91.66,6.29
92.58,6.26
93.51,6.27
94.44,6.28
95.39,6.29
96.34,6.30
97.30,6.31
98.28,6.31
99.26,6.32
100.25,6.35
101.25,6.47
102.27,6.59
103.29,6.39
104.32,6.24
105.37,6.24
106.42,6.24
107.48,6.23
108.56,6.23
109.64,6.23
110.74,6.29
111.85,6.49
112.97,6.35
114.10,6.13
115.24,6.14
116.39,6.15
117.55,6.15
118.73,6.17
119.92,6.17
121.12,6.35
122.33,6.29
123.55,6.16
124.79,5.89
126.03,5.74
127.29,5.92
128.57,6.13
129.85,6.30
131.15,6.07
132.46,5.98
133.79,5.95
135.12,5.95
136.48,5.96
137.84,5.97
139.22,6.06
140.61,6.20
142.02,6.14
143.44,5.97
144.87,5.90
146.32,5.90
147.78,5.87
149.26,5.81
150.75,5.76
152.26,5.76
153.78,5.76
155.32,5.91
156.88,6.03
158.44,5.78
160.03,5.69
161.63,5.70
163.24,5.71
164.88,5.76
166.53,5.90
168.19,5.56
169.87,5.31
171.57,5.52
173.29,5.70
175.02,5.66
176.77,5.47
178.54,5.45
180.32,5.58
182.13,5.53
183.95,5.17
185.79,5.12
187.65,5.26
189.52,5.42
191.42,5.47
193.33,5.32
195.27,5.24
197.22,5.23
199.19,5.18
201.18,5.16
203.19,5.11
205.23,5.13
207.28,5.23
209.35,5.12
211.44,4.98
213.56,4.90
215.69,4.84
217.85,4.78
220.03,4.78
222.23,4.79
224.45,4.89
226.70,4.73
228.96,4.43
231.25,4.65
233.57,4.72
235.90,4.52
238.26,4.51
240.64,4.47
243.05,4.42
245.48,4.35
247.93,4.37
250.41,4.46
252.92,4.36
255.45,4.25
258.00,4.18
260.58,4.12
263.19,4.10
265.82,4.18
268.48,3.93
271.16,3.83
273.87,3.88
276.61,3.97
279.38,3.95
282.17,3.70
284.99,3.66
287.84,3.82
290.72,3.85
293.63,3.72
296.57,3.67
299.53,3.41
302.53,3.47
305.55,3.52
308.61,3.31
311.69,3.32
314.81,3.36
317.96,3.34
321.14,3.20
324.35,3.00
327.59,3.05
330.87,3.02
334.18,2.95
337.52,2.87
340.90,2.85
344.30,2.79
347.75,2.79
351.23,2.70
354.74,2.58
358.28,2.59
361.87,2.57
365.49,2.52
369.14,2.35
372.83,2.27
376.56,2.30
380.33,2.22
384.13,2.11
387.97,2.13
391.85,2.10
395.77,2.05
399.73,1.99
403.72,1.93
407.76,1.90
411.84,1.78
415.96,1.70
420.12,1.68
424.32,1.62
428.56,1.52
432.85,1.44
437.18,1.43
441.55,1.38
445.96,1.29
450.42,1.28
454.93,1.29
459.48,1.23
464.07,1.20
468.71,1.12
473.40,1.08
478.13,0.99
482.91,0.96
487.74,0.93
492.62,0.87
497.55,0.79
502.52,0.76
507.55,0.74
512.62,0.67
517.75,0.62
522.93,0.54
528.16,0.45
533.44,0.45
538.77,0.41
544.16,0.36
549.60,0.27
555.10,0.21
560.65,0.15
566.25,0.13
571.92,0.13
577.64,-0.02
583.41,-0.07
589.25,-0.08
595.14,-0.14
601.09,-0.18
607.10,-0.22
613.17,-0.30
619.30,-0.33
625.50,-0.36
631.75,-0.48
638.07,-0.53
644.45,-0.55
650.89,-0.54
657.40,-0.60
663.98,-0.64
670.62,-0.73
677.32,-0.74
684.10,-0.73
690.94,-0.73
697.85,-0.77
704.83,-0.84
711.87,-0.93
718.99,-0.97
726.18,-1.00
733.44,-1.04
740.78,-1.08
748.19,-1.10
755.67,-1.14
763.23,-1.18
770.86,-1.20
778.57,-1.24
786.35,-1.27
794.22,-1.30
802.16,-1.31
810.18,-1.34
818.28,-1.38
826.46,-1.39
834.73,-1.34
843.08,-1.37
851.51,-1.42
860.02,-1.38
868.62,-1.39
877.31,-1.42
886.08,-1.45
894.94,-1.46
903.89,-1.43
912.93,-1.38
922.06,-1.36
931.28,-1.38
940.59,-1.31
950.00,-1.29
959.50,-1.24
969.09,-1.22
978.78,-1.17
988.57,-1.10
998.46,-1.07
1008.44,-1.07
1018.53,-1.05
1028.71,-0.98
1039.00,-0.78
1049.39,-0.71
1059.88,-0.67
1070.48,-0.61
1081.19,-0.44
1092.00,-0.33
1102.92,-0.28
1113.95,-0.20
1125.09,-0.11
1136.34,-0.01
1147.70,-0.02
1159.18,0.08
1170.77,0.24
1182.48,0.38
1194.30,0.39
1206.25,0.48
1218.31,0.67
1230.49,0.74
1242.80,0.82
1255.22,0.95
1267.78,1.09
1280.45,1.26
1293.26,1.16
1306.19,1.21
1319.25,1.42
1332.45,1.68
1345.77,1.66
1359.23,1.65
1372.82,1.65
1386.55,1.76
1400.41,2.01
1414.42,2.12
1428.56,2.00
1442.85,2.07
1457.28,2.40
1471.85,2.53
1486.57,2.44
1501.43,2.55
1516.45,2.77
1531.61,2.83
1546.93,2.76
1562.40,2.77
1578.02,2.81
1593.80,2.84
1609.74,2.96
1625.84,3.01
1642.10,3.11
1658.52,3.17
1675.10,3.29
1691.85,3.35
1708.77,3.48
1725.86,3.56
1743.12,3.62
1760.55,3.70
1778.15,3.77
1795.94,3.85
1813.90,3.94
1832.03,4.15
1850.36,4.42
1868.86,4.51
1887.55,4.50
1906.42,4.59
