frequency,raw
20.00,11.84
20.20,11.87
20.40,11.91
20.61,11.94
20.81,11.98
21.02,12.01
21.23,12.02
21.44,12.03
21.66,12.05
21.87,12.05
22.09,12.07
22.31,12.10
22.54,12.13
22.76,12.17
22.99,12.19
23.22,12.20
23.45,12.20
23.69,12.20
23.92,12.20
24.16,12.20
24.40,12.20
24.65,12.20
24.89,12.20
25.14,12.21
25.39,12.24
25.65,12.27
25.91,12.29
26.16,12.31
26.43,12.31
26.69,12.33
26.96,12.34
27.23,12.34
27.50,12.35
27.77,12.36
28.05,12.37
28.33,12.37
28.62,12.37
28.90,12.38
29.19,12.37
29.48,12.37
29.78,12.37
30.08,12.37
30.38,12.37
30.68,12.37
30.99,12.37
31.30,12.37
31.61,12.37
31.93,12.37
32.24,12.40
32.57,12.44
32.89,12.47
33.22,12.48
33.55,12.48
33.89,12.49
34.23,12.47
34.57,12.43
34.92,12.40
35.27,12.39
35.62,12.39
35.97,12.40
36.33,12.40
36.70,12.40
37.06,12.40
37.43,12.41
37.81,12.41
38.19,12.42
38.57,12.43
38.95,12.44
39.34,12.44
39.74,12.45
40.14,12.46
40.54,12.47
40.94,12.47
41.35,12.43
41.76,12.39
42.18,12.37
42.60,12.37
43.03,12.37
43.46,12.37
43.90,12.36
44.33,12.35
44.78,12.33
45.23,12.31
45.68,12.28
46.13,12.26
46.60,12.26
47.06,12.26
47.53,12.26
48.01,12.27
48.49,12.27
48.97,12.28
49.46,12.28
49.96,12.28
50.46,12.28
50.96,12.27
51.47,12.24
51.99,12.20
52.51,12.19
53.03,12.17
53.56,12.12
54.10,12.08
54.64,12.08
55.18,12.08
55.74,12.08
56.29,12.08
56.86,12.08
57.42,12.08
58.00,12.08
58.58,12.06
59.16,12.02
59.76,11.92
60.35,11.88
60.96,11.87
61.57,11.87
62.18,11.87
62.80,11.88
63.43,11.88
64.07,11.89
64.71,11.88
65.35,11.85
66.01,11.79
66.67,11.74
67.33,11.71
68.01,11.72
68.69,11.72
69.37,11.73
70.07,11.73
70.77,11.69
71.48,11.64
72.19,11.60
72.91,11.55
73.64,11.54
74.38,11.54
75.12,11.54
75.87,11.55
76.63,11.53
77.40,11.49
78.17,11.43
78.95,11.35
79.74,11.35
80.54,11.35
81.35,11.34
82.16,11.31
82.98,11.26
83.81,11.18
84.65,11.16
85.50,11.17
86.35,11.13
87.22,11.08
88.09,11.08
88.97,11.09
89.86,11.04
90.76,11.01
91.66,11.00
92.58,10.96
93.51,10.89
94.44,10.86
95.39,10.86
96.34,10.85
97.30,10.82
98.28,10.78
99.26,10.78
100.25,10.75
101.25,10.64
102.27,10.59
103.29,10.60
104.32,10.60
105.37,10.56
106.42,10.45
107.48,10.40
108.56,10.39
109.64,10.39
110.74,10.30
111.85,10.20
112.97,10.19
114.10,10.19
115.24,10.18
116.39,10.08
117.55,10.02
118.73,10.03
119.92,10.03
121.12,9.98
122.33,9.90
123.55,9.85
124.79,9.86
126.03,9.88
127.29,9.75
128.57,9.68
129.85,9.69
131.15,9.67
132.46,9.61
133.79,9.54
135.12,9.51
136.48,9.49
137.84,9.39
139.22,9.35
140.61,9.34
142.02,9.28
143.44,9.27
144.87,9.20
146.32,9.17
147.78,9.13
149.26,9.07
150.75,9.02
152.26,8.96
153.78,8.91
155.32,8.86
156.88,8.80
158.44,8.74
160.03,8.67
161.63,8.62
163.24,8.58
164.88,8.57
166.53,8.58
168.19,8.49
169.87,8.39
171.57,8.33
173.29,8.28
175.02,8.21
176.77,8.16
178.54,8.11
180.32,8.03
182.13,8.01
183.95,8.02
185.79,7.97
187.65,7.86
189.52,7.86
191.42,7.80
193.33,7.72
195.27,7.69
197.22,7.68
199.19,7.57
201.18,7.52
203.19,7.43
205.23,7.35
207.28,7.33
209.35,7.27
211.44,7.16
213.56,7.12
215.69,7.13
217.85,7.05
220.03,7.00
222.23,6.95
224.45,6.86
226.70,6.81
228.96,6.74
231.25,6.67
233.57,6.63
235.90,6.51
238.26,6.45
240.64,6.37
243.05,6.32
245.48,6.28
247.93,6.22
250.41,6.17
252.92,6.10
255.45,6.04
258.00,6.00
260.58,5.92
263.19,5.81
265.82,5.71
268.48,5.72
271.16,5.70
273.87,5.55
276.61,5.53
279.38,5.52
282.17,5.39
284.99,5.35
287.84,5.32
290.72,5.23
293.63,5.10
296.57,5.11
299.53,5.02
302.53,4.98
305.55,4.94
308.61,4.88
311.69,4.83
314.81,4.78
317.96,4.69
321.14,4.60
324.35,4.57
327.59,4.44
330.87,4.38
334.18,4.40
337.52,4.30
340.90,4.21
344.30,4.12
347.75,3.99
351.23,3.92
354.74,3.88
358.28,3.82
361.87,3.76
365.49,3.72
369.14,3.64
372.83,3.58
376.56,3.51
380.33,3.38
384.13,3.33
387.97,3.40
391.85,3.35
395.77,3.21
399.73,3.13
403.72,3.04
407.76,2.98
411.84,2.93
415.96,2.93
420.12,2.88
424.32,2.68
428.56,2.67
432.85,2.63
437.18,2.46
441.55,2.41
445.96,2.40
450.42,2.34
454.93,2.30
459.48,2.25
464.07,2.19
468.71,2.15
473.40,2.07
478.13,1.93
482.91,1.84
487.74,1.89
492.62,1.83
497.55,1.71
502.52,1.75
507.55,1.61
512.62,1.44
517.75,1.43
522.93,1.46
528.16,1.40
533.44,1.34
538.77,1.30
544.16,1.21
549.60,1.15
555.10,1.10
560.65,1.01
566.25,0.91
571.92,0.82
577.64,0.88
583.41,0.75
589.25,0.63
595.14,0.60
601.09,0.68
607.10,0.62
613.17,0.41
619.30,0.42
625.50,0.43
631.75,0.34
638.07,0.32
644.45,0.30
650.89,0.34
657.40,0.33
663.98,0.22
670.62,0.14
677.32,-0.09
684.10,-0.70
690.94,-1.04
697.85,-1.16
704.83,-1.18
711.87,-1.04
718.99,-1.05
726.18,-1.04
733.44,-0.92
740.78,-1.02
748.19,-1.07
755.67,-1.02
763.23,-1.00
770.86,-0.99
778.57,-1.06
786.35,-1.23
794.22,-1.34
802.16,-1.29
810.18,-1.31
818.28,-1.42
826.46,-1.50
834.73,-1.54
843.08,-1.50
851.51,-1.44
860.02,-1.31
868.62,-1.19
877.31,-1.16
886.08,-1.21
894.94,-1.27
903.89,-1.20
912.93,-1.19
922.06,-1.21
931.28,-1.24
940.59,-1.28
950.00,-1.29
959.50,-1.22
969.09,-1.18
978.78,-1.09
988.57,-1.03
998.46,-1.06
1008.44,-1.05
1018.53,-0.92
1028.71,-0.87
1039.00,-0.83
1049.39,-0.79
1059.88,-0.73
1070.48,-0.67
1081.19,-0.60
1092.00,-0.53
1102.92,-0.45
1113.95,-0.36
1125.09,-0.27
1136.34,-0.16
1147.70,-0.05
1159.18,-0.04
1170.77,0.08
1182.48,0.20
1194.30,0.26
1206.25,0.30
1218.31,0.40
1230.49,0.60
1242.80,0.69
1255.22,0.65
1267.78,0.75
1280.45,0.95
1293.26,1.01
1306.19,1.09
1319.25,1.19
1332.45,1.24
1345.77,1.30
1359.23,1.41
1372.82,1.48
1386.55,1.50
1400.41,1.54
1414.42,1.70
1428.56,1.88
1442.85,1.91
1457.28,1.84
1471.85,1.94
1486.57,2.04
1501.43,2.03
1516.45,2.07
1531.61,2.19
1546.93,2.31
1562.40,2.27
1578.02,2.28
1593.80,2.44
1609.74,2.48
1625.84,2.54
1642.10,2.76
1658.52,2.83
1675.10,2.83
1691.85,2.85
1708.77,3.01
1725.86,3.09
1743.12,3.16
1760.55,3.34
1778.15,3.41
1795.94,3.45
1813.90,3.60
1832.03,3.69
1850.36,3.76
1868.86,3.89
1887.55,4.01
1906.42,4.15
1925.49,4.28
1944.74,4.30
1964.19,4.38
1983.83,4.50
2003.67,4.62
2023.71,4.71
2043.94,4.74
2064.38,4.88
2085.03,4.95
2105.88,5.01
2126.94,5.14
2148.20,5.19
2169.69,5.22
2191.38,5.24
2213.30,5.27
2235.43,5.29
2257.78,5.26
2280.36,5.27
2303.17,5.24
2326.20,5.11
2349.46,5.08
2372.95,5.06
2396.68,4.92
2420.65,4.75
2444.86,4.63
2469.31,4.45
2494.00,4.26
2518.94,4.19
2544.13,4.17
2569.57,3.97
2595.27,3.86
2621.22,3.75
2647.43,3.58
2673.90,3.48
2700.64,3.44
2727.65,3.35
2754.93,3.25
2782.48,3.24
2810.30,3.14
2838.40,2.86
2866.79,2.58
2895.46,2.35
2924.41,2.13
2953.65,2.11
2983.19,2.10
3013.02,2.03
