frequency,raw
20.00,-1.57
20.20,-1.52
20.40,-1.46
20.61,-1.41
20.81,-1.35
21.02,-1.30
21.23,-1.24
21.44,-1.19
21.66,-1.12
21.87,-1.08
22.09,-1.02
22.31,-0.97
22.54,-0.91
22.76,-0.86
22.99,-0.81
23.22,-0.76
23.45,-0.71
23.69,-0.66
23.92,-0.62
24.16,-0.58
24.40,-0.54
24.65,-0.50
24.89,-0.47
25.14,-0.44
25.39,-0.43
25.65,-0.41
25.91,-0.39
26.16,-0.35
26.43,-0.29
26.69,-0.23
26.96,-0.17
27.23,-0.14
27.50,-0.10
27.77,-0.06
28.05,-0.02
28.33,0.00
28.62,0.03
28.90,0.07
29.19,0.09
29.48,0.12
29.78,0.15
30.08,0.18
30.38,0.21
30.68,0.24
30.99,0.27
31.30,0.30
31.61,0.33
31.93,0.36
32.24,0.39
32.57,0.40
32.89,0.42
33.22,0.43
33.55,0.45
33.89,0.48
34.23,0.51
34.57,0.55
34.92,0.58
35.27,0.60
35.62,0.62
35.97,0.65
36.33,0.67
36.70,0.69
37.06,0.72
37.43,0.76
37.81,0.80
38.19,0.83
38.57,0.84
38.95,0.85
39.34,0.88
39.74,0.93
40.14,0.97
40.54,0.98
40.94,0.98
41.35,0.98
41.76,0.98
42.18,0.98
42.60,0.98
43.03,0.98
43.46,1.03
43.90,1.06
44.33,1.07
44.78,1.07
45.23,1.09
45.68,1.14
46.13,1.17
46.60,1.17
47.06,1.17
47.53,1.17
48.01,1.18
48.49,1.18
48.97,1.19
49.46,1.19
49.96,1.19
50.46,1.19
50.96,1.18
51.47,1.18
51.99,1.18
52.51,1.19
53.03,1.19
53.56,1.19
54.10,1.19
54.64,1.19
55.18,1.19
55.74,1.19
56.29,1.19
56.86,1.19
57.42,1.19
58.00,1.19
58.58,1.19
59.16,1.19
59.76,1.19
60.35,1.20
60.96,1.20
61.57,1.25
62.18,1.28
62.80,1.29
63.43,1.29
64.07,1.30
64.71,1.30
65.35,1.31
66.01,1.31
66.67,1.32
67.33,1.32
68.01,1.33
68.69,1.33
69.37,1.34
70.07,1.33
70.77,1.27
71.48,1.25
72.19,1.26
72.91,1.26
73.64,1.26
74.38,1.26
75.12,1.26
75.87,1.27
76.63,1.27
77.40,1.27
78.17,1.27
78.95,1.27
79.74,1.27
80.54,1.27
81.35,1.27
82.16,1.26
82.98,1.20
83.81,1.18
84.65,1.18
85.50,1.19
86.35,1.19
87.22,1.20
88.09,1.20
88.97,1.21
89.86,1.22
90.76,1.22
91.66,1.23
92.58,1.24
93.51,1.25
94.44,1.26
95.39,1.27
96.34,1.28
97.30,1.28
98.28,1.25
99.26,1.20
100.25,1.19
101.25,1.14
102.27,1.11
103.29,1.12
104.32,1.12
105.37,1.13
106.42,1.12
107.48,1.12
108.56,1.11
109.64,1.11
110.74,1.10
111.85,1.10
112.97,1.11
114.10,1.11
115.24,1.12
116.39,1.13
117.55,1.11
118.73,1.06
119.92,1.00
121.12,0.97
122.33,0.98
123.55,0.98
124.79,0.98
126.03,1.00
127.29,1.00
128.57,1.00
129.85,1.01
131.15,1.01
132.46,1.02
133.79,1.03
135.12,1.00
136.48,0.96
137.84,0.95
139.22,0.89
140.61,0.87
142.02,0.88
143.44,0.89
144.87,0.89
146.32,0.90
147.78,0.92
149.26,0.93
150.75,0.94
152.26,0.95
153.78,0.95
155.32,0.89
156.88,0.87
158.44,0.87
160.03,0.88
161.63,0.87
163.24,0.82
164.88,0.80
166.53,0.80
168.19,0.81
169.87,0.81
171.57,0.82
173.29,0.82
175.02,0.82
176.77,0.79
178.54,0.75
180.32,0.73
182.13,0.74
183.95,0.75
185.79,0.77
187.65,0.77
189.52,0.74
191.42,0.72
193.33,0.72
195.27,0.72
197.22,0.74
199.19,0.75
201.18,0.75
203.19,0.70
205.23,0.66
207.28,0.66
209.35,0.67
211.44,0.66
213.56,0.59
215.69,0.57
217.85,0.56
220.03,0.57
222.23,0.57
224.45,0.57
226.70,0.57
228.96,0.57
