frequency,raw
20.00,2.46
20.20,2.49
20.40,2.54
20.61,2.57
20.81,2.62
21.02,2.66
21.23,2.73
21.44,2.80
21.66,2.88
21.87,2.94
22.09,2.98
22.31,3.01
22.54,3.03
22.76,3.05
22.99,3.06
23.22,3.13
23.45,3.18
23.69,3.24
23.92,3.30
24.16,3.36
24.40,3.43
24.65,3.49
24.89,3.55
25.14,3.58
25.39,3.59
25.65,3.61
25.91,3.62
26.16,3.65
26.43,3.68
26.69,3.72
26.96,3.76
27.23,3.79
27.50,3.83
27.77,3.87
28.05,3.90
28.33,3.90
28.62,3.91
28.90,3.92
29.19,3.94
29.48,4.00
29.78,4.05
30.08,4.10
30.38,4.13
30.68,4.17
30.99,4.20
31.30,4.20
31.61,4.20
31.93,4.20
32.24,4.23
32.57,4.27
32.89,4.30
33.22,4.33
33.55,4.37
33.89,4.41
34.23,4.42
34.57,4.41
34.92,4.40
35.27,4.43
35.62,4.47
35.97,4.53
36.33,4.53
36.70,4.53
37.06,4.54
37.43,4.59
37.81,4.63
38.19,4.65
38.57,4.65
38.95,4.65
39.34,4.69
39.74,4.75
40.14,4.79
40.54,4.80
40.94,4.80
41.35,4.80
41.76,4.80
42.18,4.80
42.60,4.80
43.03,4.80
43.46,4.81
43.90,4.82
44.33,4.84
44.78,4.87
45.23,4.89
45.68,4.89
46.13,4.89
46.60,4.89
47.06,4.89
47.53,4.89
48.01,4.90
48.49,4.90
48.97,4.91
49.46,4.91
49.96,4.91
50.46,4.96
50.96,5.00
51.47,5.00
51.99,5.00
52.51,5.01
53.03,5.01
53.56,5.01
54.10,5.01
54.64,5.01
55.18,5.01
55.74,5.01
56.29,5.01
56.86,5.01
57.42,5.01
58.00,5.01
58.58,5.01
59.16,5.01
59.76,5.01
60.35,5.01
60.96,5.00
61.57,5.00
62.18,5.00
62.80,5.01
63.43,5.01
64.07,5.02
64.71,5.02
65.35,5.03
66.01,5.03
66.67,5.04
67.33,5.04
68.01,5.05
68.69,5.05
69.37,5.06
70.07,5.06
70.77,5.07
71.48,5.11
72.19,5.14
72.91,5.09
73.64,5.08
74.38,5.12
75.12,5.17
75.87,5.10
76.63,5.09
77.40,5.09
78.17,5.07
78.95,4.99
79.74,4.99
80.54,4.99
81.35,4.99
82.16,4.99
82.98,5.00
83.81,5.00
84.65,5.00
85.50,5.01
86.35,5.01
87.22,5.02
88.09,5.02
88.97,5.02
89.86,4.95
90.76,4.95
91.66,4.96
92.58,4.97
93.51,4.98
94.44,4.99
95.39,5.00
96.34,5.00
97.30,5.02
98.28,5.01
99.26,4.97
100.25,4.93
101.25,4.93
102.27,4.94
103.29,4.94
104.32,4.94
105.37,4.95
106.42,4.94
107.48,4.94
108.56,4.93
109.64,4.87
110.74,4.80
111.85,4.74
112.97,4.73
114.10,4.73
115.24,4.74
116.39,4.75
117.55,4.76
118.73,4.77
119.92,4.78
121.12,4.74
122.33,4.71
123.55,4.70
124.79,4.71
126.03,4.72
127.29,4.65
128.57,4.59
129.85,4.53
131.15,4.53
132.46,4.54
133.79,4.56
135.12,4.56
136.48,4.56
137.84,4.58
139.22,4.54
140.61,4.49
142.02,4.50
143.44,4.52
144.87,4.46
146.32,4.43
147.78,4.44
149.26,4.44
150.75,4.39
152.26,4.36
153.78,4.37
155.32,4.38
156.88,4.40
158.44,4.39
160.03,4.30
161.63,4.21
