frequency,raw
20.00,-1.55
20.20,-1.51
20.40,-1.45
20.61,-1.41
20.81,-1.36
21.02,-1.32
21.23,-1.26
21.44,-1.21
21.66,-1.15
21.87,-1.10
22.09,-1.05
22.31,-0.99
22.54,-0.93
22.76,-0.86
22.99,-0.81
23.22,-0.75
23.45,-0.69
23.69,-0.63
23.92,-0.58
24.16,-0.53
24.40,-0.47
24.65,-0.42
24.89,-0.37
25.14,-0.32
25.39,-0.27
25.65,-0.22
25.91,-0.17
26.16,-0.15
26.43,-0.17
26.69,-0.18
26.96,-0.19
27.23,-0.13
27.50,-0.04
27.77,0.05
28.05,0.13
28.33,0.16
28.62,0.19
28.90,0.24
29.19,0.25
29.48,0.26
29.78,0.27
30.08,0.30
30.38,0.37
30.68,0.45
30.99,0.53
31.30,0.51
31.61,0.49
31.93,0.47
32.24,0.54
32.57,0.63
32.89,0.71
33.22,0.73
33.55,0.72
33.89,0.71
34.23,0.74
34.57,0.77
34.92,0.81
35.27,0.84
35.62,0.88
35.97,0.92
36.33,0.92
36.70,0.92
37.06,0.92
37.43,0.96
37.81,0.99
38.19,1.03
38.57,1.09
38.95,1.15
39.34,1.16
39.74,1.17
40.14,1.18
40.54,1.19
40.94,1.19
41.35,1.24
41.76,1.30
42.18,1.34
42.60,1.37
43.03,1.39
43.46,1.39
43.90,1.38
44.33,1.38
44.78,1.38
45.23,1.38
45.68,1.38
46.13,1.40
46.60,1.48
47.06,1.54
47.53,1.51
48.01,1.49
48.49,1.46
48.97,1.44
49.46,1.51
49.96,1.59
50.46,1.60
50.96,1.59
51.47,1.59
51.99,1.59
52.51,1.60
53.03,1.60
53.56,1.60
54.10,1.62
54.64,1.70
55.18,1.75
55.74,1.72
56.29,1.70
56.86,1.70
57.42,1.70
58.00,1.70
58.58,1.70
59.16,1.70
59.76,1.70
60.35,1.70
60.96,1.69
61.57,1.69
62.18,1.69
62.80,1.70
63.43,1.70
64.07,1.71
64.71,1.71
65.35,1.72
66.01,1.72
66.67,1.73
67.33,1.73
68.01,1.74
68.69,1.74
69.37,1.75
70.07,1.75
70.77,1.76
71.48,1.76
72.19,1.77
72.91,1.77
73.64,1.77
74.38,1.77
75.12,1.77
75.87,1.78
76.63,1.78
77.40,1.78
78.17,1.78
78.95,1.78
79.74,1.78
80.54,1.78
81.35,1.78
82.16,1.78
82.98,1.79
83.81,1.79
84.65,1.79
85.50,1.80
86.35,1.80
87.22,1.81
88.09,1.81
88.97,1.84
89.86,1.89
90.76,1.81
91.66,1.76
92.58,1.76
93.51,1.77
94.44,1.75
95.39,1.68
96.34,1.65
97.30,1.70
98.28,1.71
99.26,1.72
100.25,1.72
101.25,1.72
102.27,1.73
103.29,1.74
104.32,1.74
105.37,1.76
106.42,1.77
107.48,1.69
108.56,1.63
109.64,1.63
110.74,1.58
111.85,1.48
112.97,1.48
114.10,1.52
115.24,1.53
116.39,1.54
117.55,1.55
118.73,1.56
119.92,1.61
121.12,1.63
122.33,1.53
123.55,1.40
124.79,1.34
126.03,1.41
127.29,1.41
128.57,1.42
129.85,1.42
131.15,1.43
132.46,1.47
133.79,1.51
135.12,1.41
136.48,1.25
137.84,1.23
139.22,1.26
140.61,1.28
142.02,1.29
143.44,1.34
144.87,1.32
146.32,1.23
147.78,1.12
149.26,1.11
150.75,1.14
152.26,1.16
153.78,1.16
155.32,1.20
156.88,1.24
158.44,1.12
160.03,1.05
161.63,0.96
163.24,0.99
164.88,1.01
166.53,1.02
168.19,1.06
169.87,1.09
171.57,0.94
173.29,0.82
175.02,0.79
176.77,0.83
178.54,0.89
180.32,0.85
182.13,0.78
183.95,0.76
185.79,0.68
187.65,0.64
189.52,0.69
191.42,0.75
193.33,0.76
195.27,0.68
197.22,0.62
199.19,0.54
201.18,0.51
203.19,0.57
205.23,0.62
207.28,0.54
209.35,0.49
211.44,0.46
213.56,0.34
215.69,0.34
217.85,0.42
220.03,0.37
222.23,0.30
224.45,0.28
226.70,0.18
228.96,0.13
231.25,0.20
233.57,0.23
235.90,0.11
238.26,0.11
240.64,0.04
243.05,0.01
245.48,0.06
247.93,-0.01
250.41,-0.05
252.92,-0.05
255.45,-0.07
258.00,-0.12
260.58,-0.18
263.19,-0.22
265.82,-0.22
268.48,-0.23
271.16,-0.22
273.87,-0.28
276.61,-0.34
279.38,-0.41
282.17,-0.40
284.99,-0.40
287.84,-0.44
290.72,-0.47
293.63,-0.55
296.57,-0.55
299.53,-0.54
302.53,-0.53
305.55,-0.54
308.61,-0.59
311.69,-0.65
314.81,-0.67
317.96,-0.68
321.14,-0.70
324.35,-0.80
327.59,-0.76
330.87,-0.79
334.18,-0.85
337.52,-0.87
340.90,-0.97
344.30,-1.01
347.75,-0.94
351.23,-0.91
354.74,-1.01
358.28,-1.04
361.87,-1.12
365.49,-1.18
369.14,-1.14
372.83,-1.09
376.56,-1.05
380.33,-1.14
384.13,-1.21
387.97,-1.30
391.85,-1.29
395.77,-1.24
399.73,-1.19
403.72,-1.24
407.76,-1.29
411.84,-1.41
415.96,-1.46
420.12,-1.42
424.32,-1.39
428.56,-1.34
432.85,-1.34
437.18,-1.52
441.55,-1.59
445.96,-1.55
450.42,-1.52
454.93,-1.50
459.48,-1.49
464.07,-1.52
468.71,-1.59
473.40,-1.51
478.13,-1.57
482.91,-1.63
487.74,-1.64
492.62,-1.64
497.55,-1.64
502.52,-1.75
507.55,-1.71
512.62,-1.68
517.75,-1.76
522.93,-1.76
528.16,-1.76
533.44,-1.74
538.77,-1.82
544.16,-1.90
549.60,-1.85
555.10,-1.85
560.65,-1.85
566.25,-1.82
571.92,-1.79
577.64,-1.90
583.41,-1.95
589.25,-1.95
595.14,-1.94
601.09,-1.92
607.10,-1.91
613.17,-1.91
619.30,-1.92
625.50,-1.91
631.75,-1.91
638.07,-1.87
644.45,-1.91
650.89,-2.01
657.40,-2.03
663.98,-2.03
670.62,-2.03
677.32,-2.02
684.10,-2.04
690.94,-2.06
697.85,-1.95
704.83,-1.93
711.87,-1.95
718.99,-1.97
726.18,-2.00
733.44,-2.04
740.78,-1.99
748.19,-1.99
755.67,-2.03
763.23,-1.99
770.86,-1.99
778.57,-2.02
786.35,-2.05
794.22,-2.02
802.16,-1.92
810.18,-1.92
818.28,-1.96
826.46,-1.93
834.73,-1.84
843.08,-1.77
851.51,-1.78
860.02,-1.77
868.62,-1.71
877.31,-1.70
886.08,-1.65
894.94,-1.57
903.89,-1.53
912.93,-1.52
922.06,-1.53
931.28,-1.40
940.59,-1.36
950.00,-1.37
959.50,-1.38
969.09,-1.39
978.78,-1.33
988.57,-1.21
998.46,-1.09
1008.44,-1.03
1018.53,-0.89
1028.71,-0.76
1039.00,-0.66
1049.39,-0.52
1059.88,-0.41
1070.48,-0.29
1081.19,-0.23
1092.00,-0.16
1102.92,0.02
1113.95,0.12
1125.09,0.18
1136.34,0.19
1147.70,0.09
1159.18,-0.07
1170.77,-0.10
1182.48,-0.02
1194.30,0.11
1206.25,0.26
1218.31,0.41
1230.49,0.57
1242.80,0.74
1255.22,0.92
1267.78,0.99
1280.45,1.14
1293.26,1.31
1306.19,1.39
1319.25,1.53
1332.45,1.68
1345.77,1.78
1359.23,1.90
1372.82,2.01
1386.55,2.11
1400.41,2.17
1414.42,2.17
1428.56,2.12
1442.85,2.08
1457.28,1.91
1471.85,1.72
1486.57,1.51
1501.43,1.14
1516.45,0.69
1531.61,0.51
1546.93,0.61
1562.40,0.54
1578.02,0.54
1593.80,0.66
1609.74,0.67
1625.84,0.83
1642.10,1.24
1658.52,1.54
1675.10,1.73
1691.85,2.00
1708.77,2.35
1725.86,2.53
1743.12,2.72
1760.55,2.90
1778.15,2.99
1795.94,3.12
1813.90,3.22
1832.03,3.15
1850.36,3.15
1868.86,3.23
1887.55,3.19
1906.42,3.18
1925.49,3.22
1944.74,3.20
1964.19,3.16
1983.83,3.10
2003.67,3.03
2023.71,2.98
2043.94,2.93
2064.38,2.89
2085.03,2.86
2105.88,2.79
2126.94,2.70
2148.20,2.67
2169.69,2.63
2191.38,2.55
2213.30,2.52
2235.43,2.44
2257.78,2.32
2280.36,2.24
2303.17,2.13
2326.20,1.97
2349.46,1.91
2372.95,1.84
2396.68,1.69
2420.65,1.55
2444.86,1.48
2469.31,1.25
2494.00,1.00
2518.94,0.93
2544.13,0.89
2569.57,0.65
2595.27,0.65
2621.22,0.75
2647.43,0.71
2673.90,0.59
2700.64,0.53
2727.65,0.37
2754.93,0.24
2782.48,0.17
2810.30,0.12
2838.40,0.05
2866.79,-0.20
2895.46,-0.39
2924.41,-0.60
2953.65,-0.77
2983.19,-0.87
3013.02,-1.02
3043.15,-1.12
3073.58,-1.14
3104.32,-1.14
3135.36,-1.20
3166.72,-1.35
3198.38,-1.39
3230.37,-1.34
3262.67,-1.47
3295.30,-1.61
3328.25,-1.81
3361.53,-1.87
3395.15,-1.89
3429.10,-1.96
3463.39,-2.04
3498.03,-2.13
3533.01,-2.20
3568.34,-2.25
3604.02,-2.27
3640.06,-2.33
3676.46,-2.42
3713.22,-2.60
3750.36,-2.75
3787.86,-2.88
3825.74,-2.99
3864.00,-3.08
3902.64,-3.16
3941.66,-3.25
3981.08,-3.29
4020.89,-3.36
4061.10,-3.37
4101.71,-3.40
4142.73,-3.44
4184.15,-3.56
4226.00,-3.70
4268.26,-3.85
4310.94,-3.93
4354.05,-3.86
4397.59,-3.62
4441.56,-3.44
4485.98,-3.36
4530.84,-3.34
4576.15,-3.33
4621.91,-3.24
4668.13,-3.22
4714.81,-3.29
4761.96,-3.32
4809.58,-3.28
4857.67,-3.19
4906.25,-3.07
4955.31,-3.05
5004.87,-3.05
5054.91,-3.04
5105.46,-3.00
5156.52,-2.92
5208.08,-2.63
5260.16,-2.27
5312.77,-2.15
5365.89,-2.03
5419.55,-1.64
5473.75,-1.44
5528.49,-1.48
5583.77,-1.66
5639.61,-1.56
5696.00,-1.51
5752.96,-1.40
5810.49,-1.36
5868.60,-1.42
5927.28,-1.44
5986.56,-1.50
6046.42,-1.26
6106.89,-1.28
6167.96,-1.39
6229.64,-1.43
6291.93,-1.35
6354.85,-1.18
6418.40,-1.33
6482.58,-1.75
6547.41,-2.06
6612.88,-2.42
6679.01,-2.76
6745.80,-2.74
6813.26,-2.92
6881.39,-3.17
6950.21,-3.30
7019.71,-3.92
7089.91,-4.57
7160.81,-5.08
7232.41,-5.40
7304.74,-5.40
7377.79,-4.92
7451.56,-4.34
7526.08,-4.12
7601.34,-4.06
7677.35,-4.06
7754.13,-3.96
7831.67,-3.81
7909.98,-3.67
7989.08,-3.43
8068.98,-3.17
8149.67,-3.11
8231.16,-2.99
8313.47,-2.76
8396.61,-2.79
8480.57,-3.03
8565.38,-3.08
8651.03,-3.30
8737.54,-3.67
8824.92,-3.70
8913.17,-3.85
9002.30,-4.07
9092.32,-4.36
9183.25,-4.65
9275.08,-4.92
9367.83,-5.10
9461.51,-5.15
9556.12,-5.22
9651.68,-5.46
9748.20,-5.90
9845.68,-6.61
9944.14,-7.08
10043.58,-7.53
10144.02,-7.96
10245.46,-8.41
10347.91,-8.83
10451.39,-9.49
10555.91,-10.15
10661.46,-10.99
10768.08,-11.83
10875.76,-12.26
10984.52,-12.66
11094.36,-13.03
11205.31,-13.23
11317.36,-13.70
11430.53,-13.84
11544.84,-14.59
11660.29,-15.17
11776.89,-15.68
11894.66,-16.36
12013.60,-16.59
12133.74,-16.62
12255.08,-16.82
12377.63,-16.87
12501.41,-16.95
12626.42,-17.22
12752.68,-17.46
12880.21,-17.39
13009.01,-17.14
13139.10,-16.87
13270.49,-16.84
13403.20,-16.83
13537.23,-16.88
13672.60,-16.64
13809.33,-16.60
13947.42,-16.36
14086.90,-15.99
14227.77,-15.47
14370.04,-14.65
14513.74,-14.18
14658.88,-14.94
14805.47,-15.57
14953.52,-15.62
15103.06,-16.08
15254.09,-15.87
15406.63,-15.88
15560.70,-13.18
15716.30,-10.52
15873.47,-8.11
16032.20,-6.21
16192.52,-5.35
16354.45,-6.13
16517.99,-6.08
16683.17,-6.07
16850.01,-6.94
17018.51,-8.20
17188.69,-8.83
17360.58,-9.33
17534.18,-9.35
17709.53,-9.07
17886.62,-9.23
18065.49,-9.86
18246.14,-9.54
18428.60,-9.25
18612.89,-9.46
18799.02,-10.79
18987.01,-13.03
19176.88,-14.12
19368.65,-15.15
19562.33,-16.07
19757.96,-17.05
19955.54,-17.63
