frequency,raw
20.00,-0.75
20.20,-0.66
20.40,-0.56
20.61,-0.47
20.81,-0.36
21.02,-0.27
21.23,-0.21
21.44,-0.14
21.66,-0.06
21.87,0.00
22.09,0.03
22.31,0.01
22.54,-0.01
22.76,-0.03
22.99,-0.06
23.22,0.02
23.45,0.10
23.69,0.18
23.92,0.26
24.16,0.28
24.40,0.29
24.65,0.30
24.89,0.31
25.14,0.31
25.39,0.32
25.65,0.34
25.91,0.35
26.16,0.39
26.43,0.43
26.69,0.49
26.96,0.54
27.23,0.58
27.50,0.63
27.77,0.68
28.05,0.72
28.33,0.74
28.62,0.76
28.90,0.79
29.19,0.79
29.48,0.79
29.78,0.80
30.08,0.81
30.38,0.87
30.68,0.93
30.99,0.99
31.30,0.99
31.61,0.99
31.93,0.99
32.24,0.99
32.57,0.97
32.89,0.95
33.22,1.01
33.55,1.12
33.89,1.24
34.23,1.26
34.57,1.24
34.92,1.21
35.27,1.20
35.62,1.18
35.97,1.17
36.33,1.22
36.70,1.28
37.06,1.32
37.43,1.33
37.81,1.33
38.19,1.37
38.57,1.44
38.95,1.51
39.34,1.48
39.74,1.45
40.14,1.45
40.54,1.52
40.94,1.58
41.35,1.59
41.76,1.59
42.18,1.59
42.60,1.59
43.03,1.59
43.46,1.59
43.90,1.58
44.33,1.63
44.78,1.70
45.23,1.70
45.68,1.66
46.13,1.64
46.60,1.72
47.06,1.78
47.53,1.78
48.01,1.79
48.49,1.79
48.97,1.80
49.46,1.80
49.96,1.80
50.46,1.80
50.96,1.79
51.47,1.79
51.99,1.79
52.51,1.80
53.03,1.80
53.56,1.78
54.10,1.77
54.64,1.85
55.18,1.90
55.74,1.90
56.29,1.90
56.86,1.90
57.42,1.96
58.00,2.04
58.58,2.03
59.16,2.02
59.76,2.00
60.35,2.00
60.96,1.99
61.57,1.99
62.18,1.99
62.80,2.00
63.43,2.00
64.07,2.01
64.71,2.01
65.35,2.02
66.01,2.02
66.67,2.03
67.33,2.03
68.01,2.04
68.69,2.04
69.37,2.05
70.07,2.05
70.77,2.06
71.48,2.05
72.19,2.06
72.91,2.12
73.64,2.16
74.38,2.17
75.12,2.17
75.87,2.18
76.63,2.18
77.40,2.18
78.17,2.18
78.95,2.18
79.74,2.18
80.54,2.18
81.35,2.18
82.16,2.18
82.98,2.19
83.81,2.19
84.65,2.19
85.50,2.20
86.35,2.20
87.22,2.21
88.09,2.21
88.97,2.23
89.86,2.24
90.76,2.24
91.66,2.25
92.58,2.26
93.51,2.27
94.44,2.28
95.39,2.29
96.34,2.30
97.30,2.31
98.28,2.31
99.26,2.32
100.25,2.32
101.25,2.32
102.27,2.33
103.29,2.34
104.32,2.34
105.37,2.34
106.42,2.34
107.48,2.33
108.56,2.33
109.64,2.33
110.74,2.32
111.85,2.32
112.97,2.32
114.10,2.33
115.24,2.33
116.39,2.35
117.55,2.35
118.73,2.36
119.92,2.37
121.12,2.39
122.33,2.40
123.55,2.39
124.79,2.40
126.03,2.42
127.29,2.42
128.57,2.43
129.85,2.45
131.15,2.35
132.46,2.26
133.79,2.24
135.12,2.25
136.48,2.26
137.84,2.27
139.22,2.27
140.61,2.28
142.02,2.29
143.44,2.30
144.87,2.30
146.32,2.31
147.78,2.33
149.26,2.34
150.75,2.35
152.26,2.36
153.78,2.36
155.32,2.37
156.88,2.39
158.44,2.39
160.03,2.40
161.63,2.42
163.24,2.42
164.88,2.36
166.53,2.33
168.19,2.29
169.87,2.22
171.57,2.22
173.29,2.24
175.02,2.24
176.77,2.24
178.54,2.25
180.32,2.25
182.13,2.26
183.95,2.27
185.79,2.29
187.65,2.29
189.52,2.31
191.42,2.33
193.33,2.34
195.27,2.27
197.22,2.23
199.19,2.18
201.18,2.16
203.19,2.17
205.23,2.18
207.28,2.18
209.35,2.19
211.44,2.19
213.56,2.18
215.69,2.19
217.85,2.20
220.03,2.16
222.23,2.11
224.45,2.09
226.70,2.01
228.96,1.97
231.25,1.98
233.57,2.00
235.90,2.02
238.26,2.02
240.64,1.93
243.05,1.92
245.48,1.93
247.93,1.95
250.41,1.95
252.92,1.96
255.45,1.96
258.00,1.95
260.58,1.88
263.19,1.83
265.82,1.78
268.48,1.78
271.16,1.79
273.87,1.79
276.61,1.79
279.38,1.79
282.17,1.81
284.99,1.79
287.84,1.68
290.72,1.64
293.63,1.65
296.57,1.66
299.53,1.67
302.53,1.68
305.55,1.70
308.61,1.64
311.69,1.61
314.81,1.60
317.96,1.55
321.14,1.53
324.35,1.54
327.59,1.51
330.87,1.46
334.18,1.44
337.52,1.44
340.90,1.38
344.30,1.33
347.75,1.27
351.23,1.26
354.74,1.26
