frequency,raw
20.00,4.46
20.20,4.32
20.40,4.19
20.61,4.05
20.81,3.92
21.02,3.82
21.23,4.01
21.44,4.21
21.66,4.42
21.87,4.60
22.09,4.70
22.31,4.67
22.54,4.63
22.76,4.60
22.99,4.55
23.22,4.81
23.45,5.07
23.69,5.33
23.92,5.60
24.16,5.64
24.40,5.58
24.65,5.52
24.89,5.46
25.14,5.36
25.39,5.23
25.65,5.11
25.91,4.99
26.16,4.98
26.43,5.04
26.69,5.10
26.96,5.16
27.23,5.34
27.50,5.55
27.77,5.76
28.05,5.92
28.33,5.80
28.62,5.68
28.90,5.57
29.19,5.65
29.48,5.85
29.78,6.05
30.08,6.21
30.38,6.27
30.68,6.33
30.99,6.39
31.30,6.23
31.61,6.06
31.93,5.89
32.24,6.16
32.57,6.52
32.89,6.89
33.22,6.94
33.55,6.84
33.89,6.74
34.23,6.64
34.57,6.53
34.92,6.42
35.27,6.49
35.62,6.62
35.97,6.76
36.33,7.02
36.70,7.30
37.06,7.49
37.43,7.31
37.81,7.12
38.19,6.95
38.57,6.76
38.95,6.58
39.34,6.77
39.74,7.01
40.14,7.11
40.54,6.93
40.94,6.74
41.35,6.92
41.76,7.15
42.18,7.29
42.60,7.29
43.03,7.28
43.46,7.14
43.90,6.98
44.33,7.09
44.78,7.29
45.23,7.38
45.68,7.38
46.13,7.39
46.60,7.44
47.06,7.49
47.53,7.53
48.01,7.59
48.49,7.59
48.97,7.60
49.46,7.60
49.96,7.60
50.46,7.60
50.96,7.59
51.47,7.59
51.99,7.60
52.51,7.60
53.03,7.60
53.56,7.60
54.10,7.60
54.64,7.60
55.18,7.60
55.74,7.60
56.29,7.60
56.86,7.60
57.42,7.43
58.00,7.20
58.58,7.50
59.16,7.71
59.76,7.71
60.35,7.71
60.96,7.70
61.57,7.70
62.18,7.70
62.80,7.71
63.43,7.71
64.07,7.72
64.71,7.72
65.35,7.81
66.01,7.96
66.67,7.68
67.33,7.58
68.01,7.69
68.69,7.73
69.37,7.76
70.07,7.76
70.77,7.77
71.48,7.77
72.19,7.78
72.91,7.78
73.64,7.78
74.38,7.88
75.12,8.03
75.87,7.93
76.63,7.76
77.40,7.68
78.17,7.68
78.95,7.68
79.74,7.68
80.54,7.68
81.35,7.72
82.16,7.83
82.98,8.02
83.81,7.67
84.65,7.59
