frequency,raw
20.00,-5.11
20.20,-5.19
20.40,-5.29
20.61,-5.37
20.81,-5.46
21.02,-5.54
21.23,-5.58
21.44,-5.61
21.66,-5.64
21.87,-5.67
22.09,-5.73
22.31,-5.82
22.54,-5.91
22.76,-5.99
22.99,-6.09
23.22,-6.10
23.45,-6.12
23.69,-6.13
23.92,-6.15
24.16,-6.22
24.40,-6.31
24.65,-6.39
24.89,-6.47
25.14,-6.54
25.39,-6.61
25.65,-6.66
25.91,-6.72
26.16,-6.78
26.43,-6.85
26.69,-6.91
26.96,-6.97
27.23,-7.04
27.50,-7.11
27.77,-7.17
28.05,-7.24
28.33,-7.30
28.62,-7.35
28.90,-7.41
29.19,-7.46
29.48,-7.52
29.78,-7.56
30.08,-7.62
30.38,-7.68
30.68,-7.75
30.99,-7.82
31.30,-7.85
31.61,-7.89
31.93,-7.93
32.24,-7.98
32.57,-8.04
32.89,-8.10
33.22,-8.14
33.55,-8.17
33.89,-8.21
34.23,-8.25
34.57,-8.32
34.92,-8.38
35.27,-8.44
35.62,-8.51
35.97,-8.58
36.33,-8.60
36.70,-8.60
37.06,-8.62
37.43,-8.69
37.81,-8.76
38.19,-8.85
38.57,-8.94
38.95,-9.03
39.34,-8.95
39.74,-8.85
40.14,-8.84
40.54,-9.01
40.94,-9.17
41.35,-9.17
41.76,-9.15
42.18,-9.16
42.60,-9.20
43.03,-9.24
43.46,-9.29
43.90,-9.36
44.33,-9.37
44.78,-9.37
45.23,-9.39
45.68,-9.44
46.13,-9.48
46.60,-9.54
47.06,-9.59
47.53,-9.59
48.01,-9.60
48.49,-9.56
48.97,-9.51
49.46,-9.69
49.96,-9.89
50.46,-9.89
50.96,-9.87
51.47,-9.88
51.99,-9.89
52.51,-9.95
53.03,-10.01
53.56,-10.08
54.10,-10.13
54.64,-10.14
55.18,-10.13
55.74,-10.08
56.29,-10.15
56.86,-10.34
57.42,-10.40
58.00,-10.42
58.58,-10.39
59.16,-10.37
59.76,-10.36
60.35,-10.35
60.96,-10.34
61.57,-10.39
62.18,-10.44
