frequency,raw
20.00,-24.06
20.20,-24.02
20.40,-24.00
20.61,-23.96
20.81,-23.93
21.02,-23.89
21.23,-23.85
21.44,-23.79
21.66,-23.74
21.87,-23.68
22.09,-23.57
22.31,-23.37
22.54,-23.16
22.76,-22.96
22.99,-22.76
23.22,-22.55
23.45,-22.36
23.69,-22.16
23.92,-21.96
24.16,-21.78
24.40,-21.59
24.65,-21.41
24.89,-21.22
25.14,-21.04
25.39,-20.87
25.65,-20.69
25.91,-20.51
26.16,-20.36
26.43,-20.21
26.69,-20.06
26.96,-19.90
27.23,-19.73
27.50,-19.56
27.77,-19.38
28.05,-19.20
28.33,-19.01
28.62,-18.82
28.90,-18.63
29.19,-18.46
29.48,-18.31
29.78,-18.15
30.08,-17.99
30.38,-17.81
30.68,-17.63
30.99,-17.45
31.30,-17.25
31.61,-17.07
31.93,-16.88
32.24,-16.69
32.57,-16.50
32.89,-16.30
33.22,-16.12
33.55,-15.94
33.89,-15.77
34.23,-15.58
34.57,-15.40
34.92,-15.21
35.27,-15.02
35.62,-14.83
35.97,-14.64
36.33,-14.50
36.70,-14.35
37.06,-14.19
37.43,-13.98
37.81,-13.78
38.19,-13.60
38.57,-13.44
38.95,-13.28
39.34,-13.12
39.74,-12.97
40.14,-12.80
40.54,-12.58
40.94,-12.37
41.35,-12.21
41.76,-12.08
42.18,-11.92
42.60,-11.71
43.03,-11.51
43.46,-11.29
43.90,-11.07
44.33,-10.90
44.78,-10.75
45.23,-10.58
45.68,-10.40
46.13,-10.22
46.60,-10.00
47.06,-9.80
47.53,-9.62
48.01,-9.46
48.49,-9.31
48.97,-9.16
49.46,-8.93
49.96,-8.71
50.46,-8.54
50.96,-8.37
51.47,-8.21
51.99,-8.04
52.51,-7.90
53.03,-7.76
53.56,-7.57
54.10,-7.39
54.64,-7.22
55.18,-7.04
55.74,-6.85
56.29,-6.68
56.86,-6.55
57.42,-6.36
58.00,-6.15
58.58,-5.95
59.16,-5.74
59.76,-5.53
60.35,-5.32
60.96,-5.10
61.57,-4.92
62.18,-4.72
62.80,-4.52
63.43,-4.32
64.07,-4.11
64.71,-3.94
65.35,-3.74
66.01,-3.55
66.67,-3.34
67.33,-3.15
68.01,-2.95
68.69,-2.76
69.37,-2.58
70.07,-2.40
70.77,-2.28
71.48,-2.12
72.19,-1.94
72.91,-1.79
73.64,-1.64
74.38,-1.48
75.12,-1.33
75.87,-1.22
76.63,-1.07
77.40,-0.89
78.17,-0.72
78.95,-0.60
79.74,-0.47
80.54,-0.34
81.35,-0.22
82.16,-0.13
82.98,-0.05
83.81,0.06
84.65,0.20
85.50,0.27
86.35,0.30
87.22,0.39
88.09,0.51
88.97,0.59
89.86,0.68
90.76,0.71
91.66,0.73
92.58,0.79
93.51,0.87
94.44,0.91
95.39,0.92
96.34,0.93
97.30,0.93
98.28,0.94
99.26,1.01
100.25,0.99
101.25,0.97
102.27,0.97
103.29,0.97
104.32,0.96
105.37,0.94
106.42,0.91
107.48,0.84
108.56,0.80
109.64,0.79
110.74,0.77
111.85,0.76
112.97,0.76
114.10,0.74
115.24,0.74
116.39,0.73
117.55,0.69
118.73,0.63
119.92,0.61
121.12,0.61
122.33,0.60
123.55,0.58
124.79,0.57
126.03,0.53
127.29,0.41
128.57,0.31
129.85,0.24
131.15,0.11
132.46,-0.07
133.79,-0.23
135.12,-0.39
136.48,-0.47
137.84,-0.59
139.22,-0.61
140.61,-0.60
142.02,-0.59
143.44,-0.62
144.87,-0.70
146.32,-0.74
147.78,-0.78
149.26,-0.79
150.75,-0.84
152.26,-0.83
153.78,-0.83
155.32,-0.85
156.88,-0.88
158.44,-0.86
160.03,-0.83
161.63,-0.86
163.24,-0.93
164.88,-1.02
166.53,-1.12
168.19,-1.16
169.87,-1.18
171.57,-1.19
173.29,-1.22
175.02,-1.27
176.77,-1.36
178.54,-1.41
180.32,-1.44
182.13,-1.46
183.95,-1.49
185.79,-1.59
187.65,-1.60
189.52,-1.68
191.42,-1.70
193.33,-1.70
195.27,-1.69
197.22,-1.68
199.19,-1.68
201.18,-1.73
203.19,-1.78
205.23,-1.83
207.28,-1.86
209.35,-1.85
211.44,-1.84
213.56,-1.83
215.69,-1.84
217.85,-1.91
220.03,-1.97
222.23,-2.00
224.45,-2.02
226.70,-2.02
228.96,-2.01
231.25,-2.01
233.57,-2.01
235.90,-2.00
238.26,-2.09
240.64,-2.17
243.05,-2.18
245.48,-2.17
247.93,-2.15
250.41,-2.20
252.92,-2.22
255.45,-2.22
258.00,-2.21
260.58,-2.20
263.19,-2.27
265.82,-2.29
268.48,-2.30
271.16,-2.34
273.87,-2.39
276.61,-2.39
279.38,-2.40
282.17,-2.45
284.99,-2.49
287.84,-2.49
290.72,-2.49
293.63,-2.48
296.57,-2.47
299.53,-2.47
302.53,-2.46
305.55,-2.45
308.61,-2.44
311.69,-2.48
314.81,-2.51
317.96,-2.50
321.14,-2.49
324.35,-2.49
327.59,-2.48
330.87,-2.48
334.18,-2.47
337.52,-2.46
340.90,-2.45
344.30,-2.49
347.75,-2.52
351.23,-2.51
354.74,-2.49
358.28,-2.47
361.87,-2.46
365.49,-2.44
369.14,-2.42
372.83,-2.39
376.56,-2.38
380.33,-2.36
384.13,-2.34
387.97,-2.33
391.85,-2.30
395.77,-2.29
399.73,-2.28
403.72,-2.27
407.76,-2.30
411.84,-2.34
415.96,-2.34
420.12,-2.33
424.32,-2.31
428.56,-2.30
432.85,-2.30
437.18,-2.28
441.55,-2.27
445.96,-2.24
450.42,-2.27
454.93,-2.28
459.48,-2.27
464.07,-2.23
468.71,-2.22
473.40,-2.20
478.13,-2.17
482.91,-2.16
487.74,-2.15
492.62,-2.13
497.55,-2.12
502.52,-2.11
507.55,-2.04
512.62,-1.97
517.75,-1.94
522.93,-1.91
528.16,-1.88
533.44,-1.90
538.77,-1.92
544.16,-1.90
549.60,-1.88
555.10,-1.87
560.65,-1.85
566.25,-1.83
571.92,-1.75
577.64,-1.69
583.41,-1.64
589.25,-1.61
595.14,-1.58
601.09,-1.56
607.10,-1.53
613.17,-1.51
619.30,-1.49
625.50,-1.48
631.75,-1.55
638.07,-1.58
644.45,-1.56
650.89,-1.48
657.40,-1.45
663.98,-1.44
670.62,-1.41
677.32,-1.34
684.10,-1.36
690.94,-1.36
697.85,-1.31
704.83,-1.24
711.87,-1.18
718.99,-1.14
726.18,-1.12
733.44,-1.06
740.78,-1.00
748.19,-0.98
755.67,-0.89
763.23,-0.88
770.86,-0.93
778.57,-0.98
786.35,-1.02
794.22,-0.97
802.16,-0.92
810.18,-0.89
818.28,-0.82
826.46,-0.74
834.73,-0.73
843.08,-0.68
851.51,-0.66
860.02,-0.56
868.62,-0.52
877.31,-0.47
886.08,-0.46
894.94,-0.47
903.89,-0.48
912.93,-0.50
922.06,-0.47
931.28,-0.44
940.59,-0.37
950.00,-0.35
959.50,-0.27
969.09,-0.23
978.78,-0.14
988.57,-0.03
998.46,0.07
1008.44,0.14
1018.53,0.19
1028.71,0.22
1039.00,0.26
1049.39,0.30
1059.88,0.35
1070.48,0.40
1081.19,0.50
1092.00,0.57
1102.92,0.65
1113.95,0.75
1125.09,0.89
1136.34,1.05
1147.70,1.19
1159.18,1.33
1170.77,1.41
1182.48,1.51
1194.30,1.65
1206.25,1.79
1218.31,2.00
1230.49,2.17
1242.80,2.42
1255.22,2.54
1267.78,2.64
1280.45,2.78
1293.26,3.00
1306.19,3.22
1319.25,3.42
1332.45,3.61
1345.77,3.83
1359.23,4.01
1372.82,4.18
1386.55,4.36
1400.41,4.50
1414.42,4.65
1428.56,4.80
1442.85,4.94
1457.28,5.01
1471.85,5.08
1486.57,5.17
1501.43,5.31
1516.45,5.41
1531.61,5.28
1546.93,5.30
1562.40,5.27
1578.02,5.19
1593.80,5.25
1609.74,5.35
1625.84,5.42
1642.10,5.51
1658.52,5.70
1675.10,5.82
1691.85,5.97
1708.77,6.07
1725.86,6.22
1743.12,6.41
1760.55,6.70
1778.15,7.23
1795.94,7.72
1813.90,8.18
1832.03,8.55
1850.36,8.75
1868.86,8.99
1887.55,9.31
1906.42,9.62
1925.49,9.92
1944.74,10.02
1964.19,10.03
1983.83,10.00
2003.67,9.94
2023.71,9.83
2043.94,9.65
2064.38,9.40
2085.03,9.18
2105.88,9.34
2126.94,9.61
2148.20,9.82
2169.69,9.91
2191.38,9.92
2213.30,10.09
2235.43,10.20
2257.78,10.15
2280.36,10.01
2303.17,9.82
2326.20,9.87
2349.46,9.90
2372.95,9.71
2396.68,9.56
2420.65,9.43
2444.86,9.24
2469.31,9.01
2494.00,8.73
2518.94,8.69
2544.13,8.82
2569.57,8.86
2595.27,8.81
2621.22,8.29
2647.43,7.92
2673.90,7.26
2700.64,6.87
2727.65,6.90
2754.93,7.07
2782.48,7.40
2810.30,7.35
2838.40,7.15
2866.79,7.04
2895.46,6.83
2924.41,6.56
2953.65,5.58
2983.19,5.00
3013.02,4.67
3043.15,5.09
3073.58,5.35
3104.32,5.61
3135.36,5.88
3166.72,5.83
3198.38,5.40
3230.37,5.07
3262.67,4.98
3295.30,5.09
3328.25,5.32
3361.53,5.45
3395.15,5.69
3429.10,5.98
3463.39,6.24
3498.03,6.19
3533.01,6.10
3568.34,6.32
3604.02,6.62
3640.06,6.91
3676.46,7.34
3713.22,7.71
3750.36,7.94
3787.86,7.83
3825.74,8.10
3864.00,8.47
3902.64,8.83
3941.66,9.20
3981.08,9.24
4020.89,9.04
4061.10,8.91
4101.71,9.04
4142.73,9.20
4184.15,9.12
4226.00,8.87
4268.26,8.56
4310.94,8.51
4354.05,8.44
4397.59,8.35
4441.56,8.25
4485.98,8.16
4530.84,8.11
4576.15,8.10
4621.91,8.18
4668.13,8.26
4714.81,8.40
4761.96,8.72
4809.58,8.95
4857.67,9.15
4906.25,9.46
4955.31,9.75
5004.87,9.98
5054.91,10.18
5105.46,10.37
5156.52,10.54
5208.08,10.59
5260.16,10.72
5312.77,10.95
5365.89,11.40
5419.55,11.80
5473.75,11.99
5528.49,12.04
5583.77,12.02
5639.61,12.14
5696.00,12.41
5752.96,12.59
5810.49,12.89
5868.60,13.14
5927.28,13.17
5986.56,13.13
6046.42,12.95
6106.89,12.80
6167.96,12.52
6229.64,12.28
6291.93,12.07
6354.85,11.71
6418.40,11.34
6482.58,10.98
6547.41,10.57
6612.88,10.10
6679.01,9.64
6745.80,9.17
6813.26,8.82
6881.39,8.54
6950.21,8.29
7019.71,8.06
7089.91,7.81
7160.81,7.70
7232.41,7.70
7304.74,7.68
7377.79,7.97
7451.56,8.20
7526.08,8.38
7601.34,8.52
7677.35,8.23
7754.13,7.84
7831.67,7.15
7909.98,6.68
7989.08,6.32
8068.98,5.98
8149.67,5.70
8231.16,5.45
8313.47,5.29
8396.61,5.02
8480.57,4.90
8565.38,4.51
8651.03,3.53
8737.54,2.51
8824.92,1.59
8913.17,0.66
9002.30,-0.24
9092.32,-1.15
9183.25,-2.34
9275.08,-2.88
9367.83,-2.78
9461.51,-2.56
9556.12,-2.12
9651.68,-1.74
9748.20,-1.76
9845.68,-1.74
9944.14,-1.87
10043.58,-2.18
10144.02,-2.56
10245.46,-2.87
10347.91,-3.03
10451.39,-1.98
10555.91,-1.05
10661.46,0.16
10768.08,1.48
10875.76,1.95
10984.52,2.22
11094.36,2.39
11205.31,1.71
11317.36,1.03
11430.53,0.89
11544.84,1.17
11660.29,1.28
11776.89,0.83
11894.66,-0.02
12013.60,-1.09
12133.74,-1.21
12255.08,-0.66
12377.63,-0.26
12501.41,-0.00
12626.42,0.25
12752.68,0.51
12880.21,0.55
13009.01,0.11
13139.10,0.36
13270.49,0.50
13403.20,0.49
13537.23,0.70
13672.60,-2.20
13809.33,-5.49
13947.42,-6.96
14086.90,-7.31
14227.77,-8.38
14370.04,-8.45
14513.74,-6.94
14658.88,-5.39
14805.47,-6.00
14953.52,-6.45
15103.06,-7.01
15254.09,-6.27
15406.63,-5.86
15560.70,-5.77
15716.30,-6.47
15873.47,-6.44
16032.20,-5.57
16192.52,-4.89
16354.45,-4.23
16517.99,-3.06
16683.17,-2.71
16850.01,-2.74
17018.51,-3.01
17188.69,-4.28
17360.58,-5.49
17534.18,-6.20
17709.53,-6.08
17886.62,-6.11
18065.49,-6.41
18246.14,-6.69
18428.60,-5.81
18612.89,-6.03
18799.02,-7.04
18987.01,-8.65
19176.88,-10.15
19368.65,-11.02
19562.33,-11.21
19757.96,-11.44
19955.54,-12.04
