frequency,raw
20.00,-6.39
20.20,-6.32
20.40,-6.26
20.61,-6.19
20.81,-6.12
21.02,-6.05
21.23,-5.99
21.44,-5.91
21.66,-5.84
21.87,-5.76
22.09,-5.69
22.31,-5.63
22.54,-5.56
22.76,-5.49
22.99,-5.42
23.22,-5.38
23.45,-5.34
23.69,-5.30
23.92,-5.26
24.16,-5.19
24.40,-5.09
24.65,-5.00
24.89,-4.90
25.14,-4.83
25.39,-4.78
25.65,-4.73
25.91,-4.68
26.16,-4.64
26.43,-4.61
26.69,-4.58
26.96,-4.54
27.23,-4.49
27.50,-4.44
27.77,-4.38
28.05,-4.33
28.33,-4.27
28.62,-4.22
28.90,-4.16
29.19,-4.12
29.48,-4.10
29.78,-4.07
30.08,-4.04
30.38,-4.01
30.68,-3.98
30.99,-3.95
31.30,-3.94
31.61,-3.94
31.93,-3.94
32.24,-3.88
32.57,-3.81
32.89,-3.73
33.22,-3.71
33.55,-3.70
33.89,-3.70
34.23,-3.68
34.57,-3.67
34.92,-3.66
35.27,-3.63
35.62,-3.61
35.97,-3.58
36.33,-3.58
36.70,-3.58
37.06,-3.58
37.43,-3.58
37.81,-3.58
38.19,-3.57
38.57,-3.53
38.95,-3.49
39.34,-3.49
39.74,-3.49
40.14,-3.50
40.54,-3.52
40.94,-3.54
41.35,-3.55
41.76,-3.57
42.18,-3.58
42.60,-3.57
43.03,-3.57
43.46,-3.56
43.90,-3.56
44.33,-3.56
44.78,-3.56
45.23,-3.56
45.68,-3.56
46.13,-3.57
46.60,-3.62
47.06,-3.67
47.53,-3.68
48.01,-3.69
48.49,-3.74
48.97,-3.80
49.46,-3.81
49.96,-3.83
50.46,-3.84
50.96,-3.85
51.47,-3.95
51.99,-4.05
52.51,-4.08
53.03,-4.10
53.56,-4.13
54.10,-4.16
54.64,-4.20
55.18,-4.26
55.74,-4.33
56.29,-4.42
56.86,-4.53
57.42,-4.61
58.00,-4.67
58.58,-4.71
59.16,-4.77
59.76,-4.87
60.35,-4.96
60.96,-5.02
61.57,-5.06
62.18,-5.11
62.80,-5.22
63.43,-5.29
64.07,-5.35
64.71,-5.49
65.35,-5.60
66.01,-5.70
66.67,-5.65
67.33,-5.61
68.01,-5.55
68.69,-5.75
69.37,-5.86
70.07,-5.87
70.77,-5.89
71.48,-5.85
72.19,-5.81
72.91,-5.87
73.64,-5.87
74.38,-5.80
75.12,-5.71
75.87,-5.71
76.63,-5.61
77.40,-5.51
78.17,-5.42
78.95,-5.37
79.74,-5.31
80.54,-5.29
81.35,-5.26
82.16,-5.21
82.98,-5.14
83.81,-5.12
84.65,-5.05
85.50,-5.01
86.35,-5.04
87.22,-5.09
88.09,-5.08
88.97,-5.07
89.86,-5.07
90.76,-5.06
91.66,-5.07
92.58,-5.12
93.51,-5.19
94.44,-5.23
95.39,-5.24
96.34,-5.25
97.30,-5.30
98.28,-5.35
99.26,-5.35
100.25,-5.37
101.25,-5.39
102.27,-5.39
103.29,-5.39
104.32,-5.40
105.37,-5.42
106.42,-5.43
107.48,-5.45
108.56,-5.46
109.64,-5.47
110.74,-5.49
111.85,-5.51
112.97,-5.51
114.10,-5.52
115.24,-5.52
116.39,-5.56
117.55,-5.62
118.73,-5.66
119.92,-5.66
121.12,-5.66
122.33,-5.67
123.55,-5.69
124.79,-5.70
126.03,-5.71
127.29,-5.71
128.57,-5.73
129.85,-5.83
131.15,-5.88
132.46,-5.96
133.79,-5.99
135.12,-6.00
136.48,-6.00
137.84,-6.01
139.22,-6.06
140.61,-6.13
142.02,-6.16
143.44,-6.14
144.87,-6.13
146.32,-6.12
147.78,-6.20
149.26,-6.29
150.75,-6.29
152.26,-6.36
153.78,-6.37
155.32,-6.31
156.88,-6.29
158.44,-6.36
160.03,-6.50
161.63,-6.63
163.24,-6.76
164.88,-6.90
166.53,-6.93
168.19,-6.99
169.87,-6.92
171.57,-6.67
173.29,-6.51
175.02,-6.46
176.77,-6.41
178.54,-6.31
180.32,-6.26
182.13,-6.25
183.95,-6.24
185.79,-6.22
187.65,-6.16
189.52,-6.09
191.42,-6.03
193.33,-5.98
195.27,-5.96
197.22,-5.99
199.19,-6.07
201.18,-6.12
203.19,-6.13
205.23,-6.13
207.28,-6.13
209.35,-6.14
211.44,-6.19
213.56,-6.21
215.69,-6.21
217.85,-6.20
220.03,-6.25
222.23,-6.29
224.45,-6.30
226.70,-6.30
228.96,-6.30
231.25,-6.29
233.57,-6.29
235.90,-6.29
238.26,-6.28
240.64,-6.27
243.05,-6.28
245.48,-6.33
247.93,-6.34
250.41,-6.29
252.92,-6.31
255.45,-6.24
258.00,-6.23
260.58,-6.28
263.19,-6.30
265.82,-6.21
268.48,-6.27
271.16,-6.31
273.87,-6.29
276.61,-6.30
279.38,-6.24
282.17,-6.18
284.99,-6.13
287.84,-6.12
290.72,-6.08
293.63,-5.91
296.57,-5.87
299.53,-5.82
302.53,-5.70
305.55,-5.56
308.61,-5.55
311.69,-5.48
314.81,-5.41
317.96,-5.33
321.14,-5.23
324.35,-5.15
327.59,-5.10
330.87,-5.01
334.18,-4.97
337.52,-4.97
340.90,-4.92
344.30,-4.86
347.75,-4.78
351.23,-4.73
354.74,-4.70
358.28,-4.67
361.87,-4.59
365.49,-4.51
369.14,-4.44
372.83,-4.40
376.56,-4.36
380.33,-4.28
384.13,-4.19
387.97,-4.14
391.85,-4.11
395.77,-4.10
399.73,-4.08
403.72,-3.99
407.76,-3.95
411.84,-3.95
415.96,-3.95
420.12,-3.94
424.32,-3.87
428.56,-3.80
432.85,-3.78
437.18,-3.78
441.55,-3.78
445.96,-3.75
450.42,-3.73
454.93,-3.58
459.48,-3.54
464.07,-3.59
468.71,-3.49
473.40,-3.41
478.13,-3.39
482.91,-3.35
487.74,-3.23
492.62,-3.20
497.55,-3.22
502.52,-3.22
507.55,-3.20
512.62,-3.11
517.75,-3.02
522.93,-2.93
528.16,-2.89
533.44,-2.79
538.77,-2.67
544.16,-2.63
549.60,-2.67
555.10,-2.68
560.65,-2.69
566.25,-2.70
571.92,-2.57
577.64,-2.35
583.41,-2.27
589.25,-2.29
595.14,-2.29
601.09,-2.27
607.10,-2.30
613.17,-2.21
619.30,-2.11
625.50,-1.96
631.75,-1.91
638.07,-1.97
644.45,-2.02
650.89,-2.02
657.40,-1.89
663.98,-1.75
670.62,-1.65
677.32,-1.72
684.10,-1.75
690.94,-1.61
697.85,-1.54
704.83,-1.58
711.87,-1.55
718.99,-1.32
726.18,-1.27
733.44,-1.30
740.78,-1.34
748.19,-1.14
755.67,-1.02
763.23,-1.07
770.86,-1.10
778.57,-1.05
786.35,-0.85
794.22,-0.72
802.16,-0.73
810.18,-0.70
818.28,-0.61
826.46,-0.55
834.73,-0.51
843.08,-0.44
851.51,-0.44
860.02,-0.34
868.62,-0.33
877.31,-0.39
886.08,-0.42
894.94,-0.41
903.89,-0.31
912.93,-0.36
922.06,-0.42
931.28,-0.32
940.59,-0.18
950.00,-0.14
959.50,-0.17
969.09,-0.18
978.78,-0.14
988.57,-0.06
998.46,0.06
1008.44,0.17
1018.53,0.22
1028.71,0.25
1039.00,0.41
1049.39,0.46
1059.88,0.53
1070.48,0.74
1081.19,0.81
1092.00,0.85
1102.92,0.90
1113.95,0.92
1125.09,0.96
1136.34,1.11
1147.70,1.19
1159.18,1.33
1170.77,1.43
1182.48,1.49
1194.30,1.48
1206.25,1.53
1218.31,1.59
1230.49,1.66
1242.80,1.62
1255.22,1.51
1267.78,1.45
1280.45,1.15
1293.26,1.01
1306.19,0.95
1319.25,0.82
1332.45,0.87
1345.77,1.43
1359.23,1.92
1372.82,1.78
1386.55,1.98
1400.41,2.28
1414.42,2.41
1428.56,2.61
1442.85,2.59
1457.28,2.50
1471.85,2.54
1486.57,2.54
1501.43,2.65
1516.45,2.85
1531.61,3.01
1546.93,3.17
1562.40,3.38
1578.02,3.52
1593.80,3.66
1609.74,3.78
1625.84,3.90
1642.10,4.18
1658.52,4.31
1675.10,4.23
1691.85,4.19
1708.77,4.22
1725.86,4.25
1743.12,4.34
1760.55,4.55
1778.15,4.74
1795.94,4.92
1813.90,5.03
1832.03,5.08
1850.36,5.08
1868.86,5.06
1887.55,5.13
1906.42,5.23
1925.49,5.31
1944.74,5.33
1964.19,5.32
1983.83,5.22
2003.67,5.06
2023.71,4.79
2043.94,4.49
2064.38,4.28
2085.03,4.14
2105.88,3.91
2126.94,3.81
2148.20,3.84
2169.69,3.82
2191.38,3.80
2213.30,3.74
2235.43,3.67
2257.78,3.73
2280.36,3.86
2303.17,3.99
2326.20,4.18
2349.46,4.36
2372.95,4.51
2396.68,4.56
2420.65,4.63
2444.86,4.68
2469.31,4.73
2494.00,4.78
2518.94,4.83
2544.13,4.86
2569.57,4.90
2595.27,4.88
2621.22,4.94
2647.43,5.08
2673.90,5.06
2700.64,5.04
2727.65,5.09
2754.93,5.07
2782.48,5.02
2810.30,4.93
2838.40,4.87
2866.79,4.80
2895.46,4.68
2924.41,4.58
2953.65,4.48
2983.19,4.42
3013.02,4.38
3043.15,4.36
3073.58,4.39
3104.32,4.43
3135.36,4.40
3166.72,4.35
3198.38,4.34
3230.37,4.32
3262.67,4.27
3295.30,4.26
3328.25,4.33
3361.53,4.44
3395.15,4.46
3429.10,4.44
3463.39,4.45
3498.03,4.47
3533.01,4.51
3568.34,4.51
3604.02,4.41
3640.06,4.46
3676.46,4.65
3713.22,4.68
3750.36,4.68
3787.86,4.68
3825.74,4.41
3864.00,4.15
3902.64,4.13
3941.66,4.07
3981.08,4.01
