frequency,raw
20.00,-12.29
20.20,-12.09
20.40,-11.90
20.61,-11.69
20.81,-11.50
21.02,-11.31
21.23,-11.19
21.44,-11.06
21.66,-10.93
21.87,-10.80
22.09,-10.68
22.31,-10.58
22.54,-10.46
22.76,-10.34
22.99,-10.23
23.22,-10.10
23.45,-9.97
23.69,-9.84
23.92,-9.71
24.16,-9.57
24.40,-9.42
24.65,-9.28
24.89,-9.12
25.14,-8.99
25.39,-8.86
25.65,-8.73
25.91,-8.61
26.16,-8.48
26.43,-8.36
26.69,-8.24
26.96,-8.11
27.23,-8.00
27.50,-7.88
27.77,-7.77
28.05,-7.66
28.33,-7.58
28.62,-7.49
28.90,-7.41
29.19,-7.24
29.48,-7.03
29.78,-6.82
30.08,-6.63
30.38,-6.50
30.68,-6.37
30.99,-6.24
31.30,-6.12
31.61,-6.02
31.93,-5.92
32.24,-5.80
32.57,-5.68
32.89,-5.55
33.22,-5.42
33.55,-5.27
33.89,-5.13
34.23,-5.01
34.57,-4.90
34.92,-4.80
35.27,-4.65
35.62,-4.51
35.97,-4.37
36.33,-4.33
36.70,-4.30
37.06,-4.24
37.43,-4.06
37.81,-3.88
38.19,-3.77
38.57,-3.70
38.95,-3.63
39.34,-3.37
39.74,-3.09
40.14,-2.91
40.54,-2.92
40.94,-2.93
41.35,-2.80
41.76,-2.66
42.18,-2.52
42.60,-2.37
43.03,-2.23
43.46,-2.09
43.90,-1.96
44.33,-1.87
44.78,-1.78
45.23,-1.77
45.68,-1.84
46.13,-1.80
46.60,-1.54
47.06,-1.31
47.53,-1.25
48.01,-1.19
48.49,-1.09
48.97,-0.99
49.46,-0.82
49.96,-0.67
50.46,-0.71
50.96,-0.77
51.47,-0.58
51.99,-0.37
52.51,-0.39
53.03,-0.41
53.56,-0.31
54.10,-0.22
54.64,-0.20
55.18,-0.15
55.74,-0.05
56.29,-0.02
56.86,-0.07
57.42,0.00
58.00,0.11
58.58,0.12
59.16,0.10
59.76,0.02
60.35,-0.02
60.96,-0.06
61.57,-0.15
62.18,-0.25
62.80,-0.35
63.43,-0.40
64.07,-0.44
64.71,-0.48
65.35,-0.49
66.01,-0.50
66.67,-0.44
67.33,-0.34
68.01,-0.17
68.69,-0.03
69.37,0.12
70.07,0.29
70.77,0.56
71.48,0.72
72.19,0.89
72.91,1.25
73.64,1.46
74.38,1.71
75.12,2.00
75.87,2.38
76.63,2.64
77.40,2.95
78.17,3.30
78.95,3.47
79.74,3.55
80.54,3.72
81.35,3.93
82.16,4.12
82.98,4.33
83.81,4.41
84.65,4.56
85.50,4.69
86.35,4.75
87.22,4.82
88.09,5.06
88.97,5.10
89.86,5.13
90.76,5.26
