frequency,raw
20.00,-2.40
20.20,-2.35
20.40,-2.31
20.61,-2.26
20.81,-2.22
21.02,-2.17
21.23,-2.07
21.44,-1.96
21.66,-1.85
21.87,-1.74
22.09,-1.67
22.31,-1.65
22.54,-1.62
22.76,-1.59
22.99,-1.57
23.22,-1.49
23.45,-1.42
23.69,-1.34
23.92,-1.26
24.16,-1.22
24.40,-1.19
24.65,-1.16
24.89,-1.11
25.14,-1.07
25.39,-1.01
25.65,-0.94
25.91,-0.88
26.16,-0.83
26.43,-0.78
26.69,-0.73
26.96,-0.67
27.23,-0.60
27.50,-0.52
27.77,-0.45
28.05,-0.39
28.33,-0.37
28.62,-0.35
28.90,-0.33
29.19,-0.29
29.48,-0.25
29.78,-0.20
30.08,-0.15
30.38,-0.11
30.68,-0.08
30.99,-0.04
31.30,0.02
31.61,0.08
31.93,0.14
32.24,0.18
32.57,0.22
32.89,0.26
33.22,0.29
33.55,0.34
33.89,0.37
34.23,0.42
34.57,0.47
34.92,0.52
35.27,0.56
35.62,0.58
35.97,0.61
36.33,0.67
36.70,0.74
37.06,0.80
37.43,0.80
37.81,0.80
38.19,0.81
38.57,0.85
38.95,0.89
39.34,0.92
39.74,0.96
40.14,1.01
40.54,1.09
40.94,1.16
41.35,1.12
41.76,1.06
42.18,1.06
42.60,1.15
43.03,1.22
43.46,1.25
43.90,1.27
44.33,1.32
44.78,1.38
45.23,1.41
45.68,1.42
46.13,1.43
46.60,1.43
47.06,1.43
47.53,1.47
48.01,1.51
48.49,1.55
48.97,1.59
49.46,1.58
49.96,1.56
50.46,1.55
50.96,1.54
51.47,1.55
51.99,1.57
52.51,1.59
53.03,1.61
53.56,1.65
54.10,1.68
54.64,1.67
55.18,1.66
55.74,1.65
56.29,1.65
56.86,1.64
57.42,1.68
58.00,1.74
58.58,1.77
59.16,1.81
59.76,1.84
60.35,1.86
60.96,1.87
61.57,1.88
62.18,1.90
62.80,1.92
63.43,1.95
64.07,1.98
64.71,2.00
65.35,2.03
66.01,2.05
66.67,2.03
67.33,2.09
68.01,2.25
68.69,2.33
69.37,2.35
70.07,2.34
70.77,2.34
71.48,2.35
72.19,2.36
72.91,2.37
73.64,2.38
74.38,2.40
75.12,2.41
75.87,2.42
76.63,2.44
77.40,2.46
78.17,2.48
78.95,2.49
79.74,2.51
80.54,2.51
81.35,2.51
82.16,2.52
82.98,2.66
83.81,2.67
84.65,2.68
85.50,2.69
86.35,2.70
87.22,2.71
88.09,2.72
88.97,2.73
89.86,2.74
90.76,2.75
91.66,2.76
92.58,2.76
93.51,2.77
94.44,2.77
95.39,2.77
96.34,2.78
97.30,2.77
98.28,2.76
99.26,2.76
100.25,2.74
101.25,2.72
102.27,2.72
103.29,2.72
104.32,2.71
105.37,2.69
106.42,2.68
107.48,2.66
108.56,2.65
109.64,2.64
110.74,2.62
111.85,2.60
112.97,2.60
114.10,2.59
115.24,2.58
116.39,2.58
117.55,2.57
118.73,2.56
119.92,2.58
121.12,2.50
122.33,2.37
123.55,2.31
124.79,2.31
126.03,2.30
127.29,2.28
128.57,2.27
129.85,2.26
131.15,2.25
132.46,2.24
133.79,2.23
135.12,2.21
136.48,2.16
137.84,2.05
139.22,2.07
140.61,2.09
142.02,2.04
143.44,2.05
144.87,2.24
146.32,2.30
147.78,2.30
149.26,2.30
150.75,2.30
152.26,2.30
153.78,2.36
155.32,2.56
156.88,2.72
158.44,2.76
160.03,2.74
161.63,2.79
163.24,2.82
164.88,2.73
166.53,2.58
168.19,2.56
169.87,2.48
171.57,2.29
173.29,2.25
175.02,2.19
176.77,2.09
178.54,2.04
180.32,2.01
182.13,1.99
183.95,1.97
185.79,1.95
187.65,2.00
189.52,2.04
191.42,2.12
193.33,2.15
195.27,2.15
197.22,2.17
199.19,2.17
201.18,2.17
203.19,2.18
205.23,2.18
207.28,2.16
209.35,2.14
211.44,2.21
213.56,2.29
215.69,2.30
217.85,2.31
220.03,2.32
222.23,2.42
224.45,2.46
226.70,2.42
228.96,2.41
231.25,2.42
233.57,2.42
235.90,2.42
238.26,2.43
240.64,2.44
243.05,2.44
245.48,2.45
247.93,2.47
250.41,2.48
252.92,2.49
255.45,2.50
258.00,2.50
260.58,2.52
263.19,2.52
265.82,2.52
268.48,2.52
271.16,2.52
273.87,2.52
276.61,2.52
279.38,2.51
282.17,2.51
284.99,2.51
287.84,2.51
290.72,2.51
293.63,2.55
296.57,2.58
299.53,2.47
302.53,2.44
305.55,2.45
308.61,2.46
311.69,2.45
314.81,2.36
317.96,2.36
321.14,2.40
324.35,2.41
327.59,2.41
330.87,2.43
334.18,2.48
337.52,2.46
340.90,2.38
344.30,2.36
347.75,2.37
351.23,2.39
354.74,2.40
358.28,2.35
361.87,2.30
365.49,2.34
369.14,2.37
372.83,2.40
376.56,2.42
380.33,2.44
384.13,2.45
387.97,2.47
391.85,2.45
395.77,2.37
399.73,2.43
403.72,2.42
407.76,2.35
411.84,2.34
415.96,2.35
420.12,2.36
424.32,2.31
428.56,2.26
432.85,2.21
437.18,2.21
441.55,2.22
445.96,2.25
450.42,2.24
454.93,2.21
459.48,2.15
464.07,2.15
468.71,2.13
473.40,2.10
478.13,2.05
482.91,2.03
487.74,2.06
492.62,1.99
497.55,1.87
502.52,1.87
507.55,1.94
512.62,1.93
517.75,1.77
522.93,1.72
528.16,1.79
533.44,1.84
538.77,1.86
544.16,1.88
549.60,1.82
555.10,1.78
560.65,1.88
566.25,1.81
571.92,1.78
577.64,1.66
583.41,1.66
589.25,1.72
595.14,1.71
601.09,1.68
607.10,1.66
613.17,1.67
619.30,1.69
625.50,1.70
631.75,1.64
638.07,1.59
644.45,1.53
650.89,1.57
657.40,1.48
663.98,1.30
670.62,1.39
677.32,1.43
684.10,1.24
690.94,1.22
697.85,1.13
704.83,1.02
711.87,1.10
718.99,0.99
726.18,0.85
733.44,0.88
740.78,0.80
748.19,0.65
755.67,0.52
763.23,0.54
770.86,0.62
778.57,0.63
786.35,0.65
794.22,0.72
802.16,0.73
810.18,0.61
818.28,0.58
826.46,0.58
834.73,0.62
843.08,0.63
851.51,0.49
860.02,0.47
868.62,0.34
877.31,0.25
886.08,0.32
894.94,0.28
903.89,0.24
912.93,0.25
922.06,0.24
931.28,0.20
940.59,0.18
950.00,0.10
959.50,0.03
969.09,-0.01
978.78,0.00
988.57,0.02
998.46,0.07
1008.44,0.16
1018.53,0.21
1028.71,0.17
1039.00,0.19
1049.39,0.23
1059.88,0.26
1070.48,0.25
1081.19,0.24
1092.00,0.22
1102.92,0.25
1113.95,0.29
1125.09,0.20
1136.34,0.16
1147.70,0.15
1159.18,0.08
1170.77,-0.02
1182.48,-0.07
1194.30,-0.06
1206.25,-0.09
1218.31,-0.12
1230.49,-0.14
1242.80,-0.13
1255.22,-0.11
1267.78,-0.07
1280.45,0.01
1293.26,0.11
1306.19,0.25
1319.25,0.35
1332.45,0.39
1345.77,0.40
1359.23,0.50
1372.82,0.74
1386.55,0.95
1400.41,1.15
1414.42,1.32
1428.56,1.47
1442.85,1.70
1457.28,1.85
1471.85,1.97
1486.57,2.21
1501.43,2.46
1516.45,2.64
1531.61,2.83
1546.93,3.04
1562.40,3.25
1578.02,3.50
1593.80,3.63
1609.74,3.74
1625.84,3.89
1642.10,3.99
1658.52,4.16
1675.10,4.35
1691.85,4.52
1708.77,4.71
1725.86,4.81
1743.12,4.88
1760.55,5.03
1778.15,5.21
1795.94,5.39
1813.90,5.60
1832.03,5.82
1850.36,6.03
1868.86,6.22
1887.55,6.40
1906.42,6.64
1925.49,6.81
1944.74,7.01
1964.19,7.11
1983.83,7.15
2003.67,7.18
2023.71,7.32
2043.94,7.42
2064.38,7.52
2085.03,7.55
2105.88,7.54
2126.94,7.53
2148.20,7.50
2169.69,7.48
2191.38,7.48
2213.30,7.47
2235.43,7.46
2257.78,7.41
2280.36,7.39
2303.17,7.36
2326.20,7.22
2349.46,7.16
2372.95,6.96
2396.68,6.86
2420.65,6.57
2444.86,6.38
2469.31,6.22
2494.00,5.92
2518.94,5.79
2544.13,5.69
2569.57,5.48
2595.27,5.32
2621.22,5.18
2647.43,4.91
2673.90,4.61
2700.64,4.42
2727.65,4.31
2754.93,4.11
2782.48,3.90
2810.30,3.83
2838.40,3.76
2866.79,3.75
2895.46,3.63
2924.41,3.27
2953.65,3.12
2983.19,2.97
3013.02,3.19
3043.15,3.21
3073.58,3.37
3104.32,3.63
3135.36,3.38
3166.72,3.22
3198.38,3.31
3230.37,3.29
3262.67,3.22
3295.30,3.02
3328.25,2.90
3361.53,2.96
3395.15,3.01
3429.10,3.08
3463.39,3.34
3498.03,3.54
3533.01,3.68
3568.34,3.81
3604.02,4.16
3640.06,4.41
3676.46,4.53
3713.22,4.52
3750.36,4.69
3787.86,5.00
3825.74,5.24
3864.00,5.33
3902.64,5.34
3941.66,5.37
3981.08,5.76
4020.89,5.95
4061.10,6.12
4101.71,6.40
4142.73,6.60
4184.15,6.69
4226.00,6.85
4268.26,6.83
4310.94,6.67
4354.05,6.74
4397.59,6.76
4441.56,6.74
4485.98,6.79
4530.84,6.88
4576.15,6.84
4621.91,6.78
4668.13,6.75
4714.81,6.94
4761.96,6.96
4809.58,7.00
4857.67,7.01
4906.25,7.14
4955.31,7.51
5004.87,7.84
5054.91,8.02
5105.46,8.22
5156.52,8.43
5208.08,8.50
5260.16,8.56
5312.77,8.82
5365.89,9.21
5419.55,9.56
5473.75,9.88
5528.49,10.29
5583.77,10.55
5639.61,10.73
5696.00,10.92
5752.96,11.18
5810.49,11.31
5868.60,11.45
5927.28,11.57
5986.56,11.63
6046.42,11.52
6106.89,11.39
6167.96,11.18
6229.64,10.92
6291.93,10.67
6354.85,10.42
6418.40,10.20
6482.58,10.03
6547.41,9.98
6612.88,9.89
6679.01,9.82
6745.80,9.87
6813.26,10.09
6881.39,10.19
6950.21,10.35
7019.71,10.54
7089.91,10.61
7160.81,10.52
7232.41,10.28
7304.74,10.03
7377.79,9.71
7451.56,9.20
7526.08,8.67
7601.34,8.21
7677.35,7.77
7754.13,7.51
7831.67,7.26
7909.98,6.86
7989.08,6.35
8068.98,5.82
8149.67,5.50
8231.16,5.25
8313.47,4.91
8396.61,4.48
8480.57,3.80
8565.38,3.04
8651.03,2.25
8737.54,1.66
8824.92,1.19
8913.17,0.54
9002.30,-0.31
9092.32,-1.21
