frequency,raw
20.00,-8.48
20.20,-8.42
20.40,-8.38
20.61,-8.32
20.81,-8.27
21.02,-8.21
21.23,-8.13
21.44,-8.03
21.66,-7.94
21.87,-7.84
22.09,-7.75
22.31,-7.66
22.54,-7.56
22.76,-7.46
22.99,-7.36
23.22,-7.29
23.45,-7.22
23.69,-7.15
23.92,-7.08
24.16,-6.99
24.40,-6.89
24.65,-6.79
24.89,-6.68
25.14,-6.61
25.39,-6.56
25.65,-6.50
25.91,-6.45
26.16,-6.38
26.43,-6.31
26.69,-6.23
26.96,-6.14
27.23,-6.07
27.50,-5.99
27.77,-5.92
28.05,-5.84
28.33,-5.76
28.62,-5.68
28.90,-5.60
29.19,-5.54
29.48,-5.49
29.78,-5.44
30.08,-5.38
30.38,-5.32
30.68,-5.26
30.99,-5.20
31.30,-5.12
31.61,-5.06
31.93,-4.99
32.24,-4.91
32.57,-4.85
32.89,-4.78
33.22,-4.72
33.55,-4.66
33.89,-4.60
34.23,-4.53
34.57,-4.46
34.92,-4.40
35.27,-4.34
35.62,-4.30
35.97,-4.25
36.33,-4.19
36.70,-4.13
37.06,-4.07
37.43,-4.00
37.81,-3.93
38.19,-3.86
38.57,-3.79
38.95,-3.72
39.34,-3.68
39.74,-3.64
40.14,-3.60
40.54,-3.56
40.94,-3.52
41.35,-3.44
41.76,-3.38
42.18,-3.32
42.60,-3.25
43.03,-3.20
43.46,-3.15
43.90,-3.11
44.33,-3.07
44.78,-3.02
45.23,-2.96
45.68,-2.87
46.13,-2.81
46.60,-2.81
47.06,-2.81
47.53,-2.75
48.01,-2.69
48.49,-2.68
48.97,-2.66
49.46,-2.61
49.96,-2.58
50.46,-2.55
50.96,-2.52
51.47,-2.47
51.99,-2.42
52.51,-2.39
53.03,-2.36
53.56,-2.34
54.10,-2.31
54.64,-2.28
55.18,-2.25
55.74,-2.23
56.29,-2.18
56.86,-2.10
57.42,-2.06
58.00,-2.04
58.58,-2.02
59.16,-1.99
59.76,-1.94
60.35,-1.89
60.96,-1.82
61.57,-1.81
62.18,-1.79
62.80,-1.77
63.43,-1.65
64.07,-1.51
64.71,-1.49
65.35,-1.46
66.01,-1.44
66.67,-1.42
67.33,-1.41
68.01,-1.39
68.69,-1.38
69.37,-1.37
70.07,-1.35
70.77,-1.35
71.48,-1.34
72.19,-1.34
72.91,-1.37
73.64,-1.50
74.38,-1.61
75.12,-1.68
75.87,-1.71
76.63,-1.72
77.40,-1.71
78.17,-1.67
78.95,-1.59
79.74,-1.57
80.54,-1.56
81.35,-1.54
82.16,-1.55
82.98,-1.59
83.81,-1.60
84.65,-1.60
85.50,-1.56
86.35,-1.51
87.22,-1.47
88.09,-1.43
88.97,-1.34
89.86,-1.26
90.76,-1.20
91.66,-1.15
92.58,-1.11
93.51,-1.05
94.44,-1.03
95.39,-1.02
96.34,-0.98
97.30,-0.92
98.28,-0.88
99.26,-0.85
100.25,-0.88
101.25,-0.94
102.27,-0.89
103.29,-0.89
104.32,-0.90
105.37,-0.89
106.42,-0.85
107.48,-0.78
108.56,-0.69
109.64,-0.69
110.74,-0.77
111.85,-0.81
112.97,-0.81
114.10,-0.83
115.24,-0.81
116.39,-0.71
117.55,-0.66
118.73,-0.66
119.92,-0.67
121.12,-0.60
122.33,-0.57
123.55,-0.53
124.79,-0.51
126.03,-0.53
127.29,-0.54
128.57,-0.56
129.85,-0.57
131.15,-0.58
132.46,-0.59
133.79,-0.60
135.12,-0.60
136.48,-0.55
137.84,-0.53
139.22,-0.54
140.61,-0.54
142.02,-0.55
143.44,-0.55
144.87,-0.55
146.32,-0.52
147.78,-0.45
149.26,-0.43
150.75,-0.41
152.26,-0.38
153.78,-0.34
155.32,-0.31
156.88,-0.27
158.44,-0.23
160.03,-0.25
161.63,-0.26
163.24,-0.25
164.88,-0.27
166.53,-0.31
168.19,-0.38
169.87,-0.43
171.57,-0.38
173.29,-0.39
175.02,-0.41
176.77,-0.45
178.54,-0.49
180.32,-0.51
182.13,-0.54
183.95,-0.56
185.79,-0.49
187.65,-0.49
189.52,-0.49
191.42,-0.49
193.33,-0.48
195.27,-0.48
197.22,-0.46
199.19,-0.46
201.18,-0.45
203.19,-0.45
205.23,-0.45
207.28,-0.45
209.35,-0.44
211.44,-0.43
213.56,-0.43
215.69,-0.43
217.85,-0.42
220.03,-0.43
222.23,-0.42
224.45,-0.42
226.70,-0.42
228.96,-0.42
231.25,-0.41
233.57,-0.41
235.90,-0.41
238.26,-0.47
240.64,-0.49
243.05,-0.49
245.48,-0.48
247.93,-0.46
250.41,-0.45
252.92,-0.43
255.45,-0.43
258.00,-0.42
260.58,-0.41
263.19,-0.41
265.82,-0.41
268.48,-0.41
271.16,-0.40
273.87,-0.41
276.61,-0.41
279.38,-0.42
282.17,-0.44
284.99,-0.55
287.84,-0.60
290.72,-0.60
293.63,-0.59
296.57,-0.59
299.53,-0.65
302.53,-0.67
305.55,-0.66
308.61,-0.65
311.69,-0.64
314.81,-0.63
317.96,-0.62
321.14,-0.61
324.35,-0.61
327.59,-0.60
330.87,-0.59
334.18,-0.58
337.52,-0.58
340.90,-0.57
344.30,-0.56
347.75,-0.61
351.23,-0.62
354.74,-0.61
358.28,-0.59
361.87,-0.59
365.49,-0.64
369.14,-0.63
372.83,-0.60
376.56,-0.67
380.33,-0.67
384.13,-0.65
387.97,-0.63
391.85,-0.61
395.77,-0.60
399.73,-0.59
403.72,-0.58
407.76,-0.57
411.84,-0.57
415.96,-0.62
420.12,-0.64
424.32,-0.62
428.56,-0.61
432.85,-0.61
437.18,-0.66
441.55,-0.67
445.96,-0.64
450.42,-0.62
454.93,-0.59
459.48,-0.57
464.07,-0.61
468.71,-0.62
473.40,-0.60
478.13,-0.60
482.91,-0.61
487.74,-0.64
492.62,-0.70
497.55,-0.78
502.52,-0.86
507.55,-0.89
512.62,-0.86
517.75,-0.84
522.93,-0.80
528.16,-0.70
533.44,-0.70
538.77,-0.71
544.16,-0.69
549.60,-0.75
555.10,-0.83
560.65,-0.94
566.25,-1.21
571.92,-1.52
577.64,-1.71
583.41,-1.87
589.25,-1.84
595.14,-1.79
601.09,-1.69
607.10,-1.56
613.17,-1.39
619.30,-1.33
625.50,-1.30
631.75,-1.24
638.07,-1.22
644.45,-1.26
650.89,-1.30
657.40,-1.29
