frequency,raw
20.00,-3.08
20.20,-2.99
20.40,-2.92
20.61,-2.83
20.81,-2.76
21.02,-2.68
21.23,-2.69
21.44,-2.69
21.66,-2.69
21.87,-2.69
22.09,-2.68
22.31,-2.66
22.54,-2.63
22.76,-2.59
22.99,-2.57
23.22,-2.56
23.45,-2.56
23.69,-2.55
23.92,-2.55
24.16,-2.55
24.40,-2.55
24.65,-2.55
24.89,-2.54
25.14,-2.53
25.39,-2.50
25.65,-2.46
25.91,-2.44
26.16,-2.41
26.43,-2.39
26.69,-2.36
26.96,-2.32
27.23,-2.32
27.50,-2.32
27.77,-2.32
28.05,-2.32
28.33,-2.32
28.62,-2.32
28.90,-2.32
29.19,-2.32
29.48,-2.33
29.78,-2.33
30.08,-2.33
30.38,-2.35
30.68,-2.37
30.99,-2.39
31.30,-2.33
31.61,-2.28
31.93,-2.23
32.24,-2.21
32.57,-2.21
32.89,-2.20
33.22,-2.20
33.55,-2.19
33.89,-2.19
34.23,-2.18
34.57,-2.18
34.92,-2.18
35.27,-2.17
35.62,-2.17
35.97,-2.17
36.33,-2.17
36.70,-2.17
37.06,-2.17
37.43,-2.17
37.81,-2.17
38.19,-2.18
38.57,-2.18
38.95,-2.18
39.34,-2.18
39.74,-2.18
40.14,-2.18
40.54,-2.18
40.94,-2.18
41.35,-2.17
41.76,-2.17
42.18,-2.17
42.60,-2.16
43.03,-2.16
43.46,-2.15
43.90,-2.15
44.33,-2.15
44.78,-2.15
45.23,-2.15
45.68,-2.15
46.13,-2.15
46.60,-2.15
47.06,-2.16
47.53,-2.16
48.01,-2.17
48.49,-2.10
48.97,-2.02
49.46,-2.25
49.96,-2.50
50.46,-2.48
50.96,-2.44
51.47,-2.45
51.99,-2.46
52.51,-2.47
53.03,-2.48
53.56,-2.49
54.10,-2.50
54.64,-2.51
55.18,-2.52
55.74,-2.53
56.29,-2.58
56.86,-2.69
57.42,-2.48
58.00,-2.16
58.58,-2.26
59.16,-2.34
59.76,-2.33
60.35,-2.32
60.96,-2.31
61.57,-2.30
62.18,-2.28
62.80,-2.26
63.43,-2.23
64.07,-2.21
64.71,-2.31
65.35,-2.23
66.01,-2.03
66.67,-2.01
67.33,-2.00
68.01,-1.98
68.69,-1.97
69.37,-1.96
70.07,-1.94
70.77,-1.98
71.48,-2.02
72.19,-2.07
72.91,-2.10
73.64,-2.10
74.38,-2.08
75.12,-2.07
75.87,-2.06
76.63,-2.01
77.40,-1.93
78.17,-1.89
78.95,-2.08
79.74,-2.26
80.54,-2.27
81.35,-2.19
82.16,-2.13
82.98,-2.12
83.81,-2.19
84.65,-2.23
85.50,-2.26
86.35,-2.23
87.22,-2.15
