frequency,raw
20.00,-1.67
20.20,-1.67
20.40,-1.68
20.61,-1.68
20.81,-1.69
21.02,-1.69
21.23,-1.70
21.44,-1.70
21.66,-1.70
21.87,-1.70
22.09,-1.70
22.31,-1.70
22.54,-1.69
22.76,-1.68
22.99,-1.68
23.22,-1.67
23.45,-1.67
23.69,-1.66
23.92,-1.66
24.16,-1.66
24.40,-1.66
24.65,-1.66
24.89,-1.65
25.14,-1.65
25.39,-1.65
25.65,-1.64
25.91,-1.64
26.16,-1.64
26.43,-1.64
26.69,-1.64
26.96,-1.63
27.23,-1.63
27.50,-1.63
27.77,-1.63
28.05,-1.63
28.33,-1.65
28.62,-1.67
28.90,-1.68
29.19,-1.70
29.48,-1.72
29.78,-1.74
30.08,-1.75
30.38,-1.77
30.68,-1.79
30.99,-1.81
31.30,-1.78
31.61,-1.76
31.93,-1.74
32.24,-1.73
32.57,-1.73
32.89,-1.72
33.22,-1.72
33.55,-1.71
33.89,-1.71
34.23,-1.70
34.57,-1.71
34.92,-1.72
35.27,-1.65
35.62,-1.58
35.97,-1.51
36.33,-1.50
36.70,-1.50
37.06,-1.49
37.43,-1.45
37.81,-1.40
38.19,-1.41
38.57,-1.45
38.95,-1.50
39.34,-1.50
39.74,-1.51
40.14,-1.54
40.54,-1.62
40.94,-1.71
41.35,-1.70
41.76,-1.68
42.18,-1.69
42.60,-1.73
43.03,-1.77
43.46,-1.67
43.90,-1.58
44.33,-1.53
44.78,-1.48
45.23,-1.46
45.68,-1.46
46.13,-1.47
46.60,-1.52
47.06,-1.58
47.53,-1.64
48.01,-1.71
48.49,-1.79
48.97,-1.88
49.46,-1.95
49.96,-2.03
50.46,-2.05
50.96,-2.06
51.47,-1.97
51.99,-1.86
52.51,-1.79
53.03,-1.72
53.56,-1.64
54.10,-1.55
54.64,-1.41
55.18,-1.33
55.74,-1.37
56.29,-1.33
56.86,-1.24
57.42,-1.15
58.00,-1.06
58.58,-1.00
59.16,-0.95
59.76,-0.94
60.35,-0.93
60.96,-0.92
61.57,-0.91
62.18,-0.89
62.80,-0.87
63.43,-0.84
64.07,-0.81
64.71,-0.79
65.35,-0.77
66.01,-0.77
66.67,-0.80
67.33,-0.81
68.01,-0.79
68.69,-0.78
69.37,-0.77
70.07,-0.75
70.77,-0.75
71.48,-0.79
72.19,-0.83
72.91,-0.82
73.64,-0.81
74.38,-0.79
75.12,-0.78
75.87,-0.77
76.63,-0.75
77.40,-0.73
78.17,-0.71
78.95,-0.70
79.74,-0.68
80.54,-0.67
81.35,-0.65
82.16,-0.64
82.98,-0.63
83.81,-0.62
84.65,-0.61
85.50,-0.60
86.35,-0.59
87.22,-0.58
88.09,-0.57
88.97,-0.56
89.86,-0.56
90.76,-0.55
91.66,-0.53
92.58,-0.53
93.51,-0.52
94.44,-0.52
95.39,-0.53
96.34,-0.52
97.30,-0.52
98.28,-0.53
99.26,-0.54
100.25,-0.56
101.25,-0.58
102.27,-0.58
103.29,-0.58
104.32,-0.59
105.37,-0.60
106.42,-0.62
107.48,-0.63
108.56,-0.65
109.64,-0.66
110.74,-0.67
111.85,-0.69
112.97,-0.69
114.10,-0.71
115.24,-0.71
116.39,-0.72
117.55,-0.72
118.73,-0.73
119.92,-0.74
121.12,-0.75
122.33,-0.76
123.55,-0.77
124.79,-0.71
126.03,-0.77
127.29,-0.80
128.57,-0.82
129.85,-0.84
131.15,-0.84
132.46,-0.86
133.79,-0.87
135.12,-0.87
136.48,-0.82
137.84,-0.79
139.22,-0.80
140.61,-0.80
142.02,-0.79
143.44,-0.73
144.87,-0.70
146.32,-0.71
147.78,-0.70
149.26,-0.69
150.75,-0.67
152.26,-0.64
153.78,-0.60
155.32,-0.57
156.88,-0.53
158.44,-0.49
160.03,-0.45
161.63,-0.45
163.24,-0.48
164.88,-0.48
166.53,-0.41
168.19,-0.39
169.87,-0.41
171.57,-0.35
173.29,-0.35
175.02,-0.38
176.77,-0.41
178.54,-0.45
180.32,-0.48
182.13,-0.50
183.95,-0.52
185.79,-0.54
187.65,-0.55
189.52,-0.55
191.42,-0.55
193.33,-0.54
195.27,-0.54
197.22,-0.52
199.19,-0.52
201.18,-0.52
203.19,-0.51
205.23,-0.51
207.28,-0.51
209.35,-0.50
211.44,-0.50
213.56,-0.56
215.69,-0.52
217.85,-0.48
220.03,-0.49
222.23,-0.48
224.45,-0.48
226.70,-0.48
228.96,-0.48
231.25,-0.55
233.57,-0.57
235.90,-0.60
238.26,-0.66
240.64,-0.73
243.05,-0.74
245.48,-0.74
247.93,-0.72
250.41,-0.72
252.92,-0.70
255.45,-0.70
258.00,-0.71
260.58,-0.76
263.19,-0.77
265.82,-0.77
268.48,-0.78
271.16,-0.77
273.87,-0.77
276.61,-0.78
279.38,-0.79
282.17,-0.78
284.99,-0.77
287.84,-0.70
290.72,-0.68
293.63,-0.67
296.57,-0.66
299.53,-0.66
302.53,-0.65
305.55,-0.64
308.61,-0.63
311.69,-0.61
314.81,-0.61
317.96,-0.60
321.14,-0.54
324.35,-0.54
327.59,-0.57
330.87,-0.57
334.18,-0.56
337.52,-0.52
340.90,-0.44
344.30,-0.45
347.75,-0.53
351.23,-0.53
