frequency,raw
20.00,-7.48
20.20,-7.46
20.40,-7.45
20.61,-7.43
20.81,-7.42
21.02,-7.40
21.23,-7.37
21.44,-7.32
21.66,-7.28
21.87,-7.24
22.09,-7.21
22.31,-7.19
22.54,-7.17
22.76,-7.14
22.99,-7.12
23.22,-6.99
23.45,-6.87
23.69,-6.73
23.92,-6.61
24.16,-6.46
24.40,-6.30
24.65,-6.13
24.89,-5.96
25.14,-5.80
25.39,-5.64
25.65,-5.48
25.91,-5.32
26.16,-5.18
26.43,-5.05
26.69,-4.93
26.96,-4.79
27.23,-4.61
27.50,-4.42
27.77,-4.23
28.05,-4.04
28.33,-3.88
28.62,-3.72
28.90,-3.56
29.19,-3.37
29.48,-3.19
29.78,-3.00
30.08,-2.83
30.38,-2.70
30.68,-2.57
30.99,-2.44
31.30,-2.26
31.61,-2.09
31.93,-1.92
32.24,-1.85
32.57,-1.81
32.89,-1.77
33.22,-1.78
33.55,-1.79
33.89,-1.82
34.23,-1.88
34.57,-1.97
34.92,-2.07
35.27,-2.03
35.62,-1.97
35.97,-1.90
36.33,-1.74
36.70,-1.56
37.06,-1.41
37.43,-1.38
37.81,-1.36
38.19,-1.32
38.57,-1.26
38.95,-1.20
39.34,-1.14
39.74,-1.09
40.14,-1.07
40.54,-1.11
40.94,-1.16
41.35,-1.18
41.76,-1.21
42.18,-1.26
42.60,-1.31
43.03,-1.36
43.46,-1.39
43.90,-1.43
44.33,-1.44
44.78,-1.44
45.23,-1.44
45.68,-1.44
46.13,-1.44
46.60,-1.44
47.06,-1.45
47.53,-1.45
48.01,-1.46
48.49,-1.52
48.97,-1.58
49.46,-1.62
49.96,-1.67
50.46,-1.60
50.96,-1.52
51.47,-1.53
51.99,-1.55
52.51,-1.56
53.03,-1.57
53.56,-1.58
54.10,-1.59
54.64,-1.60
55.18,-1.62
55.74,-1.68
56.29,-1.74
56.86,-1.81
57.42,-1.83
58.00,-1.83
58.58,-1.83
59.16,-1.84
59.76,-1.87
60.35,-1.89
60.96,-1.93
61.57,-1.90
62.18,-1.87
62.80,-1.85
63.43,-1.82
64.07,-1.79
64.71,-1.77
65.35,-1.74
66.01,-1.72
66.67,-1.70
67.33,-1.68
68.01,-1.63
68.69,-1.73
69.37,-1.72
70.07,-1.63
70.77,-1.63
71.48,-1.62
72.19,-1.60
72.91,-1.55
73.64,-1.57
74.38,-1.57
75.12,-1.56
75.87,-1.55
76.63,-1.53
77.40,-1.51
78.17,-1.49
78.95,-1.48
79.74,-1.46
80.54,-1.45
81.35,-1.43
82.16,-1.42
82.98,-1.41
83.81,-1.40
84.65,-1.39
85.50,-1.38
86.35,-1.37
87.22,-1.36
88.09,-1.35
88.97,-1.34
89.86,-1.34
90.76,-1.33
91.66,-1.31
92.58,-1.31
93.51,-1.30
94.44,-1.25
95.39,-1.18
96.34,-1.19
97.30,-1.20
98.28,-1.21
99.26,-1.22
100.25,-1.23
101.25,-1.25
102.27,-1.26
103.29,-1.29
104.32,-1.33
105.37,-1.38
106.42,-1.40
107.48,-1.41
108.56,-1.43
109.64,-1.44
110.74,-1.45
111.85,-1.47
112.97,-1.47
114.10,-1.49
115.24,-1.49
116.39,-1.50
117.55,-1.50
118.73,-1.51
119.92,-1.52
121.12,-1.53
122.33,-1.54
123.55,-1.55
124.79,-1.56
126.03,-1.58
127.29,-1.59
128.57,-1.60
129.85,-1.62
131.15,-1.62
132.46,-1.64
133.79,-1.64
135.12,-1.66
136.48,-1.67
137.84,-1.67
139.22,-1.68
140.61,-1.68
142.02,-1.69
143.44,-1.69
144.87,-1.69
146.32,-1.69
147.78,-1.68
149.26,-1.67
150.75,-1.65
152.26,-1.62
153.78,-1.58
155.32,-1.55
156.88,-1.51
158.44,-1.47
160.03,-1.44
161.63,-1.41
163.24,-1.39
164.88,-1.37
166.53,-1.33
168.19,-1.28
169.87,-1.28
171.57,-1.31
173.29,-1.33
175.02,-1.36
176.77,-1.39
178.54,-1.43
180.32,-1.46
182.13,-1.48
183.95,-1.50
185.79,-1.52
187.65,-1.53
189.52,-1.53
191.42,-1.53
193.33,-1.53
195.27,-1.52
197.22,-1.51
199.19,-1.50
201.18,-1.50
203.19,-1.49
205.23,-1.49
207.28,-1.49
209.35,-1.48
211.44,-1.47
213.56,-1.47
215.69,-1.47
217.85,-1.47
220.03,-1.47
222.23,-1.46
224.45,-1.46
226.70,-1.46
228.96,-1.46
231.25,-1.45
233.57,-1.45
235.90,-1.45
238.26,-1.44
240.64,-1.43
243.05,-1.43
245.48,-1.43
247.93,-1.42
250.41,-1.33
252.92,-1.28
255.45,-1.28
258.00,-1.27
260.58,-1.25
263.19,-1.25
265.82,-1.25
268.48,-1.26
271.16,-1.25
273.87,-1.25
276.61,-1.25
279.38,-1.26
282.17,-1.26
284.99,-1.27
287.84,-1.26
290.72,-1.26
293.63,-1.24
296.57,-1.24
299.53,-1.24
302.53,-1.23
305.55,-1.22
308.61,-1.21
311.69,-1.19
314.81,-1.19
317.96,-1.15
321.14,-1.07
324.35,-1.05
327.59,-1.06
330.87,-1.05
334.18,-1.04
337.52,-1.03
340.90,-1.02
344.30,-1.01
347.75,-0.99
351.23,-0.98
354.74,-1.04
358.28,-1.05
361.87,-1.03
365.49,-1.01
369.14,-1.00
372.83,-0.97
376.56,-0.95
380.33,-0.93
384.13,-0.92
387.97,-0.90
391.85,-0.88
395.77,-0.87
399.73,-0.86
403.72,-0.78
407.76,-0.73
411.84,-0.73
415.96,-0.72
420.12,-0.71
424.32,-0.69
428.56,-0.68
432.85,-0.68
437.18,-0.66
441.55,-0.65
445.96,-0.63
450.42,-0.68
454.93,-0.67
459.48,-0.65
464.07,-0.62
468.71,-0.61
473.40,-0.58
478.13,-0.56
482.91,-0.54
487.74,-0.58
492.62,-0.61
497.55,-0.62
502.52,-0.66
507.55,-0.67
512.62,-0.65
517.75,-0.62
522.93,-0.65
528.16,-0.65
533.44,-0.62
538.77,-0.66
544.16,-0.73
549.60,-0.83
555.10,-0.85
560.65,-0.87
566.25,-0.96
571.92,-1.02
577.64,-1.05
583.41,-1.02
589.25,-1.07
595.14,-1.08
601.09,-1.09
607.10,-1.15
613.17,-1.25
619.30,-1.28
625.50,-1.31
631.75,-1.35
638.07,-1.36
644.45,-1.35
650.89,-1.35
657.40,-1.28
663.98,-1.18
670.62,-1.11
677.32,-1.04
684.10,-0.97
690.94,-0.84
697.85,-0.68
704.83,-0.59
711.87,-0.49
718.99,-0.34
726.18,-0.25
733.44,-0.15
740.78,-0.11
748.19,-0.00
755.67,0.08
763.23,0.04
770.86,0.18
778.57,0.31
786.35,0.29
794.22,0.36
802.16,0.52
810.18,0.55
818.28,0.53
826.46,0.52
834.73,0.51
843.08,0.50
851.51,0.48
860.02,0.43
868.62,0.41
877.31,0.50
886.08,0.50
894.94,0.34
903.89,0.27
912.93,0.26
922.06,0.27
931.28,0.21
940.59,0.23
950.00,0.24
959.50,0.23
969.09,0.25
978.78,0.24
988.57,0.12
998.46,0.08
1008.44,0.12
1018.53,0.12
1028.71,0.11
1039.00,0.08
1049.39,0.06
1059.88,0.06
1070.48,0.01
1081.19,0.03
1092.00,-0.01
1102.92,-0.05
1113.95,-0.05
1125.09,-0.02
1136.34,-0.00
1147.70,-0.00
1159.18,-0.07
1170.77,-0.17
1182.48,-0.27
1194.30,-0.31
1206.25,-0.28
1218.31,-0.27
1230.49,-0.35
1242.80,-0.43
1255.22,-0.49
1267.78,-0.43
1280.45,-0.38
1293.26,-0.33
1306.19,-0.27
1319.25,-0.07
1332.45,0.11
1345.77,0.27
1359.23,0.43
1372.82,0.60
1386.55,0.75
1400.41,0.91
1414.42,1.15
1428.56,1.35
1442.85,1.58
1457.28,1.79
1471.85,1.86
1486.57,1.94
1501.43,2.08
1516.45,2.23
1531.61,2.35
1546.93,2.49
1562.40,2.49
1578.02,2.53
1593.80,2.52
1609.74,2.53
1625.84,2.59
1642.10,2.61
1658.52,2.63
1675.10,2.61
1691.85,2.58
1708.77,2.57
1725.86,2.56
1743.12,2.52
1760.55,2.45
1778.15,2.34
1795.94,2.28
1813.90,2.28
1832.03,2.28
1850.36,2.34
1868.86,2.44
1887.55,2.59
1906.42,2.57
1925.49,2.60
1944.74,2.48
1964.19,2.47
1983.83,2.61
2003.67,2.72
2023.71,2.75
2043.94,2.70
2064.38,2.76
2085.03,2.83
2105.88,2.98
2126.94,3.20
2148.20,3.40
2169.69,3.61
2191.38,3.83
2213.30,3.97
2235.43,4.01
2257.78,4.02
2280.36,4.09
2303.17,4.20
2326.20,4.31
2349.46,4.34
2372.95,4.31
2396.68,4.36
2420.65,4.51
2444.86,4.60
2469.31,4.57
2494.00,4.59
2518.94,4.64
2544.13,4.67
2569.57,4.60
2595.27,4.52
2621.22,4.44
2647.43,4.47
2673.90,4.49
2700.64,4.53
2727.65,4.58
2754.93,4.68
2782.48,4.70
2810.30,4.64
2838.40,4.57
2866.79,4.43
2895.46,4.29
2924.41,4.16
2953.65,4.30
2983.19,4.43
3013.02,4.61
3043.15,4.57
3073.58,4.56
3104.32,4.64
3135.36,4.48
3166.72,4.33
3198.38,4.41
3230.37,4.29
3262.67,4.09
3295.30,3.88
3328.25,3.62
3361.53,3.41
3395.15,3.30
3429.10,3.13
3463.39,2.98
3498.03,2.84
3533.01,2.69
3568.34,2.51
3604.02,2.28
3640.06,2.13
3676.46,2.04
3713.22,1.86
3750.36,1.70
3787.86,1.57
3825.74,1.39
3864.00,1.30
3902.64,1.25
3941.66,1.19
3981.08,1.02
4020.89,0.87
4061.10,0.72
4101.71,0.63
4142.73,0.52
4184.15,0.40
4226.00,0.35
4268.26,0.29
4310.94,0.29
4354.05,0.37
4397.59,0.50
4441.56,0.69
4485.98,1.02
4530.84,1.30
4576.15,1.59
4621.91,1.95
4668.13,2.35
4714.81,2.61
4761.96,2.77
4809.58,2.93
4857.67,2.99
4906.25,3.13
4955.31,3.26
5004.87,3.24
5054.91,3.30
5105.46,3.61
5156.52,4.08
5208.08,4.75
5260.16,5.38
5312.77,6.17
5365.89,6.93
5419.55,7.43
5473.75,7.89
5528.49,8.38
5583.77,8.64
5639.61,8.89
5696.00,9.32
5752.96,9.59
5810.49,9.47
5868.60,9.21
5927.28,8.69
5986.56,8.09
6046.42,7.38
6106.89,6.69
6167.96,6.02
6229.64,5.34
6291.93,4.66
6354.85,3.96
6418.40,3.30
6482.58,2.51
6547.41,1.79
6612.88,1.07
6679.01,0.28
6745.80,-0.44
6813.26,-0.88
6881.39,-0.91
6950.21,-0.55
7019.71,-0.20
7089.91,0.02
7160.81,0.46
7232.41,0.71
7304.74,0.43
7377.79,0.10
7451.56,-0.62
7526.08,-1.21
7601.34,-1.90
7677.35,-2.56
7754.13,-3.07
7831.67,-3.35
7909.98,-3.54
7989.08,-3.59
8068.98,-3.59
8149.67,-3.54
8231.16,-3.28
8313.47,-3.54
8396.61,-4.22
8480.57,-5.54
8565.38,-6.35
8651.03,-6.37
8737.54,-6.55
8824.92,-7.05
8913.17,-8.44
9002.30,-10.01
9092.32,-11.13
9183.25,-11.62
9275.08,-11.68
9367.83,-11.34
9461.51,-11.13
9556.12,-11.57
9651.68,-11.69
9748.20,-10.61
9845.68,-8.55
9944.14,-7.05
10043.58,-6.98
10144.02,-7.74
10245.46,-8.28
10347.91,-9.02
10451.39,-10.57
10555.91,-11.47
10661.46,-11.09
10768.08,-10.59
10875.76,-10.15
10984.52,-9.31
11094.36,-8.36
11205.31,-7.50
11317.36,-6.90
11430.53,-6.50
11544.84,-5.98
11660.29,-5.04
11776.89,-3.91
11894.66,-2.97
12013.60,-2.62
12133.74,-2.75
12255.08,-2.38
12377.63,-2.08
12501.41,-2.27
12626.42,-2.79
12752.68,-2.66
12880.21,-3.29
13009.01,-4.09
13139.10,-4.79
13270.49,-5.37
13403.20,-6.42
13537.23,-6.30
13672.60,-5.60
13809.33,-5.33
13947.42,-4.87
14086.90,-4.24
14227.77,-3.79
14370.04,-3.21
14513.74,-2.75
14658.88,-2.85
14805.47,-2.71
14953.52,-2.45
15103.06,-2.12
15254.09,-1.89
15406.63,-2.46
15560.70,-4.09
15716.30,-5.38
15873.47,-6.80
16032.20,-7.75
16192.52,-7.58
16354.45,-6.28
16517.99,-3.60
16683.17,-3.74
16850.01,-4.19
17018.51,-3.27
17188.69,-3.18
17360.58,-3.76
17534.18,-4.03
17709.53,-4.14
17886.62,-4.64
18065.49,-4.97
18246.14,-5.00
18428.60,-5.02
18612.89,-5.32
18799.02,-5.46
18987.01,-5.27
19176.88,-5.92
19368.65,-7.31
19562.33,-8.92
19757.96,-9.96
19955.54,-10.63
