frequency,raw
20.00,-6.87
20.20,-6.83
20.40,-6.80
20.61,-6.76
20.81,-6.73
21.02,-6.69
21.23,-6.65
21.44,-6.61
21.66,-6.57
21.87,-6.52
22.09,-6.48
22.31,-6.44
22.54,-6.38
22.76,-6.33
22.99,-6.28
23.22,-6.23
23.45,-6.18
23.69,-6.12
23.92,-6.08
24.16,-6.03
24.40,-5.99
24.65,-5.96
24.89,-5.91
25.14,-5.88
25.39,-5.87
25.65,-5.85
25.91,-5.84
26.16,-5.82
26.43,-5.79
26.69,-5.76
26.96,-5.72
27.23,-5.69
27.50,-5.66
27.77,-5.64
28.05,-5.61
28.33,-5.59
28.62,-5.56
28.90,-5.53
29.19,-5.50
29.48,-5.48
29.78,-5.45
30.08,-5.42
30.38,-5.39
30.68,-5.36
30.99,-5.33
31.30,-5.29
31.61,-5.26
31.93,-5.23
32.24,-5.19
32.57,-5.15
32.89,-5.11
33.22,-5.08
33.55,-5.03
33.89,-5.00
34.23,-4.93
34.57,-4.87
34.92,-4.80
35.27,-4.72
35.62,-4.66
35.97,-4.60
36.33,-4.59
36.70,-4.58
37.06,-4.56
37.43,-4.48
37.81,-4.41
38.19,-4.38
38.57,-4.38
38.95,-4.38
39.34,-4.38
39.74,-4.38
40.14,-4.38
40.54,-4.38
40.94,-4.38
41.35,-4.37
41.76,-4.37
42.18,-4.35
42.60,-4.28
43.03,-4.22
43.46,-4.09
43.90,-3.98
44.33,-3.88
44.78,-3.78
45.23,-3.69
45.68,-3.61
46.13,-3.53
46.60,-3.44
47.06,-3.37
47.53,-3.31
48.01,-3.26
48.49,-3.22
48.97,-3.18
49.46,-3.16
49.96,-3.14
50.46,-3.14
50.96,-3.13
51.47,-3.10
51.99,-3.06
52.51,-3.01
53.03,-2.97
53.56,-2.92
54.10,-2.88
54.64,-2.84
55.18,-2.79
55.74,-2.75
56.29,-2.71
56.86,-2.70
57.42,-2.61
58.00,-2.49
58.58,-2.42
59.16,-2.36
59.76,-2.33
60.35,-2.31
60.96,-2.30
61.57,-2.27
62.18,-2.23
62.80,-2.16
63.43,-2.11
