frequency,raw
20.00,1.27
20.20,1.35
20.40,1.43
20.61,1.51
20.81,1.58
21.02,1.67
21.23,1.78
21.44,1.90
21.66,2.02
21.87,2.14
22.09,2.24
22.31,2.30
22.54,2.37
22.76,2.44
22.99,2.50
23.22,2.60
23.45,2.70
23.69,2.81
23.92,2.91
24.16,2.98
24.40,3.03
24.65,3.09
24.89,3.16
25.14,3.21
25.39,3.26
25.65,3.33
25.91,3.38
26.16,3.44
26.43,3.51
26.69,3.58
26.96,3.66
27.23,3.78
27.50,3.90
27.77,4.03
28.05,4.14
28.33,4.20
28.62,4.26
28.90,4.32
29.19,4.37
29.48,4.41
29.78,4.46
30.08,4.53
30.38,4.64
30.68,4.76
30.99,4.87
31.30,4.92
31.61,4.95
31.93,4.97
32.24,5.02
32.57,5.06
32.89,5.12
33.22,5.15
33.55,5.20
33.89,5.23
34.23,5.30
34.57,5.36
34.92,5.43
35.27,5.47
35.62,5.48
35.97,5.49
36.33,5.54
36.70,5.60
37.06,5.65
37.43,5.72
37.81,5.79
38.19,5.82
38.57,5.83
38.95,5.83
39.34,5.86
39.74,5.90
40.14,5.93
40.54,5.97
40.94,6.01
41.35,6.03
41.76,6.03
42.18,6.05
42.60,6.12
43.03,6.17
43.46,6.21
43.90,6.23
44.33,6.24
44.78,6.24
45.23,6.26
45.68,6.30
46.13,6.34
46.60,6.40
47.06,6.43
47.53,6.43
48.01,6.42
48.49,6.41
48.97,6.40
49.46,6.46
49.96,6.51
50.46,6.48
50.96,6.44
51.47,6.43
51.99,6.42
52.51,6.41
53.03,6.40
53.56,6.39
54.10,6.38
54.64,6.37
55.18,6.36
55.74,6.35
56.29,6.35
56.86,6.34
57.42,6.34
58.00,6.34
58.58,6.34
59.16,6.34
59.76,6.35
60.35,6.36
60.96,6.37
61.57,6.38
62.18,6.41
62.80,6.46
63.43,6.46
64.07,6.44
64.71,6.42
65.35,6.44
66.01,6.46
66.67,6.48
67.33,6.50
68.01,6.54
68.69,6.49
69.37,6.41
70.07,6.31
70.77,6.34
71.48,6.36
72.19,6.37
72.91,6.36
73.64,6.32
74.38,6.28
75.12,6.23
75.87,6.24
76.63,6.16
77.40,6.15
78.17,6.19
78.95,6.21
79.74,6.23
80.54,6.24
81.35,6.31
82.16,6.42
82.98,6.46
83.81,6.40
84.65,6.40
85.50,6.42
86.35,6.47
87.22,6.55
88.09,6.62
88.97,6.65
89.86,6.65
90.76,6.66
91.66,6.80
92.58,6.86
93.51,6.82
94.44,6.78
95.39,6.74
96.34,6.69
97.30,6.73
98.28,6.86
99.26,6.86
100.25,6.84
101.25,6.82
102.27,6.82
103.29,6.82
104.32,6.81
105.37,6.80
106.42,6.78
107.48,6.77
108.56,6.75
109.64,6.63
110.74,6.57
111.85,6.68
112.97,6.71
114.10,6.50
115.24,6.49
116.39,6.49
117.55,6.48
118.73,6.47
119.92,6.46
121.12,6.46
122.33,6.45
123.55,6.43
124.79,6.42
126.03,6.41
127.29,6.40
128.57,6.38
