frequency,raw
20.00,-7.21
20.20,-7.14
20.40,-7.08
20.61,-7.01
20.81,-6.94
21.02,-6.87
21.23,-6.81
21.44,-6.73
21.66,-6.66
21.87,-6.58
22.09,-6.52
22.31,-6.48
22.54,-6.42
22.76,-6.37
22.99,-6.32
23.22,-6.26
23.45,-6.21
23.69,-6.15
23.92,-6.10
24.16,-6.03
24.40,-5.96
24.65,-5.88
24.89,-5.80
25.14,-5.73
25.39,-5.66
25.65,-5.58
25.91,-5.51
26.16,-5.44
26.43,-5.39
26.69,-5.33
26.96,-5.27
27.23,-5.24
27.50,-5.21
27.77,-5.18
28.05,-5.15
28.33,-5.08
28.62,-5.01
28.90,-4.94
29.19,-4.89
29.48,-4.85
29.78,-4.81
30.08,-4.75
30.38,-4.69
30.68,-4.63
30.99,-4.57
31.30,-4.52
31.61,-4.48
31.93,-4.44
32.24,-4.38
32.57,-4.32
32.89,-4.26
33.22,-4.22
33.55,-4.17
33.89,-4.13
34.23,-4.06
34.57,-4.00
34.92,-3.93
35.27,-3.87
35.62,-3.83
35.97,-3.79
36.33,-3.77
36.70,-3.75
37.06,-3.72
37.43,-3.63
37.81,-3.55
38.19,-3.52
38.57,-3.53
38.95,-3.55
39.34,-3.49
39.74,-3.42
40.14,-3.36
40.54,-3.29
40.94,-3.22
41.35,-3.19
41.76,-3.17
42.18,-3.16
42.60,-3.14
43.03,-3.13
43.46,-3.06
43.90,-2.99
44.33,-2.94
44.78,-2.88
45.23,-2.87
45.68,-2.90
46.13,-2.90
46.60,-2.84
47.06,-2.79
47.53,-2.79
48.01,-2.80
48.49,-2.76
48.97,-2.72
49.46,-2.68
49.96,-2.65
50.46,-2.66
50.96,-2.67
51.47,-2.65
51.99,-2.62
52.51,-2.61
53.03,-2.60
53.56,-2.57
54.10,-2.55
54.64,-2.54
55.18,-2.54
55.74,-2.55
56.29,-2.55
56.86,-2.56
57.42,-2.52
58.00,-2.46
58.58,-2.44
59.16,-2.41
59.76,-2.36
60.35,-2.34
60.96,-2.33
61.57,-2.32
62.18,-2.30
62.80,-2.28
63.43,-2.25
64.07,-2.22
64.71,-2.20
65.35,-2.12
66.01,-2.01
66.67,-2.02
67.33,-2.03
68.01,-2.03
68.69,-2.00
69.37,-1.94
70.07,-1.86
70.77,-1.86
71.48,-1.85
72.19,-1.84
72.91,-1.83
73.64,-1.82
74.38,-1.80
75.12,-1.79
75.87,-1.78
76.63,-1.76
77.40,-1.74
78.17,-1.72
78.95,-1.71
79.74,-1.69
80.54,-1.68
81.35,-1.66
82.16,-1.65
82.98,-1.64
83.81,-1.63
84.65,-1.62
85.50,-1.61
86.35,-1.60
87.22,-1.59
88.09,-1.58
88.97,-1.57
89.86,-1.57
90.76,-1.56
91.66,-1.55
92.58,-1.55
93.51,-1.54
94.44,-1.54
95.39,-1.54
96.34,-1.53
97.30,-1.54
98.28,-1.55
99.26,-1.59
100.25,-1.69
101.25,-1.79
102.27,-1.79
103.29,-1.79
104.32,-1.80
105.37,-1.81
106.42,-1.83
107.48,-1.84
108.56,-1.86
109.64,-1.87
110.74,-1.89
111.85,-1.90
112.97,-1.88
114.10,-1.96
115.24,-2.10
116.39,-2.13
117.55,-2.14
118.73,-2.14
119.92,-2.16
121.12,-2.16
122.33,-2.17
123.55,-2.17
124.79,-2.25
126.03,-2.42
127.29,-2.43
128.57,-2.44
129.85,-2.45
131.15,-2.46
132.46,-2.47
133.79,-2.48
135.12,-2.49
136.48,-2.49
137.84,-2.55
139.22,-2.60
140.61,-2.61
142.02,-2.62
143.44,-2.62
144.87,-2.62
146.32,-2.62
147.78,-2.61
149.26,-2.61
150.75,-2.65
152.26,-2.66
153.78,-2.61
155.32,-2.57
156.88,-2.52
158.44,-2.57
160.03,-2.61
161.63,-2.64
163.24,-2.62
164.88,-2.67
166.53,-2.70
168.19,-2.74
169.87,-2.82
171.57,-2.90
173.29,-2.96
175.02,-3.00
176.77,-3.03
178.54,-3.07
180.32,-3.10
182.13,-3.12
183.95,-3.14
185.79,-3.22
187.65,-3.28
189.52,-3.36
191.42,-3.37
193.33,-3.37
195.27,-3.36
197.22,-3.37
199.19,-3.44
201.18,-3.46
203.19,-3.44
205.23,-3.41
207.28,-3.48
209.35,-3.52
211.44,-3.53
213.56,-3.61
215.69,-3.63
217.85,-3.61
220.03,-3.61
222.23,-3.61
224.45,-3.67
226.70,-3.72
228.96,-3.80
231.25,-3.79
233.57,-3.79
235.90,-3.84
238.26,-3.89
240.64,-3.96
243.05,-3.97
245.48,-3.97
247.93,-3.97
250.41,-4.03
252.92,-4.08
255.45,-4.11
258.00,-4.11
260.58,-4.10
263.19,-4.11
265.82,-4.22
268.48,-4.23
271.16,-4.20
273.87,-4.17
276.61,-4.29
279.38,-4.42
282.17,-4.42
284.99,-4.41
287.84,-4.48
290.72,-4.56
293.63,-4.51
296.57,-4.47
299.53,-4.44
302.53,-4.58
305.55,-4.71
308.61,-4.69
311.69,-4.64
314.81,-4.69
317.96,-4.77
321.14,-4.76
324.35,-4.73
327.59,-4.71
330.87,-4.70
334.18,-4.69
337.52,-4.79
340.90,-4.86
344.30,-4.82
347.75,-4.77
351.23,-4.73
354.74,-4.72
358.28,-4.80
361.87,-4.87
365.49,-4.80
369.14,-4.75
372.83,-4.72
376.56,-4.70
380.33,-4.69
384.13,-4.73
387.97,-4.86
391.85,-4.80
395.77,-4.73
399.73,-4.71
403.72,-4.70
407.76,-4.69
411.84,-4.68
415.96,-4.67
420.12,-4.66
424.32,-4.54
428.56,-4.41
432.85,-4.42
437.18,-4.49
441.55,-4.50
445.96,-4.47
450.42,-4.45
454.93,-4.42
459.48,-4.32
464.07,-4.13
468.71,-4.19
473.40,-4.22
478.13,-4.21
482.91,-4.19
487.74,-3.96
492.62,-3.86
497.55,-4.00
502.52,-4.04
507.55,-4.02
512.62,-3.99
517.75,-3.97
522.93,-3.94
528.16,-3.91
533.44,-3.87
538.77,-3.85
544.16,-3.93
549.60,-3.97
555.10,-3.77
560.65,-3.68
566.25,-3.66
571.92,-3.63
577.64,-3.61
583.41,-3.57
589.25,-3.54
595.14,-3.62
601.09,-3.51
607.10,-3.33
613.17,-3.34
619.30,-3.46
625.50,-3.50
631.75,-3.42
638.07,-3.40
644.45,-3.40
650.89,-3.39
657.40,-3.38
663.98,-3.32
670.62,-3.20
677.32,-3.12
684.10,-3.01
690.94,-2.89
697.85,-2.67
704.83,-2.53
711.87,-2.40
718.99,-2.34
726.18,-2.07
733.44,-1.80
740.78,-1.95
748.19,-1.59
755.67,-1.13
763.23,-0.94
770.86,-0.52
778.57,-0.51
786.35,-0.70
794.22,-0.41
802.16,0.01
810.18,0.08
818.28,0.05
826.46,0.14
834.73,-0.08
843.08,-0.21
851.51,-0.28
860.02,-0.14
868.62,0.12
877.31,0.39
886.08,0.59
894.94,0.55
903.89,0.62
912.93,0.60
922.06,0.40
931.28,0.29
940.59,0.13
950.00,0.02
959.50,-0.01
969.09,-0.09
978.78,-0.11
988.57,-0.02
998.46,0.07
1008.44,0.20
1018.53,0.44
1028.71,0.56
1039.00,0.66
1049.39,0.76
1059.88,0.77
1070.48,0.63
1081.19,0.39
1092.00,0.27
1102.92,0.27
1113.95,0.28
1125.09,0.22
1136.34,0.10
1147.70,-0.23
1159.18,-0.56
1170.77,-0.80
1182.48,-1.22
1194.30,-1.98
1206.25,-2.64
1218.31,-3.06
1230.49,-3.52
1242.80,-3.82
1255.22,-4.09
1267.78,-4.36
1280.45,-4.65
1293.26,-4.90
1306.19,-5.44
1319.25,-6.06
1332.45,-6.14
1345.77,-6.00
1359.23,-5.83
1372.82,-5.67
1386.55,-5.52
1400.41,-5.31
1414.42,-4.94
1428.56,-4.70
1442.85,-4.72
1457.28,-4.98
1471.85,-5.03
1486.57,-4.85
1501.43,-4.72
1516.45,-4.80
1531.61,-4.93
1546.93,-4.90
1562.40,-4.91
1578.02,-5.12
1593.80,-5.31
1609.74,-5.39
1625.84,-5.46
1642.10,-5.68
1658.52,-6.04
1675.10,-6.25
1691.85,-6.43
1708.77,-6.75
1725.86,-7.02
1743.12,-7.15
1760.55,-7.20
1778.15,-7.11
1795.94,-6.89
1813.90,-6.62
1832.03,-6.09
1850.36,-5.36
1868.86,-4.79
1887.55,-4.01
1906.42,-3.16
1925.49,-2.63
1944.74,-2.48
1964.19,-2.84
1983.83,-2.53
2003.67,-2.05
2023.71,-1.97
2043.94,-2.13
2064.38,-2.47
2085.03,-3.18
2105.88,-3.83
2126.94,-4.19
2148.20,-4.64
2169.69,-4.62
2191.38,-4.26
2213.30,-3.97
2235.43,-3.87
2257.78,-3.72
2280.36,-3.59
2303.17,-3.62
2326.20,-3.59
2349.46,-3.48
2372.95,-3.47
2396.68,-3.63
2420.65,-3.91
2444.86,-3.91
2469.31,-3.86
2494.00,-3.80
2518.94,-3.69
2544.13,-3.66
2569.57,-3.60
2595.27,-3.45
2621.22,-3.23
2647.43,-2.96
2673.90,-2.78
2700.64,-2.60
2727.65,-2.42
2754.93,-2.26
2782.48,-2.12
2810.30,-2.06
2838.40,-2.01
2866.79,-1.92
2895.46,-1.86
2924.41,-1.88
2953.65,-1.86
2983.19,-1.82
3013.02,-1.79
3043.15,-1.77
3073.58,-1.72
3104.32,-1.71
3135.36,-1.74
3166.72,-1.83
3198.38,-1.89
3230.37,-2.03
3262.67,-2.26
3295.30,-2.34
3328.25,-2.42
3361.53,-2.52
3395.15,-2.62
3429.10,-2.85
3463.39,-2.94
3498.03,-2.86
3533.01,-2.76
3568.34,-2.61
3604.02,-2.40
3640.06,-2.17
3676.46,-2.05
3713.22,-1.94
3750.36,-1.91
3787.86,-2.02
3825.74,-2.02
3864.00,-2.12
3902.64,-2.38
3941.66,-2.64
3981.08,-2.68
4020.89,-2.80
4061.10,-3.07
4101.71,-3.34
4142.73,-3.53
4184.15,-3.73
4226.00,-3.93
4268.26,-4.04
4310.94,-4.18
4354.05,-4.46
4397.59,-4.81
4441.56,-5.00
4485.98,-5.08
4530.84,-5.21
4576.15,-5.34
4621.91,-5.41
4668.13,-5.56
4714.81,-5.62
4761.96,-5.83
4809.58,-5.88
4857.67,-5.56
4906.25,-4.97
4955.31,-4.44
5004.87,-3.69
5054.91,-2.93
5105.46,-1.95
5156.52,-0.81
5208.08,0.19
5260.16,1.01
5312.77,1.79
5365.89,2.25
5419.55,2.43
5473.75,2.47
5528.49,2.24
5583.77,2.02
5639.61,1.72
5696.00,1.26
5752.96,0.77
5810.49,0.33
5868.60,-0.13
5927.28,-0.68
5986.56,-1.20
6046.42,-1.74
6106.89,-2.33
6167.96,-2.89
6229.64,-3.39
6291.93,-3.88
6354.85,-4.35
6418.40,-4.85
6482.58,-5.36
6547.41,-5.92
6612.88,-6.43
6679.01,-6.95
6745.80,-7.52
6813.26,-8.08
6881.39,-8.57
6950.21,-8.96
7019.71,-9.37
7089.91,-9.64
7160.81,-9.85
7232.41,-10.18
7304.74,-10.43
7377.79,-10.62
7451.56,-10.85
7526.08,-11.07
7601.34,-11.32
7677.35,-11.63
7754.13,-12.02
7831.67,-12.32
7909.98,-12.54
7989.08,-12.76
8068.98,-12.82
8149.67,-12.73
8231.16,-12.13
8313.47,-11.53
8396.61,-11.42
8480.57,-11.35
8565.38,-10.95
8651.03,-10.88
8737.54,-10.99
8824.92,-10.94
8913.17,-11.10
9002.30,-10.89
9092.32,-10.33
9183.25,-9.87
9275.08,-8.88
9367.83,-7.71
9461.51,-6.78
9556.12,-6.19
9651.68,-6.03
9748.20,-5.84
9845.68,-5.88
9944.14,-5.99
10043.58,-6.92
10144.02,-7.51
10245.46,-7.41
10347.91,-7.24
10451.39,-6.90
10555.91,-6.17
10661.46,-5.12
10768.08,-4.62
10875.76,-4.42
10984.52,-4.13
11094.36,-3.54
11205.31,-2.81
11317.36,-2.14
