frequency,raw
20.00,-23.32
20.20,-23.18
20.40,-23.05
20.61,-22.91
20.81,-22.78
21.02,-22.64
21.23,-22.52
21.44,-22.40
21.66,-22.27
21.87,-22.14
22.09,-22.00
22.31,-21.83
22.54,-21.64
22.76,-21.46
22.99,-21.29
23.22,-21.21
23.45,-21.16
23.69,-21.09
23.92,-21.03
24.16,-20.91
24.40,-20.76
24.65,-20.62
24.89,-20.46
25.14,-20.33
25.39,-20.20
25.65,-20.07
25.91,-19.95
26.16,-19.82
26.43,-19.70
26.69,-19.57
26.96,-19.44
27.23,-19.31
27.50,-19.17
27.77,-19.03
28.05,-18.89
28.33,-18.76
28.62,-18.62
28.90,-18.49
29.19,-18.35
29.48,-18.23
29.78,-18.10
30.08,-17.97
30.38,-17.84
30.68,-17.71
30.99,-17.58
31.30,-17.44
31.61,-17.31
31.93,-17.18
32.24,-16.98
32.57,-16.77
32.89,-16.55
33.22,-16.48
33.55,-16.46
33.89,-16.46
34.23,-16.45
34.57,-16.44
34.92,-16.44
35.27,-16.23
35.62,-15.98
35.97,-15.72
36.33,-15.59
36.70,-15.46
37.06,-15.34
37.43,-15.22
37.81,-15.09
38.19,-14.93
38.57,-14.70
38.95,-14.48
39.34,-14.46
39.74,-14.48
40.14,-14.47
40.54,-14.41
40.94,-14.36
41.35,-14.18
41.76,-13.99
42.18,-13.82
42.60,-13.69
43.03,-13.55
43.46,-13.28
43.90,-13.01
44.33,-13.08
44.78,-13.25
45.23,-13.24
45.68,-13.05
46.13,-12.87
46.60,-12.75
47.06,-12.65
47.53,-12.53
48.01,-12.43
48.49,-12.37
48.97,-12.30
49.46,-12.11
49.96,-11.91
50.46,-11.98
50.96,-12.08
51.47,-11.82
51.99,-11.52
52.51,-11.75
53.03,-11.97
53.56,-11.73
54.10,-11.50
54.64,-11.28
55.18,-11.17
55.74,-11.28
56.29,-11.24
56.86,-11.08
57.42,-10.96
58.00,-10.86
58.58,-10.71
59.16,-10.55
59.76,-10.34
60.35,-10.40
60.96,-10.65
61.57,-10.39
62.18,-10.13
62.80,-10.03
63.43,-9.83
64.07,-9.62
64.71,-9.57
65.35,-9.67
66.01,-9.90
66.67,-9.57
67.33,-9.29
68.01,-9.06
68.69,-9.24
69.37,-9.08
70.07,-8.69
70.77,-8.93
71.48,-8.89
72.19,-8.75
72.91,-8.73
73.64,-8.55
74.38,-8.43
75.12,-8.46
75.87,-8.63
76.63,-8.13
77.40,-8.00
78.17,-8.19
78.95,-7.80
79.74,-7.82
80.54,-7.91
81.35,-7.71
82.16,-7.31
82.98,-7.64
83.81,-7.52
84.65,-7.39
85.50,-7.26
86.35,-7.26
87.22,-7.36
88.09,-7.17
88.97,-7.01
89.86,-6.91
90.76,-7.15
91.66,-7.07
92.58,-6.91
93.51,-6.95
94.44,-7.08
95.39,-7.14
96.34,-7.24
97.30,-7.41
98.28,-7.58
99.26,-7.53
100.25,-7.54
101.25,-7.41
102.27,-7.13
103.29,-7.26
104.32,-7.24
105.37,-7.10
106.42,-7.34
107.48,-7.47
108.56,-7.34
109.64,-7.09
110.74,-6.93
111.85,-6.86
112.97,-6.81
114.10,-6.93
115.24,-6.97
116.39,-6.76
117.55,-6.60
118.73,-6.61
119.92,-6.59
121.12,-6.37
122.33,-6.37
123.55,-6.26
124.79,-6.16
126.03,-6.15
127.29,-5.94
128.57,-5.80
129.85,-5.87
131.15,-6.21
132.46,-6.01
133.79,-5.84
135.12,-5.65
136.48,-5.94
137.84,-6.08
139.22,-5.89
140.61,-5.75
142.02,-5.69
143.44,-5.63
144.87,-5.57
146.32,-5.70
147.78,-5.76
149.26,-5.37
150.75,-5.16
152.26,-5.30
153.78,-5.49
155.32,-5.63
156.88,-5.62
158.44,-5.61
160.03,-5.40
161.63,-5.44
163.24,-5.52
164.88,-5.44
166.53,-5.37
168.19,-5.43
169.87,-5.59
171.57,-5.55
173.29,-5.48
175.02,-5.40
176.77,-5.21
178.54,-5.17
180.32,-5.16
182.13,-5.17
183.95,-5.23
185.79,-5.37
187.65,-5.14
189.52,-4.92
191.42,-4.97
193.33,-5.10
195.27,-5.14
197.22,-4.98
199.19,-4.88
201.18,-4.88
203.19,-4.87
205.23,-4.87
207.28,-4.91
209.35,-4.99
211.44,-4.89
213.56,-4.77
215.69,-4.75
217.85,-4.57
220.03,-4.53
222.23,-4.69
224.45,-4.73
226.70,-4.57
228.96,-4.54
231.25,-4.53
233.57,-4.53
235.90,-4.53
238.26,-4.60
240.64,-4.65
243.05,-4.43
245.48,-4.29
247.93,-4.41
250.41,-4.46
252.92,-4.46
255.45,-4.45
258.00,-4.42
260.58,-4.34
263.19,-4.42
265.82,-4.52
268.48,-4.47
271.16,-4.52
273.87,-4.76
276.61,-4.74
279.38,-4.72
282.17,-4.81
284.99,-4.92
287.84,-5.01
290.72,-5.04
293.63,-5.08
296.57,-5.05
299.53,-5.18
302.53,-5.21
305.55,-5.20
308.61,-5.19
311.69,-5.18
314.81,-5.17
317.96,-5.16
321.14,-5.15
324.35,-5.20
327.59,-5.20
330.87,-5.00
334.18,-4.88
337.52,-4.77
340.90,-4.63
344.30,-4.66
347.75,-4.65
351.23,-4.56
354.74,-4.56
358.28,-4.57
361.87,-4.47
365.49,-4.33
369.14,-4.38
372.83,-4.46
376.56,-4.39
380.33,-4.32
384.13,-4.26
387.97,-4.17
391.85,-4.24
395.77,-4.33
399.73,-4.34
403.72,-4.32
407.76,-4.22
411.84,-4.26
415.96,-4.37
420.12,-4.39
424.32,-4.41
428.56,-4.45
432.85,-4.39
437.18,-4.26
441.55,-4.23
445.96,-4.20
450.42,-4.18
454.93,-4.15
459.48,-4.13
464.07,-4.10
468.71,-4.09
473.40,-4.06
478.13,-4.02
482.91,-3.95
487.74,-4.01
492.62,-4.08
497.55,-4.08
502.52,-4.07
507.55,-4.10
512.62,-4.06
517.75,-4.01
522.93,-3.95
528.16,-3.95
533.44,-3.97
538.77,-3.90
544.16,-3.86
549.60,-3.84
555.10,-3.83
560.65,-3.81
566.25,-3.79
571.92,-3.76
577.64,-3.72
583.41,-3.60
589.25,-3.51
595.14,-3.44
601.09,-3.42
607.10,-3.31
613.17,-3.27
619.30,-3.25
625.50,-3.19
631.75,-3.13
638.07,-3.03
644.45,-2.94
650.89,-2.87
657.40,-2.86
663.98,-2.81
670.62,-2.71
677.32,-2.66
684.10,-2.64
690.94,-2.48
697.85,-2.34
704.83,-2.35
711.87,-2.26
718.99,-2.16
726.18,-2.13
733.44,-2.06
740.78,-1.95
748.19,-1.85
755.67,-1.77
763.23,-1.71
770.86,-1.55
778.57,-1.31
786.35,-1.33
794.22,-1.36
802.16,-1.25
810.18,-1.17
818.28,-1.06
826.46,-1.00
834.73,-0.88
843.08,-0.74
851.51,-0.86
860.02,-0.60
868.62,-0.54
877.31,-0.73
886.08,-0.49
894.94,-0.40
903.89,-0.56
912.93,-0.36
922.06,-0.22
931.28,-0.40
940.59,-0.38
950.00,-0.28
959.50,-0.09
969.09,-0.04
978.78,-0.17
988.57,-0.17
998.46,0.04
1008.44,0.16
1018.53,0.28
1028.71,0.34
1039.00,0.38
1049.39,0.42
1059.88,0.44
1070.48,0.43
1081.19,0.58
1092.00,0.69
1102.92,0.75
1113.95,0.79
1125.09,0.83
1136.34,0.89
1147.70,0.94
1159.18,1.05
1170.77,1.01
1182.48,0.96
1194.30,1.07
1206.25,1.15
1218.31,1.18
1230.49,1.29
1242.80,1.29
1255.22,1.30
1267.78,1.35
1280.45,1.38
1293.26,1.41
1306.19,1.56
1319.25,1.67
1332.45,1.72
1345.77,1.78
1359.23,1.87
1372.82,1.91
1386.55,1.96
1400.41,2.06
1414.42,2.14
1428.56,2.23
1442.85,2.29
1457.28,2.36
1471.85,2.47
1486.57,2.56
1501.43,2.55
1516.45,2.59
1531.61,2.67
1546.93,2.75
1562.40,2.81
1578.02,2.88
1593.80,2.94
1609.74,3.00
1625.84,3.06
1642.10,3.11
1658.52,3.18
1675.10,3.20
1691.85,3.22
1708.77,3.26
1725.86,3.29
1743.12,3.27
1760.55,3.23
1778.15,3.23
1795.94,3.29
1813.90,3.35
1832.03,3.43
1850.36,3.52
1868.86,3.58
1887.55,3.67
1906.42,3.67
1925.49,3.66
1944.74,3.67
1964.19,3.71
1983.83,3.72
2003.67,3.67
2023.71,3.64
2043.94,3.66
2064.38,3.64
2085.03,3.62
2105.88,3.60
2126.94,3.56
2148.20,3.55
2169.69,3.55
2191.38,3.53
2213.30,3.56
2235.43,3.53
2257.78,3.49
2280.36,3.51
2303.17,3.57
2326.20,3.57
2349.46,3.63
2372.95,3.68
2396.68,3.70
2420.65,3.54
2444.86,3.51
2469.31,3.49
2494.00,3.43
2518.94,3.39
2544.13,3.40
2569.57,3.44
2595.27,3.44
2621.22,3.42
2647.43,3.41
2673.90,3.39
2700.64,3.34
2727.65,3.33
2754.93,3.31
2782.48,3.26
2810.30,3.17
2838.40,3.11
2866.79,3.04
2895.46,2.88
2924.41,2.74
2953.65,2.70
2983.19,2.67
3013.02,2.63
3043.15,2.60
3073.58,2.58
3104.32,2.63
3135.36,2.63
3166.72,2.60
3198.38,2.63
3230.37,2.65
3262.67,2.61
3295.30,2.58
3328.25,2.57
3361.53,2.62
3395.15,2.60
3429.10,2.57
3463.39,2.65
3498.03,2.73
3533.01,2.84
3568.34,2.91
3604.02,2.91
3640.06,2.86
3676.46,2.78
3713.22,2.53
3750.36,2.35
3787.86,2.22
3825.74,2.03
3864.00,1.88
3902.64,1.82
3941.66,1.84
3981.08,1.66
4020.89,1.52
4061.10,1.37
4101.71,1.16
4142.73,1.01
4184.15,0.85
4226.00,0.62
4268.26,0.36
4310.94,0.21
4354.05,0.08
4397.59,-0.10
4441.56,-0.20
4485.98,-0.33
4530.84,-0.58
4576.15,-0.74
4621.91,-0.89
4668.13,-1.21
4714.81,-1.41
4761.96,-1.59
4809.58,-1.63
4857.67,-1.68
4906.25,-1.71
4955.31,-1.81
5004.87,-1.90
5054.91,-1.94
5105.46,-1.99
5156.52,-2.07
5208.08,-2.17
5260.16,-2.18
5312.77,-2.18
5365.89,-2.19
5419.55,-2.27
5473.75,-2.41
5528.49,-2.63
5583.77,-2.84
5639.61,-3.12
5696.00,-3.49
5752.96,-3.90
5810.49,-4.18
5868.60,-4.43
5927.28,-4.66
5986.56,-5.14
6046.42,-5.28
6106.89,-5.67
6167.96,-6.32
6229.64,-6.69
6291.93,-6.85
6354.85,-7.00
6418.40,-7.19
6482.58,-7.25
6547.41,-7.24
6612.88,-7.24
6679.01,-7.17
6745.80,-6.87
6813.26,-6.54
6881.39,-6.39
6950.21,-5.94
7019.71,-5.39
7089.91,-4.95
7160.81,-4.36
7232.41,-3.71
7304.74,-3.18
7377.79,-2.74
7451.56,-1.95
7526.08,-1.24
7601.34,-0.73
7677.35,0.03
7754.13,0.68
7831.67,1.04
7909.98,1.37
7989.08,1.50
8068.98,1.39
8149.67,0.95
8231.16,0.30
8313.47,-0.64
8396.61,-1.64
8480.57,-2.92
8565.38,-4.34
8651.03,-5.60
8737.54,-6.94
8824.92,-8.34
8913.17,-9.48
9002.30,-10.76
9092.32,-11.73
9183.25,-12.32
9275.08,-12.55
9367.83,-12.45
9461.51,-12.12
9556.12,-11.75
9651.68,-11.26
9748.20,-10.78
9845.68,-10.47
9944.14,-10.12
10043.58,-10.00
10144.02,-8.99
10245.46,-8.26
10347.91,-7.88
