frequency,raw
20.00,0.35
20.20,0.32
20.40,0.28
20.61,0.25
20.81,0.22
21.02,0.19
21.23,0.23
21.44,0.27
21.66,0.31
21.87,0.36
22.09,0.41
22.31,0.47
22.54,0.55
22.76,0.62
22.99,0.69
23.22,0.75
23.45,0.80
23.69,0.86
23.92,0.90
24.16,0.95
24.40,0.99
24.65,1.03
24.89,1.08
25.14,1.17
25.39,1.29
25.65,1.42
25.91,1.54
26.16,1.60
26.43,1.63
26.69,1.66
26.96,1.70
27.23,1.74
27.50,1.80
27.77,1.85
28.05,1.90
28.33,1.97
28.62,2.04
28.90,2.12
29.19,2.07
29.48,1.95
29.78,1.84
30.08,1.82
30.38,2.08
30.68,2.34
30.99,2.60
31.30,2.43
31.61,2.22
31.93,2.02
32.24,2.09
32.57,2.24
32.89,2.39
33.22,2.48
33.55,2.55
33.89,2.61
34.23,2.59
34.57,2.51
34.92,2.44
35.27,2.62
35.62,2.87
35.97,3.12
36.33,2.94
36.70,2.73
37.06,2.58
37.43,2.73
37.81,2.87
38.19,2.94
38.57,2.94
38.95,2.94
39.34,2.96
39.74,2.98
40.14,3.02
40.54,3.08
40.94,3.13
41.35,3.11
41.76,3.07
42.18,3.09
42.60,3.18
43.03,3.26
43.46,3.27
43.90,3.27
44.33,3.27
44.78,3.27
45.23,3.21
45.68,3.09
46.13,3.06
46.60,3.23
47.06,3.36
47.53,3.36
48.01,3.35
48.49,3.34
48.97,3.33
49.46,3.32
49.96,3.30
50.46,3.29
50.96,3.28
51.47,3.36
51.99,3.45
52.51,3.29
53.03,3.14
53.56,3.18
54.10,3.21
54.64,3.22
55.18,3.15
55.74,2.92
56.29,2.80
56.86,2.78
57.42,2.81
58.00,2.85
58.58,2.90
59.16,2.96
59.76,3.06
60.35,3.10
60.96,3.11
61.57,3.12
62.18,3.14
62.80,3.18
63.43,3.27
64.07,3.36
64.71,3.23
65.35,3.18
66.01,3.19
66.67,3.01
67.33,2.95
68.01,3.04
68.69,3.05
69.37,3.06
70.07,3.08
70.77,3.08
71.48,3.02
72.19,3.02
72.91,3.24
73.64,3.22
74.38,3.20
75.12,3.19
75.87,3.15
76.63,3.17
77.40,3.12
78.17,3.02
78.95,2.93
79.74,2.90
80.54,2.78
81.35,2.62
82.16,2.45
82.98,2.25
83.81,2.07
84.65,1.82
85.50,1.52
86.35,1.24
87.22,1.03
88.09,0.79
88.97,0.47
89.86,0.29
90.76,0.09
91.66,-0.17
92.58,-0.37
93.51,-0.54
94.44,-0.76
95.39,-0.96
96.34,-1.02
97.30,-1.07
98.28,-1.13
99.26,-1.22
100.25,-1.33
101.25,-1.35
102.27,-1.28
103.29,-1.06
104.32,-0.86
105.37,-0.66
106.42,-0.44
107.48,-0.22
108.56,0.08
109.64,0.35
110.74,0.53
111.85,0.92
112.97,1.14
114.10,1.28
115.24,1.49
116.39,1.83
117.55,2.11
118.73,2.26
119.92,2.36
121.12,2.61
122.33,2.73
123.55,2.78
124.79,2.84
126.03,2.97
127.29,3.06
128.57,3.17
129.85,3.28
131.15,3.37
132.46,3.49
133.79,3.45
135.12,3.33
136.48,3.44
137.84,3.52
139.22,3.59
140.61,3.61
142.02,3.49
143.44,3.60
144.87,3.72
146.32,3.72
147.78,3.67
149.26,3.52
150.75,3.34
152.26,3.34
153.78,3.47
155.32,3.30
156.88,3.00
158.44,2.79
160.03,2.53
161.63,2.08
163.24,1.78
164.88,1.44
166.53,1.26
168.19,1.31
169.87,1.46
171.57,1.77
173.29,2.13
175.02,2.45
176.77,2.53
178.54,2.52
180.32,2.55
182.13,2.62
183.95,2.70
185.79,2.63
187.65,2.57
189.52,2.49
191.42,2.44
193.33,2.35
195.27,2.18
197.22,1.99
199.19,1.81
201.18,1.72
203.19,1.71
205.23,1.68
207.28,1.59
209.35,1.48
211.44,1.38
213.56,1.32
215.69,1.18
217.85,1.03
220.03,0.85
222.23,0.70
224.45,0.57
226.70,0.35
228.96,0.21
231.25,0.14
233.57,0.05
235.90,-0.13
238.26,-0.33
240.64,-0.28
