frequency,raw
20.00,1.53
20.20,1.59
20.40,1.64
20.61,1.70
20.81,1.75
21.02,1.80
21.23,1.84
21.44,1.88
21.66,1.93
21.87,1.97
22.09,2.03
22.31,2.12
22.54,2.21
22.76,2.30
22.99,2.39
23.22,2.42
23.45,2.45
23.69,2.48
23.92,2.50
24.16,2.54
24.40,2.59
24.65,2.63
24.89,2.69
25.14,2.71
25.39,2.72
25.65,2.73
25.91,2.74
26.16,2.77
26.43,2.82
26.69,2.87
26.96,2.93
27.23,3.00
27.50,3.08
27.77,3.15
28.05,3.22
28.33,3.30
28.62,3.38
28.90,3.45
29.19,3.48
29.48,3.48
29.78,3.49
30.08,3.50
30.38,3.54
30.68,3.57
30.99,3.61
31.30,3.63
31.61,3.64
31.93,3.65
32.24,3.73
32.57,3.83
32.89,3.94
33.22,3.94
33.55,3.91
33.89,3.87
34.23,3.93
34.57,4.02
34.92,4.11
35.27,4.12
35.62,4.10
35.97,4.07
36.33,4.12
36.70,4.18
37.06,4.23
37.43,4.21
37.81,4.20
38.19,4.23
38.57,4.33
38.95,4.43
39.34,4.43
39.74,4.42
40.14,4.41
40.54,4.41
40.94,4.41
41.35,4.42
41.76,4.42
42.18,4.42
42.60,4.42
43.03,4.43
43.46,4.53
43.90,4.62
44.33,4.66
44.78,4.69
45.23,4.67
45.68,4.63
46.13,4.60
46.60,4.66
47.06,4.69
47.53,4.71
48.01,4.71
48.49,4.70
48.97,4.69
49.46,4.68
49.96,4.66
50.46,4.65
50.96,4.64
51.47,4.63
51.99,4.61
52.51,4.62
53.03,4.62
53.56,4.66
54.10,4.68
54.64,4.67
55.18,4.66
55.74,4.65
56.29,4.65
56.86,4.64
57.42,4.64
58.00,4.64
58.58,4.62
59.16,4.60
59.76,4.57
60.35,4.53
60.96,4.49
61.57,4.45
62.18,4.43
62.80,4.43
63.43,4.50
64.07,4.58
64.71,4.59
65.35,4.58
66.01,4.54
66.67,4.57
67.33,4.59
68.01,4.61
68.69,4.62
69.37,4.64
70.07,4.66
70.77,4.52
71.48,4.47
72.19,4.47
72.91,4.50
73.64,4.44
74.38,4.39
75.12,4.35
75.87,4.31
76.63,4.22
77.40,4.12
78.17,4.03
78.95,3.94
79.74,3.83
80.54,3.73
81.35,3.63
82.16,3.49
82.98,3.27
83.81,3.07
84.65,2.97
85.50,2.90
86.35,2.80
87.22,2.76
88.09,2.88
88.97,3.04
89.86,3.12
90.76,3.12
91.66,3.16
92.58,3.26
93.51,3.43
94.44,3.58
95.39,3.71
96.34,3.87
97.30,4.03
98.28,4.18
99.26,4.31
100.25,4.33
101.25,4.36
102.27,4.43
103.29,4.56
104.32,4.67
105.37,4.70
106.42,4.75
107.48,4.81
108.56,4.78
109.64,4.75
110.74,4.73
111.85,4.69
112.97,4.61
114.10,4.48
115.24,4.50
116.39,4.47
117.55,4.42
118.73,4.31
119.92,4.31
121.12,4.17
122.33,4.02
123.55,3.83
124.79,3.59
126.03,3.44
127.29,3.26
128.57,3.09
129.85,3.01
131.15,2.97
132.46,2.87
133.79,2.81
135.12,2.86
136.48,2.90
137.84,2.96
139.22,2.89
140.61,2.84
142.02,2.84
143.44,2.84
144.87,2.92
146.32,3.01
147.78,3.05
149.26,3.20
150.75,3.30
152.26,3.32
153.78,3.31
155.32,3.22
156.88,3.17
158.44,3.07
160.03,2.93
161.63,2.75
163.24,2.57
164.88,2.49
166.53,2.58
168.19,2.71
169.87,2.85
171.57,2.94
173.29,3.03
175.02,3.04
176.77,2.96
178.54,2.91
