frequency,raw
20.00,-9.66
20.20,-9.66
20.40,-9.67
20.61,-9.67
20.81,-9.68
21.02,-9.68
21.23,-9.69
21.44,-9.69
21.66,-9.69
21.87,-9.69
22.09,-9.69
22.31,-9.68
22.54,-9.66
22.76,-9.65
22.99,-9.64
23.22,-9.62
23.45,-9.61
23.69,-9.59
23.92,-9.58
24.16,-9.59
24.40,-9.60
24.65,-9.61
24.89,-9.61
25.14,-9.61
25.39,-9.62
25.65,-9.62
25.91,-9.63
26.16,-9.61
26.43,-9.59
26.69,-9.56
26.96,-9.52
27.23,-9.55
27.50,-9.58
27.77,-9.61
28.05,-9.64
28.33,-9.63
28.62,-9.63
28.90,-9.62
29.19,-9.64
29.48,-9.68
29.78,-9.71
30.08,-9.73
30.38,-9.73
30.68,-9.73
30.99,-9.73
31.30,-9.75
31.61,-9.78
31.93,-9.81
32.24,-9.83
32.57,-9.87
32.89,-9.89
33.22,-9.92
33.55,-9.95
33.89,-9.99
34.23,-9.99
34.57,-9.98
34.92,-9.97
35.27,-10.02
35.62,-10.10
35.97,-10.18
36.33,-10.25
36.70,-10.32
37.06,-10.38
37.43,-10.38
37.81,-10.38
38.19,-10.41
38.57,-10.44
38.95,-10.48
39.34,-10.55
39.74,-10.62
40.14,-10.70
40.54,-10.79
40.94,-10.88
41.35,-11.03
41.76,-11.19
42.18,-11.33
42.60,-11.40
43.03,-11.49
43.46,-11.62
43.90,-11.76
44.33,-11.91
44.78,-12.06
45.23,-12.21
45.68,-12.34
46.13,-12.45
46.60,-12.49
47.06,-12.55
47.53,-12.67
48.01,-12.81
48.49,-12.83
48.97,-12.86
49.46,-12.90
49.96,-12.96
50.46,-12.99
50.96,-13.02
51.47,-13.34
51.99,-13.68
52.51,-13.96
53.03,-14.23
53.56,-14.48
54.10,-14.74
54.64,-15.03
55.18,-15.30
55.74,-15.53
56.29,-15.67
56.86,-15.77
57.42,-15.91
58.00,-16.06
58.58,-15.98
59.16,-15.78
59.76,-15.24
60.35,-14.76
60.96,-14.32
61.57,-13.66
62.18,-13.01
62.80,-12.45
63.43,-11.60
64.07,-10.66
64.71,-10.03
65.35,-9.14
66.01,-8.09
66.67,-7.43
67.33,-6.51
68.01,-5.36
68.69,-4.43
69.37,-3.50
70.07,-2.60
70.77,-1.53
71.48,-0.76
72.19,-0.04
72.91,0.93
73.64,1.54
74.38,2.17
75.12,2.80
75.87,3.20
76.63,3.36
77.40,3.64
78.17,3.99
78.95,4.07
79.74,3.96
